s,t,o,h,l,c,v
ok,2024-03-20 10:00:00,5.0,6.92,4.55,6.63,1378026
ok,2024-03-20 10:30:00,6.34,7.87,5.31,5.31,1127165
ok,2024-03-20 11:00:00,5.0,5.28,3.91,4.03,1264599
ok,2024-03-20 11:30:00,4.03,4.17,3.52,3.79,719944
ok,2024-03-20 12:00:00,3.74,3.89,3.25,3.27,403939
ok,2024-03-20 12:30:00,3.28,3.43,2.95,3.02,365127
ok,2024-03-20 13:00:00,3.02,3.2,2.75,2.76,161331
ok,2024-03-20 13:30:00,2.77,3.0,2.7,2.9,145565
ok,2024-03-20 14:00:00,2.89,3.47,2.89,3.42,270673
ok,2024-03-20 14:30:00,3.42,3.72,2.9,3.32,379512
ok,2024-03-20 15:00:00,3.22,3.22,2.86,2.99,44958
ok,2024-03-20 15:30:00,3.0,3.13,2.9,3.02,16262
ok,2024-03-20 16:00:00,3.02,3.14,2.95,2.95,7692
ok,2024-03-20 16:30:00,2.96,3.04,2.9,2.92,9495
ok,2024-03-20 17:00:00,2.93,2.97,2.89,2.93,6687
ok,2024-03-20 17:30:00,2.92,2.99,2.92,2.95,16636
ok,2024-03-20 18:00:00,2.97,2.98,2.94,2.98,6293
ok,2024-03-20 18:30:00,2.95,2.95,2.87,2.88,18995
ok,2024-03-21 03:00:00,2.98,3.1,2.92,2.96,6614
ok,2024-03-21 03:30:00,3.01,3.15,3.0,3.08,5204
ok,2024-03-21 04:00:00,3.03,3.12,3.02,3.02,2198
ok,2024-03-21 04:30:00,3.04,3.08,3.03,3.08,1400
ok,2024-03-21 05:00:00,3.04,3.07,2.97,2.97,6252
ok,2024-03-21 05:30:00,3.0,3.0,2.94,2.96,2946
ok,2024-03-21 06:00:00,2.99,3.02,2.95,2.98,10597
ok,2024-03-21 06:30:00,3.05,3.72,3.03,3.23,136985
ok,2024-03-21 07:00:00,2.98,3.71,2.95,3.1,114093
ok,2024-03-21 07:30:00,3.15,3.15,3.02,3.03,29134
ok,2024-03-21 08:00:00,3.02,3.04,2.75,2.83,45628
ok,2024-03-21 08:30:00,2.85,2.92,2.31,2.75,387454
ok,2024-03-21 09:00:00,2.77,2.96,2.56,2.58,258300
ok,2024-03-21 09:30:00,2.6,2.7,2.35,2.36,162673
ok,2024-03-21 10:00:00,2.43,2.44,2.15,2.2,269513
ok,2024-03-21 10:30:00,2.18,2.33,2.09,2.16,202300
ok,2024-03-21 11:00:00,2.16,2.39,2.02,2.03,200853
ok,2024-03-21 11:30:00,2.03,2.09,1.9,2.0,305508
ok,2024-03-21 12:00:00,2.02,2.04,1.87,2.0,247140
ok,2024-03-21 12:30:00,1.98,2.15,1.93,2.15,84468
ok,2024-03-21 13:00:00,2.15,2.18,2.05,2.11,57802
ok,2024-03-21 13:30:00,2.14,2.16,2.08,2.1,58236
ok,2024-03-21 14:00:00,2.12,2.14,2.01,2.02,51243
ok,2024-03-21 14:30:00,2.02,2.09,1.98,2.04,79375
ok,2024-03-21 15:00:00,1.96,2.15,1.94,1.98,20213
ok,2024-03-21 15:30:00,1.98,2.04,1.92,1.96,32216
ok,2024-03-21 16:00:00,1.96,2.03,1.96,2.01,7525
