s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.26,0.26,0.26,0.26,853
ok,2024-01-02 08:30:00,0.26,0.26,0.26,0.26,500
ok,2024-01-02 09:00:00,0.26,0.26,0.26,0.26,799
ok,2024-01-02 09:30:00,0.26,0.28,0.26,0.28,33648
ok,2024-01-02 10:00:00,0.28,0.28,0.26,0.26,13200
ok,2024-01-02 10:30:00,0.27,0.27,0.26,0.26,2878
ok,2024-01-02 11:00:00,0.27,0.27,0.27,0.27,1252
ok,2024-01-02 11:30:00,0.27,0.27,0.27,0.27,1578
ok,2024-01-02 12:00:00,0.27,0.28,0.27,0.28,2023
ok,2024-01-02 12:30:00,0.28,0.28,0.27,0.27,1353
ok,2024-01-02 13:00:00,0.27,0.27,0.27,0.27,2105
ok,2024-01-02 13:30:00,0.27,0.27,0.27,0.27,846
ok,2024-01-02 14:00:00,0.27,0.27,0.27,0.27,8117
ok,2024-01-02 14:30:00,0.27,0.27,0.27,0.27,10456
ok,2024-01-02 15:30:00,0.28,0.28,0.28,0.28,1795
ok,2024-01-02 16:00:00,0.27,0.27,0.26,0.27,3500
ok,2024-01-02 16:30:00,0.27,0.27,0.27,0.27,20437
ok,2024-01-02 17:00:00,0.27,0.27,0.27,0.27,2623
ok,2024-01-02 18:00:00,0.27,0.28,0.27,0.28,8000
ok,2024-01-02 19:30:00,0.27,0.27,0.26,0.26,468
ok,2024-01-03 05:00:00,0.27,0.27,0.27,0.27,100
ok,2024-01-03 07:30:00,0.28,0.28,0.28,0.28,882
ok,2024-01-03 08:00:00,0.27,0.28,0.27,0.28,1477
ok,2024-01-03 08:30:00,0.28,0.28,0.28,0.28,3780
ok,2024-01-03 09:00:00,0.27,0.27,0.26,0.27,1611
ok,2024-01-03 09:30:00,0.28,0.28,0.28,0.28,24660
ok,2024-01-03 10:00:00,0.28,0.3,0.28,0.29,84000
ok,2024-01-03 10:30:00,0.29,0.3,0.29,0.3,55932
ok,2024-01-03 11:00:00,0.3,0.31,0.3,0.3,95460
ok,2024-01-03 11:30:00,0.3,0.3,0.29,0.29,37051
ok,2024-01-03 12:00:00,0.29,0.29,0.29,0.29,22760
ok,2024-01-03 12:30:00,0.29,0.31,0.29,0.3,52191
ok,2024-01-03 13:00:00,0.3,0.3,0.3,0.3,8030
ok,2024-01-03 13:30:00,0.31,0.31,0.3,0.3,10763
ok,2024-01-03 14:00:00,0.3,0.3,0.3,0.3,1903
ok,2024-01-03 14:30:00,0.3,0.3,0.29,0.29,4504
ok,2024-01-03 15:00:00,0.29,0.29,0.29,0.29,878
ok,2024-01-03 15:30:00,0.29,0.3,0.29,0.29,8296
ok,2024-01-03 16:00:00,0.29,0.3,0.29,0.3,300
