s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,3.93,3.93,3.71,3.84,20108
ok,2024-01-02 10:00:00,3.84,3.96,3.84,3.92,14904
ok,2024-01-02 10:30:00,3.93,3.95,3.89,3.92,13550
ok,2024-01-02 11:00:00,3.88,3.91,3.87,3.9,4503
ok,2024-01-02 11:30:00,3.9,3.9,3.84,3.88,9000
ok,2024-01-02 12:00:00,3.88,3.88,3.8,3.87,13004
ok,2024-01-02 12:30:00,3.88,3.9,3.85,3.86,4978
ok,2024-01-02 13:00:00,3.86,3.88,3.83,3.83,2664
ok,2024-01-02 13:30:00,3.84,3.87,3.84,3.86,5930
ok,2024-01-02 14:00:00,3.87,3.87,3.77,3.77,14275
ok,2024-01-02 14:30:00,3.79,3.81,3.75,3.76,47793
ok,2024-01-02 15:00:00,3.75,3.75,3.71,3.74,15999
ok,2024-01-02 15:30:00,3.73,3.73,3.64,3.64,71038
ok,2024-01-02 16:00:00,3.65,3.69,3.59,3.69,3367
ok,2024-01-03 04:30:00,3.47,3.47,3.47,3.47,240
ok,2024-01-03 05:00:00,3.47,3.47,3.47,3.47,229
ok,2024-01-03 05:30:00,3.56,3.56,3.56,3.56,100
ok,2024-01-03 07:30:00,3.57,3.7,3.57,3.7,1593
ok,2024-01-03 08:00:00,3.58,3.76,3.58,3.74,2235
ok,2024-01-03 08:30:00,3.82,3.93,3.82,3.82,1680
ok,2024-01-03 09:00:00,3.81,3.82,3.81,3.82,400
ok,2024-01-03 09:30:00,3.78,3.91,3.7,3.71,127418
ok,2024-01-03 10:00:00,3.71,3.75,3.65,3.7,22675
ok,2024-01-03 10:30:00,3.7,3.77,3.68,3.74,18227
ok,2024-01-03 11:00:00,3.76,3.82,3.76,3.81,19581
ok,2024-01-03 11:30:00,3.81,3.82,3.78,3.8,22575
ok,2024-01-03 12:00:00,3.83,3.83,3.79,3.8,23080
ok,2024-01-03 12:30:00,3.8,3.85,3.8,3.8,35846
ok,2024-01-03 13:00:00,3.82,3.86,3.8,3.83,19725
ok,2024-01-03 13:30:00,3.84,3.84,3.78,3.78,16850
ok,2024-01-03 14:00:00,3.78,3.79,3.72,3.73,24872
ok,2024-01-03 14:30:00,3.74,3.75,3.72,3.73,21027
ok,2024-01-03 15:00:00,3.75,3.75,3.7,3.71,25598
ok,2024-01-03 15:30:00,3.71,3.79,3.7,3.75,108224
ok,2024-01-03 17:30:00,3.76,3.76,3.76,3.76,115
ok,2024-01-04 05:00:00,3.76,3.76,3.76,3.76,200
ok,2024-01-04 05:30:00,3.67,3.67,3.67,3.67,199
ok,2024-01-04 06:30:00,3.76,3.76,3.76,3.76,100
ok,2024-01-04 08:00:00,3.66,3.66,3.66,3.66,310
ok,2024-01-04 09:30:00,3.76,3.76,3.6,3.64,47049
ok,2024-01-04 10:00:00,3.61,3.68,3.61,3.67,22932
ok,2024-01-04 10:30:00,3.67,3.72,3.65,3.67,32948
ok,2024-01-04 11:00:00,3.67,3.76,3.67,3.69,27714
ok,2024-01-04 11:30:00,3.69,3.74,3.67,3.74,38520
ok,2024-01-04 12:00:00,3.74,3.77,3.69,3.7,21464
ok,2024-01-04 12:30:00,3.7,3.71,3.69,3.7,29697
ok,2024-01-04 13:00:00,3.7,3.74,3.7,3.71,43671
ok,2024-01-04 13:30:00,3.72,3.84,3.71,3.8,37502
ok,2024-01-04 14:00:00,3.81,3.88,3.77,3.77,42331
ok,2024-01-04 14:30:00,3.77,3.78,3.74,3.76,24433
ok,2024-01-04 15:00:00,3.76,3.82,3.76,3.79,27662
ok,2024-01-04 15:30:00,3.79,3.8,3.75,3.77,54893
ok,2024-01-04 18:00:00,3.77,3.77,3.77,3.77,200
ok,2024-01-05 09:30:00,3.78,3.78,3.72,3.72,10141
ok,2024-01-05 10:00:00,3.72,3.74,3.68,3.74,24570
ok,2024-01-05 10:30:00,3.74,3.86,3.74,3.86,58336
ok,2024-01-05 11:00:00,3.86,3.88,3.81,3.82,26107
ok,2024-01-05 11:30:00,3.82,3.83,3.79,3.8,16413
ok,2024-01-05 12:00:00,3.81,3.84,3.8,3.82,21640
ok,2024-01-05 12:30:00,3.83,3.94,3.77,3.94,61241
ok,2024-01-05 13:00:00,3.95,3.96,3.9,3.94,37444
ok,2024-01-05 13:30:00,3.94,3.94,3.87,3.91,20829
ok,2024-01-05 14:00:00,3.9,3.91,3.88,3.88,17886
ok,2024-01-05 14:30:00,3.87,3.89,3.85,3.88,44660
ok,2024-01-05 15:00:00,3.88,3.88,3.78,3.84,36969
ok,2024-01-05 15:30:00,3.84,3.84,3.74,3.78,137434
ok,2024-01-05 16:00:00,3.77,3.77,3.77,3.77,100
ok,2024-01-05 16:30:00,3.74,3.74,3.74,3.74,500
ok,2024-01-08 08:00:00,3.97,3.97,3.74,3.74,6105
ok,2024-01-08 09:00:00,3.74,3.74,3.74,3.74,400
ok,2024-01-08 09:30:00,3.74,3.82,3.74,3.75,10798
ok,2024-01-08 10:00:00,3.77,3.77,3.67,3.76,12617
ok,2024-01-08 10:30:00,3.76,3.83,3.76,3.83,14323
ok,2024-01-08 11:00:00,3.85,3.86,3.79,3.8,8139
ok,2024-01-08 11:30:00,3.8,3.84,3.78,3.84,15369
ok,2024-01-08 12:00:00,3.83,3.89,3.8,3.82,24859
ok,2024-01-08 12:30:00,3.82,3.87,3.82,3.85,15658
ok,2024-01-08 13:00:00,3.84,3.94,3.84,3.93,76916
ok,2024-01-08 13:30:00,3.94,4.07,3.93,4.04,171057
ok,2024-01-08 14:00:00,4.05,4.07,4.01,4.04,40823
ok,2024-01-08 14:30:00,4.04,4.12,4.04,4.1,102402
ok,2024-01-08 15:00:00,4.09,4.18,4.03,4.04,111131
ok,2024-01-08 15:30:00,4.05,4.05,3.96,4.03,119104
ok,2024-01-08 16:00:00,4.02,4.05,4.02,4.02,3109
ok,2024-01-08 19:30:00,4.2,4.2,4.2,4.2,250
ok,2024-01-09 06:00:00,4.02,4.02,4.02,4.02,132
ok,2024-01-09 07:00:00,4.02,4.02,4.02,4.02,311
ok,2024-01-09 09:30:00,4.02,4.11,3.94,4.1,59084
ok,2024-01-09 10:00:00,4.1,4.17,4.08,4.1,48528
ok,2024-01-09 10:30:00,4.1,4.14,4.09,4.14,14318
ok,2024-01-09 11:00:00,4.14,4.3,4.14,4.29,100587
ok,2024-01-09 11:30:00,4.29,4.29,4.11,4.13,61772
ok,2024-01-09 12:00:00,4.15,4.2,4.14,4.17,23237
ok,2024-01-09 12:30:00,4.17,4.25,4.14,4.25,26370
ok,2024-01-09 13:00:00,4.24,4.27,4.21,4.21,109851
ok,2024-01-09 13:30:00,4.21,4.28,4.19,4.27,26601
ok,2024-01-09 14:00:00,4.26,4.34,4.26,4.34,65547
ok,2024-01-09 14:30:00,4.34,4.36,4.31,4.32,45832
ok,2024-01-09 15:00:00,4.32,4.36,4.27,4.27,50096
ok,2024-01-09 15:30:00,4.27,4.34,4.26,4.33,71776
ok,2024-01-09 16:00:00,4.21,4.24,4.21,4.22,4700
ok,2024-01-09 16:30:00,4.24,4.24,4.24,4.24,249
ok,2024-01-09 19:30:00,4.3,4.3,4.3,4.3,440
ok,2024-01-10 04:30:00,3.72,3.72,3.72,3.72,100
ok,2024-01-10 08:00:00,4.24,4.24,4.24,4.24,564
ok,2024-01-10 08:30:00,4.11,4.11,4.11,4.11,209
ok,2024-01-10 09:00:00,4.25,4.25,4.24,4.25,532
ok,2024-01-10 09:30:00,4.3,4.33,4.15,4.17,53367
ok,2024-01-10 10:00:00,4.19,4.27,4.18,4.23,20267
ok,2024-01-10 10:30:00,4.26,4.29,4.22,4.25,38950
ok,2024-01-10 11:00:00,4.24,4.24,4.18,4.21,9657
ok,2024-01-10 11:30:00,4.22,4.24,4.19,4.21,9582
ok,2024-01-10 12:00:00,4.21,4.22,4.11,4.13,27885
ok,2024-01-10 12:30:00,4.13,4.18,4.13,4.17,16749
ok,2024-01-10 13:00:00,4.17,4.19,4.16,4.18,13383
ok,2024-01-10 13:30:00,4.18,4.25,4.16,4.24,19037
ok,2024-01-10 14:00:00,4.24,4.28,4.23,4.26,33078
ok,2024-01-10 14:30:00,4.27,4.33,4.27,4.32,26690
ok,2024-01-10 15:00:00,4.31,4.32,4.25,4.28,19272
ok,2024-01-10 15:30:00,4.28,4.28,4.2,4.25,94679
ok,2024-01-11 08:00:00,4.23,4.34,4.23,4.34,360
ok,2024-01-11 08:30:00,4.21,4.21,4.21,4.21,197
ok,2024-01-11 09:30:00,4.25,4.25,3.95,4.1,46440
ok,2024-01-11 10:00:00,4.12,4.12,3.95,3.98,42737
ok,2024-01-11 10:30:00,3.98,4.04,3.96,4.0,57064
ok,2024-01-11 11:00:00,4.0,4.05,3.99,4.05,12694
ok,2024-01-11 11:30:00,4.04,4.05,4.02,4.02,7806
ok,2024-01-11 12:00:00,4.02,4.07,3.98,4.06,46364
ok,2024-01-11 12:30:00,4.08,4.12,4.08,4.09,7964
ok,2024-01-11 13:00:00,4.1,4.13,4.08,4.1,9225
ok,2024-01-11 13:30:00,4.1,4.1,4.07,4.07,9529
ok,2024-01-11 14:00:00,4.08,4.15,4.07,4.15,48205
ok,2024-01-11 14:30:00,4.14,4.14,4.1,4.13,22358
ok,2024-01-11 15:00:00,4.13,4.15,4.11,4.13,22791
ok,2024-01-11 15:30:00,4.13,4.14,4.11,4.14,52501
ok,2024-01-11 17:00:00,3.97,4.34,3.97,4.34,1500
ok,2024-01-12 08:00:00,4.14,4.14,4.04,4.04,511
ok,2024-01-12 09:30:00,4.14,4.32,4.11,4.26,37531
ok,2024-01-12 10:00:00,4.27,4.3,4.21,4.22,20735
ok,2024-01-12 10:30:00,4.21,4.24,4.15,4.15,27451
ok,2024-01-12 11:00:00,4.15,4.15,4.06,4.08,17299
ok,2024-01-12 11:30:00,4.07,4.11,4.06,4.08,9935
ok,2024-01-12 12:00:00,4.1,4.2,4.08,4.18,34972
ok,2024-01-12 12:30:00,4.18,4.22,4.18,4.2,16310
ok,2024-01-12 13:00:00,4.2,4.2,4.13,4.15,21298
ok,2024-01-12 13:30:00,4.15,4.22,4.14,4.17,29561
ok,2024-01-12 14:00:00,4.17,4.25,4.17,4.19,36340
ok,2024-01-12 14:30:00,4.19,4.26,4.18,4.23,15018
ok,2024-01-12 15:00:00,4.23,4.25,4.19,4.23,23532
ok,2024-01-12 15:30:00,4.24,4.26,4.19,4.22,78886
ok,2024-01-12 16:00:00,4.24,4.24,4.24,4.24,1213
ok,2024-01-12 17:00:00,4.12,4.12,4.12,4.12,220
ok,2024-01-16 09:30:00,4.2,4.62,4.15,4.59,243113
ok,2024-01-16 10:00:00,4.6,4.75,3.77,4.05,446616
ok,2024-01-16 10:30:00,4.04,4.14,3.99,4.06,43654
ok,2024-01-16 11:00:00,4.07,4.08,4.01,4.01,14081
ok,2024-01-16 11:30:00,4.01,4.14,4.01,4.13,8900
ok,2024-01-16 12:00:00,4.14,4.19,4.13,4.17,19311
ok,2024-01-16 12:30:00,4.16,4.22,4.15,4.19,14833
ok,2024-01-16 13:00:00,4.18,4.22,4.18,4.2,10192
ok,2024-01-16 13:30:00,4.19,4.22,4.08,4.1,15610
ok,2024-01-16 14:00:00,4.1,4.15,4.1,4.14,11825
ok,2024-01-16 14:30:00,4.14,4.16,4.12,4.14,20328
ok,2024-01-16 15:00:00,4.14,4.15,3.95,4.0,65996
ok,2024-01-16 15:30:00,4.0,4.1,3.96,4.1,104419
ok,2024-01-17 09:30:00,3.99,4.05,3.97,4.05,421019
ok,2024-01-17 10:00:00,4.05,4.2,4.04,4.19,120714
ok,2024-01-17 10:30:00,4.2,4.32,4.18,4.3,132444
ok,2024-01-17 11:00:00,4.3,4.3,4.12,4.12,21590
ok,2024-01-17 11:30:00,4.11,4.12,3.99,4.02,14850
ok,2024-01-17 12:00:00,4.02,4.11,4.02,4.1,25149
ok,2024-01-17 12:30:00,4.13,4.13,4.07,4.08,189234
ok,2024-01-17 13:00:00,4.09,4.09,4.02,4.02,18750
ok,2024-01-17 13:30:00,4.03,4.07,4.02,4.04,38309
ok,2024-01-17 14:00:00,4.04,4.08,4.04,4.04,15596
ok,2024-01-17 14:30:00,4.04,4.05,4.02,4.04,16039
ok,2024-01-17 15:00:00,4.04,4.06,4.04,4.06,17634
ok,2024-01-17 15:30:00,4.05,4.14,4.0,4.14,97150
