s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.16,0.16,0.15,0.16,6640
ok,2024-01-02 04:30:00,0.16,0.16,0.16,0.16,16601
ok,2024-01-02 05:00:00,0.16,0.16,0.16,0.16,7950
ok,2024-01-02 05:30:00,0.16,0.16,0.16,0.16,75985
ok,2024-01-02 06:00:00,0.16,0.16,0.16,0.16,7142
ok,2024-01-02 07:00:00,0.16,0.16,0.16,0.16,5067
ok,2024-01-02 07:30:00,0.16,0.16,0.16,0.16,3767
ok,2024-01-02 08:00:00,0.16,0.16,0.16,0.16,90463
ok,2024-01-02 08:30:00,0.16,0.16,0.15,0.16,46013
ok,2024-01-02 09:00:00,0.16,0.16,0.16,0.16,8950
ok,2024-01-02 09:30:00,0.15,0.16,0.15,0.15,482794
ok,2024-01-02 10:00:00,0.15,0.15,0.15,0.15,243449
ok,2024-01-02 10:30:00,0.15,0.15,0.15,0.15,378563
ok,2024-01-02 11:00:00,0.15,0.15,0.15,0.15,139691
ok,2024-01-02 11:30:00,0.15,0.15,0.15,0.15,137043
ok,2024-01-02 12:00:00,0.15,0.15,0.15,0.15,115576
ok,2024-01-02 12:30:00,0.15,0.16,0.15,0.16,566539
ok,2024-01-02 13:00:00,0.16,0.16,0.15,0.15,145486
ok,2024-01-02 13:30:00,0.15,0.15,0.15,0.15,99504
ok,2024-01-02 14:00:00,0.15,0.15,0.15,0.15,176688
ok,2024-01-02 14:30:00,0.15,0.15,0.15,0.15,189889
ok,2024-01-02 15:00:00,0.15,0.15,0.15,0.15,112009
ok,2024-01-02 15:30:00,0.15,0.15,0.15,0.15,657416
ok,2024-01-02 16:00:00,0.15,0.15,0.15,0.15,77339
ok,2024-01-02 16:30:00,0.15,0.15,0.15,0.15,10885
ok,2024-01-02 17:00:00,0.15,0.15,0.15,0.15,1670
ok,2024-01-02 17:30:00,0.15,0.15,0.15,0.15,8977
ok,2024-01-02 18:00:00,0.15,0.15,0.15,0.15,2521
ok,2024-01-02 18:30:00,0.15,0.15,0.15,0.15,4590
ok,2024-01-02 19:00:00,0.15,0.15,0.15,0.15,5307
ok,2024-01-02 19:30:00,0.15,0.15,0.15,0.15,18745
ok,2024-01-03 04:00:00,0.15,0.15,0.15,0.15,14558
ok,2024-01-03 04:30:00,0.15,0.15,0.15,0.15,2462
ok,2024-01-03 05:00:00,0.15,0.16,0.15,0.16,6126
ok,2024-01-03 05:30:00,0.15,0.16,0.15,0.16,11360
ok,2024-01-03 06:00:00,0.16,0.16,0.16,0.16,394
ok,2024-01-03 06:30:00,0.15,0.16,0.15,0.16,964
ok,2024-01-03 07:00:00,0.15,0.16,0.15,0.16,8443
ok,2024-01-03 07:30:00,0.16,0.16,0.15,0.15,8833
ok,2024-01-03 08:00:00,0.15,0.17,0.15,0.15,44353
ok,2024-01-03 08:30:00,0.16,0.16,0.15,0.15,31276
ok,2024-01-03 09:00:00,0.15,0.16,0.15,0.16,29889
ok,2024-01-03 09:30:00,0.15,0.15,0.14,0.15,1110371
ok,2024-01-03 10:00:00,0.15,0.15,0.15,0.15,237827
ok,2024-01-03 10:30:00,0.15,0.15,0.13,0.14,947205
ok,2024-01-03 11:00:00,0.14,0.14,0.14,0.14,308497
ok,2024-01-03 11:30:00,0.14,0.14,0.14,0.14,223850
ok,2024-01-03 12:00:00,0.14,0.14,0.14,0.14,127464
ok,2024-01-03 12:30:00,0.14,0.14,0.14,0.14,118029
ok,2024-01-03 13:00:00,0.14,0.14,0.14,0.14,184577
ok,2024-01-03 13:30:00,0.14,0.14,0.14,0.14,28954
ok,2024-01-03 14:00:00,0.14,0.14,0.14,0.14,39657
ok,2024-01-03 14:30:00,0.14,0.14,0.14,0.14,181213
ok,2024-01-03 15:00:00,0.14,0.14,0.14,0.14,56773
ok,2024-01-03 15:30:00,0.14,0.14,0.14,0.14,150629
ok,2024-01-03 16:00:00,0.14,0.14,0.14,0.14,11674
ok,2024-01-03 16:30:00,0.14,0.14,0.14,0.14,8782
ok,2024-01-03 17:00:00,0.14,0.14,0.14,0.14,2966
ok,2024-01-03 17:30:00,0.14,0.14,0.14,0.14,673
ok,2024-01-03 18:00:00,0.14,0.14,0.14,0.14,1400
ok,2024-01-03 18:30:00,0.14,0.14,0.14,0.14,28200
ok,2024-01-03 19:00:00,0.14,0.14,0.14,0.14,677
ok,2024-01-03 19:30:00,0.14,0.15,0.14,0.15,73705
ok,2024-01-04 04:00:00,0.15,0.15,0.15,0.15,996
ok,2024-01-04 04:30:00,0.14,0.14,0.14,0.14,10363
ok,2024-01-04 06:00:00,0.15,0.15,0.15,0.15,500
ok,2024-01-04 06:30:00,0.14,0.14,0.14,0.14,261
ok,2024-01-04 07:00:00,0.15,0.15,0.15,0.15,4220
ok,2024-01-04 07:30:00,0.15,0.15,0.14,0.14,3738
ok,2024-01-04 08:00:00,0.15,0.15,0.14,0.15,58979
ok,2024-01-04 08:30:00,0.15,0.15,0.14,0.15,137630
ok,2024-01-04 09:00:00,0.14,0.15,0.14,0.14,98878
ok,2024-01-04 09:30:00,0.14,0.14,0.14,0.14,287555
ok,2024-01-04 10:00:00,0.14,0.14,0.14,0.14,459189
ok,2024-01-04 10:30:00,0.14,0.15,0.14,0.15,374269
ok,2024-01-04 11:00:00,0.15,0.15,0.15,0.15,931185
ok,2024-01-04 11:30:00,0.15,0.15,0.15,0.15,550817
ok,2024-01-04 12:00:00,0.15,0.15,0.15,0.15,294613
ok,2024-01-04 12:30:00,0.15,0.15,0.15,0.15,242182
ok,2024-01-04 13:00:00,0.15,0.15,0.15,0.15,219335
ok,2024-01-04 13:30:00,0.15,0.15,0.15,0.15,242305
ok,2024-01-04 14:00:00,0.15,0.15,0.15,0.15,26023
ok,2024-01-04 14:30:00,0.15,0.15,0.15,0.15,132836
ok,2024-01-04 15:00:00,0.15,0.15,0.15,0.15,192606
ok,2024-01-04 15:30:00,0.15,0.15,0.15,0.15,120051
ok,2024-01-04 16:00:00,0.15,0.15,0.15,0.15,4292
ok,2024-01-04 16:30:00,0.15,0.15,0.15,0.15,9802
ok,2024-01-04 17:00:00,0.15,0.15,0.15,0.15,2081
ok,2024-01-04 17:30:00,0.15,0.15,0.15,0.15,25967
ok,2024-01-04 18:00:00,0.15,0.15,0.15,0.15,747
ok,2024-01-04 18:30:00,0.15,0.15,0.15,0.15,25710
ok,2024-01-04 19:00:00,0.15,0.15,0.15,0.15,2323
ok,2024-01-04 19:30:00,0.15,0.15,0.15,0.15,13447
ok,2024-01-05 04:00:00,0.15,0.16,0.15,0.16,67011
ok,2024-01-05 04:30:00,0.16,0.16,0.15,0.15,20359
ok,2024-01-05 05:00:00,0.15,0.16,0.15,0.16,24878
ok,2024-01-05 05:30:00,0.15,0.15,0.15,0.15,48321
ok,2024-01-05 06:00:00,0.15,0.15,0.15,0.15,4383
ok,2024-01-05 06:30:00,0.15,0.15,0.15,0.15,33191
ok,2024-01-05 07:00:00,0.15,0.15,0.15,0.15,21663
ok,2024-01-05 07:30:00,0.15,0.15,0.15,0.15,8029
ok,2024-01-05 08:00:00,0.15,0.17,0.15,0.15,324041
