s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.56,0.56,0.56,0.56,393
ok,2024-01-02 10:00:00,0.56,0.6,0.56,0.6,23857
ok,2024-01-02 10:30:00,0.59,0.61,0.58,0.59,25288
ok,2024-01-02 11:00:00,0.59,0.59,0.59,0.59,12207
ok,2024-01-02 11:30:00,0.6,0.6,0.59,0.59,2739
ok,2024-01-02 12:00:00,0.6,0.62,0.59,0.62,11220
ok,2024-01-02 12:30:00,0.62,0.62,0.62,0.62,28972
ok,2024-01-02 13:00:00,0.62,0.62,0.62,0.62,147
ok,2024-01-02 13:30:00,0.62,0.62,0.62,0.62,456
ok,2024-01-02 14:00:00,0.62,0.62,0.59,0.62,12634
ok,2024-01-02 15:00:00,0.6,0.61,0.6,0.61,1900
ok,2024-01-02 15:30:00,0.61,0.62,0.6,0.61,6302
ok,2024-01-03 09:30:00,0.61,0.63,0.61,0.63,3687
ok,2024-01-03 10:00:00,0.62,0.62,0.62,0.62,446
ok,2024-01-03 10:30:00,0.61,0.61,0.61,0.61,663
ok,2024-01-03 11:00:00,0.62,0.63,0.62,0.63,4549
ok,2024-01-03 12:00:00,0.61,0.61,0.6,0.6,9767
ok,2024-01-03 13:30:00,0.6,0.6,0.6,0.6,129
ok,2024-01-03 14:00:00,0.59,0.59,0.59,0.59,150
ok,2024-01-03 14:30:00,0.59,0.6,0.59,0.59,26451
ok,2024-01-03 15:00:00,0.59,0.61,0.59,0.61,4880
ok,2024-01-03 15:30:00,0.59,0.59,0.59,0.59,2555
ok,2024-01-03 17:30:00,0.58,0.58,0.58,0.58,1184
ok,2024-01-03 19:30:00,0.58,0.58,0.58,0.58,100
ok,2024-01-04 08:00:00,0.57,0.57,0.57,0.57,145
ok,2024-01-04 08:30:00,0.57,0.57,0.57,0.57,200
ok,2024-01-04 09:30:00,0.56,0.58,0.56,0.58,3000
ok,2024-01-04 10:00:00,0.58,0.58,0.58,0.58,1001
ok,2024-01-04 10:30:00,0.59,0.59,0.59,0.59,1078
ok,2024-01-04 11:00:00,0.59,0.61,0.59,0.61,13162
ok,2024-01-04 11:30:00,0.61,0.61,0.61,0.61,3000
ok,2024-01-04 12:00:00,0.58,0.58,0.58,0.58,149
ok,2024-01-04 12:30:00,0.58,0.58,0.58,0.58,2001
ok,2024-01-04 13:30:00,0.59,0.6,0.58,0.58,20353
ok,2024-01-04 14:00:00,0.61,0.61,0.6,0.61,5066
ok,2024-01-04 15:30:00,0.58,0.58,0.58,0.58,150
ok,2024-01-04 17:00:00,0.63,0.63,0.63,0.63,400
ok,2024-01-05 08:00:00,0.61,0.61,0.61,0.61,100
ok,2024-01-05 08:30:00,0.61,0.61,0.61,0.61,157
ok,2024-01-05 09:30:00,0.63,0.63,0.63,0.63,158
ok,2024-01-05 10:00:00,0.6,0.6,0.6,0.6,300
ok,2024-01-05 10:30:00,0.59,0.59,0.58,0.58,200
ok,2024-01-05 11:00:00,0.58,0.58,0.58,0.58,2586
ok,2024-01-05 11:30:00,0.6,0.6,0.58,0.58,4434
ok,2024-01-05 12:00:00,0.6,0.6,0.6,0.6,200
ok,2024-01-05 12:30:00,0.6,0.6,0.6,0.6,350
ok,2024-01-05 13:00:00,0.58,0.59,0.58,0.58,3220
ok,2024-01-05 13:30:00,0.58,0.6,0.58,0.6,10869
ok,2024-01-05 15:00:00,0.59,0.59,0.59,0.59,28138
ok,2024-01-05 15:30:00,0.58,0.59,0.58,0.59,1859
ok,2024-01-05 16:30:00,0.58,0.58,0.58,0.58,350
ok,2024-01-08 08:30:00,0.61,0.63,0.61,0.63,700
ok,2024-01-08 09:30:00,0.59,0.59,0.59,0.59,1055
ok,2024-01-08 10:00:00,0.59,0.59,0.59,0.59,696
ok,2024-01-08 10:30:00,0.59,0.59,0.59,0.59,2800
ok,2024-01-08 11:30:00,0.6,0.61,0.6,0.61,575
ok,2024-01-08 12:00:00,0.59,0.59,0.59,0.59,1000
ok,2024-01-08 12:30:00,0.59,0.59,0.59,0.59,2097
ok,2024-01-08 13:30:00,0.61,0.61,0.59,0.59,280
ok,2024-01-08 14:00:00,0.59,0.59,0.59,0.59,3073
ok,2024-01-08 14:30:00,0.59,0.59,0.59,0.59,613
ok,2024-01-08 15:00:00,0.58,0.58,0.58,0.58,2000
ok,2024-01-08 15:30:00,0.58,0.58,0.58,0.58,1159
ok,2024-01-09 07:00:00,0.58,0.58,0.58,0.58,411
ok,2024-01-09 08:00:00,0.57,0.57,0.57,0.57,289
ok,2024-01-09 08:30:00,0.57,0.57,0.57,0.57,100
ok,2024-01-09 09:30:00,0.57,0.58,0.57,0.58,598
ok,2024-01-09 11:30:00,0.58,0.58,0.58,0.58,1200
ok,2024-01-09 13:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-09 13:30:00,0.58,0.6,0.56,0.58,5885
ok,2024-01-09 14:00:00,0.56,0.56,0.5,0.54,60122
ok,2024-01-09 14:30:00,0.52,0.55,0.52,0.55,12052
ok,2024-01-09 15:00:00,0.55,0.56,0.55,0.55,27965
ok,2024-01-09 15:30:00,0.55,0.57,0.52,0.52,11539
ok,2024-01-09 16:00:00,0.56,0.56,0.56,0.56,150
ok,2024-01-10 08:00:00,0.53,0.53,0.53,0.53,2169
ok,2024-01-10 09:00:00,0.53,0.53,0.53,0.53,1104
ok,2024-01-10 09:30:00,0.55,0.55,0.52,0.52,1556
ok,2024-01-10 10:00:00,0.57,0.57,0.55,0.57,400
ok,2024-01-10 11:00:00,0.57,0.57,0.54,0.56,680
ok,2024-01-10 13:30:00,0.57,0.57,0.57,0.57,100
ok,2024-01-10 14:30:00,0.55,0.55,0.55,0.55,206
