s,t,o,h,l,c,v
ok,2024-01-24 10:30:00,7.5,8.25,7.5,8.25,87569
ok,2024-01-24 11:00:00,9.8,10.82,7.13,8.5,434775
ok,2024-01-24 11:30:00,8.68,9.75,6.36,7.2,240312
ok,2024-01-24 12:00:00,7.2,7.38,6.14,6.76,143345
ok,2024-01-24 12:30:00,6.8,8.38,6.6,8.02,143554
ok,2024-01-24 13:00:00,8.02,8.21,6.21,6.93,101220
ok,2024-01-24 13:30:00,6.82,7.28,6.72,6.98,29664
ok,2024-01-24 14:00:00,6.91,6.91,6.66,6.86,25282
ok,2024-01-24 14:30:00,6.89,7.0,6.71,6.74,13930
ok,2024-01-24 15:00:00,6.8,6.82,6.6,6.75,22168
ok,2024-01-24 15:30:00,6.75,8.0,6.65,7.44,91423
ok,2024-01-24 16:00:00,7.15,7.2,6.8,7.0,10225
ok,2024-01-24 16:30:00,6.9,6.9,6.82,6.87,1450
ok,2024-01-24 17:00:00,6.83,6.85,6.83,6.85,1654
ok,2024-01-24 17:30:00,6.96,7.17,6.96,7.14,2701
ok,2024-01-24 18:00:00,6.95,6.95,6.87,6.87,249
ok,2024-01-24 18:30:00,6.94,6.94,6.94,6.94,423
ok,2024-01-24 19:30:00,6.96,6.96,6.8,6.85,3269
ok,2024-01-25 04:30:00,7.01,7.15,7.01,7.13,2157
ok,2024-01-25 05:00:00,7.3,7.3,7.3,7.3,1050
ok,2024-01-25 06:00:00,7.29,7.3,7.28,7.28,952
ok,2024-01-25 06:30:00,7.25,7.27,7.19,7.25,1494
ok,2024-01-25 07:00:00,7.25,7.96,7.15,7.3,6361
ok,2024-01-25 07:30:00,7.21,7.5,7.21,7.24,2568
ok,2024-01-25 08:00:00,7.26,7.34,7.08,7.2,4517
ok,2024-01-25 08:30:00,7.1,7.11,7.0,7.0,2649
ok,2024-01-25 09:00:00,7.01,7.2,6.96,7.2,11988
ok,2024-01-25 09:30:00,7.3,9.49,7.0,9.01,191076
ok,2024-01-25 10:00:00,9.18,9.4,8.14,8.71,107411
ok,2024-01-25 10:30:00,8.77,8.87,8.08,8.25,53481
ok,2024-01-25 11:00:00,8.3,8.46,7.73,8.44,47910
ok,2024-01-25 11:30:00,8.32,8.76,8.31,8.46,36175
ok,2024-01-25 12:00:00,8.46,8.52,8.12,8.23,30769
ok,2024-01-25 12:30:00,8.22,8.43,8.18,8.3,14039
ok,2024-01-25 13:00:00,8.35,8.42,8.32,8.32,5869
ok,2024-01-25 13:30:00,8.32,8.34,8.15,8.15,17699
ok,2024-01-25 14:00:00,8.15,8.4,8.12,8.37,17469
ok,2024-01-25 14:30:00,8.4,8.5,8.31,8.38,20318
ok,2024-01-25 15:00:00,8.33,8.39,8.12,8.15,22363
ok,2024-01-25 15:30:00,8.24,8.3,8.1,8.1,14831
ok,2024-01-25 16:00:00,8.12,8.14,8.1,8.1,50628
ok,2024-01-25 17:30:00,8.1,8.18,8.1,8.11,1138
ok,2024-01-25 18:00:00,8.11,8.2,8.1,8.2,4162
ok,2024-01-25 18:30:00,8.28,8.28,8.28,8.28,290
ok,2024-01-25 19:00:00,8.28,8.5,8.28,8.5,600
ok,2024-01-25 19:30:00,8.5,8.5,8.5,8.5,347
ok,2024-01-26 04:00:00,8.41,8.41,8.4,8.4,941
ok,2024-01-26 04:30:00,8.4,8.4,8.4,8.4,115
ok,2024-01-26 06:00:00,8.5,8.5,8.5,8.5,1024
ok,2024-01-26 07:00:00,8.5,8.5,8.15,8.2,920
ok,2024-01-26 07:30:00,8.2,8.2,8.2,8.2,251
ok,2024-01-26 08:00:00,8.35,8.42,8.35,8.42,1171
ok,2024-01-26 08:30:00,8.31,8.42,8.31,8.42,19338
ok,2024-01-26 09:00:00,8.42,8.42,8.42,8.42,300
ok,2024-01-26 09:30:00,8.27,9.75,8.27,9.11,62755
ok,2024-01-26 10:00:00,9.25,9.98,9.25,9.7,67305
ok,2024-01-26 10:30:00,9.7,10.92,9.44,9.72,84331
ok,2024-01-26 11:00:00,9.67,10.05,9.53,10.0,19156
ok,2024-01-26 11:30:00,9.85,10.02,9.85,9.97,8715
ok,2024-01-26 12:00:00,9.93,10.0,9.9,10.0,4074
ok,2024-01-26 12:30:00,10.0,10.08,9.45,9.9,53941
ok,2024-01-26 13:00:00,9.94,9.94,9.78,9.8,2637
ok,2024-01-26 13:30:00,9.79,10.0,9.67,9.82,6968
ok,2024-01-26 14:00:00,9.84,9.93,9.67,9.9,11624
ok,2024-01-26 14:30:00,9.96,9.96,9.86,9.86,2787
ok,2024-01-26 15:00:00,9.9,9.99,9.7,9.8,10699
ok,2024-01-26 15:30:00,9.93,10.11,9.86,10.02,41520
ok,2024-01-26 16:00:00,9.99,10.05,9.83,10.03,47914
ok,2024-01-26 16:30:00,10.24,10.24,10.24,10.24,1010
ok,2024-01-26 17:30:00,10.25,10.25,10.25,10.25,517
ok,2024-01-26 18:00:00,10.4,10.4,10.39,10.39,395
ok,2024-01-26 18:30:00,10.15,10.15,10.15,10.15,125
ok,2024-01-26 19:00:00,10.05,10.05,10.04,10.04,324
ok,2024-01-26 19:30:00,10.5,10.5,10.36,10.4,1450
ok,2024-01-29 04:30:00,11.34,12.0,11.34,11.51,1436
ok,2024-01-29 05:00:00,11.0,11.1,11.0,11.0,1136
ok,2024-01-29 05:30:00,11.13,11.49,11.13,11.49,1287
ok,2024-01-29 06:30:00,11.6,11.6,11.6,11.6,804
ok,2024-01-29 07:00:00,11.7,11.78,11.7,11.7,1101
ok,2024-01-29 07:30:00,11.75,11.79,11.7,11.79,1900
ok,2024-01-29 08:00:00,11.6,11.99,11.6,11.97,8763
ok,2024-01-29 08:30:00,11.72,11.95,11.7,11.9,20907
ok,2024-01-29 09:00:00,11.69,12.99,10.99,12.91,47545
ok,2024-01-29 09:30:00,13.0,13.29,8.55,8.55,85552
ok,2024-01-29 10:00:00,8.0,8.8,7.77,8.8,22400
ok,2024-01-29 11:00:00,15.5,16.0,13.95,13.95,33211
ok,2024-01-29 11:30:00,10.5,14.44,10.5,13.62,78411
ok,2024-01-29 12:00:00,13.62,13.72,12.0,12.51,81556
ok,2024-01-29 12:30:00,12.72,13.39,12.5,13.2,30847
ok,2024-01-29 13:00:00,13.2,13.73,12.5,12.7,51726
ok,2024-01-29 13:30:00,12.7,12.71,10.3,12.08,16023
ok,2024-01-29 14:00:00,12.45,12.49,10.89,11.9,6904
ok,2024-01-29 14:30:00,11.61,11.8,10.41,10.97,21938
ok,2024-01-29 15:00:00,11.81,11.81,10.88,11.36,11753
ok,2024-01-29 15:30:00,10.85,11.36,10.81,11.35,10232
ok,2024-01-29 16:00:00,11.36,11.36,8.48,8.51,8762
ok,2024-01-29 16:30:00,8.97,9.95,8.92,9.78,3154
ok,2024-01-29 17:00:00,9.82,9.95,9.82,9.95,409
ok,2024-01-29 17:30:00,9.87,9.95,9.0,9.42,4055
ok,2024-01-29 18:00:00,10.0,10.0,10.0,10.0,201
ok,2024-01-29 18:30:00,9.75,9.75,9.75,9.75,100
ok,2024-01-29 19:00:00,9.53,9.53,9.53,9.53,150
ok,2024-01-30 04:00:00,10.6,10.6,10.6,10.6,141
ok,2024-01-30 06:30:00,10.31,10.31,10.31,10.31,100
ok,2024-01-30 08:00:00,10.3,10.3,10.23,10.23,472
ok,2024-01-30 09:00:00,10.11,10.11,10.11,10.11,1151
ok,2024-01-30 09:30:00,9.92,11.0,9.92,11.0,12323
ok,2024-01-30 10:00:00,10.81,10.81,10.5,10.6,6901
ok,2024-01-30 10:30:00,10.43,11.0,10.21,10.31,5197
ok,2024-01-30 11:00:00,10.3,10.9,10.24,10.43,3999
ok,2024-01-30 11:30:00,10.6,10.6,10.15,10.2,5062
ok,2024-01-30 12:00:00,10.5,10.78,10.2,10.48,4232
ok,2024-01-30 12:30:00,10.5,10.5,10.32,10.32,3658
ok,2024-01-30 13:00:00,10.24,10.32,10.2,10.24,2816
ok,2024-01-30 13:30:00,10.26,10.27,10.22,10.22,909
ok,2024-01-30 14:00:00,10.21,10.32,10.12,10.22,2919
ok,2024-01-30 14:30:00,10.15,10.45,10.15,10.44,4091
ok,2024-01-30 15:00:00,10.75,11.0,10.55,10.56,5371
ok,2024-01-30 15:30:00,10.68,10.95,10.58,10.82,4561
ok,2024-01-30 16:00:00,10.83,11.0,10.45,10.45,1944
ok,2024-01-30 16:30:00,10.49,10.5,10.49,10.5,262
ok,2024-01-30 17:30:00,10.02,10.02,10.0,10.0,1132
ok,2024-01-30 18:00:00,9.99,10.0,9.99,10.0,677
ok,2024-01-30 19:00:00,10.5,10.5,10.5,10.5,493
ok,2024-01-30 19:30:00,10.5,11.0,10.5,11.0,373
ok,2024-01-31 04:30:00,10.23,10.23,10.23,10.23,200
ok,2024-01-31 05:00:00,10.24,10.24,10.2,10.2,313
ok,2024-01-31 07:00:00,10.2,10.2,9.98,9.98,870
ok,2024-01-31 08:00:00,10.0,10.01,10.0,10.01,542
ok,2024-01-31 08:30:00,10.42,10.43,10.42,10.43,501
ok,2024-01-31 09:00:00,10.01,10.01,10.0,10.0,384
ok,2024-01-31 09:30:00,10.19,10.76,10.01,10.76,7365
ok,2024-01-31 10:00:00,10.23,10.86,10.22,10.86,7569
