s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.48,0.48,0.48,0.48,759
ok,2024-01-02 08:30:00,0.46,0.46,0.46,0.46,900
ok,2024-01-02 09:00:00,0.47,0.48,0.46,0.47,3455
ok,2024-01-02 09:30:00,0.46,0.48,0.45,0.46,23668
ok,2024-01-02 10:00:00,0.46,0.46,0.45,0.46,18669
ok,2024-01-02 10:30:00,0.46,0.47,0.46,0.46,38934
ok,2024-01-02 11:00:00,0.45,0.47,0.45,0.47,2068
ok,2024-01-02 11:30:00,0.46,0.47,0.46,0.47,4653
ok,2024-01-02 12:00:00,0.47,0.48,0.47,0.48,21986
ok,2024-01-02 12:30:00,0.48,0.49,0.48,0.49,13818
ok,2024-01-02 13:00:00,0.49,0.5,0.48,0.5,14354
ok,2024-01-02 13:30:00,0.5,0.51,0.48,0.49,19174
ok,2024-01-02 14:00:00,0.49,0.49,0.49,0.49,639
ok,2024-01-02 15:00:00,0.5,0.5,0.49,0.5,7496
ok,2024-01-02 15:30:00,0.49,0.51,0.49,0.51,28535
ok,2024-01-02 16:00:00,0.51,0.51,0.49,0.49,450
ok,2024-01-02 16:30:00,0.49,0.5,0.49,0.5,446
ok,2024-01-02 18:00:00,0.5,0.51,0.5,0.51,1000
ok,2024-01-02 19:00:00,0.48,0.48,0.48,0.48,900
ok,2024-01-03 08:00:00,0.49,0.49,0.49,0.49,465
ok,2024-01-03 09:00:00,0.5,0.5,0.5,0.5,194
ok,2024-01-03 09:30:00,0.48,0.5,0.47,0.49,25621
ok,2024-01-03 10:00:00,0.5,0.5,0.48,0.5,10913
ok,2024-01-03 10:30:00,0.49,0.5,0.49,0.5,6020
ok,2024-01-03 11:00:00,0.49,0.5,0.48,0.49,13297
ok,2024-01-03 11:30:00,0.49,0.49,0.48,0.49,3052
ok,2024-01-03 12:00:00,0.49,0.49,0.48,0.49,5153
ok,2024-01-03 12:30:00,0.49,0.49,0.49,0.49,682
ok,2024-01-03 13:00:00,0.48,0.49,0.48,0.49,4743
ok,2024-01-03 13:30:00,0.49,0.5,0.49,0.5,524
ok,2024-01-03 14:00:00,0.48,0.5,0.48,0.5,334
ok,2024-01-03 14:30:00,0.5,0.5,0.48,0.49,948
ok,2024-01-03 15:00:00,0.49,0.49,0.48,0.48,14565
ok,2024-01-03 15:30:00,0.49,0.5,0.49,0.5,3880
ok,2024-01-03 16:30:00,0.5,0.5,0.5,0.5,100
ok,2024-01-04 09:00:00,0.48,0.5,0.48,0.5,1913
ok,2024-01-04 09:30:00,0.48,0.5,0.48,0.48,10440
ok,2024-01-04 10:00:00,0.48,0.5,0.48,0.48,21877
ok,2024-01-04 10:30:00,0.49,0.49,0.48,0.48,583
ok,2024-01-04 11:00:00,0.48,0.48,0.48,0.48,1615
ok,2024-01-04 11:30:00,0.48,0.48,0.48,0.48,2193
ok,2024-01-04 12:00:00,0.48,0.48,0.48,0.48,1301
ok,2024-01-04 12:30:00,0.48,0.48,0.48,0.48,477
ok,2024-01-04 13:00:00,0.48,0.48,0.48,0.48,28632
ok,2024-01-04 13:30:00,0.48,0.48,0.47,0.47,2181
ok,2024-01-04 14:00:00,0.48,0.48,0.48,0.48,700
ok,2024-01-04 14:30:00,0.48,0.48,0.48,0.48,300
ok,2024-01-04 15:00:00,0.47,0.48,0.47,0.48,5232
ok,2024-01-04 15:30:00,0.48,0.48,0.45,0.47,111002
ok,2024-01-04 16:00:00,0.48,0.48,0.47,0.48,607
ok,2024-01-04 16:30:00,0.47,0.47,0.47,0.47,263
ok,2024-01-04 17:00:00,0.47,0.47,0.47,0.47,151
ok,2024-01-04 18:00:00,0.49,0.5,0.49,0.5,960
ok,2024-01-05 07:00:00,0.47,0.48,0.47,0.48,200
ok,2024-01-05 08:00:00,0.48,0.48,0.48,0.48,243
ok,2024-01-05 09:00:00,0.48,0.48,0.48,0.48,145
ok,2024-01-05 09:30:00,0.47,0.49,0.47,0.47,2479
ok,2024-01-05 10:00:00,0.48,0.48,0.47,0.47,4170
ok,2024-01-05 10:30:00,0.47,0.47,0.46,0.46,12057
ok,2024-01-05 11:00:00,0.47,0.47,0.46,0.47,4733
ok,2024-01-05 11:30:00,0.47,0.47,0.46,0.47,7235
ok,2024-01-05 12:00:00,0.47,0.47,0.47,0.47,11723
