s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,1.44,1.44,1.44,1.44,321
ok,2024-01-02 06:00:00,1.45,1.45,1.44,1.44,540
ok,2024-01-02 06:30:00,1.46,1.46,1.44,1.44,1525
ok,2024-01-02 07:00:00,1.44,1.45,1.41,1.41,3125
ok,2024-01-02 07:30:00,1.41,1.41,1.41,1.41,192
ok,2024-01-02 08:00:00,1.42,1.53,1.42,1.49,867
ok,2024-01-02 08:30:00,1.45,1.45,1.45,1.45,263
ok,2024-01-02 09:00:00,1.48,1.49,1.41,1.41,2304
ok,2024-01-02 09:30:00,1.49,1.55,1.46,1.55,25826
ok,2024-01-02 10:00:00,1.53,1.6,1.49,1.52,27341
ok,2024-01-02 10:30:00,1.5,1.5,1.46,1.49,13205
ok,2024-01-02 11:00:00,1.48,1.51,1.45,1.5,10040
ok,2024-01-02 11:30:00,1.49,1.49,1.47,1.49,7576
ok,2024-01-02 12:00:00,1.47,1.49,1.46,1.46,5468
ok,2024-01-02 12:30:00,1.46,1.49,1.46,1.48,7433
ok,2024-01-02 13:00:00,1.48,1.5,1.47,1.48,8636
ok,2024-01-02 13:30:00,1.48,1.49,1.46,1.46,3786
ok,2024-01-02 14:00:00,1.46,1.47,1.44,1.44,6493
ok,2024-01-02 14:30:00,1.44,1.46,1.43,1.44,6739
ok,2024-01-02 15:00:00,1.46,1.46,1.42,1.42,6288
ok,2024-01-02 15:30:00,1.43,1.46,1.42,1.44,19303
ok,2024-01-03 04:30:00,1.45,1.45,1.45,1.45,330
ok,2024-01-03 05:00:00,1.36,1.38,1.36,1.37,1402
ok,2024-01-03 06:30:00,1.38,1.38,1.38,1.38,405
ok,2024-01-03 07:30:00,1.44,1.44,1.4,1.4,490
ok,2024-01-03 08:00:00,1.4,1.45,1.4,1.4,1938
ok,2024-01-03 08:30:00,1.43,1.43,1.41,1.41,314
ok,2024-01-03 09:00:00,1.42,1.42,1.4,1.4,300
ok,2024-01-03 09:30:00,1.5,1.5,1.43,1.44,4481
ok,2024-01-03 10:00:00,1.42,1.44,1.35,1.38,26456
ok,2024-01-03 10:30:00,1.39,1.4,1.36,1.4,12484
ok,2024-01-03 11:00:00,1.4,1.43,1.38,1.41,23423
ok,2024-01-03 11:30:00,1.41,1.41,1.41,1.41,1295
ok,2024-01-03 12:00:00,1.42,1.42,1.42,1.42,100
ok,2024-01-03 12:30:00,1.41,1.41,1.41,1.41,3207
ok,2024-01-03 13:00:00,1.41,1.42,1.41,1.42,4030
ok,2024-01-03 13:30:00,1.41,1.43,1.41,1.42,2881
ok,2024-01-03 14:00:00,1.43,1.45,1.43,1.45,1669
ok,2024-01-03 14:30:00,1.45,1.45,1.43,1.43,3545
ok,2024-01-03 15:00:00,1.43,1.44,1.41,1.41,3941
ok,2024-01-03 15:30:00,1.41,1.45,1.41,1.42,6446
ok,2024-01-03 18:00:00,1.4,1.4,1.4,1.4,1201
ok,2024-01-03 18:30:00,1.44,1.44,1.44,1.44,100
ok,2024-01-04 05:00:00,1.46,1.47,1.46,1.47,400
ok,2024-01-04 05:30:00,1.49,1.49,1.49,1.49,203
ok,2024-01-04 06:00:00,1.49,1.49,1.49,1.49,300
ok,2024-01-04 07:00:00,1.45,1.45,1.45,1.45,100
ok,2024-01-04 07:30:00,1.44,1.47,1.44,1.47,250
ok,2024-01-04 08:00:00,1.45,1.48,1.45,1.47,4032
ok,2024-01-04 09:00:00,1.45,1.45,1.43,1.43,1925
ok,2024-01-04 09:30:00,1.45,1.47,1.41,1.41,6497
ok,2024-01-04 10:00:00,1.45,1.47,1.45,1.46,6303
ok,2024-01-04 10:30:00,1.46,1.46,1.46,1.46,2148
ok,2024-01-04 11:00:00,1.48,1.5,1.46,1.46,12868
ok,2024-01-04 11:30:00,1.46,1.5,1.46,1.48,1520
ok,2024-01-04 12:00:00,1.46,1.46,1.46,1.46,415
ok,2024-01-04 12:30:00,1.46,1.46,1.46,1.46,200
ok,2024-01-04 13:00:00,1.45,1.46,1.43,1.44,5500
ok,2024-01-04 13:30:00,1.44,1.46,1.43,1.43,5070
ok,2024-01-04 14:00:00,1.45,1.48,1.42,1.42,11900
ok,2024-01-04 14:30:00,1.44,1.45,1.44,1.45,445
ok,2024-01-04 15:00:00,1.47,1.49,1.46,1.47,8595
ok,2024-01-04 15:30:00,1.49,1.51,1.46,1.51,37297
ok,2024-01-04 16:00:00,1.53,1.6,1.52,1.52,3635
ok,2024-01-04 16:30:00,1.57,1.59,1.57,1.59,730
ok,2024-01-04 17:00:00,1.52,1.52,1.52,1.52,500
ok,2024-01-04 19:30:00,1.54,1.54,1.54,1.54,130
ok,2024-01-05 07:30:00,1.51,1.51,1.51,1.51,300
ok,2024-01-05 08:00:00,1.52,1.54,1.48,1.54,912
ok,2024-01-05 09:00:00,1.48,1.5,1.46,1.5,528
ok,2024-01-05 09:30:00,1.48,1.58,1.45,1.53,28641
ok,2024-01-05 10:00:00,1.53,1.6,1.53,1.55,15637
ok,2024-01-05 10:30:00,1.56,1.58,1.56,1.58,1881
ok,2024-01-05 11:00:00,1.59,1.59,1.56,1.56,4217
ok,2024-01-05 11:30:00,1.59,1.6,1.54,1.54,5763
ok,2024-01-05 12:00:00,1.53,1.54,1.5,1.54,1731
ok,2024-01-05 12:30:00,1.52,1.53,1.5,1.5,3503
ok,2024-01-05 13:00:00,1.5,1.53,1.5,1.53,7521
ok,2024-01-05 13:30:00,1.53,1.54,1.48,1.5,8122
ok,2024-01-05 14:00:00,1.5,1.52,1.5,1.51,1281
ok,2024-01-05 14:30:00,1.5,1.52,1.5,1.52,5215
ok,2024-01-05 15:00:00,1.5,1.5,1.48,1.48,13686
ok,2024-01-05 15:30:00,1.5,1.54,1.48,1.49,6330
ok,2024-01-05 17:00:00,1.54,1.54,1.54,1.54,200
ok,2024-01-05 18:00:00,1.53,1.53,1.53,1.53,230
ok,2024-01-05 19:00:00,1.53,1.53,1.53,1.53,500
ok,2024-01-08 08:00:00,1.62,1.62,1.62,1.62,100
ok,2024-01-08 09:00:00,1.49,1.49,1.49,1.49,276
ok,2024-01-08 09:30:00,1.53,1.53,1.42,1.44,18973
ok,2024-01-08 10:00:00,1.46,1.46,1.41,1.42,1810
ok,2024-01-08 10:30:00,1.45,1.46,1.44,1.45,1461
ok,2024-01-08 11:00:00,1.44,1.45,1.41,1.45,9859
ok,2024-01-08 11:30:00,1.45,1.45,1.45,1.45,335
ok,2024-01-08 12:00:00,1.45,1.45,1.43,1.43,2888
ok,2024-01-08 12:30:00,1.42,1.45,1.42,1.45,949
ok,2024-01-08 13:00:00,1.44,1.45,1.42,1.43,13777
ok,2024-01-08 13:30:00,1.42,1.43,1.42,1.43,2119
ok,2024-01-08 14:30:00,1.43,1.43,1.42,1.42,4044
ok,2024-01-08 15:00:00,1.42,1.42,1.41,1.41,1016
ok,2024-01-08 15:30:00,1.42,1.43,1.41,1.41,9086
ok,2024-01-08 16:30:00,1.48,1.48,1.48,1.48,150
ok,2024-01-08 18:00:00,1.41,1.43,1.41,1.43,211
ok,2024-01-08 18:30:00,1.48,1.48,1.48,1.48,175
ok,2024-01-08 19:00:00,1.48,1.48,1.44,1.44,687
ok,2024-01-09 04:30:00,1.41,1.41,1.41,1.41,382
ok,2024-01-09 06:30:00,1.48,1.5,1.48,1.5,2281
ok,2024-01-09 07:30:00,1.42,1.42,1.42,1.42,100
ok,2024-01-09 09:00:00,1.49,1.5,1.49,1.5,210
ok,2024-01-09 09:30:00,1.56,1.56,1.44,1.49,12356
ok,2024-01-09 10:00:00,1.49,1.49,1.45,1.46,1353
ok,2024-01-09 10:30:00,1.44,1.44,1.43,1.43,535
ok,2024-01-09 11:00:00,1.46,1.46,1.44,1.46,524
ok,2024-01-09 11:30:00,1.46,1.46,1.43,1.44,2130
ok,2024-01-09 12:00:00,1.43,1.43,1.4,1.4,10370
ok,2024-01-09 12:30:00,1.4,1.41,1.36,1.39,9812
ok,2024-01-09 13:00:00,1.37,1.37,1.36,1.37,3516
ok,2024-01-09 13:30:00,1.36,1.4,1.35,1.4,3400
ok,2024-01-09 14:00:00,1.39,1.39,1.36,1.37,2180
ok,2024-01-09 14:30:00,1.36,1.37,1.33,1.33,6725
ok,2024-01-09 15:00:00,1.35,1.35,1.31,1.31,13573
ok,2024-01-09 15:30:00,1.33,1.35,1.31,1.32,13074
ok,2024-01-09 16:30:00,1.35,1.35,1.3,1.3,5154
ok,2024-01-09 17:00:00,1.36,1.36,1.36,1.36,100
ok,2024-01-09 17:30:00,1.3,1.3,1.3,1.3,720
ok,2024-01-09 19:00:00,1.3,1.3,1.3,1.3,200
ok,2024-01-10 04:30:00,1.35,1.35,1.35,1.35,220
ok,2024-01-10 08:00:00,1.36,1.36,1.36,1.36,569
ok,2024-01-10 08:30:00,1.36,1.42,1.36,1.42,3755
ok,2024-01-10 09:30:00,1.4,1.4,1.25,1.29,29928
ok,2024-01-10 10:00:00,1.26,1.28,1.22,1.25,15256
ok,2024-01-10 10:30:00,1.23,1.24,1.19,1.23,26103
ok,2024-01-10 11:00:00,1.23,1.23,1.2,1.22,9286
ok,2024-01-10 11:30:00,1.22,1.22,1.18,1.21,27086
ok,2024-01-10 12:00:00,1.2,1.22,1.2,1.22,5535
ok,2024-01-10 12:30:00,1.22,1.23,1.2,1.22,16443
ok,2024-01-10 13:00:00,1.25,1.25,1.21,1.24,4390
ok,2024-01-10 13:30:00,1.23,1.24,1.2,1.2,1180
ok,2024-01-10 14:00:00,1.22,1.22,1.2,1.2,5035
ok,2024-01-10 14:30:00,1.21,1.22,1.2,1.21,9277
ok,2024-01-10 15:00:00,1.23,1.23,1.22,1.23,1304
ok,2024-01-10 15:30:00,1.21,1.23,1.19,1.21,14577
ok,2024-01-10 16:00:00,1.2,1.2,1.19,1.19,1183
ok,2024-01-10 16:30:00,1.18,1.18,1.18,1.18,860
ok,2024-01-10 19:30:00,1.24,1.24,1.24,1.24,5050
ok,2024-01-11 06:30:00,1.23,1.23,1.23,1.23,100
ok,2024-01-11 07:30:00,1.23,1.24,1.23,1.23,2362
ok,2024-01-11 08:00:00,1.23,1.23,1.23,1.23,458
ok,2024-01-11 08:30:00,1.24,1.24,1.21,1.21,485
ok,2024-01-11 09:00:00,1.21,1.21,1.21,1.21,500
ok,2024-01-11 09:30:00,1.22,1.24,1.19,1.21,4896
ok,2024-01-11 10:00:00,1.19,1.2,1.19,1.19,6461
ok,2024-01-11 10:30:00,1.18,1.19,1.1,1.1,14611
ok,2024-01-11 11:00:00,1.13,1.15,1.1,1.13,11069
ok,2024-01-11 11:30:00,1.13,1.14,1.11,1.14,2750
ok,2024-01-11 12:00:00,1.13,1.13,1.12,1.13,2647
ok,2024-01-11 12:30:00,1.13,1.15,1.13,1.14,9958
ok,2024-01-11 13:00:00,1.12,1.12,1.12,1.12,9406
ok,2024-01-11 13:30:00,1.13,1.15,1.12,1.12,15165
ok,2024-01-11 14:00:00,1.13,1.13,1.13,1.13,5000
ok,2024-01-11 14:30:00,1.15,1.15,1.15,1.15,575
ok,2024-01-11 15:00:00,1.13,1.13,1.13,1.13,100
ok,2024-01-11 15:30:00,1.13,1.13,1.11,1.12,4882
ok,2024-01-11 16:00:00,1.13,1.14,1.13,1.14,400
ok,2024-01-11 16:30:00,1.11,1.11,1.11,1.11,575
ok,2024-01-11 17:00:00,1.15,1.15,1.15,1.15,400
ok,2024-01-11 17:30:00,1.17,1.17,1.15,1.15,600
ok,2024-01-11 18:30:00,1.16,1.17,1.16,1.17,756
ok,2024-01-11 19:30:00,1.12,1.17,1.1,1.17,4030
ok,2024-01-12 05:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-12 06:00:00,1.18,1.47,1.18,1.28,66609
ok,2024-01-12 06:30:00,1.3,1.57,1.27,1.31,543767
ok,2024-01-12 07:00:00,1.33,1.33,1.18,1.18,237420
ok,2024-01-12 07:30:00,1.18,1.28,1.17,1.27,122852
ok,2024-01-12 08:00:00,1.29,1.33,1.17,1.2,153013
ok,2024-01-12 08:30:00,1.2,1.24,1.2,1.21,29905
ok,2024-01-12 09:00:00,1.22,1.22,1.18,1.18,46022
ok,2024-01-12 09:30:00,1.19,1.41,1.16,1.4,579347
ok,2024-01-12 10:00:00,1.4,1.42,1.28,1.34,863634
ok,2024-01-12 10:30:00,1.35,1.35,1.24,1.28,221277
ok,2024-01-12 11:00:00,1.27,1.33,1.27,1.27,58205
ok,2024-01-12 11:30:00,1.27,1.38,1.27,1.36,99273
ok,2024-01-12 12:00:00,1.37,1.4,1.31,1.36,131550
ok,2024-01-12 12:30:00,1.37,1.52,1.36,1.49,566933
ok,2024-01-12 13:00:00,1.49,1.52,1.43,1.47,274243
ok,2024-01-12 13:30:00,1.49,1.49,1.36,1.44,277295
ok,2024-01-12 14:00:00,1.45,1.45,1.4,1.4,61214
ok,2024-01-12 14:30:00,1.42,1.45,1.37,1.44,78592
ok,2024-01-12 15:00:00,1.38,1.45,1.38,1.45,81584
ok,2024-01-12 15:30:00,1.42,1.43,1.32,1.34,143646
ok,2024-01-12 16:00:00,1.36,1.38,1.25,1.29,35467
ok,2024-01-12 16:30:00,1.29,1.29,1.25,1.27,15898
ok,2024-01-12 17:00:00,1.29,1.32,1.29,1.32,5816
ok,2024-01-12 17:30:00,1.32,1.38,1.32,1.35,4800
ok,2024-01-12 18:00:00,1.3,1.3,1.3,1.3,416
ok,2024-01-12 19:00:00,1.29,1.29,1.29,1.29,240
ok,2024-01-12 19:30:00,1.36,1.36,1.34,1.36,923
ok,2024-01-16 04:00:00,1.37,1.37,1.29,1.31,5137
ok,2024-01-16 04:30:00,1.35,1.39,1.35,1.39,1190
ok,2024-01-16 05:00:00,1.39,1.39,1.35,1.35,7898
ok,2024-01-16 05:30:00,1.34,1.34,1.32,1.32,397
ok,2024-01-16 06:00:00,1.33,1.34,1.33,1.34,720
ok,2024-01-16 06:30:00,1.34,1.34,1.3,1.3,1527
ok,2024-01-16 07:00:00,1.33,1.33,1.27,1.29,2592
ok,2024-01-16 07:30:00,1.29,1.32,1.28,1.32,14193
ok,2024-01-16 08:00:00,1.29,1.5,1.28,1.41,35818
ok,2024-01-16 08:30:00,1.43,1.44,1.38,1.38,17051
