s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,1.21,1.21,1.21,1.21,100
ok,2024-01-02 09:00:00,1.18,1.18,1.15,1.15,1618
ok,2024-01-02 09:30:00,1.11,1.2,1.11,1.17,20123
ok,2024-01-02 10:00:00,1.17,1.19,1.13,1.13,22547
ok,2024-01-02 10:30:00,1.13,1.15,1.13,1.15,17178
ok,2024-01-02 11:00:00,1.14,1.17,1.14,1.16,22823
ok,2024-01-02 11:30:00,1.16,1.16,1.14,1.14,483
ok,2024-01-02 12:00:00,1.15,1.15,1.14,1.14,4837
ok,2024-01-02 12:30:00,1.14,1.15,1.14,1.14,618
ok,2024-01-02 13:00:00,1.14,1.14,1.14,1.14,1258
ok,2024-01-02 14:30:00,1.15,1.15,1.15,1.15,3004
ok,2024-01-02 15:00:00,1.14,1.15,1.14,1.15,2600
ok,2024-01-02 15:30:00,1.14,1.14,1.14,1.14,3120
ok,2024-01-03 09:30:00,1.15,1.16,1.13,1.15,10465
ok,2024-01-03 10:00:00,1.16,1.16,1.15,1.15,1572
ok,2024-01-03 10:30:00,1.15,1.24,1.14,1.24,32969
ok,2024-01-03 11:00:00,1.15,1.15,1.15,1.15,2500
ok,2024-01-03 11:30:00,1.16,1.18,1.15,1.18,18366
ok,2024-01-03 12:00:00,1.18,1.18,1.18,1.18,440
ok,2024-01-03 12:30:00,1.19,1.19,1.18,1.19,1187
ok,2024-01-03 13:00:00,1.18,1.19,1.16,1.19,3116
ok,2024-01-03 14:00:00,1.16,1.18,1.16,1.16,5349
ok,2024-01-03 14:30:00,1.18,1.21,1.18,1.2,2412
ok,2024-01-03 15:00:00,1.21,1.21,1.16,1.17,1635
ok,2024-01-03 15:30:00,1.15,1.18,1.15,1.15,4267
ok,2024-01-03 16:30:00,1.16,1.16,1.16,1.16,287
ok,2024-01-04 09:30:00,1.15,1.22,1.15,1.22,3480
ok,2024-01-04 10:00:00,1.19,1.2,1.16,1.16,45039
ok,2024-01-04 10:30:00,1.18,1.18,1.17,1.17,560
ok,2024-01-04 11:00:00,1.19,1.2,1.18,1.19,1329
ok,2024-01-04 12:00:00,1.19,1.19,1.19,1.19,400
ok,2024-01-04 12:30:00,1.19,1.21,1.19,1.21,29033
ok,2024-01-04 13:00:00,1.18,1.18,1.16,1.17,20946
ok,2024-01-04 13:30:00,1.17,1.18,1.17,1.18,206
ok,2024-01-04 15:00:00,1.16,1.19,1.16,1.18,10806
ok,2024-01-04 15:30:00,1.18,1.18,1.16,1.18,2649
ok,2024-01-05 09:30:00,1.18,1.18,1.18,1.18,3994
ok,2024-01-05 10:00:00,1.18,1.21,1.15,1.17,16473
ok,2024-01-05 10:30:00,1.19,1.19,1.19,1.19,101
ok,2024-01-05 11:30:00,1.17,1.17,1.17,1.17,200
ok,2024-01-05 12:00:00,1.17,1.18,1.17,1.18,1000
