s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,3.95,3.95,3.95,3.95,1000
ok,2024-01-02 09:30:00,3.79,3.8,3.58,3.58,707
ok,2024-01-02 10:00:00,3.51,3.65,3.33,3.65,2943
ok,2024-01-02 14:30:00,3.64,3.64,3.6,3.6,1200
ok,2024-01-02 15:00:00,3.6,3.6,3.49,3.56,1907
ok,2024-01-02 15:30:00,3.57,3.62,3.36,3.4,6115
ok,2024-01-03 09:30:00,3.41,3.47,3.41,3.47,642
ok,2024-01-03 11:30:00,3.47,3.47,3.43,3.43,1132
ok,2024-01-03 12:00:00,3.37,3.37,3.37,3.37,100
ok,2024-01-03 12:30:00,3.37,3.37,3.37,3.37,143
ok,2024-01-03 13:30:00,3.39,3.39,3.25,3.26,6068
ok,2024-01-03 14:30:00,3.41,3.42,3.38,3.38,385
ok,2024-01-03 15:00:00,3.42,3.42,3.3,3.3,2014
ok,2024-01-03 15:30:00,3.26,3.42,3.2,3.25,8349
ok,2024-01-03 16:00:00,3.2,3.2,3.2,3.2,100
ok,2024-01-03 16:30:00,3.25,3.25,3.25,3.25,500
ok,2024-01-04 09:30:00,3.33,3.33,3.21,3.21,1831
ok,2024-01-04 10:00:00,3.23,3.23,3.07,3.07,4775
ok,2024-01-04 10:30:00,3.17,3.17,3.17,3.17,100
ok,2024-01-04 11:30:00,3.0,3.02,3.0,3.0,2913
ok,2024-01-04 12:00:00,3.01,3.06,3.01,3.06,1300
ok,2024-01-04 12:30:00,3.01,3.25,3.01,3.25,600
ok,2024-01-04 13:00:00,3.04,3.04,3.01,3.01,203
ok,2024-01-04 13:30:00,3.03,3.1,3.03,3.1,364
ok,2024-01-04 15:00:00,3.08,3.11,3.07,3.11,1736
ok,2024-01-04 15:30:00,3.02,3.02,2.81,2.82,4872
ok,2024-01-05 09:30:00,3.09,3.43,3.0,3.43,4055
ok,2024-01-05 10:00:00,2.95,3.15,2.95,3.04,1713
ok,2024-01-05 11:00:00,3.02,3.04,3.01,3.04,3218
ok,2024-01-05 11:30:00,3.04,3.04,3.01,3.01,400
ok,2024-01-05 12:00:00,3.02,3.11,3.02,3.11,4313
ok,2024-01-05 12:30:00,3.11,3.19,3.11,3.19,2700
ok,2024-01-05 13:00:00,3.2,3.2,3.2,3.2,1000
ok,2024-01-05 13:30:00,3.16,3.2,3.16,3.2,1221
ok,2024-01-05 14:00:00,3.2,3.2,3.2,3.2,100
ok,2024-01-05 15:00:00,3.16,3.16,3.16,3.16,300
ok,2024-01-05 15:30:00,3.2,3.2,3.0,3.0,5562
ok,2024-01-05 16:30:00,3.05,3.05,3.05,3.05,176
ok,2024-01-08 07:30:00,3.07,3.07,3.07,3.07,100
ok,2024-01-08 10:00:00,3.08,3.14,3.06,3.06,350
ok,2024-01-08 11:00:00,3.05,3.05,3.0,3.0,6233
ok,2024-01-08 14:00:00,3.01,3.01,3.01,3.01,175
ok,2024-01-08 15:00:00,3.0,3.0,3.0,3.0,335
ok,2024-01-08 15:30:00,3.03,3.03,3.0,3.0,779
ok,2024-01-09 09:30:00,3.11,3.11,3.11,3.11,1005
ok,2024-01-09 10:30:00,3.08,3.08,3.08,3.08,200
ok,2024-01-09 12:30:00,3.03,3.08,3.01,3.08,1625
ok,2024-01-09 13:00:00,3.08,3.08,3.08,3.08,200
ok,2024-01-09 15:00:00,3.05,3.06,3.05,3.05,401
ok,2024-01-09 15:30:00,3.05,3.05,2.73,2.83,7639
ok,2024-01-10 09:30:00,2.81,2.86,2.81,2.86,2639
ok,2024-01-10 10:00:00,2.95,3.09,2.95,3.05,1654
ok,2024-01-10 10:30:00,2.85,2.85,2.76,2.8,4824
ok,2024-01-10 11:00:00,2.86,2.86,2.86,2.86,900
ok,2024-01-10 12:30:00,3.04,3.04,2.9,2.9,7547
ok,2024-01-10 13:30:00,3.01,3.01,3.01,3.01,1000
ok,2024-01-10 15:30:00,2.99,2.99,2.8,2.99,4613
ok,2024-01-11 15:30:00,2.87,2.99,2.87,2.87,1486
ok,2024-01-12 09:30:00,3.0,3.16,3.0,3.09,6168
ok,2024-01-12 12:30:00,3.07,3.07,3.0,3.07,1100
ok,2024-01-12 13:00:00,2.86,2.88,2.81,2.82,4024
ok,2024-01-12 13:30:00,2.82,2.84,2.75,2.75,4198
ok,2024-01-12 14:00:00,2.88,2.88,2.75,2.85,1952
ok,2024-01-12 14:30:00,2.87,2.87,2.87,2.87,500
ok,2024-01-12 15:00:00,2.97,3.02,2.87,2.87,2611
ok,2024-01-12 15:30:00,2.87,2.96,2.87,2.96,3410
ok,2024-01-16 09:30:00,3.14,3.14,2.93,2.93,3951
ok,2024-01-16 10:00:00,2.94,2.94,2.93,2.93,292
ok,2024-01-16 12:00:00,2.77,2.77,2.77,2.77,100
ok,2024-01-16 12:30:00,2.7,2.76,2.7,2.74,1340
ok,2024-01-16 15:00:00,2.86,2.86,2.86,2.86,100
ok,2024-01-16 15:30:00,2.84,2.86,2.71,2.84,5563
ok,2024-01-17 09:30:00,3.16,3.16,2.67,2.94,4936
ok,2024-01-17 10:00:00,2.69,2.94,2.55,2.65,10057
ok,2024-01-17 10:30:00,2.61,2.8,2.61,2.7,3795
ok,2024-01-17 11:00:00,2.7,2.72,2.65,2.72,1175
ok,2024-01-17 11:30:00,2.66,2.74,2.66,2.74,200
ok,2024-01-17 13:00:00,2.74,2.74,2.74,2.74,200
ok,2024-01-17 15:00:00,2.68,2.72,2.67,2.67,1331
ok,2024-01-17 15:30:00,2.65,2.74,2.65,2.74,1610
ok,2024-01-17 16:30:00,2.57,2.57,2.57,2.57,100
ok,2024-01-17 17:30:00,2.57,2.57,2.57,2.57,100
ok,2024-01-18 08:30:00,2.57,2.57,2.57,2.57,1000
ok,2024-01-18 09:30:00,2.69,2.73,2.69,2.73,605
ok,2024-01-18 10:00:00,2.9,2.9,2.7,2.7,664
ok,2024-01-18 11:00:00,2.7,2.7,2.7,2.7,100
ok,2024-01-18 11:30:00,2.75,2.75,2.75,2.75,100
ok,2024-01-18 12:00:00,2.75,2.75,2.75,2.75,104
ok,2024-01-18 13:00:00,2.75,2.75,2.75,2.75,100
ok,2024-01-18 13:30:00,2.75,2.75,2.75,2.75,100
ok,2024-01-18 14:00:00,2.9,2.95,2.9,2.9,459
ok,2024-01-18 15:00:00,2.85,2.85,2.7,2.72,4397
ok,2024-01-18 15:30:00,2.73,2.8,2.72,2.72,2841
ok,2024-01-19 12:30:00,2.9,2.9,2.75,2.75,1666
ok,2024-01-19 13:00:00,2.75,2.75,2.75,2.75,783
ok,2024-01-19 15:30:00,2.72,2.78,2.71,2.78,2274
ok,2024-01-22 09:30:00,2.84,2.85,2.75,2.85,984
ok,2024-01-22 10:00:00,2.85,2.85,2.78,2.78,1326
ok,2024-01-22 10:30:00,2.8,2.8,2.76,2.79,3802
ok,2024-01-22 11:30:00,2.71,2.71,2.66,2.66,1161
ok,2024-01-22 12:30:00,2.57,2.64,2.57,2.64,2470
ok,2024-01-22 13:30:00,2.62,2.62,2.62,2.62,212
ok,2024-01-22 14:00:00,2.66,2.66,2.6,2.65,1833
ok,2024-01-22 14:30:00,2.68,2.77,2.68,2.69,4283
ok,2024-01-22 15:00:00,2.68,2.68,2.67,2.67,300
ok,2024-01-22 15:30:00,2.67,2.74,2.67,2.74,673
ok,2024-01-22 19:00:00,2.66,2.66,2.66,2.66,102
ok,2024-01-23 09:30:00,2.7,2.7,2.7,2.7,168
ok,2024-01-23 10:00:00,2.7,2.7,2.62,2.63,1130
ok,2024-01-23 10:30:00,2.66,2.66,2.66,2.66,100
ok,2024-01-23 11:00:00,2.66,2.72,2.61,2.69,4239
ok,2024-01-23 11:30:00,2.63,2.66,2.61,2.62,5849
ok,2024-01-23 12:00:00,2.58,2.71,2.57,2.71,802
ok,2024-01-23 12:30:00,2.62,2.62,2.62,2.62,100
ok,2024-01-23 13:30:00,2.72,2.72,2.72,2.72,1000
ok,2024-01-23 15:30:00,2.61,2.71,2.61,2.71,650
ok,2024-01-24 14:30:00,2.7,2.7,2.68,2.68,1513
ok,2024-01-24 15:00:00,2.65,2.66,2.61,2.62,2200
ok,2024-01-24 15:30:00,2.7,2.7,2.7,2.7,303
ok,2024-01-25 11:00:00,2.72,2.72,2.55,2.55,3406
ok,2024-01-25 11:30:00,2.56,2.56,2.56,2.56,100
ok,2024-01-25 15:00:00,2.63,2.63,2.63,2.63,261
ok,2024-01-25 15:30:00,2.63,2.67,2.56,2.67,2385
ok,2024-01-26 12:00:00,2.56,2.56,2.56,2.56,1917
ok,2024-01-26 12:30:00,2.73,2.73,2.73,2.73,175
ok,2024-01-26 13:30:00,2.58,2.58,2.55,2.55,714
ok,2024-01-26 15:30:00,2.62,2.62,2.62,2.62,100
ok,2024-01-29 11:00:00,2.69,2.69,2.69,2.69,664
ok,2024-01-29 11:30:00,2.68,2.68,2.68,2.68,186
ok,2024-01-29 12:30:00,2.65,2.71,2.64,2.71,2229
ok,2024-01-29 14:30:00,2.69,2.74,2.64,2.64,3617
ok,2024-01-29 15:30:00,2.64,2.64,2.6,2.61,7438
ok,2024-01-30 09:30:00,2.62,2.62,2.57,2.57,4689
ok,2024-01-30 11:00:00,2.61,2.62,2.58,2.58,1062
ok,2024-01-30 15:30:00,2.61,2.61,2.61,2.61,1100
ok,2024-01-31 09:30:00,2.69,2.69,2.69,2.69,106
ok,2024-01-31 10:00:00,2.77,2.77,2.67,2.67,3718
ok,2024-01-31 11:00:00,2.6,2.6,2.6,2.6,394
ok,2024-01-31 11:30:00,2.6,2.6,2.6,2.6,709
ok,2024-01-31 12:00:00,2.62,2.62,2.62,2.62,92700
ok,2024-01-31 13:30:00,2.62,2.63,2.62,2.63,526
ok,2024-01-31 15:00:00,2.72,2.72,2.69,2.71,700
ok,2024-01-31 15:30:00,2.71,2.71,2.58,2.6,5769
ok,2024-02-01 10:30:00,2.64,2.64,2.64,2.64,1149
ok,2024-02-01 11:00:00,2.56,2.56,2.56,2.56,100
ok,2024-02-01 11:30:00,2.56,2.56,2.56,2.56,300
ok,2024-02-01 12:00:00,2.56,2.56,2.5,2.55,2221
ok,2024-02-01 12:30:00,2.52,2.52,2.52,2.52,550
ok,2024-02-01 13:00:00,2.53,2.53,2.53,2.53,401
ok,2024-02-01 13:30:00,2.53,2.55,2.53,2.54,3620
ok,2024-02-01 14:00:00,2.55,2.55,2.54,2.54,300
ok,2024-02-01 15:00:00,2.56,2.57,2.56,2.57,500
ok,2024-02-01 15:30:00,2.54,2.57,2.5,2.53,3164
ok,2024-02-02 11:30:00,2.58,2.58,2.54,2.54,400
ok,2024-02-02 12:00:00,2.66,2.66,2.37,2.37,12839
ok,2024-02-02 13:30:00,2.51,2.51,2.51,2.51,2000
ok,2024-02-02 14:00:00,2.48,2.48,2.47,2.48,300
ok,2024-02-02 14:30:00,2.51,2.6,2.51,2.56,439
ok,2024-02-02 15:00:00,2.58,2.58,2.56,2.56,4325
ok,2024-02-02 15:30:00,2.55,2.58,2.55,2.58,6577
ok,2024-02-05 09:30:00,2.59,2.59,2.51,2.55,1240
ok,2024-02-05 10:30:00,2.5,2.5,2.5,2.5,4870
ok,2024-02-05 11:30:00,2.55,2.55,2.55,2.55,100
ok,2024-02-05 12:00:00,2.55,2.55,2.55,2.55,145
ok,2024-02-05 13:00:00,2.55,2.55,2.51,2.51,1210
ok,2024-02-05 15:30:00,2.51,2.51,2.51,2.51,703
ok,2024-02-06 09:30:00,2.44,2.61,2.44,2.55,1139
ok,2024-02-07 09:30:00,2.52,2.52,2.5,2.5,1328
ok,2024-02-07 10:00:00,2.5,2.5,2.5,2.5,589
ok,2024-02-07 11:30:00,2.59,2.59,2.59,2.59,100
ok,2024-02-07 12:00:00,2.59,2.59,2.59,2.59,4100
ok,2024-02-07 14:30:00,2.61,2.61,2.47,2.47,3000
ok,2024-02-07 15:30:00,2.5,2.51,2.5,2.51,446
ok,2024-02-08 11:00:00,2.46,2.46,2.37,2.37,1302
ok,2024-02-08 12:00:00,2.46,2.46,2.46,2.46,250
ok,2024-02-08 13:30:00,2.6,2.6,2.55,2.55,1166
ok,2024-02-08 14:30:00,2.6,2.6,2.55,2.55,2300
ok,2024-02-08 15:00:00,2.55,2.55,2.55,2.55,500
ok,2024-02-08 15:30:00,2.49,2.51,2.41,2.44,4807
ok,2024-02-08 16:30:00,2.47,2.47,2.47,2.47,200
ok,2024-02-09 09:30:00,2.41,2.41,2.41,2.41,400
ok,2024-02-09 10:30:00,2.54,2.54,2.44,2.44,1100
ok,2024-02-09 11:30:00,2.5,2.5,2.5,2.5,313
ok,2024-02-09 12:00:00,2.6,2.6,2.55,2.55,732
ok,2024-02-09 13:30:00,2.62,2.62,2.62,2.62,217
ok,2024-02-09 14:00:00,2.6,2.6,2.6,2.6,700
ok,2024-02-09 15:30:00,2.56,2.64,2.56,2.62,1464
ok,2024-02-12 10:00:00,2.7,2.7,2.7,2.7,250
ok,2024-02-12 10:30:00,2.68,2.68,2.65,2.65,1346
ok,2024-02-12 11:00:00,2.55,2.55,2.55,2.55,102
ok,2024-02-12 11:30:00,2.57,2.68,2.57,2.59,2859
