s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.2,0.2,0.2,0.2,225
ok,2024-01-02 09:00:00,0.2,0.23,0.2,0.23,4021
ok,2024-01-02 09:30:00,0.24,0.24,0.2,0.21,22231
ok,2024-01-02 10:00:00,0.21,0.21,0.2,0.21,10794
ok,2024-01-02 10:30:00,0.2,0.21,0.2,0.21,13446
ok,2024-01-02 11:00:00,0.2,0.22,0.2,0.21,29291
ok,2024-01-02 11:30:00,0.21,0.22,0.21,0.22,834
ok,2024-01-02 12:00:00,0.22,0.22,0.21,0.21,855
ok,2024-01-02 12:30:00,0.22,0.22,0.22,0.22,1938
ok,2024-01-02 13:00:00,0.22,0.22,0.21,0.21,35275
ok,2024-01-02 13:30:00,0.22,0.22,0.21,0.21,62299
ok,2024-01-02 14:00:00,0.21,0.22,0.21,0.21,2502
ok,2024-01-02 15:00:00,0.22,0.22,0.21,0.22,16360
ok,2024-01-02 15:30:00,0.22,0.22,0.21,0.22,6514
ok,2024-01-02 16:00:00,0.22,0.22,0.22,0.22,1000
ok,2024-01-03 08:30:00,0.21,0.21,0.21,0.21,300
ok,2024-01-03 09:30:00,0.19,0.22,0.19,0.21,43953
ok,2024-01-03 10:00:00,0.21,0.22,0.21,0.21,14658
ok,2024-01-03 10:30:00,0.21,0.22,0.21,0.21,11252
ok,2024-01-03 11:00:00,0.21,0.21,0.21,0.21,1899
ok,2024-01-03 11:30:00,0.21,0.21,0.21,0.21,2294
ok,2024-01-03 12:00:00,0.21,0.21,0.21,0.21,4569
ok,2024-01-03 12:30:00,0.21,0.22,0.21,0.22,5292
ok,2024-01-03 13:00:00,0.21,0.22,0.21,0.21,8863
ok,2024-01-03 13:30:00,0.21,0.21,0.21,0.21,2163
ok,2024-01-03 14:00:00,0.21,0.21,0.21,0.21,8000
ok,2024-01-03 14:30:00,0.22,0.22,0.21,0.21,5896
ok,2024-01-03 15:00:00,0.21,0.21,0.21,0.21,1297
ok,2024-01-03 15:30:00,0.21,0.22,0.21,0.21,21666
ok,2024-01-03 19:00:00,0.22,0.22,0.22,0.22,4400
ok,2024-01-04 05:30:00,0.21,0.21,0.21,0.21,400
ok,2024-01-04 06:30:00,0.21,0.21,0.21,0.21,1000
ok,2024-01-04 07:00:00,0.21,0.21,0.21,0.21,175
ok,2024-01-04 08:00:00,0.21,0.21,0.21,0.21,1100
ok,2024-01-04 09:00:00,0.21,0.21,0.21,0.21,5000
ok,2024-01-04 09:30:00,0.21,0.21,0.21,0.21,7304
ok,2024-01-04 10:00:00,0.21,0.21,0.21,0.21,6100
ok,2024-01-04 10:30:00,0.21,0.22,0.21,0.21,10429
ok,2024-01-04 11:00:00,0.21,0.22,0.21,0.22,23804
ok,2024-01-04 11:30:00,0.22,0.22,0.22,0.22,500
ok,2024-01-04 12:00:00,0.21,0.22,0.21,0.22,13661
ok,2024-01-04 12:30:00,0.21,0.21,0.21,0.21,958
ok,2024-01-04 13:00:00,0.22,0.22,0.22,0.22,450
ok,2024-01-04 14:00:00,0.21,0.22,0.21,0.22,513
ok,2024-01-04 14:30:00,0.21,0.21,0.21,0.21,350
ok,2024-01-04 15:00:00,0.22,0.22,0.21,0.21,4312
ok,2024-01-04 15:30:00,0.22,0.22,0.21,0.22,11860
ok,2024-01-04 16:00:00,0.22,0.22,0.22,0.22,100
ok,2024-01-04 17:00:00,0.22,0.22,0.22,0.22,446
ok,2024-01-04 17:30:00,0.21,0.21,0.21,0.21,1000
ok,2024-01-04 19:00:00,0.22,0.22,0.22,0.22,450
ok,2024-01-04 19:30:00,0.22,0.22,0.22,0.22,24950
ok,2024-01-05 07:30:00,0.22,0.22,0.21,0.21,7000
ok,2024-01-05 08:00:00,0.21,0.21,0.21,0.21,232
ok,2024-01-05 09:30:00,0.22,0.23,0.22,0.22,11245
ok,2024-01-05 10:00:00,0.22,0.23,0.22,0.23,26929
ok,2024-01-05 10:30:00,0.23,0.23,0.22,0.22,10014
ok,2024-01-05 11:00:00,0.22,0.22,0.22,0.22,6133
ok,2024-01-05 11:30:00,0.22,0.22,0.22,0.22,12220
ok,2024-01-05 12:00:00,0.22,0.22,0.22,0.22,5705
ok,2024-01-05 12:30:00,0.22,0.23,0.22,0.23,4771
ok,2024-01-05 13:00:00,0.23,0.23,0.22,0.23,3350
ok,2024-01-05 13:30:00,0.23,0.23,0.23,0.23,3552
ok,2024-01-05 14:00:00,0.23,0.23,0.22,0.22,7024
ok,2024-01-05 14:30:00,0.23,0.23,0.22,0.23,9310
ok,2024-01-05 15:00:00,0.22,0.22,0.22,0.22,755
ok,2024-01-05 15:30:00,0.22,0.23,0.22,0.22,29687
ok,2024-01-05 16:00:00,0.22,0.22,0.22,0.22,5555
ok,2024-01-08 07:00:00,0.21,0.22,0.21,0.22,313
ok,2024-01-08 07:30:00,0.22,0.22,0.22,0.22,1692
ok,2024-01-08 09:00:00,0.22,0.23,0.22,0.23,827
