s,t,o,h,l,c,v
ok,2024-05-31 11:30:00,4.0,4.2,3.01,3.27,223025
ok,2024-05-31 12:00:00,3.25,3.25,2.86,3.0,61714
ok,2024-05-31 12:30:00,3.0,3.2,2.8,2.97,54940
ok,2024-05-31 13:00:00,2.98,3.0,2.9,3.0,4523
ok,2024-05-31 13:30:00,3.0,3.0,2.95,2.95,7142
ok,2024-05-31 14:00:00,2.96,3.08,2.91,3.08,28186
ok,2024-05-31 14:30:00,3.09,3.3,3.08,3.1,48822
ok,2024-05-31 15:00:00,3.0,3.35,3.0,3.07,3443
ok,2024-05-31 15:30:00,3.1,3.1,3.07,3.07,937
ok,2024-05-31 16:00:00,3.15,3.15,3.07,3.07,521
ok,2024-05-31 16:30:00,3.08,3.08,3.08,3.08,220
ok,2024-05-31 17:30:00,3.15,3.15,3.15,3.15,300
ok,2024-05-31 18:00:00,3.11,3.14,3.11,3.14,1138
ok,2024-05-31 18:30:00,3.14,3.14,3.14,3.14,370
ok,2024-06-03 03:00:00,3.09,3.09,3.09,3.09,235
ok,2024-06-03 03:30:00,3.03,3.03,3.02,3.02,367
ok,2024-06-03 05:00:00,3.21,3.21,3.21,3.21,264
ok,2024-06-03 06:00:00,3.05,3.05,3.05,3.05,100
ok,2024-06-03 07:00:00,3.14,3.18,3.02,3.03,11338
ok,2024-06-03 07:30:00,3.03,3.16,3.02,3.13,3501
ok,2024-06-03 08:00:00,3.03,3.1,3.0,3.1,2744
ok,2024-06-03 08:30:00,2.99,3.11,2.4,2.56,37026
ok,2024-06-03 09:00:00,2.62,2.7,2.6,2.6,2805
ok,2024-06-03 09:30:00,2.61,2.8,2.61,2.72,7864
ok,2024-06-03 10:00:00,2.75,2.79,2.68,2.68,4448
ok,2024-06-03 10:30:00,2.68,2.8,2.66,2.8,1221
ok,2024-06-03 11:00:00,2.77,2.79,2.76,2.76,1370
ok,2024-06-03 11:30:00,2.77,2.77,2.74,2.74,972
ok,2024-06-03 12:00:00,2.7,2.72,2.35,2.49,23614
ok,2024-06-03 12:30:00,2.49,2.84,2.49,2.7,16844
ok,2024-06-03 13:00:00,2.73,2.8,2.6,2.6,8909
ok,2024-06-03 13:30:00,2.6,2.61,2.54,2.61,7407
ok,2024-06-03 14:00:00,2.7,2.73,2.6,2.68,1880
ok,2024-06-03 14:30:00,2.7,2.75,2.65,2.66,5147
ok,2024-06-03 15:00:00,2.6,2.6,2.6,2.6,188
ok,2024-06-03 15:30:00,2.54,2.54,2.54,2.54,5169
ok,2024-06-04 05:00:00,3.04,3.07,3.04,3.07,465
ok,2024-06-04 07:30:00,2.62,2.62,2.62,2.62,932
ok,2024-06-04 08:30:00,2.53,2.59,2.46,2.5,4716
ok,2024-06-04 09:00:00,2.51,2.74,2.41,2.41,3899
ok,2024-06-04 09:30:00,2.5,2.5,2.42,2.42,523
ok,2024-06-04 10:00:00,2.49,2.69,2.49,2.69,936
