s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.17,0.17,0.17,0.17,4800
ok,2024-01-02 04:30:00,0.18,0.18,0.18,0.18,150
ok,2024-01-02 05:00:00,0.18,0.18,0.18,0.18,150
ok,2024-01-02 05:30:00,0.17,0.17,0.17,0.17,307
ok,2024-01-02 06:30:00,0.17,0.17,0.17,0.17,510
ok,2024-01-02 07:00:00,0.17,0.17,0.17,0.17,1607
ok,2024-01-02 08:00:00,0.17,0.17,0.16,0.16,17710
ok,2024-01-02 08:30:00,0.16,0.16,0.16,0.16,60000
ok,2024-01-02 09:30:00,0.17,0.17,0.16,0.16,108277
ok,2024-01-02 10:00:00,0.17,0.17,0.16,0.16,46147
ok,2024-01-02 10:30:00,0.16,0.16,0.16,0.16,38206
ok,2024-01-02 11:00:00,0.16,0.16,0.16,0.16,22659
ok,2024-01-02 11:30:00,0.16,0.16,0.16,0.16,4701
ok,2024-01-02 12:00:00,0.16,0.16,0.16,0.16,16694
ok,2024-01-02 12:30:00,0.16,0.16,0.16,0.16,11967
ok,2024-01-02 13:00:00,0.16,0.16,0.16,0.16,46141
ok,2024-01-02 13:30:00,0.16,0.17,0.16,0.17,205116
ok,2024-01-02 14:00:00,0.17,0.17,0.16,0.17,46948
ok,2024-01-02 14:30:00,0.17,0.22,0.17,0.22,1834860
ok,2024-01-02 15:00:00,0.22,0.26,0.2,0.23,4568201
ok,2024-01-02 15:30:00,0.24,0.25,0.21,0.23,1232639
ok,2024-01-02 16:00:00,0.22,0.23,0.21,0.22,156122
ok,2024-01-02 16:30:00,0.22,0.23,0.22,0.22,70477
ok,2024-01-02 17:00:00,0.22,0.26,0.22,0.24,179174
ok,2024-01-02 17:30:00,0.24,0.28,0.24,0.25,484559
ok,2024-01-02 18:00:00,0.26,0.27,0.25,0.26,136465
ok,2024-01-02 18:30:00,0.26,0.27,0.25,0.26,59041
ok,2024-01-02 19:00:00,0.26,0.26,0.25,0.25,47062
ok,2024-01-02 19:30:00,0.26,0.28,0.24,0.26,544301
ok,2024-01-03 04:00:00,0.29,0.29,0.22,0.23,129495
ok,2024-01-03 04:30:00,0.24,0.24,0.23,0.23,26362
ok,2024-01-03 05:00:00,0.23,0.24,0.21,0.23,95717
ok,2024-01-03 05:30:00,0.23,0.23,0.22,0.22,41776
ok,2024-01-03 06:00:00,0.22,0.22,0.2,0.2,73315
ok,2024-01-03 06:30:00,0.2,0.21,0.2,0.2,32987
ok,2024-01-03 07:00:00,0.2,0.21,0.2,0.2,27191
ok,2024-01-03 07:30:00,0.2,0.2,0.18,0.18,231080
ok,2024-01-03 08:00:00,0.2,0.26,0.18,0.19,220755
ok,2024-01-03 08:30:00,0.19,0.19,0.18,0.19,124137
ok,2024-01-03 09:00:00,0.19,0.2,0.19,0.19,74488
ok,2024-01-03 09:30:00,0.19,0.19,0.17,0.19,455628
ok,2024-01-03 10:00:00,0.19,0.2,0.18,0.19,158134
ok,2024-01-03 10:30:00,0.19,0.19,0.17,0.18,176731
ok,2024-01-03 11:00:00,0.18,0.19,0.18,0.18,115189
ok,2024-01-03 11:30:00,0.18,0.18,0.17,0.17,138563
ok,2024-01-03 12:00:00,0.17,0.19,0.16,0.18,832878
ok,2024-01-03 12:30:00,0.18,0.19,0.17,0.18,425438
ok,2024-01-03 13:00:00,0.18,0.18,0.17,0.17,21063
ok,2024-01-03 13:30:00,0.17,0.18,0.17,0.18,9383
ok,2024-01-03 14:00:00,0.18,0.18,0.18,0.18,52870
ok,2024-01-03 14:30:00,0.18,0.18,0.18,0.18,55889
ok,2024-01-03 15:00:00,0.18,0.18,0.17,0.17,71640
ok,2024-01-03 15:30:00,0.17,0.18,0.17,0.17,48658
ok,2024-01-03 16:00:00,0.17,0.17,0.17,0.17,2602
ok,2024-01-03 16:30:00,0.17,0.18,0.17,0.17,28619
ok,2024-01-03 17:00:00,0.17,0.17,0.17,0.17,33244
ok,2024-01-03 17:30:00,0.17,0.17,0.17,0.17,64391
ok,2024-01-03 18:00:00,0.17,0.18,0.17,0.18,12500
ok,2024-01-03 18:30:00,0.17,0.17,0.17,0.17,25926
ok,2024-01-03 19:00:00,0.17,0.18,0.17,0.18,3150
ok,2024-01-04 04:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 05:30:00,0.16,0.16,0.16,0.16,3235
ok,2024-01-04 06:00:00,0.17,0.17,0.17,0.17,500
ok,2024-01-04 07:00:00,0.17,0.17,0.16,0.17,7445
ok,2024-01-04 07:30:00,0.17,0.17,0.17,0.17,1836
ok,2024-01-04 08:00:00,0.16,0.17,0.16,0.17,25973
ok,2024-01-04 08:30:00,0.17,0.17,0.16,0.16,6724
ok,2024-01-04 09:00:00,0.16,0.16,0.16,0.16,21025
ok,2024-01-04 09:30:00,0.17,0.17,0.16,0.16,69063
ok,2024-01-04 10:00:00,0.17,0.17,0.16,0.17,59253
ok,2024-01-04 10:30:00,0.17,0.18,0.17,0.17,141702
ok,2024-01-04 11:00:00,0.18,0.18,0.18,0.18,38324
ok,2024-01-04 11:30:00,0.18,0.18,0.18,0.18,9657
ok,2024-01-04 12:00:00,0.18,0.18,0.18,0.18,7109
ok,2024-01-04 12:30:00,0.18,0.18,0.18,0.18,37265
ok,2024-01-04 13:00:00,0.18,0.18,0.18,0.18,2299
ok,2024-01-04 13:30:00,0.18,0.18,0.18,0.18,1200
ok,2024-01-04 14:00:00,0.18,0.18,0.18,0.18,48736
ok,2024-01-04 14:30:00,0.18,0.18,0.17,0.17,17047
ok,2024-01-04 15:00:00,0.17,0.17,0.17,0.17,18958
ok,2024-01-04 15:30:00,0.17,0.17,0.16,0.16,59755
ok,2024-01-04 16:00:00,0.17,0.17,0.16,0.16,3120
ok,2024-01-04 16:30:00,0.16,0.16,0.16,0.16,25120
ok,2024-01-04 17:00:00,0.16,0.16,0.16,0.16,2086
ok,2024-01-04 19:00:00,0.16,0.16,0.16,0.16,10000
ok,2024-01-04 19:30:00,0.16,0.16,0.16,0.16,302
ok,2024-01-05 04:00:00,0.16,0.16,0.16,0.16,6945
ok,2024-01-05 05:30:00,0.16,0.16,0.16,0.16,600
ok,2024-01-05 06:00:00,0.16,0.18,0.16,0.18,734
ok,2024-01-05 09:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-05 09:30:00,0.17,0.17,0.16,0.16,45039
ok,2024-01-05 10:00:00,0.16,0.16,0.16,0.16,10250
ok,2024-01-05 10:30:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-05 11:00:00,0.16,0.16,0.16,0.16,34656
ok,2024-01-05 11:30:00,0.16,0.16,0.16,0.16,599
ok,2024-01-05 12:00:00,0.16,0.16,0.16,0.16,834
ok,2024-01-05 12:30:00,0.16,0.16,0.16,0.16,33400
ok,2024-01-05 13:00:00,0.16,0.16,0.16,0.16,613
ok,2024-01-05 13:30:00,0.16,0.16,0.16,0.16,12000
ok,2024-01-05 14:00:00,0.16,0.16,0.16,0.16,10794
ok,2024-01-05 14:30:00,0.16,0.17,0.16,0.17,40786
ok,2024-01-05 15:00:00,0.17,0.17,0.17,0.17,40024
ok,2024-01-05 15:30:00,0.17,0.17,0.16,0.17,23622
ok,2024-01-05 18:30:00,0.16,0.16,0.16,0.16,484
ok,2024-01-08 06:30:00,0.16,0.16,0.16,0.16,103
ok,2024-01-08 08:00:00,0.16,0.16,0.16,0.16,1100
ok,2024-01-08 08:30:00,0.16,0.16,0.16,0.16,2000
ok,2024-01-08 09:00:00,0.16,0.16,0.16,0.16,113
ok,2024-01-08 09:30:00,0.17,0.17,0.16,0.16,28159
ok,2024-01-08 10:00:00,0.17,0.17,0.16,0.16,7250
ok,2024-01-08 10:30:00,0.17,0.17,0.17,0.17,2410
ok,2024-01-08 11:00:00,0.17,0.18,0.16,0.17,2933
ok,2024-01-08 11:30:00,0.17,0.18,0.16,0.17,14892
ok,2024-01-08 12:00:00,0.17,0.17,0.17,0.17,3286
ok,2024-01-08 12:30:00,0.17,0.18,0.17,0.18,24085
ok,2024-01-08 13:00:00,0.17,0.18,0.17,0.17,30717
ok,2024-01-08 14:00:00,0.17,0.18,0.17,0.17,7766
ok,2024-01-08 14:30:00,0.18,0.18,0.17,0.17,5500
ok,2024-01-08 15:00:00,0.17,0.18,0.17,0.17,42110
ok,2024-01-08 15:30:00,0.17,0.18,0.17,0.18,49062
ok,2024-01-08 16:30:00,0.18,0.18,0.18,0.18,1687
ok,2024-01-08 17:30:00,0.17,0.17,0.17,0.17,218
ok,2024-01-09 08:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-09 09:00:00,0.17,0.17,0.17,0.17,12009
ok,2024-01-09 09:30:00,0.17,0.17,0.17,0.17,2500
ok,2024-01-09 10:00:00,0.17,0.17,0.17,0.17,3347
ok,2024-01-09 10:30:00,0.17,0.17,0.17,0.17,400
ok,2024-01-09 11:00:00,0.17,0.17,0.17,0.17,1447
ok,2024-01-09 11:30:00,0.17,0.17,0.17,0.17,3493
ok,2024-01-09 12:00:00,0.17,0.17,0.17,0.17,18535
ok,2024-01-09 12:30:00,0.17,0.17,0.17,0.17,2400
ok,2024-01-09 13:00:00,0.17,0.17,0.17,0.17,9101
ok,2024-01-09 13:30:00,0.17,0.17,0.17,0.17,12760
ok,2024-01-09 14:00:00,0.17,0.17,0.17,0.17,475
ok,2024-01-09 14:30:00,0.17,0.17,0.17,0.17,5802
ok,2024-01-09 15:00:00,0.17,0.17,0.17,0.17,208
ok,2024-01-09 15:30:00,0.17,0.18,0.17,0.17,3754
ok,2024-01-09 16:00:00,0.18,0.18,0.17,0.17,5100
ok,2024-01-10 04:00:00,0.17,0.17,0.17,0.17,181
ok,2024-01-10 07:30:00,0.17,0.17,0.17,0.17,2420
ok,2024-01-10 08:00:00,0.17,0.17,0.17,0.17,7446
ok,2024-01-10 09:00:00,0.17,0.18,0.17,0.18,10000
ok,2024-01-10 09:30:00,0.17,0.17,0.17,0.17,5011
ok,2024-01-10 10:00:00,0.17,0.17,0.17,0.17,20212
ok,2024-01-10 10:30:00,0.17,0.17,0.17,0.17,500
ok,2024-01-10 11:00:00,0.17,0.17,0.17,0.17,300
ok,2024-01-10 11:30:00,0.17,0.17,0.16,0.16,14609
ok,2024-01-10 12:30:00,0.16,0.16,0.16,0.16,4738
ok,2024-01-10 13:00:00,0.16,0.16,0.16,0.16,100
ok,2024-01-10 13:30:00,0.16,0.16,0.16,0.16,225521
ok,2024-01-10 14:00:00,0.16,0.16,0.16,0.16,64148
ok,2024-01-10 14:30:00,0.16,0.16,0.16,0.16,100
ok,2024-01-10 15:00:00,0.16,0.16,0.16,0.16,307
ok,2024-01-10 15:30:00,0.16,0.16,0.16,0.16,15847
ok,2024-01-10 16:30:00,0.16,0.16,0.16,0.16,101
ok,2024-01-10 17:00:00,0.16,0.16,0.16,0.16,100
ok,2024-01-10 17:30:00,0.16,0.16,0.16,0.16,480
ok,2024-01-11 05:30:00,0.16,0.16,0.16,0.16,100
ok,2024-01-11 08:00:00,0.16,0.16,0.16,0.16,5384
ok,2024-01-11 08:30:00,0.16,0.16,0.16,0.16,300
ok,2024-01-11 09:30:00,0.16,0.16,0.16,0.16,33468
ok,2024-01-11 10:00:00,0.16,0.16,0.16,0.16,4426
ok,2024-01-11 10:30:00,0.16,0.16,0.16,0.16,5000
ok,2024-01-11 11:00:00,0.16,0.16,0.16,0.16,200
ok,2024-01-11 11:30:00,0.16,0.16,0.16,0.16,300
ok,2024-01-11 12:00:00,0.16,0.16,0.16,0.16,2896
ok,2024-01-11 12:30:00,0.16,0.16,0.16,0.16,5623
