s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.71,0.71,0.69,0.69,1100
ok,2024-01-02 05:00:00,0.69,0.69,0.69,0.69,109
ok,2024-01-02 08:00:00,0.7,0.71,0.7,0.71,24493
ok,2024-01-02 08:30:00,0.69,0.69,0.68,0.68,932
ok,2024-01-02 09:00:00,0.68,0.68,0.68,0.68,1004
ok,2024-01-02 09:30:00,0.69,0.7,0.69,0.69,33952
ok,2024-01-02 10:00:00,0.69,0.69,0.67,0.67,40479
ok,2024-01-02 10:30:00,0.68,0.68,0.66,0.66,38971
ok,2024-01-02 11:00:00,0.66,0.68,0.66,0.66,27901
ok,2024-01-02 11:30:00,0.66,0.67,0.66,0.67,18944
ok,2024-01-02 12:00:00,0.66,0.66,0.64,0.64,25156
ok,2024-01-02 12:30:00,0.64,0.64,0.64,0.64,10360
ok,2024-01-02 13:00:00,0.64,0.64,0.61,0.62,96936
ok,2024-01-02 13:30:00,0.62,0.65,0.62,0.63,19459
ok,2024-01-02 14:00:00,0.63,0.63,0.62,0.62,12771
ok,2024-01-02 14:30:00,0.62,0.62,0.61,0.61,40728
ok,2024-01-02 15:00:00,0.61,0.61,0.58,0.59,211586
ok,2024-01-02 15:30:00,0.58,0.6,0.58,0.59,55744
ok,2024-01-02 16:00:00,0.61,0.63,0.61,0.63,4106
ok,2024-01-02 16:30:00,0.62,0.62,0.62,0.62,1359
ok,2024-01-02 17:00:00,0.63,0.63,0.63,0.63,100
ok,2024-01-02 17:30:00,0.63,0.63,0.63,0.63,101
ok,2024-01-02 18:00:00,0.6,0.6,0.6,0.6,899
ok,2024-01-02 18:30:00,0.6,0.6,0.6,0.6,233
ok,2024-01-02 19:30:00,0.63,0.63,0.6,0.63,2885
ok,2024-01-03 08:00:00,0.6,0.61,0.6,0.61,1252
ok,2024-01-03 08:30:00,0.61,0.61,0.61,0.61,305
ok,2024-01-03 09:00:00,0.61,0.61,0.61,0.61,159
ok,2024-01-03 09:30:00,0.59,0.61,0.58,0.6,40034
ok,2024-01-03 10:00:00,0.6,0.61,0.58,0.58,48837
ok,2024-01-03 10:30:00,0.58,0.58,0.58,0.58,17492
ok,2024-01-03 11:00:00,0.58,0.58,0.54,0.56,69242
ok,2024-01-03 11:30:00,0.55,0.55,0.54,0.54,66095
ok,2024-01-03 12:00:00,0.54,0.55,0.54,0.54,30113
ok,2024-01-03 12:30:00,0.55,0.55,0.51,0.53,109852
ok,2024-01-03 13:00:00,0.53,0.54,0.51,0.54,30781
ok,2024-01-03 13:30:00,0.54,0.54,0.52,0.53,19526
ok,2024-01-03 14:00:00,0.53,0.54,0.5,0.5,74065
ok,2024-01-03 14:30:00,0.5,0.51,0.48,0.5,113121
ok,2024-01-03 15:00:00,0.51,0.53,0.49,0.53,48147
ok,2024-01-03 15:30:00,0.51,0.53,0.49,0.5,117889
