s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,0.19,0.19,0.18,0.18,2009
ok,2024-01-02 05:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-02 06:00:00,0.18,0.18,0.17,0.17,16623
ok,2024-01-02 06:30:00,0.17,0.18,0.17,0.17,10013
ok,2024-01-02 07:00:00,0.17,0.18,0.17,0.18,18746
ok,2024-01-02 07:30:00,0.18,0.18,0.18,0.18,641
ok,2024-01-02 08:00:00,0.17,0.2,0.17,0.18,29228
ok,2024-01-02 08:30:00,0.18,0.18,0.18,0.18,20041
ok,2024-01-02 09:00:00,0.18,0.18,0.18,0.18,21304
ok,2024-01-02 09:30:00,0.19,0.19,0.18,0.19,176871
ok,2024-01-02 10:00:00,0.19,0.19,0.18,0.18,161070
ok,2024-01-02 10:30:00,0.18,0.18,0.18,0.18,93193
ok,2024-01-02 11:00:00,0.18,0.18,0.18,0.18,75533
ok,2024-01-02 11:30:00,0.18,0.19,0.18,0.19,247529
ok,2024-01-02 12:00:00,0.19,0.19,0.19,0.19,59055
ok,2024-01-02 12:30:00,0.19,0.19,0.19,0.19,41529
ok,2024-01-02 13:00:00,0.19,0.19,0.19,0.19,38776
ok,2024-01-02 13:30:00,0.19,0.19,0.19,0.19,57559
ok,2024-01-02 14:00:00,0.19,0.19,0.19,0.19,56785
ok,2024-01-02 14:30:00,0.19,0.19,0.19,0.19,28896
ok,2024-01-02 15:00:00,0.19,0.19,0.18,0.18,39190
ok,2024-01-02 15:30:00,0.18,0.19,0.18,0.18,56947
ok,2024-01-02 16:00:00,0.19,0.19,0.19,0.19,5030
ok,2024-01-02 16:30:00,0.19,0.19,0.18,0.18,2413
ok,2024-01-02 17:00:00,0.19,0.19,0.19,0.19,220
ok,2024-01-02 17:30:00,0.19,0.19,0.19,0.19,150
ok,2024-01-02 18:00:00,0.19,0.19,0.18,0.18,6500
ok,2024-01-03 04:30:00,0.18,0.19,0.18,0.19,484
ok,2024-01-03 06:00:00,0.2,0.2,0.2,0.2,568
ok,2024-01-03 07:00:00,0.19,0.19,0.19,0.19,250
ok,2024-01-03 07:30:00,0.19,0.19,0.19,0.19,100
ok,2024-01-03 08:00:00,0.19,0.19,0.19,0.19,176
ok,2024-01-03 08:30:00,0.19,0.19,0.19,0.19,1515
ok,2024-01-03 09:00:00,0.19,0.19,0.19,0.19,3308
ok,2024-01-03 09:30:00,0.19,0.19,0.18,0.18,91992
ok,2024-01-03 10:00:00,0.18,0.18,0.17,0.18,148212
ok,2024-01-03 10:30:00,0.18,0.18,0.18,0.18,109573
ok,2024-01-03 11:00:00,0.18,0.18,0.18,0.18,42291
ok,2024-01-03 11:30:00,0.18,0.18,0.18,0.18,179239
ok,2024-01-03 12:00:00,0.18,0.18,0.18,0.18,123077
ok,2024-01-03 12:30:00,0.18,0.18,0.17,0.17,101139
ok,2024-01-03 13:00:00,0.17,0.18,0.17,0.18,52655
ok,2024-01-03 13:30:00,0.17,0.18,0.17,0.18,117721
ok,2024-01-03 14:00:00,0.18,0.18,0.17,0.17,640294
ok,2024-01-03 14:30:00,0.18,0.18,0.17,0.17,73380
ok,2024-01-03 15:00:00,0.17,0.18,0.17,0.17,77671
ok,2024-01-03 15:30:00,0.17,0.17,0.17,0.17,86725
ok,2024-01-03 16:00:00,0.17,0.17,0.17,0.17,25751
ok,2024-01-03 17:00:00,0.17,0.17,0.17,0.17,200
ok,2024-01-03 17:30:00,0.17,0.17,0.17,0.17,1100
ok,2024-01-03 18:00:00,0.17,0.17,0.17,0.17,1500
ok,2024-01-03 18:30:00,0.17,0.17,0.17,0.17,4150
ok,2024-01-03 19:00:00,0.17,0.17,0.17,0.17,3479
ok,2024-01-03 19:30:00,0.17,0.17,0.17,0.17,3000
ok,2024-01-04 04:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 07:00:00,0.18,0.18,0.18,0.18,897
ok,2024-01-04 08:00:00,0.17,0.17,0.17,0.17,6059
ok,2024-01-04 08:30:00,0.17,0.17,0.17,0.17,879
ok,2024-01-04 09:00:00,0.17,0.17,0.17,0.17,4443
ok,2024-01-04 09:30:00,0.18,0.18,0.17,0.18,56161
ok,2024-01-04 10:00:00,0.18,0.18,0.17,0.17,75790
ok,2024-01-04 10:30:00,0.17,0.18,0.17,0.17,40827
ok,2024-01-04 11:00:00,0.17,0.18,0.17,0.18,178735
ok,2024-01-04 11:30:00,0.18,0.19,0.18,0.19,145024
ok,2024-01-04 12:00:00,0.18,0.19,0.18,0.19,91461
ok,2024-01-04 12:30:00,0.19,0.19,0.19,0.19,35608
ok,2024-01-04 13:00:00,0.19,0.19,0.18,0.18,17113
ok,2024-01-04 13:30:00,0.19,0.19,0.18,0.18,44378
ok,2024-01-04 14:00:00,0.18,0.18,0.18,0.18,26358
ok,2024-01-04 14:30:00,0.18,0.19,0.18,0.18,38157
ok,2024-01-04 15:00:00,0.18,0.18,0.18,0.18,107220
ok,2024-01-04 15:30:00,0.18,0.18,0.18,0.18,83571
ok,2024-01-04 16:00:00,0.18,0.18,0.18,0.18,1243
ok,2024-01-04 16:30:00,0.18,0.18,0.18,0.18,552
ok,2024-01-04 17:00:00,0.18,0.18,0.18,0.18,250
ok,2024-01-04 19:00:00,0.18,0.18,0.18,0.18,204
ok,2024-01-04 19:30:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-05 08:00:00,0.18,0.18,0.18,0.18,3098
ok,2024-01-05 08:30:00,0.19,0.19,0.19,0.19,800
ok,2024-01-05 09:00:00,0.18,0.19,0.18,0.19,760
ok,2024-01-05 09:30:00,0.18,0.18,0.18,0.18,41919
ok,2024-01-05 10:00:00,0.18,0.18,0.18,0.18,22531
ok,2024-01-05 10:30:00,0.18,0.18,0.18,0.18,33891
ok,2024-01-05 11:00:00,0.18,0.18,0.18,0.18,33365
ok,2024-01-05 11:30:00,0.18,0.18,0.18,0.18,17610
ok,2024-01-05 12:00:00,0.18,0.18,0.18,0.18,16528
