s,t,o,h,l,c,v
ok,2024-02-08 13:30:00,34.25,35.0,33.26,34.87,2349257
ok,2024-02-08 14:00:00,34.94,35.06,34.51,34.96,733641
ok,2024-02-08 14:30:00,34.93,35.03,33.42,33.67,681826
ok,2024-02-08 15:00:00,33.64,33.96,32.2,32.64,773627
ok,2024-02-08 15:30:00,32.8,33.14,30.02,30.02,1282885
ok,2024-02-08 16:00:00,30.01,30.01,29.4,29.4,2789
ok,2024-02-08 16:30:00,29.4,29.5,29.4,29.5,350
ok,2024-02-08 17:00:00,29.69,29.69,29.69,29.69,355
ok,2024-02-08 19:00:00,29.68,29.68,29.68,29.68,200
ok,2024-02-09 07:30:00,30.01,30.39,30.01,30.39,200
ok,2024-02-09 08:00:00,30.0,30.0,29.72,29.72,500
ok,2024-02-09 09:00:00,30.0,30.01,30.0,30.01,907
ok,2024-02-09 09:30:00,30.15,30.5,29.0,29.46,103683
ok,2024-02-09 10:00:00,29.5,30.3,29.27,29.88,31915
ok,2024-02-09 10:30:00,29.9,30.24,29.8,29.97,51178
ok,2024-02-09 11:00:00,29.72,30.0,29.6,29.9,54341
ok,2024-02-09 11:30:00,29.89,30.22,29.6,29.77,49901
ok,2024-02-09 12:00:00,29.85,30.04,29.79,29.88,24669
ok,2024-02-09 12:30:00,29.88,29.9,29.74,29.83,17832
ok,2024-02-09 13:00:00,29.83,29.87,29.65,29.69,14867
ok,2024-02-09 13:30:00,29.69,30.0,29.66,29.82,17686
ok,2024-02-09 14:00:00,29.77,29.99,29.77,29.92,12595
ok,2024-02-09 14:30:00,29.86,29.96,29.65,29.65,21915
ok,2024-02-09 15:00:00,29.72,29.89,29.68,29.78,48590
ok,2024-02-09 15:30:00,29.76,30.1,29.31,30.09,132444
ok,2024-02-12 09:30:00,30.35,30.35,30.0,30.25,21333
ok,2024-02-12 10:00:00,30.25,30.35,29.8,30.2,84574
ok,2024-02-12 10:30:00,30.14,30.22,29.9,29.95,33930
ok,2024-02-12 11:00:00,30.02,30.03,29.9,30.01,31278
ok,2024-02-12 11:30:00,30.01,30.01,29.8,29.83,58483
ok,2024-02-12 12:00:00,29.8,30.0,29.57,29.85,28109
ok,2024-02-12 12:30:00,29.8,29.89,29.54,29.85,6349
ok,2024-02-12 13:00:00,29.71,30.2,29.63,30.1,50308
ok,2024-02-12 13:30:00,30.16,30.27,30.0,30.05,78530
ok,2024-02-12 14:00:00,30.25,30.37,30.06,30.16,7898
ok,2024-02-12 14:30:00,30.15,30.22,29.71,30.04,37455
ok,2024-02-12 15:00:00,30.01,30.12,29.7,30.01,29153
ok,2024-02-12 15:30:00,30.01,30.45,29.94,30.18,143058
ok,2024-02-13 09:30:00,29.21,29.87,28.76,29.25,63205
ok,2024-02-13 10:00:00,29.5,29.69,29.21,29.33,54873
ok,2024-02-13 10:30:00,29.23,30.0,29.23,29.84,4859
ok,2024-02-13 11:00:00,30.0,30.0,29.81,30.0,1807
ok,2024-02-13 11:30:00,29.88,29.98,29.88,29.98,815
ok,2024-02-13 12:00:00,29.55,29.88,29.55,29.88,706
ok,2024-02-13 12:30:00,29.82,29.98,29.64,29.98,800
ok,2024-02-13 13:00:00,29.86,30.12,29.62,29.62,46917
ok,2024-02-13 13:30:00,30.01,30.12,29.82,29.99,38864
ok,2024-02-13 14:00:00,30.0,30.02,29.89,29.98,22172
ok,2024-02-13 14:30:00,30.0,30.02,29.73,29.94,18970
ok,2024-02-13 15:00:00,29.88,29.9,29.6,29.6,12674
ok,2024-02-13 15:30:00,29.5,29.87,29.32,29.64,111157
ok,2024-02-13 16:00:00,29.52,29.79,29.51,29.79,1000
ok,2024-02-13 17:00:00,29.79,29.79,29.79,29.79,791
ok,2024-02-14 09:30:00,30.28,30.42,29.17,29.98,166988
ok,2024-02-14 10:00:00,29.8,30.0,29.21,29.98,33589
ok,2024-02-14 10:30:00,29.86,29.94,29.7,29.92,1097
ok,2024-02-14 11:00:00,29.92,29.92,29.33,29.48,4239
ok,2024-02-14 11:30:00,29.22,29.74,29.12,29.6,3962
ok,2024-02-14 12:00:00,29.49,29.65,29.3,29.3,4837
ok,2024-02-14 12:30:00,29.2,29.54,29.12,29.52,44009
ok,2024-02-14 13:00:00,29.5,29.52,29.34,29.35,15963
ok,2024-02-14 13:30:00,29.5,29.5,29.25,29.36,41334
ok,2024-02-14 14:00:00,29.41,29.66,29.21,29.65,17730
ok,2024-02-14 14:30:00,29.62,29.66,29.24,29.65,12111
ok,2024-02-14 15:00:00,29.72,29.89,29.61,29.77,29852
ok,2024-02-14 15:30:00,29.77,29.9,29.45,29.88,55493
ok,2024-02-14 17:30:00,29.89,29.89,29.89,29.89,101
ok,2024-02-15 09:30:00,29.61,29.99,29.12,29.75,29146
ok,2024-02-15 10:00:00,29.88,29.88,29.5,29.72,4397
ok,2024-02-15 10:30:00,29.51,29.73,29.4,29.7,2574
ok,2024-02-15 11:00:00,29.7,30.05,29.56,29.83,11082
ok,2024-02-15 11:30:00,29.7,29.9,29.6,29.82,3482
ok,2024-02-15 12:00:00,29.75,29.85,29.71,29.8,4184
ok,2024-02-15 12:30:00,29.8,29.9,29.72,29.9,5252
ok,2024-02-15 13:00:00,29.85,30.02,29.82,29.99,63166
