s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,1.15,1.15,1.15,1.15,5000
ok,2024-01-02 08:30:00,1.15,1.15,1.15,1.15,136
ok,2024-01-02 09:30:00,1.19,1.19,1.11,1.15,19652
ok,2024-01-02 10:00:00,1.19,1.22,1.18,1.18,1460
ok,2024-01-02 10:30:00,1.18,1.2,1.17,1.17,1580
ok,2024-01-02 11:00:00,1.17,1.17,1.16,1.16,344
ok,2024-01-02 11:30:00,1.16,1.16,1.14,1.14,1921
ok,2024-01-02 12:00:00,1.16,1.17,1.15,1.15,874
ok,2024-01-02 12:30:00,1.15,1.15,1.12,1.13,3292
ok,2024-01-02 13:00:00,1.13,1.17,1.13,1.15,7024
ok,2024-01-02 13:30:00,1.14,1.14,1.14,1.14,1538
ok,2024-01-02 14:00:00,1.14,1.14,1.14,1.14,598
ok,2024-01-02 14:30:00,1.13,1.14,1.1,1.11,22013
ok,2024-01-02 15:30:00,1.13,1.14,1.11,1.12,3427
ok,2024-01-02 16:30:00,1.16,1.16,1.16,1.16,200
ok,2024-01-02 18:00:00,1.17,1.17,1.17,1.17,1000
ok,2024-01-03 07:00:00,1.12,1.18,1.12,1.12,708
ok,2024-01-03 07:30:00,1.12,1.12,1.12,1.12,100
ok,2024-01-03 08:00:00,1.17,1.17,1.17,1.17,962
ok,2024-01-03 08:30:00,1.17,1.19,1.11,1.11,701
ok,2024-01-03 09:30:00,1.17,1.17,1.14,1.14,2299
ok,2024-01-03 10:00:00,1.13,1.15,1.11,1.13,7230
ok,2024-01-03 10:30:00,1.13,1.13,1.12,1.13,3263
ok,2024-01-03 11:00:00,1.13,1.13,1.12,1.13,2096
ok,2024-01-03 11:30:00,1.13,1.13,1.13,1.13,7571
ok,2024-01-03 12:00:00,1.13,1.13,1.12,1.13,1327
ok,2024-01-03 12:30:00,1.15,1.15,1.12,1.12,1465
ok,2024-01-03 13:00:00,1.14,1.14,1.12,1.12,800
ok,2024-01-03 14:00:00,1.12,1.12,1.11,1.12,6101
ok,2024-01-03 14:30:00,1.12,1.12,1.12,1.12,600
ok,2024-01-03 15:00:00,1.11,1.11,1.1,1.1,7228
ok,2024-01-03 15:30:00,1.11,1.11,1.1,1.11,4420
ok,2024-01-03 16:00:00,1.07,1.07,1.07,1.07,400
ok,2024-01-03 19:30:00,1.16,1.3,1.16,1.3,2457
ok,2024-01-04 07:00:00,1.11,1.11,1.11,1.11,299
ok,2024-01-04 08:00:00,1.1,1.11,1.1,1.1,913
ok,2024-01-04 09:30:00,1.14,1.15,1.11,1.11,6968
ok,2024-01-04 10:00:00,1.11,1.11,1.1,1.11,4766
ok,2024-01-04 10:30:00,1.11,1.13,1.1,1.11,8168
ok,2024-01-04 11:00:00,1.12,1.12,1.1,1.1,495
ok,2024-01-04 11:30:00,1.12,1.13,1.12,1.13,1842
ok,2024-01-04 12:00:00,1.11,1.12,1.11,1.11,4200
ok,2024-01-04 12:30:00,1.11,1.11,1.11,1.11,293
ok,2024-01-04 13:00:00,1.11,1.14,1.11,1.14,4811
ok,2024-01-04 13:30:00,1.12,1.15,1.12,1.15,973
ok,2024-01-04 14:00:00,1.15,1.15,1.15,1.15,942
ok,2024-01-04 14:30:00,1.14,1.15,1.13,1.13,3205
ok,2024-01-04 15:00:00,1.11,1.11,1.11,1.11,1376
ok,2024-01-04 15:30:00,1.11,1.13,1.1,1.1,1646
ok,2024-01-05 09:30:00,1.14,1.15,1.1,1.11,2591
ok,2024-01-05 10:00:00,1.11,1.15,1.11,1.15,402
ok,2024-01-05 10:30:00,1.15,1.15,1.12,1.14,4637
ok,2024-01-05 11:00:00,1.14,1.14,1.12,1.14,2706
ok,2024-01-05 11:30:00,1.13,1.13,1.13,1.13,212
ok,2024-01-05 12:00:00,1.13,1.13,1.1,1.1,2062
ok,2024-01-05 12:30:00,1.11,1.11,1.11,1.11,4479
ok,2024-01-05 13:00:00,1.11,1.11,1.08,1.09,10211
ok,2024-01-05 13:30:00,1.09,1.11,1.09,1.11,2657
ok,2024-01-05 14:00:00,1.08,1.1,1.08,1.1,2125
ok,2024-01-05 14:30:00,1.1,1.1,1.07,1.07,2243
ok,2024-01-05 15:00:00,1.09,1.09,1.08,1.08,1099
ok,2024-01-05 15:30:00,1.09,1.09,1.06,1.07,9069
ok,2024-01-08 09:00:00,1.07,1.07,1.04,1.04,2570
ok,2024-01-08 09:30:00,1.05,1.08,1.02,1.02,27216
ok,2024-01-08 10:00:00,1.02,1.04,1.02,1.03,5823
ok,2024-01-08 10:30:00,1.03,1.03,1.01,1.01,7171
ok,2024-01-08 11:00:00,1.01,1.03,1.01,1.03,10032
ok,2024-01-08 11:30:00,1.03,1.03,1.03,1.03,226
ok,2024-01-08 12:00:00,1.03,1.04,1.01,1.01,8316
ok,2024-01-08 12:30:00,1.02,1.06,1.02,1.03,5341
ok,2024-01-08 13:00:00,1.06,1.06,1.04,1.04,1372
ok,2024-01-08 13:30:00,1.04,1.06,1.04,1.06,452
ok,2024-01-08 14:00:00,1.05,1.05,1.04,1.04,2245
ok,2024-01-08 14:30:00,1.04,1.04,1.03,1.03,1577
ok,2024-01-08 15:00:00,1.03,1.03,1.03,1.03,600
ok,2024-01-08 15:30:00,1.04,1.04,1.03,1.04,12441
ok,2024-01-09 07:30:00,1.07,1.07,1.0,1.0,383
ok,2024-01-09 08:00:00,1.24,1.26,1.06,1.22,2414
ok,2024-01-09 08:30:00,1.16,1.16,1.09,1.12,4549
ok,2024-01-09 09:00:00,1.12,1.12,1.08,1.08,8483
ok,2024-01-09 09:30:00,1.02,1.12,1.02,1.05,7236
ok,2024-01-09 10:00:00,1.05,1.06,1.05,1.05,2555
ok,2024-01-09 10:30:00,1.05,1.05,1.04,1.04,405
ok,2024-01-09 11:00:00,1.05,1.05,1.03,1.03,2359
ok,2024-01-09 11:30:00,1.04,1.04,1.04,1.04,500
ok,2024-01-09 12:30:00,1.03,1.03,1.03,1.03,130
ok,2024-01-09 13:00:00,1.04,1.04,1.04,1.04,1350
ok,2024-01-09 13:30:00,1.04,1.05,1.03,1.05,3645
ok,2024-01-09 14:00:00,1.05,1.05,1.05,1.05,400
ok,2024-01-09 14:30:00,1.04,1.04,1.04,1.04,403
ok,2024-01-09 15:00:00,1.03,1.04,1.03,1.03,5904
ok,2024-01-09 15:30:00,1.02,1.04,1.02,1.03,4307
ok,2024-01-10 08:00:00,1.04,1.09,1.04,1.09,310
ok,2024-01-10 09:30:00,1.05,1.1,1.04,1.04,3125
ok,2024-01-10 10:00:00,1.05,1.05,1.01,1.02,4358
ok,2024-01-10 10:30:00,1.03,1.03,1.01,1.01,4126
ok,2024-01-10 11:00:00,1.01,1.02,0.99,1.01,22460
ok,2024-01-10 11:30:00,1.01,1.01,1.0,1.01,1360
ok,2024-01-10 12:00:00,1.0,1.01,0.99,1.01,7839
ok,2024-01-10 12:30:00,1.01,1.01,1.01,1.01,400
ok,2024-01-10 13:00:00,1.01,1.02,1.01,1.02,3761
ok,2024-01-10 13:30:00,1.02,1.02,1.02,1.02,423
ok,2024-01-10 14:00:00,1.03,1.03,1.02,1.02,300
ok,2024-01-10 14:30:00,1.03,1.03,1.03,1.03,200
ok,2024-01-10 15:00:00,1.02,1.02,1.02,1.02,100
ok,2024-01-10 15:30:00,1.03,1.04,1.02,1.04,1343
ok,2024-01-11 07:00:00,1.08,1.14,1.01,1.02,3599
ok,2024-01-11 07:30:00,1.05,1.05,1.05,1.05,1000
ok,2024-01-11 08:00:00,1.06,1.14,1.06,1.07,891
ok,2024-01-11 09:00:00,1.01,1.08,0.99,1.08,878
ok,2024-01-11 09:30:00,1.08,1.09,1.03,1.05,13897
ok,2024-01-11 10:00:00,1.02,1.02,1.0,1.02,5851
ok,2024-01-11 10:30:00,1.01,1.01,1.01,1.01,2000
ok,2024-01-11 11:00:00,1.0,1.02,1.0,1.02,2117
ok,2024-01-11 11:30:00,1.01,1.01,0.99,1.0,9085
ok,2024-01-11 12:00:00,0.99,1.0,0.99,1.0,10603
ok,2024-01-11 12:30:00,1.01,1.02,1.0,1.02,1330
ok,2024-01-11 13:00:00,1.03,1.03,1.01,1.03,1103
ok,2024-01-11 13:30:00,1.03,1.03,1.03,1.03,100
ok,2024-01-11 14:00:00,1.04,1.04,1.04,1.04,500
ok,2024-01-11 14:30:00,1.02,1.02,1.02,1.02,300
ok,2024-01-11 15:00:00,1.02,1.05,1.01,1.01,2300
ok,2024-01-11 16:30:00,1.0,1.0,1.0,1.0,1621
ok,2024-01-12 07:00:00,1.0,1.01,1.0,1.01,277
ok,2024-01-12 08:00:00,1.01,1.01,1.01,1.01,267
ok,2024-01-12 09:30:00,1.07,1.07,1.02,1.06,1749
ok,2024-01-12 10:00:00,1.05,1.05,1.05,1.05,500
ok,2024-01-12 10:30:00,1.04,1.04,1.04,1.04,600
ok,2024-01-12 11:00:00,1.05,1.05,1.04,1.04,4400
ok,2024-01-12 11:30:00,1.04,1.04,1.04,1.04,300
ok,2024-01-12 12:00:00,1.04,1.04,1.03,1.03,450
ok,2024-01-12 12:30:00,1.02,1.02,1.02,1.02,1500
ok,2024-01-12 13:00:00,1.02,1.02,1.0,1.0,6256
ok,2024-01-12 13:30:00,1.06,1.06,1.03,1.05,1917
ok,2024-01-12 14:00:00,1.06,1.06,1.03,1.03,475
ok,2024-01-12 14:30:00,1.06,1.06,1.06,1.06,721
ok,2024-01-12 15:00:00,1.04,1.04,1.04,1.04,1415
ok,2024-01-12 15:30:00,1.03,1.06,1.03,1.06,2278
ok,2024-01-12 18:00:00,1.02,1.02,1.02,1.02,112
ok,2024-01-16 08:00:00,1.06,1.06,1.06,1.06,1004
ok,2024-01-16 08:30:00,1.01,1.01,1.01,1.01,1000
ok,2024-01-16 09:00:00,1.06,1.12,1.06,1.12,818
ok,2024-01-16 09:30:00,1.11,1.11,1.06,1.08,26967
ok,2024-01-16 10:00:00,1.06,1.08,1.06,1.07,1450
ok,2024-01-16 10:30:00,1.08,1.08,1.06,1.06,3324
ok,2024-01-16 11:00:00,1.07,1.07,1.03,1.05,10642
ok,2024-01-16 11:30:00,1.05,1.13,1.03,1.1,61618
ok,2024-01-16 12:00:00,1.11,1.11,1.09,1.09,5483
ok,2024-01-16 12:30:00,1.09,1.16,1.08,1.1,29420
ok,2024-01-16 13:00:00,1.1,1.11,1.06,1.08,3441
ok,2024-01-16 13:30:00,1.08,1.08,1.08,1.08,200
ok,2024-01-16 14:30:00,1.09,1.12,1.09,1.09,701
ok,2024-01-16 15:00:00,1.09,1.11,1.09,1.09,10444
ok,2024-01-16 15:30:00,1.09,1.11,1.08,1.11,4178
ok,2024-01-16 16:00:00,1.14,1.15,1.14,1.15,684
ok,2024-01-16 17:00:00,1.2,1.2,1.2,1.2,11925
ok,2024-01-16 18:00:00,1.12,1.12,1.12,1.12,706
ok,2024-01-16 19:30:00,1.13,1.13,1.13,1.13,304
ok,2024-01-17 09:00:00,1.08,1.08,1.08,1.08,156
ok,2024-01-17 09:30:00,1.12,1.12,1.05,1.07,13623
ok,2024-01-17 10:00:00,1.09,1.09,1.09,1.09,1004
ok,2024-01-17 10:30:00,1.08,1.08,1.08,1.08,1400
ok,2024-01-17 11:00:00,1.08,1.08,1.08,1.08,100
ok,2024-01-17 11:30:00,1.07,1.09,1.05,1.05,8704
ok,2024-01-17 12:30:00,1.06,1.06,1.06,1.06,500
ok,2024-01-17 13:00:00,1.07,1.07,1.07,1.07,170
ok,2024-01-17 14:00:00,1.05,1.06,1.05,1.06,939
ok,2024-01-17 14:30:00,1.05,1.05,1.05,1.05,1250
ok,2024-01-17 15:30:00,1.08,1.09,1.08,1.09,1954
ok,2024-01-18 07:30:00,1.14,1.14,1.14,1.14,600
ok,2024-01-18 08:00:00,1.1,1.14,1.1,1.14,1000
ok,2024-01-18 08:30:00,1.15,1.15,1.15,1.15,155
ok,2024-01-18 09:00:00,1.14,1.14,1.14,1.14,329
ok,2024-01-18 09:30:00,1.16,1.16,1.11,1.11,7528
ok,2024-01-18 10:00:00,1.11,1.13,1.09,1.09,8564
ok,2024-01-18 10:30:00,1.1,1.1,1.1,1.1,100
ok,2024-01-18 12:00:00,1.12,1.12,1.1,1.1,600
ok,2024-01-18 13:00:00,1.12,1.12,1.1,1.11,4474
