s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.43,1.43,1.43,1.43,1050
ok,2024-01-02 10:00:00,1.39,1.43,1.39,1.43,1802
ok,2024-01-02 13:00:00,1.38,1.42,1.32,1.42,1208
ok,2024-01-02 14:00:00,1.36,1.44,1.34,1.44,2753
ok,2024-01-02 15:30:00,1.39,1.39,1.39,1.39,200
ok,2024-01-03 09:00:00,1.35,1.35,1.34,1.34,201
ok,2024-01-03 09:30:00,1.3,1.35,1.3,1.32,8874
ok,2024-01-03 10:00:00,1.33,1.33,1.3,1.33,4400
ok,2024-01-03 10:30:00,1.3,1.3,1.3,1.3,100
ok,2024-01-03 12:30:00,1.3,1.3,1.29,1.29,504
ok,2024-01-03 13:00:00,1.31,1.31,1.31,1.31,100
ok,2024-01-03 13:30:00,1.31,1.31,1.31,1.31,500
ok,2024-01-03 14:30:00,1.3,1.31,1.3,1.31,687
ok,2024-01-03 15:00:00,1.31,1.31,1.31,1.31,100
ok,2024-01-03 15:30:00,1.3,1.31,1.3,1.31,300
ok,2024-01-04 09:30:00,1.26,1.26,1.26,1.26,500
ok,2024-01-04 10:00:00,1.27,1.27,1.24,1.24,2843
ok,2024-01-04 10:30:00,1.23,1.24,1.21,1.24,10410
ok,2024-01-04 12:00:00,1.23,1.23,1.23,1.23,875
ok,2024-01-04 13:00:00,1.23,1.23,1.23,1.23,100
ok,2024-01-04 13:30:00,1.21,1.3,1.21,1.3,18154
ok,2024-01-04 14:00:00,1.26,1.26,1.26,1.26,500
ok,2024-01-04 15:00:00,1.3,1.3,1.3,1.3,198
ok,2024-01-04 15:30:00,1.3,1.31,1.26,1.31,1119
ok,2024-01-05 09:30:00,1.35,1.35,1.27,1.27,847
ok,2024-01-05 10:00:00,1.35,1.35,1.28,1.28,221
ok,2024-01-05 10:30:00,1.33,1.33,1.33,1.33,100
ok,2024-01-05 12:00:00,1.33,1.33,1.3,1.3,3000
ok,2024-01-05 13:30:00,1.31,1.39,1.31,1.33,11729
ok,2024-01-05 14:00:00,1.33,1.35,1.29,1.29,4276
ok,2024-01-05 15:30:00,1.31,1.31,1.31,1.31,300
ok,2024-01-08 09:30:00,1.29,1.33,1.26,1.26,3301
ok,2024-01-08 10:00:00,1.33,1.33,1.33,1.33,1030
ok,2024-01-08 10:30:00,1.33,1.33,1.3,1.31,1133
ok,2024-01-08 12:00:00,1.32,1.32,1.32,1.32,100
ok,2024-01-09 07:00:00,1.37,1.46,1.37,1.46,600
ok,2024-01-09 08:00:00,1.54,1.54,1.51,1.51,3287
ok,2024-01-09 09:30:00,1.37,1.4,1.37,1.37,600
ok,2024-01-09 10:00:00,1.37,1.39,1.34,1.35,1678
ok,2024-01-09 10:30:00,1.33,1.33,1.32,1.33,885
ok,2024-01-09 11:00:00,1.27,1.3,1.27,1.3,400
ok,2024-01-09 11:30:00,1.3,1.3,1.29,1.3,4569
ok,2024-01-09 12:30:00,1.33,1.37,1.33,1.37,344
ok,2024-01-09 13:00:00,1.37,1.37,1.34,1.34,600
ok,2024-01-09 13:30:00,1.34,1.34,1.32,1.32,350
ok,2024-01-09 14:30:00,1.34,1.34,1.34,1.34,100
ok,2024-01-09 15:00:00,1.34,1.34,1.32,1.32,1149
ok,2024-01-09 15:30:00,1.35,1.35,1.35,1.35,110
ok,2024-01-10 06:00:00,1.28,1.28,1.28,1.28,179
ok,2024-01-10 08:00:00,1.33,1.33,1.33,1.33,300
ok,2024-01-10 09:30:00,1.4,1.4,1.38,1.38,2343
ok,2024-01-10 10:00:00,1.4,1.4,1.33,1.33,1746
ok,2024-01-10 12:00:00,1.39,1.39,1.34,1.34,400
ok,2024-01-10 12:30:00,1.38,1.38,1.37,1.37,200
ok,2024-01-10 14:00:00,1.34,1.34,1.34,1.34,212
ok,2024-01-10 15:30:00,1.37,1.37,1.37,1.37,100
ok,2024-01-11 08:00:00,1.32,1.32,1.32,1.32,200
ok,2024-01-11 10:30:00,1.35,1.35,1.33,1.33,222
ok,2024-01-11 11:30:00,1.34,1.34,1.34,1.34,180
ok,2024-01-12 09:30:00,1.39,1.39,1.39,1.39,2304
ok,2024-01-12 10:30:00,1.32,1.33,1.32,1.33,2232
ok,2024-01-12 14:00:00,1.33,1.33,1.33,1.33,800
ok,2024-01-12 14:30:00,1.39,1.51,1.36,1.42,18473
ok,2024-01-12 15:00:00,1.37,1.55,1.36,1.37,47316
ok,2024-01-12 15:30:00,1.38,1.38,1.33,1.34,9537
ok,2024-01-12 18:00:00,1.35,1.35,1.35,1.35,170
ok,2024-01-16 07:00:00,1.34,1.34,1.34,1.34,100
ok,2024-01-16 09:00:00,1.34,1.34,1.34,1.34,398
ok,2024-01-16 09:30:00,1.28,1.37,1.28,1.34,5992
ok,2024-01-16 10:00:00,1.33,1.35,1.33,1.35,4701
ok,2024-01-16 10:30:00,1.36,1.46,1.36,1.46,9378
ok,2024-01-16 11:00:00,1.36,1.36,1.36,1.36,2304
ok,2024-01-16 11:30:00,1.35,1.46,1.35,1.46,4250
ok,2024-01-16 12:00:00,1.35,1.35,1.35,1.35,136
ok,2024-01-16 15:00:00,1.38,1.42,1.35,1.35,8416
ok,2024-01-16 15:30:00,1.42,1.44,1.35,1.35,7801
ok,2024-01-17 09:30:00,1.35,1.36,1.33,1.33,12025
ok,2024-01-17 10:00:00,1.33,1.33,1.33,1.33,400
ok,2024-01-17 10:30:00,1.34,1.36,1.26,1.31,22534
ok,2024-01-17 11:00:00,1.38,1.38,1.38,1.38,150
ok,2024-01-17 12:00:00,1.39,1.39,1.39,1.39,100
ok,2024-01-17 14:30:00,1.32,1.32,1.32,1.32,2000
ok,2024-01-17 15:00:00,1.31,1.35,1.31,1.35,4135
ok,2024-01-17 15:30:00,1.35,1.36,1.31,1.31,9944
ok,2024-01-18 09:30:00,1.26,1.3,1.26,1.3,752
ok,2024-01-18 10:00:00,1.3,1.36,1.3,1.3,1900
ok,2024-01-18 11:00:00,1.28,1.28,1.28,1.28,495
ok,2024-01-18 12:30:00,1.3,1.34,1.3,1.34,1407
ok,2024-01-18 13:00:00,1.36,1.36,1.3,1.3,2077
ok,2024-01-18 13:30:00,1.3,1.3,1.3,1.3,6666
ok,2024-01-18 14:30:00,1.26,1.26,1.26,1.26,125
ok,2024-01-18 15:00:00,1.26,1.27,1.26,1.27,816
ok,2024-01-19 09:30:00,1.26,1.26,1.26,1.26,121
ok,2024-01-19 10:00:00,1.33,1.35,1.27,1.27,1148
ok,2024-01-19 11:30:00,1.28,1.31,1.28,1.31,1386
ok,2024-01-19 14:00:00,1.31,1.31,1.31,1.31,788
ok,2024-01-19 14:30:00,1.31,1.31,1.31,1.31,2708
ok,2024-01-19 15:00:00,1.27,1.27,1.27,1.27,100
ok,2024-01-19 18:30:00,1.22,1.22,1.22,1.22,212
ok,2024-01-22 09:30:00,1.21,1.26,1.2,1.23,4130
ok,2024-01-22 10:00:00,1.25,1.25,1.2,1.25,9818
ok,2024-01-22 10:30:00,1.24,1.25,1.22,1.25,300
ok,2024-01-22 11:00:00,1.25,1.25,1.24,1.24,200
ok,2024-01-22 11:30:00,1.22,1.25,1.22,1.25,202
ok,2024-01-22 12:00:00,1.26,1.26,1.26,1.26,264
ok,2024-01-22 14:00:00,1.28,1.28,1.27,1.27,1922
ok,2024-01-22 14:30:00,1.24,1.24,1.24,1.24,100
ok,2024-01-22 15:00:00,1.24,1.24,1.24,1.24,300
ok,2024-01-22 15:30:00,1.22,1.22,1.19,1.19,2403
ok,2024-01-23 10:00:00,1.25,1.35,1.25,1.27,12822
ok,2024-01-23 10:30:00,1.27,1.34,1.27,1.34,2457
ok,2024-01-23 11:00:00,1.31,1.31,1.3,1.3,644
ok,2024-01-23 12:30:00,1.31,1.31,1.27,1.27,1576
ok,2024-01-23 14:30:00,1.29,1.29,1.27,1.27,1000
ok,2024-01-23 15:30:00,1.27,1.27,1.26,1.26,1400
ok,2024-01-24 09:30:00,1.23,1.34,1.2,1.34,5818
ok,2024-01-24 10:00:00,1.28,1.34,1.23,1.34,900
ok,2024-01-24 10:30:00,1.28,1.33,1.28,1.28,1100
ok,2024-01-24 11:00:00,1.32,1.34,1.3,1.31,12109
ok,2024-01-24 11:30:00,1.31,1.33,1.31,1.33,500
ok,2024-01-24 12:00:00,1.31,1.31,1.31,1.31,900
ok,2024-01-24 12:30:00,1.28,1.28,1.28,1.28,500
ok,2024-01-24 13:30:00,1.31,1.31,1.27,1.27,1125
ok,2024-01-24 14:00:00,1.3,1.3,1.3,1.3,400
ok,2024-01-24 14:30:00,1.35,1.35,1.31,1.31,1525
ok,2024-01-24 15:00:00,1.31,1.31,1.31,1.31,250
ok,2024-01-24 15:30:00,1.34,1.34,1.32,1.32,658
ok,2024-01-25 09:30:00,1.34,1.34,1.33,1.33,469
ok,2024-01-25 10:30:00,1.22,1.35,1.22,1.35,3423
ok,2024-01-25 11:00:00,1.35,1.39,1.32,1.32,4111
ok,2024-01-25 11:30:00,1.39,1.39,1.36,1.36,5584
ok,2024-01-25 12:00:00,1.36,1.42,1.36,1.42,2750
ok,2024-01-25 12:30:00,1.39,1.4,1.36,1.38,2847
ok,2024-01-25 13:00:00,1.36,1.36,1.36,1.36,100
ok,2024-01-25 13:30:00,1.45,1.49,1.44,1.45,10008
ok,2024-01-25 14:00:00,1.48,1.5,1.44,1.47,3449
ok,2024-01-25 14:30:00,1.48,1.5,1.47,1.5,1964
ok,2024-01-25 15:00:00,1.49,1.51,1.48,1.5,1900
ok,2024-01-25 15:30:00,1.5,1.52,1.49,1.49,5940
ok,2024-01-26 09:30:00,1.48,1.5,1.47,1.5,650
ok,2024-01-26 10:30:00,1.47,1.5,1.47,1.5,1126
