s,t,o,h,l,c,v
ok,2024-03-05 11:00:00,5.0,5.0,4.03,4.35,444374
ok,2024-03-05 11:30:00,4.35,4.55,4.11,4.38,173051
ok,2024-03-05 12:00:00,4.4,4.44,4.2,4.26,59617
ok,2024-03-05 12:30:00,4.23,4.32,4.1,4.13,82802
ok,2024-03-05 13:00:00,4.13,4.25,3.66,3.8,298717
ok,2024-03-05 13:30:00,3.8,4.15,3.67,4.1,163393
ok,2024-03-05 14:00:00,3.95,4.19,3.86,4.07,30796
ok,2024-03-05 14:30:00,4.13,4.15,4.02,4.1,29495
ok,2024-03-05 15:00:00,4.07,4.12,3.72,3.85,34073
ok,2024-03-05 15:30:00,3.96,3.98,3.61,3.61,76019
ok,2024-03-05 16:00:00,3.58,3.8,3.58,3.61,8312
ok,2024-03-05 16:30:00,3.61,3.8,3.6,3.78,1691
ok,2024-03-05 17:00:00,3.66,3.66,3.36,3.4,4783
ok,2024-03-05 17:30:00,3.4,3.8,3.4,3.8,5759
ok,2024-03-05 18:00:00,3.8,3.8,3.65,3.8,6084
ok,2024-03-05 18:30:00,3.79,3.8,3.7,3.8,2961
ok,2024-03-05 19:00:00,3.8,3.8,3.77,3.77,1709
ok,2024-03-05 19:30:00,3.77,3.77,3.77,3.77,1528
ok,2024-03-06 04:00:00,3.61,3.75,3.61,3.75,553
ok,2024-03-06 04:30:00,3.72,3.72,3.71,3.71,231
ok,2024-03-06 05:00:00,3.8,3.8,3.8,3.8,211
ok,2024-03-06 05:30:00,3.78,3.78,3.78,3.78,200
ok,2024-03-06 06:00:00,3.73,3.73,3.7,3.7,999
ok,2024-03-06 06:30:00,3.78,3.78,3.75,3.78,960
ok,2024-03-06 07:00:00,3.75,3.75,3.7,3.7,5039
ok,2024-03-06 07:30:00,3.72,3.72,3.6,3.6,3730
ok,2024-03-06 08:00:00,3.71,3.75,3.3,3.7,7591
ok,2024-03-06 08:30:00,3.6,3.68,3.59,3.65,1568
ok,2024-03-06 09:00:00,3.65,3.8,3.6,3.6,6550
ok,2024-03-06 09:30:00,3.51,3.8,3.51,3.55,29628
ok,2024-03-06 10:00:00,3.69,3.69,3.37,3.56,26028
ok,2024-03-06 10:30:00,3.55,3.84,3.42,3.77,110395
ok,2024-03-06 11:00:00,3.75,3.85,3.75,3.83,33145
ok,2024-03-06 11:30:00,3.87,3.87,3.8,3.8,21838
ok,2024-03-06 12:00:00,3.8,3.82,3.75,3.75,12813
ok,2024-03-06 12:30:00,3.76,3.76,3.65,3.75,19717
ok,2024-03-06 13:00:00,3.8,3.81,3.65,3.7,27797
ok,2024-03-06 13:30:00,3.68,3.7,3.61,3.61,6514
ok,2024-03-06 14:00:00,3.66,3.74,3.66,3.72,3960
ok,2024-03-06 14:30:00,3.7,3.7,3.63,3.63,3032
ok,2024-03-06 15:00:00,3.61,3.67,3.56,3.6,23696
ok,2024-03-06 15:30:00,3.62,3.85,3.54,3.82,30985
ok,2024-03-06 16:00:00,3.52,3.69,3.52,3.69,599
ok,2024-03-06 17:00:00,3.81,3.85,3.81,3.85,1878
ok,2024-03-06 19:00:00,3.79,3.79,3.6,3.6,370
ok,2024-03-07 04:00:00,3.89,3.89,3.89,3.89,100
ok,2024-03-07 06:00:00,3.72,3.72,3.72,3.72,163
ok,2024-03-07 07:00:00,3.72,3.89,3.72,3.89,232
ok,2024-03-07 08:00:00,3.93,3.93,3.93,3.93,482
ok,2024-03-07 08:30:00,3.72,3.72,3.72,3.72,117
ok,2024-03-07 09:00:00,3.85,3.9,3.76,3.9,3650
ok,2024-03-07 09:30:00,3.81,3.81,3.33,3.42,18260
ok,2024-03-07 10:00:00,3.52,3.58,3.35,3.35,8760
ok,2024-03-07 10:30:00,3.36,3.38,3.25,3.34,10255
ok,2024-03-07 11:00:00,3.4,3.42,3.33,3.33,3813
ok,2024-03-07 11:30:00,3.33,3.48,3.28,3.4,60608
ok,2024-03-07 12:00:00,3.34,3.5,3.28,3.49,7312
ok,2024-03-07 12:30:00,3.48,3.48,3.48,3.48,988
ok,2024-03-07 13:00:00,3.48,3.52,3.48,3.51,3224
ok,2024-03-07 13:30:00,3.5,3.51,3.5,3.51,300
ok,2024-03-07 14:00:00,3.51,3.51,3.51,3.51,100
ok,2024-03-07 14:30:00,3.51,3.52,3.39,3.41,2478
ok,2024-03-07 15:00:00,3.46,3.46,3.42,3.43,1088
ok,2024-03-07 15:30:00,3.39,3.46,3.21,3.25,16687
ok,2024-03-07 16:00:00,3.39,3.39,3.23,3.23,612
ok,2024-03-07 16:30:00,3.27,3.27,3.13,3.13,4276
ok,2024-03-07 17:00:00,3.35,3.35,3.35,3.35,102
ok,2024-03-07 17:30:00,3.4,3.4,3.4,3.4,100
ok,2024-03-07 19:30:00,3.19,3.19,3.19,3.19,349
ok,2024-03-08 06:30:00,2.72,2.72,2.72,2.72,118
ok,2024-03-08 07:00:00,2.75,3.0,2.75,3.0,512
ok,2024-03-08 07:30:00,3.2,3.2,3.19,3.19,600
ok,2024-03-08 08:00:00,3.25,3.36,3.1,3.2,3093
ok,2024-03-08 08:30:00,3.2,3.4,3.2,3.4,2301
ok,2024-03-08 09:30:00,3.29,3.38,3.29,3.29,3220
ok,2024-03-08 10:00:00,3.38,3.39,3.29,3.29,8573
ok,2024-03-08 10:30:00,3.29,3.34,3.29,3.3,2470
ok,2024-03-08 11:00:00,3.3,3.48,3.2,3.43,25513
ok,2024-03-08 11:30:00,3.48,3.48,3.38,3.38,7318
ok,2024-03-08 12:00:00,3.38,3.38,3.3,3.3,1608
ok,2024-03-08 12:30:00,3.34,3.34,3.3,3.3,664
ok,2024-03-08 13:00:00,3.26,3.29,3.1,3.22,21580
ok,2024-03-08 13:30:00,3.29,3.3,3.29,3.3,856
ok,2024-03-08 14:00:00,3.13,3.21,3.12,3.21,1219
ok,2024-03-08 14:30:00,3.29,3.29,3.1,3.11,2935
ok,2024-03-08 15:00:00,3.13,3.13,3.13,3.13,250
ok,2024-03-08 15:30:00,3.13,3.3,3.11,3.21,5591
ok,2024-03-08 16:00:00,3.41,3.41,3.41,3.41,1000
ok,2024-03-08 16:30:00,3.11,3.11,3.11,3.11,1000
ok,2024-03-08 17:30:00,3.25,3.25,3.25,3.25,800
ok,2024-03-11 03:00:00,3.12,3.13,3.12,3.13,200
ok,2024-03-11 05:00:00,2.82,2.83,2.82,2.82,900
ok,2024-03-11 08:30:00,3.13,3.13,3.03,3.09,3536
ok,2024-03-11 09:00:00,3.06,3.06,2.72,2.78,33320
ok,2024-03-11 09:30:00,2.8,2.89,2.77,2.79,11178
ok,2024-03-11 10:00:00,2.87,2.96,2.78,2.94,9640
ok,2024-03-11 10:30:00,2.95,3.05,2.94,3.05,14782
ok,2024-03-11 11:00:00,3.0,3.04,2.79,2.91,6804
ok,2024-03-11 11:30:00,2.96,3.0,2.83,3.0,10305
ok,2024-03-11 12:00:00,3.0,3.0,2.81,2.81,11271
ok,2024-03-11 12:30:00,3.0,3.0,2.81,2.81,4144
ok,2024-03-11 13:00:00,2.82,2.97,2.82,2.97,700
ok,2024-03-11 13:30:00,2.91,2.91,2.82,2.82,1899
ok,2024-03-11 14:00:00,2.99,2.99,2.9,2.97,3542
ok,2024-03-11 14:30:00,2.92,2.92,2.85,2.85,14508
ok,2024-03-12 06:00:00,3.0,3.0,3.0,3.0,100
ok,2024-03-12 07:00:00,3.0,3.0,3.0,3.0,117
ok,2024-03-12 07:30:00,3.09,3.1,3.09,3.1,789
ok,2024-03-12 08:00:00,3.0,3.0,3.0,3.0,1690
ok,2024-03-12 08:30:00,2.93,3.88,2.93,3.44,222939
ok,2024-03-12 09:00:00,3.45,3.52,3.25,3.45,49388
ok,2024-03-12 09:30:00,3.45,3.52,3.12,3.4,42864
ok,2024-03-12 10:00:00,3.39,3.51,3.31,3.35,17138
ok,2024-03-12 10:30:00,3.28,3.46,3.28,3.4,9400
ok,2024-03-12 11:00:00,3.44,3.49,3.31,3.47,13478
ok,2024-03-12 11:30:00,3.45,3.65,3.43,3.6,21921
ok,2024-03-12 12:00:00,3.65,3.65,3.5,3.55,17623
ok,2024-03-12 12:30:00,3.6,3.75,3.53,3.7,44606
ok,2024-03-12 13:00:00,3.74,3.81,3.68,3.78,22025
ok,2024-03-12 13:30:00,3.8,3.81,3.6,3.66,16665
ok,2024-03-12 14:00:00,3.61,3.73,3.55,3.73,11428
ok,2024-03-12 14:30:00,3.62,3.72,3.44,3.57,38179
ok,2024-03-12 15:00:00,3.58,3.78,3.5,3.5,800
ok,2024-03-12 15:30:00,3.36,3.4,3.36,3.4,1018
ok,2024-03-12 16:00:00,3.36,3.36,3.36,3.36,148
ok,2024-03-12 17:00:00,3.42,3.42,3.42,3.42,100
ok,2024-03-13 07:00:00,3.6,3.6,3.55,3.6,384
ok,2024-03-13 07:30:00,3.6,3.6,3.6,3.6,443
ok,2024-03-13 08:00:00,3.55,3.55,3.55,3.55,366
ok,2024-03-13 08:30:00,3.57,3.7,3.57,3.61,18801
ok,2024-03-13 09:00:00,3.69,3.7,3.63,3.68,15164
ok,2024-03-13 09:30:00,3.68,3.69,3.58,3.6,13375
ok,2024-03-13 10:00:00,3.59,3.62,3.22,3.49,23257
