s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,1.41,1.41,1.41,1.41,500
ok,2024-01-02 06:30:00,1.41,1.41,1.41,1.41,1468
ok,2024-01-02 08:00:00,1.38,1.38,1.38,1.38,2427
ok,2024-01-02 09:30:00,1.43,1.43,1.36,1.36,12863
ok,2024-01-02 10:00:00,1.39,1.42,1.33,1.36,36856
ok,2024-01-02 10:30:00,1.35,1.41,1.35,1.36,8131
ok,2024-01-02 11:00:00,1.35,1.4,1.35,1.4,16539
ok,2024-01-02 11:30:00,1.4,1.4,1.38,1.4,8141
ok,2024-01-02 12:00:00,1.39,1.4,1.38,1.4,5508
ok,2024-01-02 12:30:00,1.38,1.4,1.38,1.39,1306
ok,2024-01-02 13:00:00,1.39,1.4,1.38,1.38,9720
ok,2024-01-02 13:30:00,1.38,1.39,1.36,1.36,4917
ok,2024-01-02 14:00:00,1.35,1.35,1.33,1.35,6446
ok,2024-01-02 14:30:00,1.34,1.36,1.25,1.33,21510
ok,2024-01-02 15:00:00,1.31,1.31,1.3,1.31,5187
ok,2024-01-02 15:30:00,1.32,1.34,1.3,1.34,9464
ok,2024-01-02 16:30:00,1.34,1.34,1.34,1.34,100
ok,2024-01-02 17:00:00,1.34,1.34,1.34,1.34,500
ok,2024-01-02 18:00:00,1.34,1.34,1.34,1.34,2497
ok,2024-01-03 07:30:00,1.27,1.31,1.27,1.28,1148
ok,2024-01-03 08:00:00,1.27,1.32,1.27,1.28,4959
ok,2024-01-03 08:30:00,1.3,1.32,1.3,1.32,700
ok,2024-01-03 09:00:00,1.32,1.32,1.32,1.32,492
ok,2024-01-03 09:30:00,1.32,1.36,1.3,1.3,12340
ok,2024-01-03 10:00:00,1.34,1.35,1.3,1.3,4673
ok,2024-01-03 10:30:00,1.3,1.32,1.29,1.32,15396
ok,2024-01-03 11:00:00,1.31,1.32,1.29,1.29,6801
ok,2024-01-03 11:30:00,1.29,1.3,1.28,1.3,4893
ok,2024-01-03 12:00:00,1.3,1.3,1.28,1.29,7480
ok,2024-01-03 12:30:00,1.3,1.3,1.28,1.29,1684
ok,2024-01-03 13:00:00,1.29,1.3,1.25,1.28,11030
ok,2024-01-03 13:30:00,1.3,1.3,1.28,1.29,4364
ok,2024-01-03 14:00:00,1.3,1.32,1.26,1.32,23380
ok,2024-01-03 14:30:00,1.3,1.34,1.29,1.29,15744
ok,2024-01-03 15:00:00,1.29,1.33,1.29,1.29,800
ok,2024-01-03 15:30:00,1.29,1.32,1.29,1.32,4723
ok,2024-01-03 16:00:00,1.34,1.34,1.32,1.34,1084
ok,2024-01-03 17:30:00,1.33,1.33,1.33,1.33,908
ok,2024-01-03 19:30:00,1.32,1.32,1.27,1.27,500
ok,2024-01-04 07:00:00,1.33,1.34,1.33,1.34,239
ok,2024-01-04 09:30:00,1.28,1.28,1.26,1.26,3878
ok,2024-01-04 10:00:00,1.32,1.33,1.3,1.3,10939
ok,2024-01-04 10:30:00,1.27,1.32,1.27,1.28,13663
ok,2024-01-04 11:00:00,1.28,1.28,1.28,1.28,2250
ok,2024-01-04 11:30:00,1.3,1.3,1.27,1.3,13330
ok,2024-01-04 12:00:00,1.3,1.33,1.3,1.33,41019
ok,2024-01-04 12:30:00,1.31,1.33,1.31,1.31,2385
ok,2024-01-04 13:00:00,1.31,1.33,1.31,1.31,8547
ok,2024-01-04 13:30:00,1.32,1.32,1.32,1.32,179
ok,2024-01-04 14:00:00,1.32,1.34,1.32,1.32,16953
ok,2024-01-04 14:30:00,1.32,1.34,1.32,1.34,1476
ok,2024-01-04 15:00:00,1.33,1.33,1.33,1.33,726
ok,2024-01-04 15:30:00,1.33,1.35,1.3,1.35,9453
ok,2024-01-04 19:30:00,1.33,1.33,1.33,1.33,100
ok,2024-01-05 05:30:00,1.28,1.28,1.28,1.28,394
ok,2024-01-05 06:30:00,1.33,1.33,1.33,1.33,100
ok,2024-01-05 08:00:00,1.34,1.34,1.34,1.34,5000
ok,2024-01-05 09:00:00,1.3,1.3,1.3,1.3,1000
ok,2024-01-05 09:30:00,1.34,1.34,1.29,1.33,10884
ok,2024-01-05 10:00:00,1.31,1.34,1.31,1.33,15298
ok,2024-01-05 10:30:00,1.33,1.34,1.31,1.32,2934
ok,2024-01-05 11:00:00,1.34,1.34,1.3,1.32,7044
ok,2024-01-05 11:30:00,1.34,1.34,1.34,1.34,300
ok,2024-01-05 12:00:00,1.34,1.34,1.33,1.34,2988
ok,2024-01-05 12:30:00,1.3,1.32,1.28,1.29,5878
ok,2024-01-05 13:00:00,1.29,1.33,1.29,1.33,228
ok,2024-01-05 14:00:00,1.31,1.32,1.31,1.31,310
ok,2024-01-05 14:30:00,1.31,1.32,1.31,1.32,950
ok,2024-01-05 15:00:00,1.31,1.33,1.31,1.33,1478
ok,2024-01-05 15:30:00,1.3,1.32,1.27,1.29,9013
ok,2024-01-05 16:30:00,1.33,1.33,1.33,1.33,370
ok,2024-01-05 18:00:00,1.34,1.34,1.34,1.34,500
ok,2024-01-05 19:00:00,1.33,1.33,1.33,1.33,498
ok,2024-01-08 08:00:00,1.3,1.3,1.3,1.3,269
ok,2024-01-08 08:30:00,1.3,1.32,1.27,1.32,1500
ok,2024-01-08 09:00:00,1.31,1.32,1.31,1.32,1769
ok,2024-01-08 09:30:00,1.35,1.35,1.2,1.24,49602
ok,2024-01-08 10:00:00,1.28,1.28,1.2,1.2,17669
ok,2024-01-08 10:30:00,1.22,1.26,1.21,1.26,5693
ok,2024-01-08 11:00:00,1.26,1.26,1.25,1.25,1280
ok,2024-01-08 11:30:00,1.24,1.24,1.2,1.23,7335
ok,2024-01-08 12:00:00,1.24,1.24,1.24,1.24,163
ok,2024-01-08 12:30:00,1.25,1.25,1.24,1.24,3348
ok,2024-01-08 13:00:00,1.25,1.25,1.23,1.25,1969
ok,2024-01-08 13:30:00,1.25,1.26,1.25,1.26,2237
ok,2024-01-08 14:00:00,1.26,1.28,1.26,1.28,8405
ok,2024-01-08 14:30:00,1.27,1.28,1.27,1.27,1900
ok,2024-01-08 15:00:00,1.28,1.29,1.27,1.29,10275
ok,2024-01-08 15:30:00,1.27,1.3,1.27,1.3,5708
ok,2024-01-09 05:30:00,1.21,1.21,1.2,1.2,400
ok,2024-01-09 08:00:00,1.29,1.29,1.29,1.29,300
ok,2024-01-09 09:30:00,1.3,1.34,1.26,1.3,23437
ok,2024-01-09 10:00:00,1.3,1.3,1.2,1.28,13326
ok,2024-01-09 10:30:00,1.25,1.28,1.25,1.28,6404
ok,2024-01-09 11:00:00,1.26,1.28,1.26,1.28,1020
ok,2024-01-09 11:30:00,1.3,1.3,1.29,1.3,500
ok,2024-01-09 12:00:00,1.26,1.26,1.25,1.25,800
ok,2024-01-09 12:30:00,1.26,1.28,1.26,1.27,1645
ok,2024-01-09 13:00:00,1.28,1.28,1.26,1.26,1701
ok,2024-01-09 13:30:00,1.26,1.26,1.2,1.25,20525
ok,2024-01-09 14:00:00,1.24,1.27,1.24,1.27,3869
ok,2024-01-09 14:30:00,1.25,1.28,1.21,1.27,10990
ok,2024-01-09 15:00:00,1.24,1.27,1.24,1.25,1741
ok,2024-01-09 15:30:00,1.27,1.28,1.22,1.23,16846
ok,2024-01-10 09:00:00,1.29,1.3,1.29,1.3,986
ok,2024-01-10 09:30:00,1.31,1.32,1.25,1.28,8214
ok,2024-01-10 10:00:00,1.28,1.28,1.22,1.26,5141
ok,2024-01-10 10:30:00,1.28,1.28,1.27,1.27,820
ok,2024-01-10 12:00:00,1.27,1.28,1.27,1.28,200
ok,2024-01-10 12:30:00,1.28,1.28,1.28,1.28,100
ok,2024-01-10 13:00:00,1.26,1.29,1.26,1.29,325
ok,2024-01-10 13:30:00,1.26,1.28,1.26,1.28,1271
ok,2024-01-10 14:00:00,1.28,1.31,1.27,1.27,18470
ok,2024-01-10 14:30:00,1.3,1.31,1.27,1.27,7415
ok,2024-01-10 15:00:00,1.3,1.31,1.3,1.31,5768
ok,2024-01-10 15:30:00,1.3,1.3,1.24,1.26,15469
ok,2024-01-10 16:30:00,1.29,1.29,1.29,1.29,550
ok,2024-01-11 06:30:00,1.22,1.22,1.21,1.21,435
ok,2024-01-11 07:30:00,1.29,1.29,1.29,1.29,100
ok,2024-01-11 09:00:00,1.3,1.3,1.3,1.3,100
ok,2024-01-11 09:30:00,1.28,1.28,1.24,1.28,5235
ok,2024-01-11 10:00:00,1.24,1.27,1.24,1.27,994
ok,2024-01-11 11:00:00,1.25,1.25,1.21,1.22,15773
ok,2024-01-11 11:30:00,1.21,1.23,1.21,1.23,13373
ok,2024-01-11 12:00:00,1.23,1.23,1.22,1.22,4144
ok,2024-01-11 12:30:00,1.22,1.22,1.2,1.2,3870
ok,2024-01-11 13:00:00,1.2,1.2,1.16,1.19,15853
ok,2024-01-11 13:30:00,1.21,1.21,1.16,1.17,3374
ok,2024-01-11 14:00:00,1.18,1.18,1.14,1.15,19158
ok,2024-01-11 14:30:00,1.18,1.18,1.17,1.18,1270
