s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,4.35,4.46,4.32,4.32,27286
ok,2024-01-02 10:00:00,4.32,4.37,4.26,4.3,64873
ok,2024-01-02 10:30:00,4.29,4.38,4.29,4.38,27686
ok,2024-01-02 11:00:00,4.38,4.39,4.36,4.39,11862
ok,2024-01-02 11:30:00,4.39,4.41,4.38,4.41,2701
ok,2024-01-02 12:00:00,4.4,4.41,4.37,4.38,14242
ok,2024-01-02 12:30:00,4.37,4.39,4.37,4.38,3449
ok,2024-01-02 13:00:00,4.38,4.39,4.38,4.38,5592
ok,2024-01-02 13:30:00,4.38,4.43,4.38,4.43,10731
ok,2024-01-02 14:00:00,4.43,4.44,4.42,4.44,3646
ok,2024-01-02 14:30:00,4.44,4.44,4.41,4.42,13992
ok,2024-01-02 15:00:00,4.42,4.43,4.42,4.42,888
ok,2024-01-02 15:30:00,4.43,4.43,4.37,4.37,32599
ok,2024-01-03 06:00:00,4.26,4.29,4.2,4.27,20700
ok,2024-01-03 06:30:00,4.27,4.27,4.26,4.26,5431
ok,2024-01-03 07:00:00,4.27,4.28,4.2,4.24,15696
ok,2024-01-03 07:30:00,4.25,4.3,4.25,4.3,3179
ok,2024-01-03 08:00:00,4.28,4.33,4.26,4.29,22914
ok,2024-01-03 08:30:00,4.3,4.32,4.3,4.32,3105
ok,2024-01-03 09:00:00,4.33,4.33,4.23,4.26,19515
ok,2024-01-03 09:30:00,4.25,4.36,4.18,4.31,219068
ok,2024-01-03 10:00:00,4.31,4.34,4.31,4.32,89811
ok,2024-01-03 10:30:00,4.33,4.33,4.21,4.21,29114
ok,2024-01-03 11:00:00,4.22,4.26,4.21,4.24,13093
ok,2024-01-03 11:30:00,4.24,4.28,4.21,4.26,54840
ok,2024-01-03 12:00:00,4.26,4.27,4.25,4.25,25890
ok,2024-01-03 12:30:00,4.26,4.26,4.23,4.23,4494
ok,2024-01-03 13:00:00,4.23,4.27,4.23,4.25,12318
ok,2024-01-03 13:30:00,4.24,4.26,4.2,4.21,84038
ok,2024-01-03 14:00:00,4.21,4.22,4.19,4.2,39759
ok,2024-01-03 14:30:00,4.2,4.22,4.2,4.2,33675
ok,2024-01-03 15:00:00,4.2,4.22,4.18,4.19,60911
ok,2024-01-03 15:30:00,4.2,4.22,4.2,4.21,48079
ok,2024-01-03 16:30:00,4.19,4.19,4.19,4.19,1424
ok,2024-01-03 17:00:00,4.19,4.19,4.18,4.18,1423
ok,2024-01-03 19:30:00,4.18,4.18,4.18,4.18,300
ok,2024-01-04 04:30:00,4.32,4.33,4.32,4.32,800
ok,2024-01-04 09:00:00,4.25,4.25,4.15,4.18,11248
ok,2024-01-04 09:30:00,4.22,4.23,4.12,4.23,57581
ok,2024-01-04 10:00:00,4.24,4.24,4.21,4.21,7571
ok,2024-01-04 10:30:00,4.22,4.27,4.22,4.25,19029
ok,2024-01-04 11:00:00,4.25,4.28,4.24,4.25,28471
ok,2024-01-04 11:30:00,4.25,4.28,4.22,4.26,32158
ok,2024-01-04 12:00:00,4.26,4.28,4.25,4.28,16124
ok,2024-01-04 12:30:00,4.28,4.3,4.25,4.26,42214
ok,2024-01-04 13:00:00,4.26,4.3,4.26,4.28,20600
ok,2024-01-04 13:30:00,4.29,4.3,4.28,4.3,13083
ok,2024-01-04 14:00:00,4.3,4.31,4.28,4.29,9297
ok,2024-01-04 14:30:00,4.28,4.28,4.15,4.15,380180
ok,2024-01-04 15:00:00,4.16,4.17,4.14,4.14,85555
ok,2024-01-04 15:30:00,4.14,4.22,4.14,4.22,92672
ok,2024-01-05 08:00:00,4.17,4.17,4.17,4.17,100
ok,2024-01-05 08:30:00,4.17,4.17,4.17,4.17,300
ok,2024-01-05 09:00:00,4.15,4.17,4.15,4.15,1140
ok,2024-01-05 09:30:00,4.16,4.17,4.14,4.15,21909
ok,2024-01-05 10:00:00,4.16,4.16,4.11,4.14,48940
ok,2024-01-05 10:30:00,4.13,4.15,4.12,4.15,41682
ok,2024-01-05 11:00:00,4.14,4.15,4.09,4.12,84138
ok,2024-01-05 11:30:00,4.12,4.12,4.1,4.11,6600
ok,2024-01-05 12:00:00,4.1,4.11,4.09,4.1,47787
ok,2024-01-05 12:30:00,4.1,4.11,4.09,4.1,14081
ok,2024-01-05 13:00:00,4.11,4.15,4.1,4.14,43878
ok,2024-01-05 13:30:00,4.14,4.16,4.14,4.15,6733
ok,2024-01-05 14:00:00,4.15,4.16,4.15,4.15,3236
ok,2024-01-05 14:30:00,4.15,4.16,4.11,4.11,6381
ok,2024-01-05 15:00:00,4.11,4.17,4.11,4.16,17189
ok,2024-01-05 15:30:00,4.16,4.2,4.15,4.15,43222
ok,2024-01-05 17:30:00,4.16,4.16,4.16,4.16,104
ok,2024-01-08 06:30:00,4.1,4.11,4.1,4.1,1783
ok,2024-01-08 07:00:00,4.1,4.11,4.08,4.08,2817
