s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.59,0.6,0.59,0.6,4616
ok,2024-01-02 04:30:00,0.6,0.6,0.6,0.6,12736
ok,2024-01-02 05:00:00,0.6,0.6,0.6,0.6,757
ok,2024-01-02 05:30:00,0.6,0.6,0.6,0.6,4246
ok,2024-01-02 06:00:00,0.6,0.6,0.6,0.6,10443
ok,2024-01-02 06:30:00,0.6,0.6,0.6,0.6,4992
ok,2024-01-02 07:00:00,0.6,0.6,0.6,0.6,9147
ok,2024-01-02 07:30:00,0.6,0.6,0.6,0.6,14748
ok,2024-01-02 08:00:00,0.6,0.61,0.6,0.6,90163
ok,2024-01-02 08:30:00,0.6,0.62,0.6,0.61,35449
ok,2024-01-02 09:00:00,0.61,0.62,0.61,0.61,31518
ok,2024-01-02 09:30:00,0.61,0.61,0.59,0.59,686486
ok,2024-01-02 10:00:00,0.59,0.61,0.59,0.61,374614
ok,2024-01-02 10:30:00,0.61,0.61,0.6,0.6,229753
ok,2024-01-02 11:00:00,0.6,0.62,0.6,0.61,309443
ok,2024-01-02 11:30:00,0.61,0.61,0.61,0.61,260052
ok,2024-01-02 12:00:00,0.61,0.62,0.61,0.62,218577
ok,2024-01-02 12:30:00,0.62,0.62,0.62,0.62,174781
ok,2024-01-02 13:00:00,0.62,0.62,0.62,0.62,98707
ok,2024-01-02 13:30:00,0.62,0.62,0.62,0.62,164447
ok,2024-01-02 14:00:00,0.62,0.62,0.61,0.61,169258
ok,2024-01-02 14:30:00,0.61,0.61,0.6,0.6,142935
ok,2024-01-02 15:00:00,0.6,0.6,0.6,0.6,191005
ok,2024-01-02 15:30:00,0.6,0.6,0.59,0.59,363832
ok,2024-01-02 16:00:00,0.59,0.59,0.59,0.59,16950
ok,2024-01-02 16:30:00,0.59,0.62,0.59,0.61,3719
ok,2024-01-02 17:00:00,0.62,0.62,0.6,0.6,2025
ok,2024-01-02 17:30:00,0.59,0.6,0.59,0.59,2400
ok,2024-01-02 18:00:00,0.59,0.59,0.59,0.59,350
ok,2024-01-02 18:30:00,0.59,0.59,0.59,0.59,200
ok,2024-01-02 19:00:00,0.6,0.6,0.6,0.6,300
ok,2024-01-02 19:30:00,0.6,0.63,0.6,0.63,25941
ok,2024-01-03 04:30:00,0.61,0.61,0.61,0.61,2883
ok,2024-01-03 05:00:00,0.61,0.61,0.61,0.61,2089
ok,2024-01-03 05:30:00,0.61,0.61,0.61,0.61,600
ok,2024-01-03 06:00:00,0.61,0.61,0.61,0.61,4383
ok,2024-01-03 06:30:00,0.61,0.61,0.61,0.61,4940
ok,2024-01-03 07:00:00,0.61,0.61,0.61,0.61,8194
ok,2024-01-03 07:30:00,0.61,0.61,0.6,0.6,11905
ok,2024-01-03 08:00:00,0.61,0.61,0.6,0.6,21082
ok,2024-01-03 08:30:00,0.6,0.6,0.59,0.59,11457
ok,2024-01-03 09:00:00,0.59,0.6,0.59,0.6,21115
ok,2024-01-03 09:30:00,0.59,0.6,0.57,0.58,448192
ok,2024-01-03 10:00:00,0.58,0.58,0.58,0.58,265499
ok,2024-01-03 10:30:00,0.58,0.58,0.57,0.58,270335
ok,2024-01-03 11:00:00,0.58,0.58,0.58,0.58,98336
ok,2024-01-03 11:30:00,0.58,0.58,0.58,0.58,70829
ok,2024-01-03 12:00:00,0.58,0.58,0.57,0.58,48111
ok,2024-01-03 12:30:00,0.58,0.58,0.57,0.57,76394
ok,2024-01-03 13:00:00,0.57,0.57,0.57,0.57,264596
ok,2024-01-03 13:30:00,0.57,0.57,0.57,0.57,41984
ok,2024-01-03 14:00:00,0.57,0.57,0.56,0.57,217508
ok,2024-01-03 14:30:00,0.57,0.57,0.56,0.56,390906
ok,2024-01-03 15:00:00,0.56,0.56,0.55,0.55,549693
ok,2024-01-03 15:30:00,0.55,0.56,0.55,0.55,938716
ok,2024-01-03 16:00:00,0.55,0.56,0.55,0.56,17314
ok,2024-01-03 16:30:00,0.56,0.56,0.55,0.56,5555
ok,2024-01-03 17:00:00,0.56,0.57,0.56,0.57,3553
ok,2024-01-03 17:30:00,0.57,0.57,0.55,0.57,5979
ok,2024-01-03 18:00:00,0.57,0.57,0.57,0.57,667
ok,2024-01-03 18:30:00,0.56,0.56,0.55,0.55,1141
ok,2024-01-03 19:00:00,0.56,0.56,0.56,0.56,200
ok,2024-01-03 19:30:00,0.57,0.57,0.57,0.57,200
ok,2024-01-04 04:00:00,0.55,0.55,0.55,0.55,2077
ok,2024-01-04 04:30:00,0.55,0.56,0.55,0.56,702
ok,2024-01-04 05:00:00,0.56,0.56,0.56,0.56,526
ok,2024-01-04 05:30:00,0.56,0.56,0.56,0.56,103
ok,2024-01-04 06:00:00,0.55,0.56,0.55,0.55,6516
ok,2024-01-04 06:30:00,0.55,0.55,0.55,0.55,4129
ok,2024-01-04 07:00:00,0.55,0.55,0.55,0.55,7183
ok,2024-01-04 07:30:00,0.55,0.55,0.55,0.55,28775
ok,2024-01-04 08:00:00,0.55,0.56,0.55,0.55,80883
ok,2024-01-04 08:30:00,0.55,0.55,0.55,0.55,15403
ok,2024-01-04 09:00:00,0.55,0.55,0.55,0.55,11628
ok,2024-01-04 09:30:00,0.54,0.55,0.53,0.54,772899
ok,2024-01-04 10:00:00,0.54,0.55,0.54,0.54,180786
ok,2024-01-04 10:30:00,0.54,0.56,0.54,0.55,159889
ok,2024-01-04 11:00:00,0.55,0.55,0.55,0.55,439756
ok,2024-01-04 11:30:00,0.55,0.55,0.54,0.54,58470
ok,2024-01-04 12:00:00,0.54,0.55,0.54,0.55,188727
ok,2024-01-04 12:30:00,0.55,0.55,0.54,0.54,184421
ok,2024-01-04 13:00:00,0.54,0.54,0.54,0.54,96374
ok,2024-01-04 13:30:00,0.54,0.55,0.54,0.55,158378
ok,2024-01-04 14:00:00,0.55,0.55,0.54,0.54,54509
ok,2024-01-04 14:30:00,0.54,0.54,0.54,0.54,40061
ok,2024-01-04 15:00:00,0.54,0.54,0.54,0.54,70410
ok,2024-01-04 15:30:00,0.54,0.55,0.54,0.55,592186
ok,2024-01-04 16:00:00,0.55,0.55,0.55,0.55,101
ok,2024-01-04 16:30:00,0.55,0.56,0.55,0.55,2760
ok,2024-01-04 17:00:00,0.55,0.55,0.55,0.55,1035
ok,2024-01-04 17:30:00,0.56,0.56,0.55,0.55,2846
ok,2024-01-04 18:00:00,0.55,0.55,0.55,0.55,6885
ok,2024-01-04 18:30:00,0.55,0.55,0.54,0.55,3630
ok,2024-01-04 19:00:00,0.55,0.55,0.55,0.55,1000
ok,2024-01-04 19:30:00,0.55,0.55,0.55,0.55,100
ok,2024-01-05 04:00:00,0.55,0.55,0.55,0.55,1776
ok,2024-01-05 04:30:00,0.55,0.55,0.55,0.55,2628
ok,2024-01-05 05:00:00,0.55,0.55,0.55,0.55,1172
ok,2024-01-05 05:30:00,0.55,0.55,0.55,0.55,5068
ok,2024-01-05 06:00:00,0.55,0.55,0.55,0.55,4063
ok,2024-01-05 06:30:00,0.55,0.56,0.55,0.56,4177
ok,2024-01-05 07:00:00,0.55,0.55,0.55,0.55,2739
ok,2024-01-05 07:30:00,0.55,0.55,0.55,0.55,1702
ok,2024-01-05 08:00:00,0.56,0.56,0.55,0.55,16086
ok,2024-01-05 08:30:00,0.55,0.56,0.55,0.55,2174
ok,2024-01-05 09:00:00,0.56,0.56,0.55,0.55,6339
ok,2024-01-05 09:30:00,0.55,0.56,0.55,0.56,276163
ok,2024-01-05 10:00:00,0.56,0.57,0.56,0.57,207201
ok,2024-01-05 10:30:00,0.57,0.59,0.57,0.58,335626
ok,2024-01-05 11:00:00,0.58,0.58,0.57,0.57,145003
ok,2024-01-05 11:30:00,0.57,0.57,0.56,0.56,84178
ok,2024-01-05 12:00:00,0.56,0.56,0.55,0.56,132065
ok,2024-01-05 12:30:00,0.55,0.56,0.55,0.56,15648
ok,2024-01-05 13:00:00,0.56,0.56,0.55,0.55,81712
ok,2024-01-05 13:30:00,0.55,0.55,0.55,0.55,139823
ok,2024-01-05 14:00:00,0.55,0.55,0.55,0.55,113653
ok,2024-01-05 14:30:00,0.55,0.55,0.55,0.55,180617
ok,2024-01-05 15:00:00,0.55,0.55,0.55,0.55,221322
ok,2024-01-05 15:30:00,0.55,0.55,0.55,0.55,197543
ok,2024-01-05 16:00:00,0.55,0.58,0.55,0.58,1354
ok,2024-01-05 16:30:00,0.55,0.57,0.55,0.56,5893
ok,2024-01-05 17:00:00,0.56,0.56,0.55,0.56,611
ok,2024-01-05 17:30:00,0.56,0.56,0.56,0.56,100
ok,2024-01-05 18:00:00,0.55,0.55,0.55,0.55,200
ok,2024-01-05 19:30:00,0.56,0.56,0.56,0.56,520
ok,2024-01-08 04:00:00,0.55,0.55,0.55,0.55,2050
ok,2024-01-08 04:30:00,0.55,0.55,0.55,0.55,5072
ok,2024-01-08 05:00:00,0.55,0.55,0.55,0.55,1439
ok,2024-01-08 05:30:00,0.55,0.55,0.55,0.55,298
ok,2024-01-08 06:00:00,0.55,0.55,0.55,0.55,393
ok,2024-01-08 06:30:00,0.55,0.55,0.55,0.55,4601
ok,2024-01-08 07:00:00,0.55,0.55,0.55,0.55,3866
ok,2024-01-08 07:30:00,0.55,0.55,0.55,0.55,21379
ok,2024-01-08 08:00:00,0.55,0.56,0.55,0.55,55046
ok,2024-01-08 08:30:00,0.55,0.55,0.55,0.55,7423
ok,2024-01-08 09:00:00,0.55,0.55,0.55,0.55,4156
ok,2024-01-08 09:30:00,0.55,0.56,0.55,0.56,209269
ok,2024-01-08 10:00:00,0.56,0.56,0.55,0.55,130447
ok,2024-01-08 10:30:00,0.55,0.56,0.55,0.55,146607
ok,2024-01-08 11:00:00,0.55,0.55,0.55,0.55,182539
ok,2024-01-08 11:30:00,0.55,0.55,0.55,0.55,252705
ok,2024-01-08 12:00:00,0.55,0.55,0.55,0.55,93298
ok,2024-01-08 12:30:00,0.55,0.55,0.55,0.55,213371
ok,2024-01-08 13:00:00,0.55,0.55,0.55,0.55,300023
ok,2024-01-08 13:30:00,0.55,0.55,0.55,0.55,136611
ok,2024-01-08 14:00:00,0.55,0.55,0.55,0.55,90141
ok,2024-01-08 14:30:00,0.55,0.55,0.55,0.55,72779
ok,2024-01-08 15:00:00,0.55,0.55,0.55,0.55,216117
ok,2024-01-08 15:30:00,0.55,0.55,0.55,0.55,201251
ok,2024-01-08 16:00:00,0.55,0.55,0.55,0.55,5368
ok,2024-01-08 16:30:00,0.56,0.56,0.56,0.56,200
ok,2024-01-08 17:00:00,0.56,0.56,0.56,0.56,665
ok,2024-01-08 17:30:00,0.56,0.56,0.56,0.56,1000
ok,2024-01-08 18:00:00,0.56,0.56,0.56,0.56,1290
ok,2024-01-08 19:30:00,0.55,0.56,0.55,0.56,373
ok,2024-01-09 04:00:00,0.55,0.55,0.55,0.55,2645
ok,2024-01-09 04:30:00,0.55,0.55,0.54,0.55,2514
ok,2024-01-09 05:00:00,0.55,0.55,0.54,0.54,5914
ok,2024-01-09 05:30:00,0.54,0.54,0.54,0.54,1465
ok,2024-01-09 06:00:00,0.54,0.54,0.54,0.54,1025
ok,2024-01-09 06:30:00,0.54,0.54,0.54,0.54,1743
ok,2024-01-09 07:00:00,0.54,0.54,0.54,0.54,20247
ok,2024-01-09 07:30:00,0.54,0.54,0.54,0.54,847
ok,2024-01-09 08:00:00,0.54,0.55,0.54,0.54,36577
ok,2024-01-09 08:30:00,0.54,0.54,0.54,0.54,3749
ok,2024-01-09 09:00:00,0.54,0.55,0.54,0.54,2498
ok,2024-01-09 09:30:00,0.54,0.55,0.54,0.54,332126
ok,2024-01-09 10:00:00,0.54,0.55,0.54,0.55,578237
ok,2024-01-09 10:30:00,0.55,0.55,0.54,0.54,66955
ok,2024-01-09 11:00:00,0.54,0.55,0.54,0.55,390677
