s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,2.35,2.35,2.35,2.35,111
ok,2024-01-02 07:00:00,2.35,2.35,2.35,2.35,334
ok,2024-01-02 07:30:00,2.29,2.29,2.29,2.29,1131
ok,2024-01-02 08:00:00,2.35,2.35,2.26,2.29,1624
ok,2024-01-02 08:30:00,2.33,2.33,2.33,2.33,215
ok,2024-01-02 09:00:00,2.29,2.29,2.25,2.25,6245
ok,2024-01-02 09:30:00,2.13,2.23,2.1,2.17,53430
ok,2024-01-02 10:00:00,2.15,2.22,2.15,2.19,7048
ok,2024-01-02 10:30:00,2.22,2.25,2.19,2.22,565
ok,2024-01-02 11:00:00,2.21,2.22,2.2,2.21,3380
ok,2024-01-02 11:30:00,2.21,2.21,2.2,2.21,7716
ok,2024-01-02 12:00:00,2.19,2.19,2.16,2.19,10969
ok,2024-01-02 12:30:00,2.17,2.19,2.17,2.19,6250
ok,2024-01-02 13:00:00,2.18,2.19,2.17,2.17,9391
ok,2024-01-02 13:30:00,2.17,2.18,2.17,2.18,10310
ok,2024-01-02 14:00:00,2.18,2.19,2.17,2.18,2845
ok,2024-01-02 14:30:00,2.18,2.19,2.17,2.18,2838
ok,2024-01-02 15:00:00,2.18,2.18,2.17,2.17,2200
ok,2024-01-02 15:30:00,2.16,2.16,2.12,2.13,36890
ok,2024-01-02 16:00:00,2.14,2.14,2.14,2.14,1000
ok,2024-01-02 16:30:00,2.14,2.14,2.11,2.11,3598
ok,2024-01-02 17:30:00,2.11,2.11,2.11,2.11,685
ok,2024-01-02 18:30:00,2.11,2.11,2.11,2.11,100
ok,2024-01-02 19:00:00,2.1,2.1,2.1,2.1,206
ok,2024-01-02 19:30:00,2.11,2.11,2.11,2.11,495
ok,2024-01-03 04:00:00,2.02,2.02,2.02,2.02,1257
ok,2024-01-03 05:00:00,2.02,2.02,2.02,2.02,300
ok,2024-01-03 05:30:00,2.02,2.02,2.02,2.02,200
ok,2024-01-03 06:00:00,2.03,2.03,2.03,2.03,401
ok,2024-01-03 07:00:00,2.05,2.05,2.05,2.05,200
ok,2024-01-03 07:30:00,2.03,2.03,2.03,2.03,840
ok,2024-01-03 08:00:00,2.05,2.09,1.93,2.05,2989
ok,2024-01-03 08:30:00,2.09,2.09,2.03,2.03,1299
ok,2024-01-03 09:30:00,2.07,2.09,2.01,2.03,19763
ok,2024-01-03 10:00:00,2.01,2.08,2.01,2.02,23361
ok,2024-01-03 10:30:00,2.03,2.08,2.02,2.05,6168
ok,2024-01-03 11:00:00,2.01,2.08,2.0,2.08,8277
ok,2024-01-03 11:30:00,2.06,2.06,2.05,2.05,453
ok,2024-01-03 12:00:00,2.05,2.09,2.05,2.05,9196
ok,2024-01-03 12:30:00,2.05,2.09,2.02,2.05,3519
ok,2024-01-03 13:00:00,2.09,2.22,2.09,2.14,7496
ok,2024-01-03 13:30:00,2.15,2.23,2.1,2.17,3855
ok,2024-01-03 14:00:00,2.18,2.23,2.12,2.14,10016
ok,2024-01-03 14:30:00,2.13,2.22,2.13,2.22,13145
ok,2024-01-03 15:00:00,2.18,2.18,2.07,2.07,4360
ok,2024-01-03 15:30:00,2.12,2.12,1.99,1.99,32680
ok,2024-01-03 16:00:00,2.02,2.05,2.02,2.02,392
ok,2024-01-03 19:00:00,1.96,1.96,1.96,1.96,369
ok,2024-01-03 19:30:00,2.05,2.05,2.05,2.05,250
ok,2024-01-04 07:00:00,2.0,2.0,2.0,2.0,100
ok,2024-01-04 07:30:00,2.0,2.0,1.97,1.97,626
ok,2024-01-04 08:00:00,1.95,1.96,1.93,1.93,1015
ok,2024-01-04 09:30:00,1.99,2.01,1.94,2.0,11706
ok,2024-01-04 10:00:00,2.0,2.0,1.95,1.99,3637
ok,2024-01-04 10:30:00,1.99,2.01,1.98,1.98,870
ok,2024-01-04 11:00:00,1.99,1.99,1.99,1.99,250
ok,2024-01-04 11:30:00,2.0,2.0,1.96,1.98,12436
