s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,2.27,2.27,2.27,2.27,504
ok,2024-01-02 07:30:00,2.23,2.23,2.23,2.23,737
ok,2024-01-02 08:00:00,2.27,2.34,2.23,2.23,545
ok,2024-01-02 09:30:00,2.28,2.28,2.22,2.28,26121
ok,2024-01-02 10:00:00,2.3,2.32,2.28,2.28,7827
ok,2024-01-02 10:30:00,2.3,2.31,2.28,2.29,2749
ok,2024-01-02 11:00:00,2.3,2.3,2.28,2.28,694
ok,2024-01-02 11:30:00,2.31,2.32,2.29,2.32,7549
ok,2024-01-02 12:00:00,2.31,2.31,2.27,2.27,7194
ok,2024-01-02 12:30:00,2.28,2.3,2.27,2.3,5634
ok,2024-01-02 13:00:00,2.27,2.27,2.25,2.25,5689
ok,2024-01-02 13:30:00,2.25,2.25,2.18,2.19,15328
ok,2024-01-02 14:00:00,2.2,2.2,2.16,2.16,16055
ok,2024-01-02 14:30:00,2.16,2.2,2.16,2.19,9530
ok,2024-01-02 15:00:00,2.18,2.18,2.13,2.14,18892
ok,2024-01-02 15:30:00,2.15,2.15,2.06,2.08,58758
ok,2024-01-02 16:00:00,2.1,2.1,2.1,2.1,600
ok,2024-01-02 16:30:00,2.07,2.16,2.07,2.16,1750
ok,2024-01-02 17:00:00,2.2,2.2,2.2,2.2,3650
ok,2024-01-03 04:30:00,2.13,2.14,2.13,2.14,411
ok,2024-01-03 06:00:00,2.13,2.13,2.13,2.13,110
ok,2024-01-03 08:00:00,2.14,2.14,2.14,2.14,912
ok,2024-01-03 08:30:00,2.21,2.21,2.21,2.21,100
ok,2024-01-03 09:30:00,2.11,2.15,2.11,2.11,20440
ok,2024-01-03 10:00:00,2.13,2.16,2.12,2.16,17101
ok,2024-01-03 10:30:00,2.16,2.16,2.14,2.15,2481
ok,2024-01-03 11:00:00,2.15,2.15,2.13,2.13,8732
ok,2024-01-03 11:30:00,2.14,2.17,2.12,2.12,11403
ok,2024-01-03 12:00:00,2.11,2.12,2.07,2.12,66740
ok,2024-01-03 12:30:00,2.1,2.12,2.1,2.12,9123
ok,2024-01-03 13:00:00,2.11,2.12,2.1,2.11,5643
ok,2024-01-03 13:30:00,2.11,2.12,2.09,2.11,10134
ok,2024-01-03 14:00:00,2.09,2.13,2.09,2.13,5530
ok,2024-01-03 14:30:00,2.15,2.16,2.13,2.16,5777
ok,2024-01-03 15:00:00,2.18,2.19,2.17,2.17,6112
ok,2024-01-03 15:30:00,2.18,2.19,2.12,2.15,54738
ok,2024-01-03 16:00:00,2.16,2.16,2.16,2.16,1600
ok,2024-01-03 19:00:00,2.2,2.2,2.2,2.2,630
ok,2024-01-04 08:30:00,2.3,2.3,2.3,2.3,803
ok,2024-01-04 09:00:00,2.11,2.11,2.11,2.11,1000
ok,2024-01-04 09:30:00,2.19,2.19,2.15,2.19,10288
ok,2024-01-04 10:00:00,2.19,2.19,2.17,2.18,7308
ok,2024-01-04 10:30:00,2.17,2.17,2.13,2.13,6552
ok,2024-01-04 11:00:00,2.13,2.13,2.13,2.13,2244
ok,2024-01-04 11:30:00,2.14,2.14,2.12,2.13,4257
ok,2024-01-04 12:00:00,2.13,2.13,2.04,2.1,29962
ok,2024-01-04 12:30:00,2.09,2.11,2.07,2.11,4430
ok,2024-01-04 13:00:00,2.13,2.13,2.12,2.12,503
ok,2024-01-04 13:30:00,2.12,2.12,2.11,2.11,4506
ok,2024-01-04 14:00:00,2.1,2.11,2.1,2.1,2775
ok,2024-01-04 15:00:00,2.12,2.16,2.1,2.13,11455
ok,2024-01-04 15:30:00,2.13,2.16,2.13,2.15,9193
ok,2024-01-05 06:30:00,2.08,2.08,2.0,2.0,3968
ok,2024-01-05 07:00:00,2.09,2.24,2.09,2.24,1114
ok,2024-01-05 07:30:00,2.21,2.22,2.21,2.21,1528
ok,2024-01-05 08:00:00,2.21,2.21,2.04,2.04,1314
ok,2024-01-05 09:00:00,2.14,2.14,2.14,2.14,100
ok,2024-01-05 09:30:00,2.11,2.19,2.11,2.18,28777
ok,2024-01-05 10:00:00,2.18,2.18,2.14,2.16,7383
ok,2024-01-05 10:30:00,2.17,2.18,2.16,2.17,6079
ok,2024-01-05 11:00:00,2.17,2.17,2.11,2.11,5504
ok,2024-01-05 11:30:00,2.12,2.12,2.08,2.08,3991
ok,2024-01-05 12:00:00,2.07,2.07,2.05,2.06,11131
ok,2024-01-05 12:30:00,2.07,2.08,2.06,2.08,9715
ok,2024-01-05 13:00:00,2.1,2.1,2.1,2.1,200
ok,2024-01-05 13:30:00,2.09,2.1,2.09,2.1,1077
ok,2024-01-05 14:00:00,2.11,2.11,2.09,2.11,4556
ok,2024-01-05 14:30:00,2.11,2.11,2.09,2.09,8188
ok,2024-01-05 15:00:00,2.1,2.13,2.1,2.1,9691
ok,2024-01-05 15:30:00,2.11,2.13,1.96,2.07,52257
ok,2024-01-05 16:00:00,2.05,2.05,2.05,2.05,200
ok,2024-01-05 18:30:00,2.05,2.05,2.05,2.05,702
ok,2024-01-05 19:00:00,2.05,2.05,2.05,2.05,340
ok,2024-01-08 04:00:00,2.05,2.05,2.05,2.05,525
ok,2024-01-08 08:00:00,2.09,2.12,2.09,2.12,483
ok,2024-01-08 08:30:00,2.05,2.1,2.0,2.1,1935
ok,2024-01-08 09:30:00,2.03,2.03,1.95,1.98,10313
ok,2024-01-08 10:00:00,2.01,2.01,2.0,2.0,480
ok,2024-01-08 10:30:00,2.0,2.0,1.98,1.98,6606
