s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,1.16,1.28,1.16,1.28,1462
ok,2024-01-02 09:30:00,1.21,1.25,1.17,1.21,6104
ok,2024-01-02 10:00:00,1.21,1.21,1.17,1.17,1250
ok,2024-01-02 10:30:00,1.2,1.2,1.17,1.17,1778
ok,2024-01-02 11:00:00,1.15,1.15,1.07,1.07,5737
ok,2024-01-02 11:30:00,1.12,1.12,1.07,1.1,7113
ok,2024-01-02 12:00:00,1.12,1.12,1.09,1.09,4320
ok,2024-01-02 12:30:00,1.12,1.12,1.12,1.12,300
ok,2024-01-02 13:00:00,1.11,1.13,1.11,1.12,4173
ok,2024-01-02 13:30:00,1.12,1.17,1.11,1.11,2100
ok,2024-01-02 14:00:00,1.16,1.16,1.11,1.11,200
ok,2024-01-02 14:30:00,1.11,1.16,1.11,1.16,2509
ok,2024-01-02 15:00:00,1.14,1.14,1.13,1.13,465
ok,2024-01-02 15:30:00,1.16,1.16,1.09,1.09,4383
ok,2024-01-02 16:30:00,1.08,1.08,1.08,1.08,100
ok,2024-01-02 17:00:00,1.08,1.08,1.08,1.08,300
ok,2024-01-02 19:30:00,1.1,1.1,1.1,1.1,1000
ok,2024-01-03 09:30:00,1.15,1.18,1.13,1.16,6655
ok,2024-01-03 10:00:00,1.13,1.13,1.08,1.09,9543
ok,2024-01-03 10:30:00,1.08,1.11,1.08,1.1,11422
ok,2024-01-03 11:00:00,1.11,1.13,1.09,1.13,2349
ok,2024-01-03 11:30:00,1.12,1.13,1.1,1.1,3395
ok,2024-01-03 12:00:00,1.11,1.11,1.11,1.11,929
ok,2024-01-03 12:30:00,1.13,1.16,1.1,1.16,12539
ok,2024-01-03 13:00:00,1.15,1.15,1.14,1.14,1130
ok,2024-01-03 14:00:00,1.11,1.11,1.11,1.11,100
ok,2024-01-03 14:30:00,1.14,1.14,1.14,1.14,122
ok,2024-01-03 15:00:00,1.18,1.18,1.12,1.12,1900
ok,2024-01-03 15:30:00,1.12,1.16,1.11,1.12,7582
ok,2024-01-03 16:00:00,1.17,1.17,1.17,1.17,100
ok,2024-01-04 09:30:00,1.14,1.14,1.11,1.11,806
ok,2024-01-04 10:00:00,1.1,1.1,1.09,1.09,5399
ok,2024-01-04 10:30:00,1.11,1.12,1.1,1.12,2929
