s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.42,2.42,2.27,2.28,1806
ok,2024-01-02 10:00:00,2.27,2.27,2.27,2.27,150
ok,2024-01-02 14:30:00,2.3,2.3,2.3,2.3,100
ok,2024-01-02 15:30:00,2.29,2.29,2.29,2.29,195
ok,2024-01-03 11:00:00,2.31,2.31,2.26,2.26,3162
ok,2024-01-03 13:30:00,2.21,2.21,2.21,2.21,951
ok,2024-01-03 15:30:00,2.18,2.26,2.14,2.26,4296
ok,2024-01-04 09:30:00,2.31,2.31,2.31,2.31,868
ok,2024-01-04 11:00:00,2.14,2.14,2.14,2.14,100
ok,2024-01-04 11:30:00,2.12,2.23,2.12,2.23,1340
ok,2024-01-04 12:00:00,2.23,2.23,2.23,2.23,125
ok,2024-01-04 14:00:00,2.17,2.17,2.17,2.17,100
ok,2024-01-04 15:30:00,2.29,2.29,2.29,2.29,356
ok,2024-01-05 10:30:00,2.17,2.17,2.17,2.17,501
ok,2024-01-05 11:00:00,2.24,2.24,2.24,2.24,1515
ok,2024-01-05 12:30:00,2.19,2.26,2.1,2.23,4201
ok,2024-01-05 13:00:00,2.24,2.27,2.24,2.27,260
ok,2024-01-05 15:30:00,2.24,2.25,2.24,2.25,353
ok,2024-01-08 09:30:00,2.2,2.2,2.2,2.2,100
ok,2024-01-08 13:00:00,2.2,2.2,2.2,2.2,383
ok,2024-01-08 15:30:00,2.21,2.21,2.21,2.21,455
ok,2024-01-09 05:30:00,2.37,2.38,2.37,2.38,392
ok,2024-01-09 09:30:00,2.25,2.25,2.25,2.25,603
ok,2024-01-09 11:30:00,2.24,2.24,2.24,2.24,323
ok,2024-01-09 12:00:00,2.19,2.19,2.19,2.19,220
ok,2024-01-09 13:30:00,2.21,2.21,2.21,2.21,262
ok,2024-01-09 14:30:00,2.25,2.25,2.18,2.19,5648
ok,2024-01-09 15:30:00,2.22,2.22,2.22,2.22,375
ok,2024-01-10 07:00:00,2.25,2.25,2.25,2.25,500
ok,2024-01-10 10:00:00,2.17,2.17,2.12,2.12,1181
ok,2024-01-10 10:30:00,2.1,2.1,2.1,2.1,520
ok,2024-01-10 11:30:00,2.12,2.12,2.1,2.1,1523
ok,2024-01-10 13:00:00,2.12,2.12,2.12,2.12,833
ok,2024-01-10 13:30:00,2.15,2.15,2.15,2.15,300
ok,2024-01-10 15:00:00,2.13,2.13,2.13,2.13,101
ok,2024-01-10 15:30:00,2.09,2.12,2.08,2.08,1174
ok,2024-01-11 09:30:00,2.1,2.23,2.1,2.23,503
ok,2024-01-11 10:30:00,2.12,2.12,2.08,2.1,1844
ok,2024-01-11 14:30:00,2.08,2.08,2.05,2.06,3721
ok,2024-01-11 15:00:00,2.02,2.02,2.02,2.02,174
ok,2024-01-11 15:30:00,2.06,2.06,2.06,2.06,442
ok,2024-01-11 17:00:00,2.0,2.0,2.0,2.0,993
ok,2024-01-12 14:00:00,2.06,2.06,2.06,2.06,231
ok,2024-01-12 15:00:00,1.99,2.03,1.94,1.94,1225
ok,2024-01-16 09:30:00,1.9,1.95,1.89,1.95,3318
ok,2024-01-16 10:00:00,1.96,1.96,1.96,1.96,507
ok,2024-01-16 10:30:00,1.95,1.95,1.95,1.95,124
ok,2024-01-16 11:00:00,1.95,1.95,1.92,1.92,1220
ok,2024-01-16 11:30:00,1.92,1.92,1.9,1.9,1595
ok,2024-01-16 12:00:00,1.92,1.92,1.88,1.89,4538
ok,2024-01-16 12:30:00,1.8,1.8,1.8,1.8,1152
ok,2024-01-16 13:00:00,1.83,1.83,1.83,1.83,100
ok,2024-01-16 14:30:00,1.86,1.86,1.86,1.86,1761
ok,2024-01-16 15:00:00,1.92,1.92,1.92,1.92,129
ok,2024-01-16 15:30:00,1.8,1.83,1.8,1.8,1305
ok,2024-01-17 07:00:00,1.83,1.83,1.83,1.83,500
ok,2024-01-17 07:30:00,1.79,1.8,1.79,1.8,504
ok,2024-01-17 09:30:00,1.98,1.98,1.98,1.98,100
ok,2024-01-17 10:30:00,1.81,1.81,1.8,1.8,601
ok,2024-01-17 11:00:00,1.81,1.81,1.81,1.81,1075
ok,2024-01-17 11:30:00,1.78,1.78,1.78,1.78,752
ok,2024-01-17 12:30:00,1.74,1.75,1.74,1.75,842
ok,2024-01-17 13:00:00,1.76,1.76,1.76,1.76,110
ok,2024-01-17 13:30:00,1.8,1.8,1.8,1.8,417
ok,2024-01-17 14:00:00,1.8,1.8,1.8,1.8,4060
ok,2024-01-17 14:30:00,1.78,1.78,1.78,1.78,300
ok,2024-01-17 15:30:00,1.78,1.8,1.78,1.78,652
ok,2024-01-18 12:00:00,1.83,1.83,1.83,1.83,203
ok,2024-01-18 12:30:00,1.79,1.79,1.79,1.79,277
ok,2024-01-18 13:00:00,1.77,1.77,1.77,1.77,320
ok,2024-01-18 13:30:00,1.72,1.73,1.72,1.73,650
ok,2024-01-18 14:00:00,1.76,1.76,1.76,1.76,200
ok,2024-01-18 15:30:00,1.73,1.73,1.73,1.73,162
ok,2024-01-19 11:00:00,1.75,1.75,1.71,1.73,1063
ok,2024-01-19 12:00:00,1.72,1.78,1.72,1.77,6783
ok,2024-01-19 12:30:00,1.77,1.79,1.69,1.72,7496
ok,2024-01-19 13:00:00,1.73,2.24,1.72,2.03,19702
ok,2024-01-19 13:30:00,2.06,2.18,1.98,2.08,9009
ok,2024-01-19 14:00:00,2.11,2.11,2.09,2.1,1771
ok,2024-01-19 15:00:00,2.1,2.1,2.1,2.1,384
ok,2024-01-19 15:30:00,2.14,2.14,2.12,2.14,2234
ok,2024-01-22 09:00:00,2.24,2.25,2.24,2.25,2500
ok,2024-01-22 09:30:00,2.2,2.35,2.2,2.27,7766
ok,2024-01-22 10:00:00,2.26,2.27,2.26,2.27,1322
ok,2024-01-22 10:30:00,2.27,2.32,2.22,2.32,2879
ok,2024-01-22 11:30:00,2.23,2.23,2.21,2.21,988
ok,2024-01-22 12:00:00,2.16,2.16,2.11,2.11,1736
ok,2024-01-22 12:30:00,2.11,2.11,2.05,2.05,250
ok,2024-01-22 13:00:00,2.07,2.11,2.07,2.11,1100
ok,2024-01-22 14:00:00,2.09,2.09,2.09,2.09,260
ok,2024-01-22 15:30:00,2.09,2.14,2.09,2.14,641
ok,2024-01-23 09:30:00,2.14,2.15,2.14,2.15,277
ok,2024-01-23 11:00:00,2.12,2.13,2.11,2.11,1336
ok,2024-01-23 11:30:00,2.13,2.13,2.13,2.13,165
ok,2024-01-23 12:00:00,2.11,2.15,2.11,2.15,605
ok,2024-01-23 12:30:00,2.15,2.15,2.15,2.15,100
ok,2024-01-23 14:00:00,2.11,2.12,2.11,2.12,200
ok,2024-01-23 15:30:00,2.15,2.15,2.15,2.15,461
ok,2024-01-24 08:00:00,2.16,2.16,2.16,2.16,500
ok,2024-01-24 09:30:00,2.16,2.24,2.14,2.24,9895
ok,2024-01-24 10:00:00,2.21,2.21,2.13,2.15,5626
ok,2024-01-24 10:30:00,2.07,2.14,2.04,2.06,690
ok,2024-01-24 11:00:00,2.06,2.06,2.06,2.06,500
ok,2024-01-24 12:00:00,2.15,2.15,2.15,2.15,100
ok,2024-01-24 13:30:00,2.22,2.22,2.08,2.08,304
ok,2024-01-24 15:00:00,2.09,2.15,2.04,2.1,4800
ok,2024-01-24 15:30:00,2.13,2.13,1.86,1.86,11703
ok,2024-01-25 09:30:00,1.87,1.87,1.87,1.87,173
ok,2024-01-25 11:00:00,2.14,2.14,2.14,2.14,100
ok,2024-01-25 11:30:00,2.12,2.12,2.02,2.02,916
ok,2024-01-25 12:00:00,2.02,2.02,2.02,2.02,200
ok,2024-01-25 14:00:00,2.06,2.06,2.06,2.06,120
ok,2024-01-25 14:30:00,2.02,2.02,2.02,2.02,100
ok,2024-01-25 15:00:00,2.04,2.07,2.03,2.07,3298
ok,2024-01-25 15:30:00,2.05,2.07,2.05,2.07,950
ok,2024-01-26 09:30:00,2.13,2.14,2.13,2.14,1045
ok,2024-01-26 10:30:00,2.07,2.07,2.07,2.07,327
ok,2024-01-26 11:00:00,2.17,2.17,1.91,1.91,15499
ok,2024-01-26 12:30:00,1.99,1.99,1.98,1.98,735
ok,2024-01-26 14:30:00,2.04,2.04,2.04,2.04,100
ok,2024-01-26 15:30:00,2.0,2.0,1.96,1.99,2444
ok,2024-01-26 16:00:00,1.91,1.91,1.9,1.9,476
ok,2024-01-26 16:30:00,1.89,1.9,1.89,1.9,627
ok,2024-01-29 07:00:00,2.01,2.01,2.01,2.01,427
ok,2024-01-29 08:00:00,2.02,2.02,2.02,2.02,500
ok,2024-01-29 08:30:00,2.01,2.24,2.01,2.22,1636
ok,2024-01-29 09:00:00,2.23,2.48,2.23,2.27,2738
ok,2024-01-29 09:30:00,2.33,2.33,2.07,2.07,2801
ok,2024-01-29 10:00:00,2.17,2.43,2.16,2.38,14217
ok,2024-01-29 10:30:00,2.37,2.37,2.19,2.19,7898
ok,2024-01-29 11:00:00,2.15,2.22,2.15,2.22,693
ok,2024-01-29 11:30:00,2.29,2.29,2.28,2.28,436
ok,2024-01-29 12:00:00,2.16,2.16,2.16,2.16,250
ok,2024-01-29 13:00:00,2.2,2.2,2.2,2.2,300
ok,2024-01-29 13:30:00,2.16,2.16,2.16,2.16,202
