s,t,o,h,l,c,v
ok,2024-03-21 11:00:00,5.26,5.79,3.7,3.99,1150772
ok,2024-03-21 11:30:00,4.01,4.04,3.47,3.58,192933
ok,2024-03-21 12:00:00,3.58,3.8,3.5,3.5,34370
ok,2024-03-21 12:30:00,3.51,3.55,3.4,3.47,41590
ok,2024-03-21 13:00:00,3.41,3.85,3.4,3.5,27428
ok,2024-03-21 13:30:00,3.5,3.7,3.5,3.52,13522
ok,2024-03-21 14:00:00,3.52,3.65,3.43,3.49,19076
ok,2024-03-21 14:30:00,3.5,3.64,3.4,3.47,70337
ok,2024-03-21 15:00:00,3.4,3.55,3.32,3.36,7921
ok,2024-03-21 15:30:00,3.36,3.45,3.35,3.38,2904
ok,2024-03-21 16:00:00,3.4,3.4,3.4,3.4,452
ok,2024-03-21 16:30:00,3.38,3.38,3.2,3.3,12061
ok,2024-03-21 17:00:00,3.37,3.37,3.37,3.37,100
ok,2024-03-21 18:30:00,3.3,3.3,3.3,3.3,100
ok,2024-03-22 03:00:00,3.32,3.33,3.29,3.31,708
ok,2024-03-22 06:00:00,3.42,3.5,3.4,3.49,2375
ok,2024-03-22 06:30:00,3.45,3.45,3.4,3.4,364
ok,2024-03-22 07:00:00,3.31,3.32,3.27,3.27,3998
ok,2024-03-22 07:30:00,3.39,3.53,3.38,3.42,16854
ok,2024-03-22 08:00:00,3.41,3.41,3.37,3.38,3604
ok,2024-03-22 08:30:00,3.39,3.52,3.12,3.41,26719
ok,2024-03-22 09:00:00,3.4,3.73,3.4,3.68,49383
ok,2024-03-22 09:30:00,3.68,3.8,3.5,3.64,43093
ok,2024-03-22 10:00:00,3.63,3.63,3.51,3.51,10140
ok,2024-03-22 10:30:00,3.51,3.65,3.51,3.65,7570
ok,2024-03-22 11:00:00,3.66,3.69,3.59,3.61,5199
ok,2024-03-22 11:30:00,3.61,3.69,3.6,3.69,2232
ok,2024-03-22 12:00:00,3.6,3.62,3.56,3.56,5714
ok,2024-03-22 12:30:00,3.59,3.59,3.56,3.58,3302
ok,2024-03-22 13:00:00,3.58,3.58,3.58,3.58,250
ok,2024-03-22 13:30:00,3.58,3.59,3.52,3.52,12771
ok,2024-03-22 14:00:00,3.52,3.65,3.5,3.51,16049
ok,2024-03-22 14:30:00,3.52,3.62,3.5,3.5,13031
ok,2024-03-22 15:00:00,3.43,3.43,3.43,3.43,341
ok,2024-03-22 15:30:00,3.43,3.43,3.24,3.43,1539
ok,2024-03-22 16:00:00,3.25,3.43,3.25,3.25,453
ok,2024-03-22 16:30:00,3.38,3.38,3.38,3.38,187
ok,2024-03-25 05:30:00,3.32,3.32,3.31,3.31,1186
ok,2024-03-25 07:00:00,3.35,3.37,3.35,3.37,492
ok,2024-03-25 07:30:00,3.45,3.49,3.45,3.49,519
ok,2024-03-25 08:00:00,3.69,3.7,3.67,3.67,793
ok,2024-03-25 08:30:00,3.5,3.58,3.5,3.57,9455
