s,t,o,h,l,c,v
ok,2024-02-23 06:30:00,13.53,13.53,13.53,13.53,136
ok,2024-02-23 07:00:00,14.92,19.8,12.0,12.53,7900
ok,2024-02-23 07:30:00,12.64,12.64,12.0,12.0,727
ok,2024-02-23 08:00:00,15.88,15.88,12.8,12.8,1032
ok,2024-02-23 08:30:00,13.06,16.6,13.06,15.0,3077
ok,2024-02-23 09:00:00,15.98,18.5,15.0,17.43,23531
ok,2024-02-23 09:30:00,17.99,17.99,10.71,10.86,38507
ok,2024-02-23 10:00:00,11.0,12.6,10.12,12.6,18561
ok,2024-02-23 10:30:00,12.6,13.79,12.0,12.78,16075
ok,2024-02-23 11:00:00,12.77,13.47,12.02,12.79,4785
ok,2024-02-23 11:30:00,13.7,13.85,11.11,11.6,10353
ok,2024-02-23 12:00:00,11.8,12.0,11.76,12.0,1886
ok,2024-02-23 12:30:00,11.57,11.99,11.57,11.99,1921
ok,2024-02-23 13:00:00,11.72,12.57,11.61,12.5,10119
ok,2024-02-23 13:30:00,12.42,12.42,12.4,12.4,1835
ok,2024-02-23 14:00:00,12.02,12.02,11.51,11.51,3091
ok,2024-02-23 14:30:00,11.87,12.23,11.87,12.21,3073
ok,2024-02-23 15:00:00,12.11,12.57,12.11,12.41,9648
ok,2024-02-23 15:30:00,12.57,13.8,12.25,13.8,17366
ok,2024-02-23 16:00:00,13.44,13.44,13.44,13.44,100
ok,2024-02-23 16:30:00,13.4,13.4,13.4,13.4,255
ok,2024-02-23 17:00:00,13.78,13.78,13.78,13.78,568
ok,2024-02-23 17:30:00,13.75,15.0,13.75,15.0,1180
ok,2024-02-23 19:00:00,14.18,14.18,14.18,14.18,550
ok,2024-02-26 04:30:00,14.17,14.18,14.17,14.18,404
ok,2024-02-26 05:00:00,14.65,16.0,14.65,16.0,1934
ok,2024-02-26 06:00:00,14.12,14.12,13.51,13.51,1856
ok,2024-02-26 06:30:00,13.28,14.0,13.28,14.0,802
ok,2024-02-26 07:00:00,13.95,13.95,13.95,13.95,176
ok,2024-02-26 08:00:00,13.8,14.7,13.7,13.7,1226
ok,2024-02-26 08:30:00,14.37,14.37,13.42,13.42,1498
ok,2024-02-26 09:00:00,13.42,13.46,12.7,13.0,3328
ok,2024-02-26 09:30:00,13.17,13.21,12.2,12.79,18292
ok,2024-02-26 10:00:00,12.85,14.0,12.69,13.97,7928
ok,2024-02-26 10:30:00,13.5,13.85,13.5,13.72,2127
ok,2024-02-26 11:00:00,13.8,13.85,13.3,13.6,7614
ok,2024-02-26 11:30:00,13.6,13.85,13.3,13.62,10872
ok,2024-02-26 12:00:00,13.6,13.85,13.3,13.7,5541
ok,2024-02-26 12:30:00,13.69,15.3,13.69,14.48,16189
ok,2024-02-26 13:00:00,14.49,14.86,14.31,14.8,6206
ok,2024-02-26 13:30:00,14.31,14.6,14.31,14.6,3436
ok,2024-02-26 14:00:00,14.52,15.6,14.52,15.46,10974
ok,2024-02-26 14:30:00,15.38,15.8,14.0,14.0,12550
ok,2024-02-26 15:00:00,14.32,14.41,14.05,14.3,2232
ok,2024-02-26 15:30:00,14.2,14.31,13.91,13.91,6103
ok,2024-02-26 16:30:00,13.54,13.54,13.45,13.45,1204
ok,2024-02-26 18:00:00,14.0,14.0,14.0,14.0,100
ok,2024-02-27 08:00:00,13.7,13.7,13.7,13.7,100
ok,2024-02-27 09:30:00,13.67,13.95,13.01,13.01,21024
ok,2024-02-27 10:00:00,13.04,13.99,11.79,13.5,50297
ok,2024-02-27 10:30:00,13.15,13.15,12.74,13.02,4658
ok,2024-02-27 11:00:00,12.74,12.76,12.02,12.32,6102
ok,2024-02-27 11:30:00,12.2,12.45,11.88,11.98,14188
ok,2024-02-27 12:00:00,11.93,12.15,10.51,11.36,45431
ok,2024-02-27 12:30:00,11.9,11.9,11.59,11.59,1021
ok,2024-02-27 13:00:00,11.65,11.89,11.31,11.31,2571
ok,2024-02-27 13:30:00,11.3,11.88,11.3,11.47,3350
ok,2024-02-27 14:00:00,11.33,11.62,11.33,11.62,810
