s,t,o,h,l,c,v
ok,2024-03-28 06:00:00,10.75,10.75,10.7,10.7,800
ok,2024-03-28 06:30:00,11.0,11.0,11.0,11.0,150
ok,2024-03-28 07:00:00,12.6,12.6,12.0,12.16,1924
ok,2024-03-28 08:00:00,13.2,13.2,13.0,13.0,300
ok,2024-03-28 08:30:00,14.0,19.01,14.0,19.01,12985
ok,2024-03-28 09:00:00,20.95,31.11,19.9,31.11,43924
ok,2024-03-28 09:30:00,31.12,31.63,22.0,23.0,25036
ok,2024-03-28 10:00:00,24.25,27.0,18.06,18.06,13221
ok,2024-03-28 10:30:00,17.4,22.49,16.5,21.0,22307
ok,2024-03-28 11:00:00,20.94,21.29,17.98,17.98,6599
ok,2024-03-28 11:30:00,18.0,19.4,16.62,16.88,5515
ok,2024-03-28 12:00:00,16.75,16.75,15.5,15.5,5258
ok,2024-03-28 12:30:00,15.5,16.0,15.5,15.94,1861
ok,2024-03-28 13:00:00,16.1,16.16,13.1,13.1,8318
ok,2024-03-28 13:30:00,15.1,15.1,13.11,13.38,1454
ok,2024-03-28 14:00:00,14.25,14.25,13.41,14.19,3876
ok,2024-03-28 14:30:00,14.25,16.09,14.25,16.0,9161
ok,2024-03-28 15:00:00,16.69,16.69,15.0,15.1,952
ok,2024-03-28 15:30:00,15.23,15.23,15.23,15.23,170
ok,2024-03-28 16:00:00,14.51,14.51,14.51,14.51,348
ok,2024-03-28 16:30:00,13.86,13.86,13.86,13.86,335
ok,2024-03-28 17:30:00,14.6,14.6,14.6,14.6,620
ok,2024-04-01 03:00:00,17.82,17.82,17.82,17.82,285
ok,2024-04-01 07:30:00,12.2,12.26,11.0,11.21,2782
ok,2024-04-01 08:00:00,11.88,11.88,11.88,11.88,100
ok,2024-04-01 08:30:00,14.4,14.4,9.48,9.48,3553
ok,2024-04-01 09:00:00,9.48,11.85,8.25,10.0,7083
ok,2024-04-01 09:30:00,8.59,10.0,8.59,10.0,7364
ok,2024-04-01 10:30:00,9.94,10.28,9.6,10.28,936
ok,2024-04-01 11:00:00,10.28,10.28,10.28,10.28,112
ok,2024-04-01 11:30:00,9.77,9.78,9.0,9.0,1477
ok,2024-04-01 12:00:00,8.99,9.0,8.02,8.5,3451
ok,2024-04-01 12:30:00,8.93,8.97,8.74,8.97,1303
ok,2024-04-01 13:00:00,8.52,8.69,8.52,8.57,1613
ok,2024-04-01 13:30:00,8.69,8.69,8.69,8.69,176
ok,2024-04-01 14:00:00,9.2,9.59,9.19,9.39,1402
ok,2024-04-01 14:30:00,9.5,9.69,8.75,8.75,2296
ok,2024-04-01 15:30:00,9.0,9.0,9.0,9.0,555
ok,2024-04-01 16:30:00,8.44,8.44,8.44,8.44,1057
ok,2024-04-01 18:30:00,9.45,9.45,9.45,9.45,150
ok,2024-04-02 03:30:00,10.97,10.97,8.75,8.75,1209
ok,2024-04-02 08:30:00,8.4,8.7,8.4,8.4,1417
ok,2024-04-02 09:00:00,7.29,7.36,7.2,7.36,1035
ok,2024-04-02 09:30:00,7.0,7.12,6.28,6.6,6098
ok,2024-04-02 10:00:00,7.02,7.5,6.76,7.5,1781
ok,2024-04-02 10:30:00,7.11,7.11,7.03,7.03,1033
ok,2024-04-02 11:00:00,7.57,7.57,7.21,7.21,212
ok,2024-04-02 11:30:00,7.48,7.48,7.03,7.29,700
ok,2024-04-02 12:00:00,7.03,7.03,7.03,7.03,250
ok,2024-04-02 12:30:00,7.18,7.32,7.18,7.32,475
ok,2024-04-02 13:00:00,7.41,7.48,7.34,7.42,1205
ok,2024-04-02 13:30:00,7.05,7.09,7.05,7.09,356
ok,2024-04-02 14:00:00,7.43,7.43,7.06,7.06,2403
ok,2024-04-02 14:30:00,7.07,7.61,7.07,7.61,1461
ok,2024-04-02 15:00:00,7.64,7.64,7.03,7.2,1402
ok,2024-04-02 15:30:00,7.2,7.2,7.2,7.2,522
ok,2024-04-02 16:00:00,7.12,7.12,7.12,7.12,525
ok,2024-04-02 17:00:00,7.24,7.24,7.24,7.24,229
ok,2024-04-02 17:30:00,7.16,7.16,7.15,7.15,300
ok,2024-04-02 18:30:00,7.24,7.5,7.24,7.5,566
ok,2024-04-03 08:30:00,7.02,7.02,6.6,6.86,1797
ok,2024-04-03 09:00:00,6.97,6.97,6.97,6.97,196
ok,2024-04-03 09:30:00,6.56,6.61,6.56,6.61,225
ok,2024-04-03 10:30:00,6.5,6.72,6.5,6.6,1259
ok,2024-04-03 12:00:00,7.1,7.1,7.1,7.1,100
ok,2024-04-03 12:30:00,7.11,7.41,7.11,7.2,605
ok,2024-04-03 13:00:00,7.3,7.3,7.15,7.15,962
ok,2024-04-03 13:30:00,7.3,7.3,7.2,7.2,1115
ok,2024-04-03 14:00:00,7.2,7.2,7.0,7.0,992
ok,2024-04-03 14:30:00,7.0,7.23,7.0,7.2,1985
ok,2024-04-04 08:30:00,7.1,7.1,7.09,7.09,2100
ok,2024-04-04 09:00:00,6.8,6.8,6.8,6.8,145
ok,2024-04-04 09:30:00,7.09,7.09,7.09,7.09,151
ok,2024-04-04 10:00:00,6.78,6.92,6.55,6.55,451
ok,2024-04-04 10:30:00,6.55,6.55,6.55,6.55,200
ok,2024-04-04 11:00:00,6.46,6.49,6.0,6.01,1671
ok,2024-04-04 11:30:00,6.1,6.1,6.0,6.0,568
ok,2024-04-04 12:00:00,6.45,6.45,6.25,6.4,1041
ok,2024-04-04 12:30:00,7.05,7.05,6.65,6.65,357
ok,2024-04-04 13:00:00,6.88,6.88,6.4,6.7,2291
ok,2024-04-04 13:30:00,6.7,6.7,6.7,6.7,101
ok,2024-04-04 14:30:00,6.76,6.76,6.37,6.37,489
ok,2024-04-05 07:00:00,7.05,7.05,7.05,7.05,263
ok,2024-04-05 07:30:00,7.12,7.12,7.12,7.12,123
ok,2024-04-05 08:30:00,7.44,7.91,6.54,7.16,5650
ok,2024-04-05 09:00:00,6.91,7.1,6.68,7.1,481
ok,2024-04-05 09:30:00,7.09,7.09,7.09,7.09,300
ok,2024-04-05 10:00:00,7.1,7.1,7.08,7.08,311
ok,2024-04-05 11:00:00,7.08,7.52,7.08,7.52,2924
ok,2024-04-05 11:30:00,7.55,7.55,7.0,7.0,2138
ok,2024-04-05 12:00:00,6.7,6.99,6.7,6.99,912
ok,2024-04-05 12:30:00,6.9,7.25,6.77,7.25,5348
ok,2024-04-05 13:00:00,7.43,7.47,7.39,7.47,1435
ok,2024-04-05 14:00:00,7.54,8.59,7.54,8.22,7190
ok,2024-04-05 14:30:00,8.5,8.5,7.4,7.95,2058
ok,2024-04-05 16:00:00,8.89,8.89,8.89,8.89,218
ok,2024-04-08 04:30:00,8.9,8.9,8.9,8.9,210
ok,2024-04-08 08:00:00,8.0,8.0,8.0,8.0,150
ok,2024-04-08 08:30:00,8.75,8.9,7.8,7.8,878
ok,2024-04-08 09:00:00,8.22,8.22,7.5,7.82,1923
ok,2024-04-08 09:30:00,7.65,7.78,7.65,7.65,719
ok,2024-04-08 10:00:00,8.0,8.0,8.0,8.0,323
ok,2024-04-08 10:30:00,7.72,8.14,7.26,7.95,9493
ok,2024-04-08 11:30:00,8.7,8.7,8.32,8.48,836
ok,2024-04-08 12:00:00,8.6,8.6,8.6,8.6,180
ok,2024-04-08 13:00:00,8.92,9.4,8.62,9.05,11963
ok,2024-04-08 13:30:00,9.07,9.07,8.71,8.78,1375
ok,2024-04-08 14:00:00,8.79,9.07,8.79,9.07,755
ok,2024-04-08 14:30:00,8.71,8.71,8.71,8.71,200
ok,2024-04-09 08:30:00,7.62,7.7,7.3,7.7,1255
ok,2024-04-09 09:00:00,7.62,9.03,7.62,8.2,15020
ok,2024-04-09 09:30:00,8.09,8.15,8.09,8.15,1273
ok,2024-04-09 10:30:00,8.0,8.0,7.63,7.63,396
ok,2024-04-09 11:30:00,7.68,7.68,7.68,7.68,104
ok,2024-04-09 12:30:00,7.78,8.1,7.73,8.09,7688
ok,2024-04-09 14:00:00,8.0,8.52,8.0,8.5,3373
ok,2024-04-09 14:30:00,8.66,8.66,7.7,7.9,13691
ok,2024-04-09 15:00:00,8.0,8.1,8.0,8.1,1072
ok,2024-04-10 08:30:00,7.6,8.29,7.52,8.28,5644
ok,2024-04-10 09:00:00,8.29,8.3,8.1,8.27,5010
ok,2024-04-10 10:00:00,7.87,8.4,7.87,8.4,339
ok,2024-04-10 10:30:00,7.92,8.1,7.81,7.92,2015
ok,2024-04-10 11:00:00,7.82,7.87,7.26,7.82,1798
ok,2024-04-10 12:00:00,7.71,7.71,7.71,7.71,116
ok,2024-04-10 12:30:00,8.12,8.12,8.12,8.12,500
ok,2024-04-10 14:30:00,8.0,8.0,7.52,7.52,5321
ok,2024-04-11 08:30:00,7.65,7.75,7.65,7.75,1804
ok,2024-04-11 09:00:00,7.81,7.81,7.81,7.81,215
ok,2024-04-11 09:30:00,7.44,7.44,7.44,7.44,100
ok,2024-04-11 13:00:00,7.76,8.19,7.62,8.19,5239
ok,2024-04-11 14:00:00,7.95,8.07,7.8,7.88,7921
ok,2024-04-11 14:30:00,7.92,7.92,7.48,7.48,2940
ok,2024-04-12 08:30:00,7.47,8.1,7.47,7.76,5166
ok,2024-04-12 09:00:00,8.2,8.2,8.0,8.0,6496
ok,2024-04-12 09:30:00,7.86,7.86,7.79,7.79,220
ok,2024-04-12 10:00:00,7.73,7.86,7.6,7.8,600
ok,2024-04-12 11:00:00,7.8,7.8,7.8,7.8,127
ok,2024-04-12 12:00:00,7.89,7.89,7.36,7.7,1448
ok,2024-04-12 12:30:00,7.32,7.32,7.32,7.32,102
ok,2024-04-12 13:00:00,7.5,8.31,7.4,7.57,1688
ok,2024-04-12 13:30:00,7.78,7.83,7.78,7.83,213
ok,2024-04-12 14:00:00,7.56,7.56,7.56,7.56,100
ok,2024-04-12 14:30:00,6.84,6.84,6.38,6.38,282
ok,2024-04-15 08:30:00,7.02,7.72,7.02,7.12,609
ok,2024-04-15 10:30:00,7.6,7.6,7.6,7.6,147
ok,2024-04-15 11:30:00,7.11,7.11,7.11,7.11,123
ok,2024-04-15 14:00:00,7.11,7.11,7.07,7.07,300
ok,2024-04-16 08:30:00,7.07,7.07,7.07,7.07,364
ok,2024-04-16 09:00:00,7.07,7.9,7.07,7.35,2853
ok,2024-04-16 09:30:00,7.35,7.35,7.15,7.15,663
ok,2024-04-16 10:30:00,7.25,7.25,7.25,7.25,100
ok,2024-04-16 11:30:00,7.55,7.55,7.55,7.55,100
ok,2024-04-17 08:30:00,7.36,7.6,7.36,7.6,336
ok,2024-04-17 10:00:00,7.5,7.5,7.5,7.5,200
ok,2024-04-17 12:30:00,7.36,7.36,7.36,7.36,203
ok,2024-04-17 13:00:00,7.36,7.36,7.36,7.36,120
ok,2024-04-18 10:00:00,7.31,7.31,7.31,7.31,200
ok,2024-04-18 12:00:00,7.28,7.28,7.28,7.28,100
ok,2024-04-18 13:30:00,7.2,7.2,7.2,7.2,237
ok,2024-04-18 14:00:00,7.21,7.32,7.21,7.23,426
ok,2024-04-18 14:30:00,7.21,7.53,7.2,7.53,2506
ok,2024-04-19 08:30:00,7.28,7.49,7.2,7.49,909
ok,2024-04-19 11:00:00,7.36,7.37,7.2,7.21,2460
ok,2024-04-19 11:30:00,7.22,7.44,6.9,7.08,3704
ok,2024-04-19 12:00:00,7.18,7.2,6.46,7.11,2484
ok,2024-04-19 12:30:00,7.3,7.3,7.02,7.06,691
ok,2024-04-19 13:00:00,7.16,7.26,7.06,7.07,1696
ok,2024-04-19 13:30:00,7.3,7.3,7.03,7.03,846
ok,2024-04-19 14:00:00,7.06,7.06,7.06,7.06,100
ok,2024-04-19 14:30:00,7.18,7.18,7.05,7.09,818
ok,2024-04-22 10:00:00,7.1,7.11,7.1,7.1,1160
ok,2024-04-22 10:30:00,7.48,7.48,7.13,7.13,327
ok,2024-04-22 14:00:00,7.39,7.39,7.39,7.39,180
ok,2024-04-22 14:30:00,7.22,7.39,7.22,7.39,383
ok,2024-04-22 15:00:00,7.37,7.37,7.37,7.37,102
ok,2024-04-23 08:30:00,7.48,7.49,7.05,7.05,395
ok,2024-04-23 11:00:00,7.27,7.27,7.27,7.27,300
ok,2024-04-24 09:00:00,7.27,7.27,7.27,7.27,105
ok,2024-04-24 14:30:00,7.01,7.01,7.01,7.01,514
ok,2024-04-25 09:30:00,7.49,7.49,7.49,7.49,100
ok,2024-04-25 14:00:00,7.38,7.38,7.38,7.38,100
ok,2024-04-26 09:00:00,7.38,7.38,7.38,7.38,100
ok,2024-04-26 09:30:00,7.06,7.25,7.01,7.25,676
ok,2024-04-26 11:30:00,7.13,7.13,7.13,7.13,354
ok,2024-04-26 14:00:00,7.26,7.26,7.26,7.26,100
ok,2024-04-29 10:00:00,7.02,7.14,7.02,7.14,202
ok,2024-04-29 11:30:00,7.01,7.01,6.62,6.62,2858
ok,2024-04-29 12:00:00,6.42,7.0,6.42,6.98,5311
ok,2024-04-29 12:30:00,6.95,7.06,6.95,7.06,890
ok,2024-04-29 13:00:00,6.78,6.78,6.78,6.78,100
ok,2024-04-30 08:30:00,6.95,7.1,6.84,7.1,2015
ok,2024-04-30 10:00:00,7.26,7.26,7.26,7.26,100
ok,2024-04-30 14:00:00,7.2,7.7,7.2,7.39,2496
ok,2024-04-30 14:30:00,7.3,7.5,7.0,7.0,3779
ok,2024-05-01 10:00:00,6.95,7.01,6.95,7.01,898
ok,2024-05-01 10:30:00,7.1,7.27,6.94,7.27,3295
ok,2024-05-01 11:00:00,7.03,7.09,6.95,7.05,1265
ok,2024-05-01 11:30:00,6.97,7.27,6.97,7.05,951
ok,2024-05-01 12:00:00,7.0,7.24,6.95,7.09,1321
ok,2024-05-01 12:30:00,7.15,7.15,6.97,6.98,1913
