s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,1.03,1.03,1.03,1.03,200
ok,2024-01-02 09:30:00,1.0,1.0,0.93,0.99,9230
ok,2024-01-02 10:30:00,0.94,0.94,0.88,0.91,34610
ok,2024-01-02 11:00:00,0.92,0.93,0.91,0.92,1160
ok,2024-01-02 11:30:00,0.91,0.92,0.91,0.92,10628
ok,2024-01-02 12:00:00,0.91,0.94,0.88,0.88,16610
ok,2024-01-02 12:30:00,0.88,0.89,0.88,0.88,3632
ok,2024-01-02 13:00:00,0.88,0.89,0.88,0.89,7775
ok,2024-01-02 13:30:00,0.89,0.9,0.89,0.89,1119
ok,2024-01-02 14:00:00,0.9,0.9,0.89,0.89,10220
ok,2024-01-02 14:30:00,0.89,0.89,0.89,0.89,11500
ok,2024-01-02 15:00:00,0.89,0.97,0.89,0.95,8755
ok,2024-01-02 15:30:00,0.94,0.95,0.9,0.9,22545
ok,2024-01-03 09:00:00,0.86,0.91,0.86,0.91,600
ok,2024-01-03 09:30:00,0.89,0.89,0.86,0.86,6444
ok,2024-01-03 10:00:00,0.86,0.89,0.83,0.83,7974
ok,2024-01-03 10:30:00,0.83,0.84,0.83,0.84,1464
ok,2024-01-03 11:00:00,0.83,0.85,0.83,0.85,2982
ok,2024-01-03 11:30:00,0.85,0.86,0.84,0.84,3763
ok,2024-01-03 12:00:00,0.84,0.84,0.84,0.84,9350
ok,2024-01-03 12:30:00,0.84,0.84,0.83,0.84,1404
ok,2024-01-03 13:00:00,0.84,0.84,0.83,0.84,6294
ok,2024-01-03 13:30:00,0.83,0.87,0.82,0.84,11681
ok,2024-01-03 14:00:00,0.84,0.87,0.82,0.87,1700
ok,2024-01-03 14:30:00,0.82,0.87,0.82,0.87,5775
ok,2024-01-03 15:00:00,0.88,0.88,0.87,0.88,1543
ok,2024-01-03 15:30:00,0.88,0.88,0.85,0.85,10050
ok,2024-01-03 17:00:00,0.86,0.86,0.86,0.86,1000
ok,2024-01-04 09:30:00,0.84,0.84,0.8,0.81,7653
ok,2024-01-04 10:00:00,0.82,0.82,0.81,0.81,2920
ok,2024-01-04 10:30:00,0.81,0.82,0.81,0.82,1027
ok,2024-01-04 11:00:00,0.8,0.8,0.8,0.8,118
ok,2024-01-04 11:30:00,0.81,0.82,0.8,0.8,3988
ok,2024-01-04 12:00:00,0.82,0.82,0.8,0.8,636
ok,2024-01-04 12:30:00,0.82,0.82,0.8,0.8,661
ok,2024-01-04 13:00:00,0.8,0.8,0.8,0.8,129
ok,2024-01-04 13:30:00,0.8,0.81,0.8,0.81,488
ok,2024-01-04 14:00:00,0.82,0.82,0.81,0.81,475
ok,2024-01-04 14:30:00,0.8,0.8,0.8,0.8,116
ok,2024-01-04 15:00:00,0.81,0.82,0.81,0.82,1848
ok,2024-01-04 15:30:00,0.81,0.85,0.81,0.82,5116
ok,2024-01-04 16:00:00,0.84,0.84,0.84,0.84,100
ok,2024-01-05 08:00:00,0.79,0.8,0.79,0.8,200
ok,2024-01-05 09:00:00,0.8,0.8,0.8,0.8,120
ok,2024-01-05 09:30:00,0.81,0.82,0.81,0.82,1289
ok,2024-01-05 10:00:00,0.83,0.83,0.8,0.8,2421
ok,2024-01-05 10:30:00,0.8,0.81,0.8,0.8,6153
ok,2024-01-05 11:00:00,0.8,0.8,0.8,0.8,1960
