s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,3.53,3.68,3.53,3.68,1012
ok,2024-01-02 08:00:00,3.68,3.68,3.55,3.55,3474
ok,2024-01-02 08:30:00,3.7,3.7,3.68,3.68,2643
ok,2024-01-02 09:00:00,3.63,3.63,3.63,3.63,151
ok,2024-01-02 09:30:00,3.56,3.68,3.56,3.59,9755
ok,2024-01-02 10:00:00,3.6,3.63,3.6,3.63,1650
ok,2024-01-02 10:30:00,3.66,3.75,3.65,3.7,9762
ok,2024-01-02 11:00:00,3.68,3.73,3.67,3.73,900
ok,2024-01-02 11:30:00,3.67,3.7,3.65,3.65,4486
ok,2024-01-02 12:00:00,3.7,3.7,3.68,3.68,1100
ok,2024-01-02 12:30:00,3.69,3.87,3.69,3.8,12536
ok,2024-01-02 13:00:00,3.77,3.82,3.77,3.82,728
ok,2024-01-02 13:30:00,3.81,3.84,3.77,3.77,15095
ok,2024-01-02 14:00:00,3.83,3.83,3.77,3.8,2169
ok,2024-01-02 14:30:00,3.79,3.84,3.77,3.77,9237
ok,2024-01-02 15:00:00,3.78,3.82,3.73,3.73,6325
ok,2024-01-02 15:30:00,3.73,3.79,3.73,3.76,10650
ok,2024-01-02 17:00:00,3.68,3.68,3.68,3.68,148
ok,2024-01-02 19:30:00,3.75,3.75,3.75,3.75,947
ok,2024-01-03 07:30:00,3.54,3.64,3.54,3.64,500
ok,2024-01-03 08:00:00,3.8,3.8,3.61,3.75,783
ok,2024-01-03 08:30:00,3.79,4.19,3.75,3.87,64587
ok,2024-01-03 09:00:00,3.95,3.95,3.72,3.88,9215
ok,2024-01-03 09:30:00,3.82,4.0,3.66,3.8,91368
ok,2024-01-03 10:00:00,3.77,3.77,3.6,3.68,33099
ok,2024-01-03 10:30:00,3.66,3.66,3.53,3.54,15089
ok,2024-01-03 11:00:00,3.57,3.62,3.55,3.6,3196
ok,2024-01-03 11:30:00,3.56,3.61,3.56,3.57,4885
ok,2024-01-03 12:00:00,3.57,3.82,3.57,3.8,34889
ok,2024-01-03 12:30:00,3.77,3.77,3.72,3.74,5129
ok,2024-01-03 13:00:00,3.72,3.75,3.55,3.61,20078
ok,2024-01-03 13:30:00,3.73,3.73,3.72,3.72,563
ok,2024-01-03 14:00:00,3.68,3.68,3.64,3.65,1479
ok,2024-01-03 14:30:00,3.72,3.73,3.64,3.69,1769
ok,2024-01-03 15:00:00,3.67,3.72,3.65,3.68,9465
ok,2024-01-03 15:30:00,3.67,3.79,3.67,3.75,18501
ok,2024-01-03 16:00:00,3.72,3.72,3.72,3.72,190
ok,2024-01-03 16:30:00,3.67,3.67,3.67,3.67,225
ok,2024-01-03 17:30:00,3.8,3.8,3.8,3.8,100
ok,2024-01-03 19:00:00,3.68,3.68,3.68,3.68,250
ok,2024-01-04 08:00:00,3.7,3.76,3.7,3.76,402
ok,2024-01-04 09:00:00,3.75,3.77,3.75,3.77,1600
ok,2024-01-04 09:30:00,3.67,3.7,3.53,3.53,25134
ok,2024-01-04 10:00:00,3.53,3.64,3.53,3.62,18959
ok,2024-01-04 10:30:00,3.6,3.67,3.6,3.66,7487
ok,2024-01-04 11:00:00,3.68,3.91,3.67,3.88,43419
ok,2024-01-04 11:30:00,3.91,4.0,3.84,3.92,39862
ok,2024-01-04 12:00:00,3.92,3.96,3.89,3.89,8880
ok,2024-01-04 12:30:00,3.91,4.15,3.88,4.15,64659
ok,2024-01-04 13:00:00,4.15,4.38,4.15,4.31,91610
ok,2024-01-04 13:30:00,4.32,4.49,4.28,4.32,76130
ok,2024-01-04 14:00:00,4.33,4.46,4.19,4.25,64720
ok,2024-01-04 14:30:00,4.24,4.41,4.24,4.35,35760
ok,2024-01-04 15:00:00,4.37,4.38,4.31,4.31,20947
ok,2024-01-04 15:30:00,4.32,4.32,4.21,4.25,47297
ok,2024-01-04 16:00:00,4.17,4.18,4.16,4.18,1483
ok,2024-01-04 16:30:00,4.18,4.18,4.18,4.18,195
ok,2024-01-04 17:00:00,4.18,4.18,4.16,4.16,2607
ok,2024-01-04 17:30:00,4.17,4.3,4.17,4.3,826
ok,2024-01-04 18:00:00,4.16,4.16,4.16,4.16,1000
ok,2024-01-04 19:00:00,4.25,4.25,4.22,4.22,630
ok,2024-01-05 06:00:00,4.39,4.39,4.39,4.39,104
ok,2024-01-05 06:30:00,4.46,4.46,4.46,4.46,211
ok,2024-01-05 07:30:00,4.29,4.3,4.29,4.3,600
ok,2024-01-05 08:00:00,4.3,4.3,4.22,4.27,1604
