s,t,o,h,l,c,v
ok,2024-01-02 10:30:00,1.56,1.56,1.56,1.56,3000
ok,2024-01-02 11:00:00,1.62,1.62,1.5,1.5,1438
ok,2024-01-02 11:30:00,1.61,1.61,1.61,1.61,100
ok,2024-01-02 12:30:00,1.56,1.56,1.56,1.56,200
ok,2024-01-02 13:00:00,1.54,1.61,1.54,1.61,1500
ok,2024-01-02 14:00:00,1.58,1.59,1.58,1.59,1310
ok,2024-01-02 15:30:00,1.59,1.6,1.59,1.6,575
ok,2024-01-03 09:30:00,1.62,1.62,1.5,1.61,4408
ok,2024-01-03 12:00:00,1.51,1.51,1.51,1.51,173
ok,2024-01-03 13:00:00,1.54,1.55,1.54,1.55,300
ok,2024-01-03 13:30:00,1.51,1.51,1.5,1.5,1022
ok,2024-01-03 14:00:00,1.51,1.51,1.5,1.5,761
ok,2024-01-03 14:30:00,1.51,1.51,1.51,1.51,100
ok,2024-01-03 15:00:00,1.51,1.51,1.5,1.5,1000
ok,2024-01-03 15:30:00,1.53,1.53,1.52,1.52,1003
ok,2024-01-04 08:00:00,1.49,1.49,1.49,1.49,230
ok,2024-01-04 09:00:00,1.65,1.66,1.65,1.66,832
ok,2024-01-04 09:30:00,1.59,1.59,1.59,1.59,200
ok,2024-01-04 10:00:00,1.5,1.5,1.49,1.49,3497
ok,2024-01-04 10:30:00,1.49,1.49,1.49,1.49,5000
ok,2024-01-04 11:00:00,1.45,1.45,1.45,1.45,101
ok,2024-01-04 11:30:00,1.47,1.49,1.47,1.49,1600
ok,2024-01-04 12:00:00,1.47,1.47,1.47,1.47,400
ok,2024-01-04 12:30:00,1.46,1.46,1.44,1.45,1610
ok,2024-01-04 13:00:00,1.45,1.45,1.45,1.45,270
ok,2024-01-04 13:30:00,1.47,1.47,1.47,1.47,2098
ok,2024-01-04 15:30:00,1.48,1.49,1.48,1.49,201
ok,2024-01-05 09:30:00,1.49,1.49,1.49,1.49,200
ok,2024-01-05 10:00:00,1.48,1.49,1.45,1.45,982
ok,2024-01-05 10:30:00,1.49,1.49,1.49,1.49,328
ok,2024-01-05 11:00:00,1.49,1.49,1.49,1.49,500
ok,2024-01-05 11:30:00,1.5,1.5,1.5,1.5,1027
ok,2024-01-05 12:00:00,1.6,1.6,1.56,1.56,534
ok,2024-01-05 13:00:00,1.6,1.6,1.6,1.6,1314
ok,2024-01-05 13:30:00,1.6,1.6,1.51,1.54,934
ok,2024-01-05 14:00:00,1.55,1.55,1.5,1.52,700
ok,2024-01-05 14:30:00,1.55,1.55,1.55,1.55,208
ok,2024-01-05 15:00:00,1.46,1.55,1.46,1.55,2365
ok,2024-01-05 15:30:00,1.5,1.5,1.5,1.5,289
ok,2024-01-05 16:00:00,1.74,1.74,1.74,1.74,2001
ok,2024-01-08 09:30:00,1.58,1.58,1.41,1.41,3086
ok,2024-01-08 10:00:00,1.67,1.7,1.67,1.7,3100
ok,2024-01-08 10:30:00,1.65,1.65,1.48,1.5,1748
ok,2024-01-08 12:30:00,1.54,1.54,1.54,1.54,400
ok,2024-01-08 13:30:00,1.6,1.6,1.6,1.6,200
ok,2024-01-09 09:30:00,1.53,1.53,1.53,1.53,100
ok,2024-01-09 10:00:00,1.52,1.52,1.52,1.52,1000
ok,2024-01-09 13:30:00,1.41,1.41,1.41,1.41,100
ok,2024-01-09 14:00:00,1.46,1.46,1.46,1.46,325
ok,2024-01-09 14:30:00,1.5,1.5,1.5,1.5,200
ok,2024-01-09 15:30:00,1.46,1.46,1.46,1.46,210
ok,2024-01-10 09:30:00,1.45,1.49,1.42,1.49,2236
ok,2024-01-10 10:00:00,1.52,1.52,1.52,1.52,200
ok,2024-01-10 11:00:00,1.49,1.49,1.49,1.49,1631
ok,2024-01-11 09:30:00,1.38,1.42,1.38,1.42,954
ok,2024-01-11 10:00:00,1.45,1.45,1.45,1.45,100
ok,2024-01-11 12:00:00,1.51,1.51,1.51,1.51,200
ok,2024-01-11 15:00:00,1.51,1.51,1.5,1.5,300
ok,2024-01-11 17:30:00,1.42,1.42,1.42,1.42,100
ok,2024-01-12 15:30:00,1.48,1.48,1.48,1.48,364
ok,2024-01-16 09:30:00,1.45,1.45,1.44,1.44,919
ok,2024-01-16 10:00:00,1.43,1.43,1.43,1.43,100
ok,2024-01-16 10:30:00,1.43,1.43,1.43,1.43,198
ok,2024-01-16 11:00:00,1.44,1.44,1.43,1.44,687
ok,2024-01-16 12:00:00,1.44,1.44,1.43,1.43,750
ok,2024-01-16 12:30:00,1.41,1.41,1.41,1.41,100
ok,2024-01-16 15:00:00,1.41,1.41,1.4,1.41,1404
ok,2024-01-17 10:30:00,1.5,1.5,1.5,1.5,205
ok,2024-01-17 15:00:00,1.57,1.87,1.52,1.74,43526
ok,2024-01-17 15:30:00,1.76,1.87,1.74,1.83,33895
ok,2024-01-17 16:00:00,1.85,1.85,1.84,1.84,500
ok,2024-01-17 16:30:00,1.76,1.78,1.72,1.74,5112
ok,2024-01-17 17:00:00,1.88,1.88,1.88,1.88,1000
ok,2024-01-17 19:00:00,1.81,1.81,1.81,1.81,190
ok,2024-01-18 09:30:00,1.83,1.95,1.58,1.79,6194
ok,2024-01-18 10:00:00,1.82,1.82,1.65,1.65,760
ok,2024-01-18 10:30:00,1.76,1.76,1.76,1.76,200
ok,2024-01-18 11:30:00,1.8,1.8,1.8,1.8,300
ok,2024-01-18 12:00:00,1.82,1.84,1.82,1.84,1720
ok,2024-01-18 13:00:00,1.82,1.82,1.78,1.78,3001
ok,2024-01-18 14:30:00,1.78,1.78,1.78,1.78,141
ok,2024-01-18 15:30:00,1.8,1.9,1.77,1.82,5452
ok,2024-01-19 09:30:00,1.88,1.93,1.88,1.88,2235
ok,2024-01-19 10:00:00,1.89,1.9,1.87,1.89,650
ok,2024-01-19 11:30:00,1.53,1.64,1.53,1.62,1661
ok,2024-01-19 12:00:00,1.72,1.72,1.72,1.72,300
ok,2024-01-19 12:30:00,1.77,1.77,1.75,1.75,301
ok,2024-01-19 13:00:00,1.7,1.7,1.7,1.7,300
ok,2024-01-19 13:30:00,1.7,1.7,1.7,1.7,800
ok,2024-01-19 14:30:00,1.73,1.73,1.73,1.73,100
ok,2024-01-22 09:30:00,1.81,1.81,1.81,1.81,114
ok,2024-01-22 10:30:00,1.74,1.94,1.73,1.94,400
ok,2024-01-22 11:00:00,1.8,1.85,1.8,1.85,1125
ok,2024-01-22 13:30:00,1.73,1.73,1.73,1.73,382
ok,2024-01-22 14:00:00,1.7,1.73,1.69,1.73,3300
ok,2024-01-22 15:00:00,1.7,1.7,1.7,1.7,186
ok,2024-01-22 17:00:00,1.55,1.55,1.55,1.55,100
ok,2024-01-23 09:30:00,1.78,1.97,1.6,1.97,2632
ok,2024-01-23 10:00:00,1.95,1.95,1.95,1.95,400
ok,2024-01-23 10:30:00,1.88,1.88,1.76,1.76,600
ok,2024-01-23 11:00:00,1.72,1.88,1.72,1.88,600
ok,2024-01-23 11:30:00,1.87,1.87,1.87,1.87,400
ok,2024-01-23 12:30:00,1.72,1.86,1.72,1.86,500
ok,2024-01-23 13:00:00,1.84,1.84,1.84,1.84,300
ok,2024-01-23 13:30:00,1.73,1.84,1.73,1.84,401
ok,2024-01-23 14:00:00,1.66,1.7,1.66,1.7,1300
ok,2024-01-23 14:30:00,1.74,1.78,1.74,1.78,200
ok,2024-01-24 11:00:00,1.57,1.85,1.57,1.85,1811
ok,2024-01-24 11:30:00,1.57,1.57,1.57,1.57,130
ok,2024-01-25 10:00:00,1.58,1.7,1.56,1.57,1529
ok,2024-01-25 11:30:00,1.55,1.55,1.55,1.55,500
ok,2024-01-25 12:00:00,1.66,1.66,1.66,1.66,127
ok,2024-01-25 15:30:00,1.69,1.69,1.69,1.69,450
ok,2024-01-26 15:30:00,1.56,1.63,1.53,1.53,1331
ok,2024-01-29 09:30:00,1.55,1.87,1.55,1.59,1539
ok,2024-01-29 12:00:00,1.62,1.62,1.62,1.62,103
ok,2024-01-29 14:30:00,1.6,1.6,1.6,1.6,100
ok,2024-01-31 09:30:00,1.65,1.66,1.5,1.5,5251
ok,2024-01-31 10:00:00,1.64,1.64,1.64,1.64,130
ok,2024-01-31 11:30:00,1.62,1.62,1.62,1.62,670
ok,2024-01-31 15:30:00,1.73,1.73,1.73,1.73,1000
ok,2024-02-01 09:30:00,1.53,1.75,1.52,1.67,6611
ok,2024-02-01 10:30:00,1.69,1.69,1.69,1.69,100
ok,2024-02-01 13:00:00,1.69,1.69,1.69,1.69,178
ok,2024-02-01 14:30:00,1.69,1.71,1.69,1.71,550
ok,2024-02-02 11:30:00,1.64,1.64,1.64,1.64,500
ok,2024-02-02 12:00:00,1.53,1.64,1.53,1.64,600
ok,2024-02-02 15:30:00,1.57,1.57,1.57,1.57,149
ok,2024-02-05 09:30:00,1.67,1.67,1.67,1.67,105
ok,2024-02-06 09:30:00,1.51,1.51,1.51,1.51,102
ok,2024-02-06 10:00:00,1.53,1.53,1.51,1.51,500
ok,2024-02-06 11:00:00,1.51,1.53,1.51,1.51,715
ok,2024-02-06 13:30:00,1.76,1.76,1.76,1.76,585
ok,2024-02-07 11:00:00,1.54,1.62,1.54,1.62,1056
ok,2024-02-07 15:30:00,1.66,1.66,1.66,1.66,100
ok,2024-02-08 12:30:00,1.63,1.63,1.63,1.63,565
ok,2024-02-09 11:00:00,1.65,1.65,1.65,1.65,850
ok,2024-02-09 12:00:00,1.63,1.63,1.63,1.63,500
ok,2024-02-09 15:00:00,1.69,1.69,1.69,1.69,509
ok,2024-02-12 10:30:00,1.69,1.7,1.63,1.63,1662
ok,2024-02-12 11:00:00,1.7,1.7,1.7,1.7,100
ok,2024-02-12 15:00:00,1.63,1.63,1.63,1.63,613
ok,2024-02-14 09:30:00,1.69,1.69,1.69,1.69,500
ok,2024-02-14 12:30:00,1.64,1.64,1.64,1.64,487
ok,2024-02-14 13:00:00,1.67,1.67,1.67,1.67,158
ok,2024-02-14 15:00:00,1.69,1.7,1.69,1.7,1108
ok,2024-02-14 15:30:00,1.69,1.69,1.69,1.69,129
ok,2024-02-15 11:30:00,1.66,1.66,1.66,1.66,1000
ok,2024-02-15 12:00:00,1.66,1.66,1.51,1.51,6286
ok,2024-02-15 12:30:00,1.6,1.6,1.6,1.6,200
ok,2024-02-16 14:30:00,1.66,1.7,1.5,1.5,3574
ok,2024-02-20 09:30:00,1.5,1.5,1.5,1.5,719
ok,2024-02-20 11:00:00,1.57,1.57,1.46,1.46,1019
ok,2024-02-20 11:30:00,1.53,1.53,1.31,1.31,6573
ok,2024-02-21 09:30:00,1.65,1.65,1.53,1.53,342
ok,2024-02-21 10:30:00,1.32,1.32,1.32,1.32,133
ok,2024-02-21 16:30:00,1.47,1.47,1.36,1.36,650
ok,2024-02-22 08:30:00,1.67,6.3,1.67,4.57,4748122
ok,2024-02-22 09:00:00,4.55,5.82,4.31,4.9,3403907
ok,2024-02-22 09:30:00,4.83,5.5,3.42,3.52,9361017
ok,2024-02-22 10:00:00,3.52,3.53,2.99,3.22,2897274
ok,2024-02-22 10:30:00,3.21,3.77,3.13,3.35,3402147
ok,2024-02-22 11:00:00,3.32,3.58,3.19,3.48,1633460
ok,2024-02-22 11:30:00,3.5,3.54,3.23,3.32,1018992
ok,2024-02-22 12:00:00,3.32,3.45,3.02,3.1,831734
ok,2024-02-22 12:30:00,3.08,3.25,2.81,2.95,781507
ok,2024-02-22 13:00:00,2.95,3.1,2.71,2.77,918408
ok,2024-02-22 13:30:00,2.76,3.0,2.66,2.72,408855
ok,2024-02-22 14:00:00,2.71,2.83,2.71,2.79,152070
ok,2024-02-22 14:30:00,2.8,2.83,2.63,2.67,249810
ok,2024-02-22 15:00:00,2.68,2.93,2.5,2.61,633636
ok,2024-02-22 15:30:00,2.62,2.8,2.51,2.72,393158
ok,2024-02-22 16:00:00,2.68,2.7,2.5,2.55,60132
ok,2024-02-22 16:30:00,2.54,2.56,2.33,2.35,71079
ok,2024-02-22 17:00:00,2.36,2.36,2.26,2.3,44466
ok,2024-02-22 17:30:00,2.34,2.63,2.34,2.41,14313
ok,2024-02-22 18:00:00,2.5,2.58,2.44,2.57,1323
ok,2024-02-22 18:30:00,2.55,2.55,2.39,2.39,4575
ok,2024-02-22 19:00:00,2.4,2.44,2.4,2.44,5122
ok,2024-02-22 19:30:00,2.4,2.48,2.3,2.36,4432
ok,2024-02-23 04:00:00,2.4,2.45,2.25,2.25,6073
ok,2024-02-23 04:30:00,2.27,2.36,2.25,2.36,2824
ok,2024-02-23 05:00:00,2.32,2.35,2.32,2.33,4246
ok,2024-02-23 05:30:00,2.33,2.35,2.33,2.34,1179
ok,2024-02-23 06:00:00,2.37,2.52,2.37,2.52,3419
ok,2024-02-23 06:30:00,2.5,2.51,2.41,2.42,1769
ok,2024-02-23 07:00:00,2.4,2.49,2.35,2.35,6374
ok,2024-02-23 07:30:00,2.35,2.35,2.3,2.32,3288
ok,2024-02-23 08:00:00,2.46,2.46,2.26,2.28,18766
ok,2024-02-23 08:30:00,2.33,2.35,2.26,2.35,11698
ok,2024-02-23 09:00:00,2.39,2.44,2.37,2.43,8484
ok,2024-02-23 09:30:00,2.44,2.5,2.3,2.5,134028
ok,2024-02-23 10:00:00,2.46,2.47,2.33,2.42,67213
ok,2024-02-23 10:30:00,2.43,2.49,2.36,2.46,37983
ok,2024-02-23 11:00:00,2.46,2.64,2.45,2.56,94444
ok,2024-02-23 11:30:00,2.52,2.55,2.32,2.4,35909
ok,2024-02-23 12:00:00,2.44,2.47,2.11,2.14,59184
ok,2024-02-23 12:30:00,2.18,2.3,2.13,2.28,36326
ok,2024-02-23 13:00:00,2.24,2.3,2.16,2.2,13178
ok,2024-02-23 13:30:00,2.22,2.23,2.1,2.23,8238
ok,2024-02-23 14:00:00,2.23,2.35,2.23,2.35,11769
ok,2024-02-23 14:30:00,2.35,2.36,2.31,2.35,10330
ok,2024-02-23 15:00:00,2.35,2.5,2.35,2.47,27886
ok,2024-02-23 15:30:00,2.48,2.58,2.45,2.57,52498
ok,2024-02-23 16:00:00,2.56,2.56,2.45,2.46,2093
ok,2024-02-23 16:30:00,2.45,2.51,2.45,2.51,503
ok,2024-02-23 17:00:00,2.45,2.45,2.45,2.45,438
ok,2024-02-23 17:30:00,2.47,2.47,2.46,2.46,200
ok,2024-02-23 18:00:00,2.46,2.5,2.46,2.5,291
ok,2024-02-23 18:30:00,2.52,2.52,2.52,2.52,229
ok,2024-02-23 19:00:00,2.52,2.52,2.48,2.48,4551
ok,2024-02-23 19:30:00,2.46,2.46,2.45,2.46,713
ok,2024-02-26 04:30:00,2.28,2.28,2.28,2.28,107
ok,2024-02-26 06:00:00,2.29,2.32,2.28,2.32,758
ok,2024-02-26 06:30:00,2.31,2.31,2.29,2.29,404
ok,2024-02-26 07:00:00,2.45,2.45,2.25,2.25,5339
ok,2024-02-26 07:30:00,2.3,2.3,2.3,2.3,260
ok,2024-02-26 08:00:00,2.3,2.38,2.3,2.31,2471
ok,2024-02-26 08:30:00,2.31,2.31,2.3,2.3,1007
ok,2024-02-26 09:00:00,2.3,2.54,2.3,2.54,6639
ok,2024-02-26 09:30:00,2.67,2.67,2.34,2.36,25362
ok,2024-02-26 10:00:00,2.35,2.36,2.24,2.34,13017
ok,2024-02-26 10:30:00,2.34,2.34,2.24,2.24,5178
ok,2024-02-26 11:00:00,2.29,2.35,2.24,2.33,10108
ok,2024-02-26 11:30:00,2.33,2.35,2.28,2.32,4251
ok,2024-02-26 12:00:00,2.33,2.41,2.28,2.41,6128
ok,2024-02-26 12:30:00,2.4,2.41,2.33,2.36,5547
ok,2024-02-26 13:00:00,2.36,2.36,2.27,2.36,5738
ok,2024-02-26 13:30:00,2.33,2.36,2.29,2.3,2693
ok,2024-02-26 14:00:00,2.33,2.39,2.33,2.39,4617
ok,2024-02-26 14:30:00,2.36,2.38,2.32,2.33,4036
ok,2024-02-26 15:00:00,2.35,2.4,2.33,2.39,4375
ok,2024-02-26 15:30:00,2.39,2.39,2.33,2.34,4719
ok,2024-02-26 16:00:00,2.35,2.39,2.35,2.39,1880
ok,2024-02-26 17:00:00,2.39,2.39,2.39,2.39,206
ok,2024-02-26 17:30:00,2.39,2.39,2.39,2.39,4065
ok,2024-02-26 18:00:00,2.39,2.39,2.39,2.39,100
ok,2024-02-27 04:00:00,2.26,2.26,2.26,2.26,144
ok,2024-02-27 04:30:00,2.25,2.25,2.19,2.19,287
ok,2024-02-27 05:30:00,2.2,2.2,2.2,2.2,127
ok,2024-02-27 06:30:00,2.21,2.22,2.21,2.22,439
ok,2024-02-27 07:00:00,2.21,2.21,2.1,2.2,1060
ok,2024-02-27 07:30:00,2.16,2.18,2.16,2.18,404
ok,2024-02-27 08:00:00,2.18,2.18,2.15,2.15,558
ok,2024-02-27 08:30:00,2.15,2.15,2.15,2.15,101
ok,2024-02-27 09:30:00,2.04,2.15,1.86,1.96,18732
ok,2024-02-27 10:00:00,1.94,2.04,1.84,1.87,38534
ok,2024-02-27 10:30:00,1.86,1.95,1.85,1.95,15527
ok,2024-02-27 11:00:00,1.89,1.93,1.88,1.9,2945
ok,2024-02-27 11:30:00,1.93,1.94,1.86,1.87,1705
ok,2024-02-27 12:00:00,1.92,1.98,1.92,1.96,1833
ok,2024-02-27 12:30:00,1.98,1.98,1.96,1.96,1546
ok,2024-02-27 13:00:00,2.0,2.0,1.92,2.0,2517
ok,2024-02-27 13:30:00,2.0,2.0,1.95,2.0,1004
ok,2024-02-27 14:00:00,2.0,2.0,2.0,2.0,150
ok,2024-02-27 14:30:00,1.94,1.94,1.94,1.94,560
ok,2024-02-27 15:00:00,1.93,1.93,1.87,1.89,5721
ok,2024-02-27 15:30:00,1.87,1.97,1.87,1.91,7836
ok,2024-02-27 17:00:00,1.87,1.87,1.87,1.87,396
ok,2024-02-27 19:00:00,1.87,1.87,1.87,1.87,458
ok,2024-02-28 08:30:00,1.87,1.87,1.86,1.86,200
ok,2024-02-28 09:00:00,1.86,1.86,1.71,1.84,4571
ok,2024-02-28 09:30:00,1.9,1.9,1.76,1.81,10753
ok,2024-02-28 10:00:00,1.81,1.81,1.6,1.77,33200
ok,2024-02-28 10:30:00,1.78,1.78,1.61,1.63,11375
ok,2024-02-28 11:00:00,1.71,1.79,1.68,1.68,20808
ok,2024-02-28 11:30:00,1.71,1.79,1.71,1.74,18190
ok,2024-02-28 12:00:00,1.75,1.75,1.74,1.74,1184
ok,2024-02-28 12:30:00,1.79,1.79,1.74,1.75,22673
ok,2024-02-28 13:00:00,1.76,1.77,1.72,1.72,1964
ok,2024-02-28 13:30:00,1.77,1.77,1.77,1.77,140
ok,2024-02-28 14:00:00,1.77,1.77,1.72,1.72,1302
ok,2024-02-28 14:30:00,1.71,1.73,1.71,1.71,622
ok,2024-02-28 15:00:00,1.72,1.72,1.71,1.71,552
ok,2024-02-28 15:30:00,1.72,1.73,1.7,1.7,3811
ok,2024-02-28 17:00:00,1.62,1.67,1.61,1.67,3000
ok,2024-02-28 17:30:00,1.67,1.67,1.67,1.67,151
ok,2024-02-28 18:00:00,1.61,1.67,1.61,1.67,716
ok,2024-02-28 19:00:00,1.62,1.62,1.6,1.6,1500
ok,2024-02-29 04:00:00,1.59,1.59,1.59,1.59,500
ok,2024-02-29 07:30:00,1.62,1.62,1.62,1.62,101
ok,2024-02-29 08:30:00,1.6,1.68,1.6,1.66,1600
ok,2024-02-29 09:30:00,1.68,1.68,1.58,1.64,24253
ok,2024-02-29 10:00:00,1.64,1.66,1.6,1.62,8675
ok,2024-02-29 10:30:00,1.66,1.66,1.65,1.65,950
ok,2024-02-29 11:00:00,1.65,1.7,1.62,1.68,9022
ok,2024-02-29 12:00:00,1.69,1.72,1.68,1.72,8387
ok,2024-02-29 12:30:00,1.73,1.82,1.73,1.82,2098
ok,2024-02-29 13:00:00,1.82,1.87,1.78,1.78,5210
ok,2024-02-29 13:30:00,1.84,1.84,1.81,1.84,12520
ok,2024-02-29 14:00:00,1.8,1.82,1.8,1.82,4133
ok,2024-02-29 14:30:00,1.8,1.83,1.75,1.77,2682
ok,2024-02-29 15:00:00,1.79,1.79,1.79,1.79,500
ok,2024-02-29 15:30:00,1.77,1.77,1.72,1.75,6026
ok,2024-02-29 16:00:00,1.49,1.49,1.49,1.49,505
ok,2024-03-01 09:30:00,1.62,1.76,1.62,1.75,1710
ok,2024-03-01 10:00:00,1.69,1.83,1.68,1.69,9828
ok,2024-03-01 10:30:00,1.74,1.82,1.69,1.82,2939
ok,2024-03-01 11:00:00,1.82,1.84,1.77,1.82,18373
ok,2024-03-01 11:30:00,1.81,1.81,1.81,1.81,106
ok,2024-03-01 12:00:00,1.82,1.84,1.8,1.84,6960
ok,2024-03-01 12:30:00,1.82,1.82,1.76,1.76,1081
ok,2024-03-01 13:30:00,1.81,1.81,1.81,1.81,200
ok,2024-03-01 14:00:00,1.75,1.81,1.75,1.76,2954
ok,2024-03-01 14:30:00,1.81,1.81,1.78,1.79,10911
ok,2024-03-01 15:00:00,1.8,1.82,1.77,1.77,13464
ok,2024-03-01 15:30:00,1.76,1.85,1.76,1.83,5018
ok,2024-03-01 16:00:00,1.68,1.68,1.68,1.68,150
ok,2024-03-01 19:00:00,1.74,1.74,1.74,1.74,261
ok,2024-03-04 08:00:00,1.81,1.81,1.81,1.81,500
ok,2024-03-04 08:30:00,1.81,1.81,1.8,1.81,1440
ok,2024-03-04 09:00:00,1.83,1.83,1.83,1.83,3190
ok,2024-03-04 09:30:00,1.7,1.82,1.66,1.75,8218
ok,2024-03-04 10:00:00,1.84,1.84,1.76,1.79,3347
ok,2024-03-04 10:30:00,1.77,1.8,1.77,1.79,2022
ok,2024-03-04 11:00:00,1.77,1.77,1.75,1.75,1630
