s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,0.93,0.93,0.93,0.93,100
ok,2024-01-02 09:30:00,0.98,0.98,0.96,0.96,6975
ok,2024-01-02 10:00:00,0.96,0.96,0.96,0.96,100
ok,2024-01-02 10:30:00,0.96,0.96,0.96,0.96,109
ok,2024-01-02 11:30:00,0.95,0.95,0.95,0.95,1278
ok,2024-01-02 12:00:00,0.95,0.96,0.95,0.95,567
ok,2024-01-02 12:30:00,0.95,0.95,0.95,0.95,954
ok,2024-01-02 13:00:00,0.95,0.95,0.94,0.94,4890
ok,2024-01-02 14:00:00,0.94,0.94,0.94,0.94,412
ok,2024-01-02 15:00:00,0.94,0.94,0.94,0.94,438
ok,2024-01-02 15:30:00,0.93,0.95,0.93,0.95,5502
ok,2024-01-02 16:00:00,0.95,0.95,0.95,0.95,100
ok,2024-01-03 09:30:00,0.98,0.98,0.92,0.94,2517
ok,2024-01-03 10:00:00,0.97,0.98,0.97,0.98,2131
ok,2024-01-03 10:30:00,0.96,1.0,0.96,1.0,2875
ok,2024-01-03 11:00:00,1.0,1.05,0.99,1.04,11795
ok,2024-01-03 11:30:00,0.99,1.04,0.95,0.97,17916
ok,2024-01-03 12:30:00,0.94,0.94,0.94,0.94,305
ok,2024-01-03 13:00:00,0.95,0.95,0.93,0.95,1764
ok,2024-01-03 13:30:00,0.95,0.95,0.95,0.95,125
ok,2024-01-03 14:00:00,0.97,0.99,0.97,0.99,2700
ok,2024-01-03 14:30:00,0.93,0.93,0.93,0.93,800
ok,2024-01-03 17:00:00,0.94,0.94,0.94,0.94,100
ok,2024-01-04 08:00:00,1.03,1.03,1.03,1.03,110
ok,2024-01-04 09:30:00,0.93,0.93,0.93,0.93,213
ok,2024-01-04 10:00:00,0.92,0.92,0.92,0.92,385
ok,2024-01-04 10:30:00,0.94,0.98,0.92,0.92,8491
ok,2024-01-04 11:00:00,0.96,1.01,0.92,0.92,548
ok,2024-01-04 13:30:00,0.96,0.96,0.96,0.96,250
ok,2024-01-04 14:30:00,0.98,0.98,0.97,0.98,601
ok,2024-01-05 09:30:00,0.92,0.92,0.92,0.92,100
ok,2024-01-05 10:00:00,1.0,1.0,1.0,1.0,100
ok,2024-01-05 10:30:00,0.96,0.96,0.96,0.96,208
ok,2024-01-05 11:00:00,1.01,1.01,1.01,1.01,100
ok,2024-01-05 11:30:00,1.01,1.01,1.01,1.01,100
ok,2024-01-05 12:00:00,1.0,1.01,1.0,1.0,4900
ok,2024-01-05 12:30:00,1.01,1.01,1.0,1.0,694
ok,2024-01-05 13:00:00,1.01,1.01,1.01,1.01,900
ok,2024-01-05 13:30:00,1.0,1.0,1.0,1.0,200
ok,2024-01-05 14:00:00,1.0,1.0,1.0,1.0,192
ok,2024-01-05 14:30:00,1.0,1.0,1.0,1.0,1500
ok,2024-01-05 15:30:00,1.02,1.02,1.01,1.01,1560
ok,2024-01-05 16:30:00,1.03,1.03,1.03,1.03,1886
ok,2024-01-08 08:00:00,1.01,1.01,1.01,1.01,100
ok,2024-01-08 09:30:00,1.05,1.05,1.0,1.01,6891
ok,2024-01-08 10:00:00,1.0,1.0,1.0,1.0,601
ok,2024-01-08 11:00:00,0.95,0.95,0.95,0.95,301
ok,2024-01-08 12:00:00,0.96,0.98,0.96,0.98,612
ok,2024-01-08 13:30:00,0.96,0.96,0.96,0.96,2057
ok,2024-01-08 14:00:00,0.97,0.97,0.95,0.95,11952
ok,2024-01-08 14:30:00,0.95,0.96,0.95,0.96,2576
ok,2024-01-08 15:00:00,0.96,1.0,0.95,1.0,4802
ok,2024-01-08 15:30:00,0.99,0.99,0.95,0.95,1036
ok,2024-01-09 09:00:00,0.94,0.94,0.94,0.94,100
ok,2024-01-09 09:30:00,1.0,1.0,0.97,0.97,10990
ok,2024-01-09 10:00:00,0.97,0.99,0.97,0.99,900
