s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,1.57,1.65,1.57,1.65,1020
ok,2024-01-02 08:00:00,1.64,1.64,1.64,1.64,408
ok,2024-01-02 09:30:00,1.57,1.62,1.57,1.62,2174
ok,2024-01-02 10:00:00,1.64,1.71,1.64,1.7,10984
ok,2024-01-02 10:30:00,1.7,1.77,1.68,1.74,13892
ok,2024-01-02 11:00:00,1.73,1.74,1.71,1.74,3058
ok,2024-01-02 12:00:00,1.74,1.75,1.73,1.75,2508
ok,2024-01-02 12:30:00,1.74,1.85,1.74,1.8,28244
ok,2024-01-02 13:00:00,1.82,1.84,1.74,1.75,43155
ok,2024-01-02 13:30:00,1.74,1.76,1.74,1.76,3437
ok,2024-01-02 14:00:00,1.75,1.76,1.7,1.75,12771
ok,2024-01-02 14:30:00,1.75,1.76,1.74,1.76,5049
ok,2024-01-02 15:30:00,1.75,1.76,1.74,1.75,5143
ok,2024-01-03 09:30:00,1.77,1.78,1.71,1.71,15576
ok,2024-01-03 10:00:00,1.76,1.76,1.72,1.72,1900
ok,2024-01-03 10:30:00,1.74,1.74,1.73,1.73,220
ok,2024-01-03 11:00:00,1.76,1.76,1.75,1.75,3200
ok,2024-01-03 11:30:00,1.74,1.74,1.74,1.74,100
ok,2024-01-03 12:00:00,1.75,1.75,1.74,1.75,516
ok,2024-01-03 12:30:00,1.76,1.76,1.76,1.76,338
ok,2024-01-03 13:00:00,1.72,1.72,1.72,1.72,500
ok,2024-01-03 14:00:00,1.77,1.77,1.77,1.77,100
ok,2024-01-03 14:30:00,1.75,1.75,1.75,1.75,100
ok,2024-01-03 15:00:00,1.75,1.77,1.75,1.75,564
ok,2024-01-03 15:30:00,1.75,1.75,1.75,1.75,1899
ok,2024-01-03 17:00:00,1.69,1.69,1.69,1.69,315
ok,2024-01-04 09:30:00,1.72,1.75,1.72,1.75,1205
ok,2024-01-04 10:00:00,1.74,1.74,1.74,1.74,345
ok,2024-01-04 10:30:00,1.75,1.75,1.75,1.75,1454
ok,2024-01-04 11:00:00,1.8,1.8,1.78,1.8,5130
ok,2024-01-04 11:30:00,1.79,1.84,1.78,1.83,9593
ok,2024-01-04 12:00:00,1.83,1.85,1.8,1.84,2719
ok,2024-01-04 12:30:00,1.84,1.84,1.84,1.84,100
ok,2024-01-04 13:00:00,1.82,1.84,1.81,1.81,1400
