s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.12,0.12,0.12,0.12,100
ok,2024-01-02 09:30:00,0.11,0.11,0.11,0.11,19439
ok,2024-01-02 10:00:00,0.11,0.11,0.11,0.11,20395
ok,2024-01-02 10:30:00,0.11,0.11,0.11,0.11,4600
ok,2024-01-02 11:00:00,0.11,0.11,0.11,0.11,100
ok,2024-01-02 11:30:00,0.11,0.11,0.11,0.11,2931
ok,2024-01-02 12:00:00,0.11,0.11,0.11,0.11,510
ok,2024-01-02 12:30:00,0.11,0.11,0.11,0.11,25260
ok,2024-01-02 14:00:00,0.11,0.12,0.11,0.12,17376
ok,2024-01-02 14:30:00,0.12,0.12,0.11,0.11,4413
ok,2024-01-02 15:00:00,0.12,0.12,0.11,0.11,141083
ok,2024-01-02 15:30:00,0.12,0.12,0.11,0.12,3700
ok,2024-01-02 16:30:00,0.12,0.12,0.12,0.12,550
ok,2024-01-02 19:00:00,0.12,0.12,0.12,0.12,10000
ok,2024-01-03 09:00:00,0.12,0.12,0.12,0.12,5000
ok,2024-01-03 09:30:00,0.12,0.12,0.12,0.12,55763
ok,2024-01-03 10:00:00,0.12,0.12,0.11,0.11,148324
ok,2024-01-03 10:30:00,0.11,0.11,0.11,0.11,3341
ok,2024-01-03 11:00:00,0.11,0.11,0.11,0.11,10669
ok,2024-01-03 11:30:00,0.11,0.11,0.11,0.11,6478
ok,2024-01-03 12:00:00,0.11,0.11,0.11,0.11,6023
ok,2024-01-03 12:30:00,0.11,0.11,0.11,0.11,567
ok,2024-01-03 13:00:00,0.11,0.11,0.11,0.11,1767
ok,2024-01-03 13:30:00,0.11,0.11,0.1,0.11,80507
ok,2024-01-03 14:00:00,0.11,0.11,0.11,0.11,280
ok,2024-01-03 14:30:00,0.11,0.11,0.11,0.11,1287
ok,2024-01-03 15:00:00,0.11,0.11,0.11,0.11,149911
ok,2024-01-03 15:30:00,0.11,0.12,0.11,0.12,112125
ok,2024-01-03 17:30:00,0.11,0.11,0.11,0.11,1222
ok,2024-01-03 19:30:00,0.12,0.12,0.12,0.12,300
ok,2024-01-04 05:00:00,0.12,0.15,0.11,0.11,156573
ok,2024-01-04 05:30:00,0.11,0.12,0.11,0.11,6695
ok,2024-01-04 06:00:00,0.11,0.11,0.11,0.11,2090
ok,2024-01-04 06:30:00,0.11,0.12,0.11,0.12,24923
ok,2024-01-04 08:30:00,0.11,0.11,0.11,0.11,1469
ok,2024-01-04 09:00:00,0.12,0.12,0.12,0.12,100
ok,2024-01-04 09:30:00,0.11,0.12,0.11,0.12,53664
ok,2024-01-04 10:00:00,0.11,0.11,0.11,0.11,3185
ok,2024-01-04 10:30:00,0.11,0.11,0.11,0.11,5695
ok,2024-01-04 11:00:00,0.11,0.11,0.11,0.11,9402
ok,2024-01-04 11:30:00,0.11,0.11,0.11,0.11,12963
ok,2024-01-04 12:00:00,0.11,0.11,0.11,0.11,19404
ok,2024-01-04 13:00:00,0.11,0.11,0.11,0.11,142999
ok,2024-01-04 13:30:00,0.11,0.11,0.11,0.11,5251
ok,2024-01-04 14:30:00,0.11,0.11,0.11,0.11,2200
ok,2024-01-04 15:00:00,0.11,0.11,0.11,0.11,2380
ok,2024-01-04 15:30:00,0.11,0.11,0.11,0.11,110022
ok,2024-01-04 17:00:00,0.11,0.11,0.11,0.11,1411
ok,2024-01-04 18:30:00,0.11,0.11,0.11,0.11,300
ok,2024-01-04 19:30:00,0.11,0.11,0.11,0.11,5656
ok,2024-01-05 07:00:00,0.11,0.11,0.11,0.11,3100
ok,2024-01-05 07:30:00,0.12,0.12,0.11,0.12,750
ok,2024-01-05 09:00:00,0.12,0.12,0.11,0.11,500
ok,2024-01-05 09:30:00,0.11,0.11,0.11,0.11,3549
ok,2024-01-05 10:00:00,0.11,0.11,0.11,0.11,5125
ok,2024-01-05 10:30:00,0.11,0.11,0.11,0.11,31764
ok,2024-01-05 11:00:00,0.11,0.11,0.11,0.11,335
ok,2024-01-05 11:30:00,0.11,0.11,0.11,0.11,500
ok,2024-01-05 12:00:00,0.11,0.11,0.11,0.11,215
ok,2024-01-05 12:30:00,0.11,0.11,0.11,0.11,200
ok,2024-01-05 13:00:00,0.11,0.11,0.11,0.11,5000
ok,2024-01-05 14:00:00,0.11,0.11,0.11,0.11,2259
ok,2024-01-05 14:30:00,0.11,0.11,0.11,0.11,7556
ok,2024-01-05 15:00:00,0.11,0.11,0.1,0.1,24478
ok,2024-01-05 15:30:00,0.1,0.11,0.1,0.11,94872
ok,2024-01-05 16:30:00,0.1,0.11,0.1,0.11,784
ok,2024-01-05 17:30:00,0.11,0.11,0.11,0.11,555
ok,2024-01-05 18:00:00,0.1,0.1,0.1,0.1,220
ok,2024-01-08 05:30:00,0.11,0.11,0.11,0.11,2000
ok,2024-01-08 08:30:00,0.11,0.11,0.11,0.11,604
ok,2024-01-08 09:30:00,0.11,0.11,0.11,0.11,16619
ok,2024-01-08 10:00:00,0.11,0.11,0.11,0.11,5646
ok,2024-01-08 10:30:00,0.11,0.12,0.11,0.11,13892
ok,2024-01-08 11:00:00,0.11,0.11,0.1,0.1,39503
ok,2024-01-08 11:30:00,0.1,0.1,0.1,0.1,15282
ok,2024-01-08 12:00:00,0.1,0.1,0.1,0.1,79241
ok,2024-01-08 12:30:00,0.1,0.1,0.1,0.1,2100
ok,2024-01-08 13:30:00,0.1,0.11,0.1,0.11,17703
ok,2024-01-08 14:00:00,0.1,0.11,0.1,0.1,635
ok,2024-01-08 14:30:00,0.1,0.11,0.1,0.1,9705
ok,2024-01-08 15:30:00,0.11,0.11,0.1,0.1,7606
ok,2024-01-08 17:30:00,0.11,0.11,0.1,0.1,1100
ok,2024-01-09 04:00:00,0.11,0.11,0.11,0.11,800
ok,2024-01-09 09:00:00,0.1,0.1,0.1,0.1,6000
ok,2024-01-09 09:30:00,0.1,0.1,0.1,0.1,7550
ok,2024-01-09 10:00:00,0.11,0.11,0.11,0.11,1411
ok,2024-01-09 10:30:00,0.11,0.11,0.11,0.11,5505
ok,2024-01-09 11:00:00,0.1,0.11,0.1,0.11,20750
ok,2024-01-09 11:30:00,0.1,0.1,0.1,0.1,20812
ok,2024-01-09 12:00:00,0.1,0.11,0.1,0.11,1079
ok,2024-01-09 12:30:00,0.11,0.11,0.11,0.11,11287
ok,2024-01-09 13:00:00,0.11,0.11,0.11,0.11,500
ok,2024-01-09 13:30:00,0.11,0.11,0.1,0.11,10914
ok,2024-01-09 14:00:00,0.11,0.11,0.11,0.11,111
ok,2024-01-09 14:30:00,0.1,0.1,0.1,0.1,75406
ok,2024-01-09 15:00:00,0.1,0.1,0.1,0.1,850
ok,2024-01-09 15:30:00,0.1,0.1,0.1,0.1,6623
ok,2024-01-09 16:00:00,0.1,0.1,0.1,0.1,300
ok,2024-01-09 16:30:00,0.1,0.1,0.1,0.1,100
ok,2024-01-09 17:00:00,0.1,0.1,0.1,0.1,350
ok,2024-01-09 18:30:00,0.1,0.1,0.1,0.1,12000
ok,2024-01-10 05:30:00,0.1,0.1,0.1,0.1,700
ok,2024-01-10 07:00:00,0.1,0.1,0.1,0.1,1823
ok,2024-01-10 09:30:00,0.1,0.1,0.1,0.1,10926
ok,2024-01-10 10:00:00,0.1,0.1,0.1,0.1,38689
ok,2024-01-10 10:30:00,0.1,0.1,0.1,0.1,398
ok,2024-01-10 11:00:00,0.1,0.1,0.1,0.1,5200
ok,2024-01-10 11:30:00,0.1,0.1,0.1,0.1,160967
ok,2024-01-10 12:00:00,0.1,0.1,0.1,0.1,33647
ok,2024-01-10 12:30:00,0.1,0.11,0.1,0.11,99125
ok,2024-01-10 13:00:00,0.11,0.11,0.1,0.1,48632
ok,2024-01-10 13:30:00,0.1,0.1,0.1,0.1,1029
ok,2024-01-10 14:00:00,0.1,0.1,0.1,0.1,149
ok,2024-01-10 14:30:00,0.1,0.1,0.1,0.1,2615
ok,2024-01-10 15:00:00,0.1,0.1,0.1,0.1,42323
ok,2024-01-10 15:30:00,0.1,0.11,0.1,0.11,32805
ok,2024-01-10 16:00:00,0.11,0.11,0.11,0.11,193
ok,2024-01-10 16:30:00,0.11,0.11,0.11,0.11,100
ok,2024-01-10 18:00:00,0.11,0.11,0.11,0.11,1000
ok,2024-01-10 18:30:00,0.11,0.11,0.11,0.11,874
ok,2024-01-11 08:30:00,0.11,0.11,0.11,0.11,2618
ok,2024-01-11 09:00:00,0.11,0.11,0.11,0.11,950
ok,2024-01-11 09:30:00,0.11,0.11,0.1,0.11,8447
ok,2024-01-11 10:00:00,0.11,0.11,0.11,0.11,140
ok,2024-01-11 10:30:00,0.1,0.1,0.1,0.1,16383
ok,2024-01-11 11:00:00,0.1,0.1,0.1,0.1,5454
ok,2024-01-11 11:30:00,0.1,0.1,0.1,0.1,5261
ok,2024-01-11 12:00:00,0.1,0.1,0.1,0.1,34062
ok,2024-01-11 12:30:00,0.1,0.1,0.1,0.1,700
ok,2024-01-11 13:00:00,0.1,0.1,0.1,0.1,200
ok,2024-01-11 13:30:00,0.1,0.1,0.1,0.1,11628
ok,2024-01-11 14:00:00,0.1,0.1,0.1,0.1,100
ok,2024-01-11 14:30:00,0.1,0.1,0.1,0.1,34034
ok,2024-01-11 15:00:00,0.1,0.1,0.1,0.1,49612
ok,2024-01-11 15:30:00,0.1,0.1,0.1,0.1,87217
ok,2024-01-11 16:30:00,0.1,0.1,0.1,0.1,150
ok,2024-01-11 17:00:00,0.1,0.1,0.1,0.1,147
ok,2024-01-12 08:30:00,0.1,0.1,0.1,0.1,7338
ok,2024-01-12 09:00:00,0.1,0.1,0.1,0.1,170
ok,2024-01-12 09:30:00,0.1,0.1,0.1,0.1,18835
ok,2024-01-12 10:00:00,0.1,0.1,0.09,0.1,31990
ok,2024-01-12 10:30:00,0.1,0.1,0.1,0.1,7700
ok,2024-01-12 11:00:00,0.1,0.1,0.1,0.1,32284
ok,2024-01-12 11:30:00,0.1,0.1,0.1,0.1,704
ok,2024-01-12 12:00:00,0.1,0.1,0.1,0.1,57497
ok,2024-01-12 12:30:00,0.1,0.1,0.1,0.1,10941
ok,2024-01-12 13:00:00,0.1,0.1,0.1,0.1,1764
ok,2024-01-12 13:30:00,0.1,0.1,0.1,0.1,1355
ok,2024-01-12 14:00:00,0.1,0.1,0.1,0.1,31047
ok,2024-01-12 14:30:00,0.1,0.1,0.1,0.1,17241
ok,2024-01-12 15:00:00,0.1,0.1,0.1,0.1,17404
ok,2024-01-12 15:30:00,0.1,0.1,0.1,0.1,5203
ok,2024-01-12 16:00:00,0.1,0.1,0.1,0.1,400
ok,2024-01-12 17:00:00,0.1,0.1,0.1,0.1,25356
ok,2024-01-12 17:30:00,0.1,0.1,0.09,0.09,24024
ok,2024-01-16 04:00:00,0.1,0.1,0.1,0.1,100
ok,2024-01-16 05:30:00,0.1,0.1,0.09,0.09,2066
ok,2024-01-16 06:00:00,0.1,0.12,0.1,0.12,10690
ok,2024-01-16 06:30:00,0.1,0.11,0.1,0.11,9400
ok,2024-01-16 07:30:00,0.1,0.1,0.1,0.1,1700
ok,2024-01-16 08:00:00,0.1,0.11,0.1,0.1,5120
ok,2024-01-16 08:30:00,0.1,0.1,0.1,0.1,100
ok,2024-01-16 09:00:00,0.1,0.11,0.1,0.11,2500
ok,2024-01-16 09:30:00,0.1,0.1,0.1,0.1,10427
ok,2024-01-16 10:00:00,0.1,0.1,0.1,0.1,3500
ok,2024-01-16 10:30:00,0.1,0.1,0.1,0.1,11140
ok,2024-01-16 11:00:00,0.1,0.1,0.1,0.1,25482
ok,2024-01-16 11:30:00,0.1,0.1,0.1,0.1,111576
ok,2024-01-16 12:00:00,0.1,0.11,0.1,0.1,36958
ok,2024-01-16 12:30:00,0.1,0.1,0.1,0.1,71375
ok,2024-01-16 13:00:00,0.1,0.1,0.1,0.1,11380
ok,2024-01-16 13:30:00,0.1,0.1,0.1,0.1,3100
ok,2024-01-16 14:00:00,0.1,0.1,0.1,0.1,23471
ok,2024-01-16 14:30:00,0.1,0.1,0.1,0.1,17885
ok,2024-01-16 15:00:00,0.1,0.1,0.1,0.1,12870
ok,2024-01-16 15:30:00,0.1,0.1,0.1,0.1,12659
ok,2024-01-16 16:00:00,0.1,0.1,0.1,0.1,5655
ok,2024-01-16 18:00:00,0.1,0.1,0.1,0.1,100
ok,2024-01-16 19:00:00,0.1,0.1,0.1,0.1,100
ok,2024-01-17 08:30:00,0.11,0.11,0.1,0.1,2400
ok,2024-01-17 09:00:00,0.1,0.1,0.1,0.1,1640
ok,2024-01-17 09:30:00,0.1,0.1,0.1,0.1,157325
ok,2024-01-17 10:00:00,0.1,0.1,0.1,0.1,10093
ok,2024-01-17 10:30:00,0.1,0.14,0.1,0.11,4501027
ok,2024-01-17 11:00:00,0.11,0.11,0.09,0.1,909156
ok,2024-01-17 11:30:00,0.1,0.1,0.09,0.1,235931
ok,2024-01-17 12:00:00,0.1,0.1,0.09,0.1,106045
ok,2024-01-17 12:30:00,0.1,0.1,0.09,0.1,119279
ok,2024-01-17 13:00:00,0.1,0.1,0.1,0.1,23079
ok,2024-01-17 13:30:00,0.1,0.1,0.1,0.1,9427
ok,2024-01-17 14:00:00,0.1,0.1,0.1,0.1,7516
ok,2024-01-17 14:30:00,0.1,0.1,0.09,0.1,100602
ok,2024-01-17 15:00:00,0.1,0.1,0.09,0.09,253985
ok,2024-01-17 15:30:00,0.09,0.1,0.09,0.09,128815
ok,2024-01-17 16:00:00,0.09,0.09,0.09,0.09,4436
ok,2024-01-17 16:30:00,0.09,0.09,0.09,0.09,5410
ok,2024-01-17 17:00:00,0.09,0.09,0.09,0.09,1291
ok,2024-01-17 17:30:00,0.09,0.09,0.09,0.09,18160
ok,2024-01-17 18:00:00,0.09,0.09,0.09,0.09,400
ok,2024-01-17 19:00:00,0.09,0.09,0.09,0.09,900
ok,2024-01-17 19:30:00,0.09,0.1,0.09,0.1,10962
ok,2024-01-18 04:00:00,0.11,0.16,0.1,0.11,1410798
ok,2024-01-18 04:30:00,0.11,0.12,0.11,0.11,323261
ok,2024-01-18 05:00:00,0.11,0.11,0.11,0.11,131840
ok,2024-01-18 05:30:00,0.11,0.12,0.1,0.11,302620
ok,2024-01-18 06:00:00,0.11,0.28,0.11,0.23,13523481
ok,2024-01-18 06:30:00,0.23,0.26,0.21,0.23,6970128
ok,2024-01-18 07:00:00,0.23,0.27,0.22,0.23,11764420
ok,2024-01-18 07:30:00,0.23,0.25,0.17,0.18,8449719
ok,2024-01-18 08:00:00,0.18,0.27,0.17,0.2,11895479
ok,2024-01-18 08:30:00,0.2,0.22,0.19,0.19,5923253
ok,2024-01-18 09:00:00,0.19,0.2,0.18,0.19,4544528
ok,2024-01-18 09:30:00,0.19,0.22,0.17,0.17,38868192
ok,2024-01-18 10:00:00,0.17,0.19,0.16,0.17,16659647
ok,2024-01-18 10:30:00,0.17,0.18,0.16,0.17,8246860
ok,2024-01-18 11:00:00,0.17,0.19,0.17,0.18,13365262
ok,2024-01-18 11:30:00,0.18,0.22,0.18,0.18,29810565
ok,2024-01-18 12:00:00,0.18,0.18,0.16,0.17,10172517
ok,2024-01-18 12:30:00,0.17,0.17,0.15,0.16,6668111
ok,2024-01-18 13:00:00,0.16,0.16,0.14,0.15,6377411
ok,2024-01-18 13:30:00,0.14,0.16,0.14,0.15,3996994
ok,2024-01-18 14:00:00,0.15,0.15,0.12,0.13,5476485
ok,2024-01-18 14:30:00,0.13,0.13,0.12,0.13,5042348
ok,2024-01-18 15:00:00,0.13,0.13,0.12,0.13,1780686
ok,2024-01-18 15:30:00,0.13,0.13,0.12,0.12,4145775
ok,2024-01-18 16:00:00,0.12,0.12,0.11,0.11,739975
ok,2024-01-18 16:30:00,0.11,0.12,0.11,0.11,912951
ok,2024-01-18 17:00:00,0.11,0.11,0.11,0.11,542617
ok,2024-01-18 17:30:00,0.11,0.12,0.11,0.11,787735
ok,2024-01-18 18:00:00,0.11,0.11,0.1,0.11,583232
ok,2024-01-18 18:30:00,0.11,0.11,0.11,0.11,86269
ok,2024-01-18 19:00:00,0.11,0.11,0.11,0.11,144394
ok,2024-01-18 19:30:00,0.11,0.11,0.11,0.11,201124
ok,2024-01-19 04:00:00,0.11,0.12,0.1,0.11,816420
ok,2024-01-19 04:30:00,0.11,0.12,0.1,0.11,216409
ok,2024-01-19 05:00:00,0.11,0.11,0.11,0.11,138009
ok,2024-01-19 05:30:00,0.11,0.11,0.11,0.11,151780
ok,2024-01-19 06:00:00,0.11,0.11,0.11,0.11,39109
ok,2024-01-19 06:30:00,0.11,0.11,0.11,0.11,63720
ok,2024-01-19 07:00:00,0.11,0.12,0.11,0.11,258038
ok,2024-01-19 07:30:00,0.11,0.11,0.11,0.11,168811
ok,2024-01-19 08:00:00,0.11,0.12,0.1,0.1,1392752
ok,2024-01-19 08:30:00,0.1,0.11,0.1,0.11,209836
ok,2024-01-19 09:00:00,0.1,0.11,0.1,0.11,400317
ok,2024-01-19 09:30:00,0.11,0.11,0.1,0.1,2060259
ok,2024-01-19 10:00:00,0.1,0.1,0.1,0.1,1709065
ok,2024-01-19 10:30:00,0.1,0.1,0.1,0.1,549844
ok,2024-01-19 11:00:00,0.1,0.1,0.1,0.1,757736
ok,2024-01-19 11:30:00,0.1,0.11,0.1,0.11,835753
ok,2024-01-19 12:00:00,0.11,0.11,0.1,0.1,254981
ok,2024-01-19 12:30:00,0.1,0.1,0.1,0.1,386867
ok,2024-01-19 13:00:00,0.1,0.1,0.1,0.1,206082
ok,2024-01-19 13:30:00,0.1,0.1,0.1,0.1,297816
ok,2024-01-19 14:00:00,0.1,0.1,0.1,0.1,245433
ok,2024-01-19 14:30:00,0.1,0.1,0.1,0.1,324893
ok,2024-01-19 15:00:00,0.1,0.1,0.1,0.1,372607
ok,2024-01-19 15:30:00,0.1,0.1,0.1,0.1,592959
ok,2024-01-19 16:00:00,0.1,0.1,0.1,0.1,156283
ok,2024-01-19 16:30:00,0.1,0.1,0.1,0.1,40590
ok,2024-01-19 17:00:00,0.1,0.1,0.1,0.1,34865
ok,2024-01-19 17:30:00,0.1,0.1,0.1,0.1,60632
ok,2024-01-19 18:00:00,0.1,0.1,0.1,0.1,42217
