s,t,o,h,l,c,v
ok,2024-04-02 09:30:00,3.6,3.8,3.11,3.49,462640
ok,2024-04-02 10:00:00,3.49,3.49,2.9,3.21,113098
ok,2024-04-02 10:30:00,3.18,3.71,3.14,3.56,125292
ok,2024-04-02 11:00:00,3.57,3.6,3.53,3.58,22693
ok,2024-04-02 11:30:00,3.58,3.65,3.19,3.21,61275
ok,2024-04-02 12:00:00,3.28,3.36,3.08,3.11,18813
ok,2024-04-02 12:30:00,3.13,3.68,3.12,3.13,15430
ok,2024-04-02 13:00:00,3.12,3.4,3.08,3.09,14710
ok,2024-04-02 13:30:00,3.09,3.2,3.06,3.11,16710
ok,2024-04-02 14:00:00,3.11,3.32,3.0,3.2,33729
ok,2024-04-02 14:30:00,3.21,3.3,3.01,3.02,69050
ok,2024-04-02 15:00:00,3.03,3.04,3.02,3.03,1394
ok,2024-04-02 15:30:00,3.03,3.03,2.95,2.95,1640
ok,2024-04-02 16:00:00,3.06,3.11,2.95,3.1,2936
ok,2024-04-02 16:30:00,3.1,3.1,3.1,3.1,500
ok,2024-04-02 17:00:00,3.02,3.05,3.0,3.05,400
ok,2024-04-03 03:00:00,3.05,3.05,3.05,3.05,100
ok,2024-04-03 05:30:00,3.01,3.01,3.01,3.01,240
ok,2024-04-03 06:00:00,2.95,3.15,2.95,3.15,1344
ok,2024-04-03 06:30:00,3.1,3.1,3.0,3.0,200
ok,2024-04-03 07:00:00,3.0,3.17,3.0,3.17,2551
ok,2024-04-03 07:30:00,3.15,3.15,3.15,3.15,100
ok,2024-04-03 08:00:00,3.19,3.19,3.12,3.12,3727
ok,2024-04-03 08:30:00,3.15,3.39,3.15,3.29,48939
ok,2024-04-03 09:00:00,3.3,3.3,3.25,3.29,17028
ok,2024-04-03 09:30:00,3.29,3.4,3.29,3.38,28097
ok,2024-04-03 10:00:00,3.39,3.47,3.32,3.45,22917
ok,2024-04-03 10:30:00,3.44,3.45,3.35,3.43,10522
ok,2024-04-03 11:00:00,3.43,3.62,3.42,3.49,37897
ok,2024-04-03 11:30:00,3.49,3.55,3.4,3.42,12581
ok,2024-04-03 12:00:00,3.45,3.6,3.42,3.57,16306
ok,2024-04-03 12:30:00,3.53,3.53,3.43,3.48,4208
ok,2024-04-03 13:00:00,3.49,3.5,3.42,3.42,1242
ok,2024-04-03 13:30:00,3.42,3.46,3.4,3.4,2231
ok,2024-04-03 14:00:00,3.43,3.57,3.38,3.57,12425
ok,2024-04-03 14:30:00,3.41,3.55,3.41,3.49,10020
ok,2024-04-03 18:00:00,3.36,3.36,3.36,3.36,140
ok,2024-04-04 04:00:00,3.46,3.46,3.46,3.46,334
ok,2024-04-04 04:30:00,3.68,3.68,3.66,3.66,241
ok,2024-04-04 05:00:00,3.6,3.6,3.6,3.6,251
ok,2024-04-04 06:00:00,3.51,3.51,3.51,3.51,253
ok,2024-04-04 06:30:00,3.51,3.51,3.45,3.46,1793
ok,2024-04-04 07:00:00,3.5,3.65,3.46,3.46,1516
ok,2024-04-04 07:30:00,3.58,3.6,3.52,3.53,1425
ok,2024-04-04 08:00:00,3.51,3.52,3.51,3.52,227
ok,2024-04-04 08:30:00,3.59,3.9,3.59,3.83,53699
ok,2024-04-04 09:00:00,3.83,3.84,3.75,3.8,12234
ok,2024-04-04 09:30:00,3.8,3.82,3.71,3.76,22376
ok,2024-04-04 10:00:00,3.76,3.83,3.76,3.76,1420
ok,2024-04-04 10:30:00,3.75,3.9,3.75,3.9,14984
ok,2024-04-04 11:00:00,3.93,4.08,3.84,3.9,25671
ok,2024-04-04 11:30:00,3.9,4.0,3.9,3.92,7914
ok,2024-04-04 12:00:00,3.97,3.98,3.77,3.85,7820
ok,2024-04-04 12:30:00,3.77,3.97,3.77,3.88,13946
ok,2024-04-04 13:00:00,3.85,3.92,3.85,3.92,1578
ok,2024-04-04 13:30:00,3.93,3.97,3.93,3.97,7665
ok,2024-04-04 14:00:00,3.94,3.98,3.94,3.98,1898
ok,2024-04-04 14:30:00,3.94,4.05,3.94,4.03,15333
