s,t,o,h,l,c,v
ok,2024-01-02 13:00:00,9.97,9.97,9.97,9.97,100
ok,2024-01-02 16:30:00,9.43,10.0,9.43,10.0,1051
ok,2024-01-02 17:00:00,9.81,10.0,9.81,9.81,1839
ok,2024-01-03 10:00:00,8.98,9.0,8.98,9.0,2724
ok,2024-01-03 10:30:00,9.83,9.83,9.83,9.83,100
ok,2024-01-03 14:00:00,9.13,9.13,9.13,9.13,211
ok,2024-01-03 15:30:00,9.1,9.1,9.1,9.1,205
ok,2024-01-04 09:30:00,9.66,10.1,9.66,10.03,430
ok,2024-01-04 10:00:00,10.47,11.0,10.2,10.2,3914
ok,2024-01-04 10:30:00,10.49,11.0,10.49,10.86,1230
ok,2024-01-04 11:00:00,10.92,10.98,10.92,10.98,542
ok,2024-01-04 12:00:00,10.19,10.19,9.6,9.6,409
ok,2024-01-04 13:00:00,10.49,11.18,10.49,10.87,4096
ok,2024-01-04 13:30:00,11.1,12.2,11.1,12.03,7995
ok,2024-01-04 14:00:00,12.4,13.0,11.8,12.3,6281
ok,2024-01-04 14:30:00,12.35,12.52,10.58,10.58,4094
ok,2024-01-04 15:00:00,12.08,14.0,12.0,13.07,7020
ok,2024-01-04 15:30:00,13.38,13.38,11.89,12.76,9079
ok,2024-01-04 16:00:00,13.05,13.05,13.05,13.05,300
ok,2024-01-05 08:30:00,11.5,11.5,11.5,11.5,200
ok,2024-01-05 09:00:00,12.68,12.68,12.68,12.68,200
ok,2024-01-05 09:30:00,12.01,12.03,10.47,11.55,6050
ok,2024-01-05 10:00:00,11.2,12.11,11.2,11.9,959
ok,2024-01-05 10:30:00,12.25,12.25,12.0,12.0,1443
ok,2024-01-05 11:00:00,11.4,11.4,11.0,11.21,490
ok,2024-01-05 11:30:00,11.0,11.0,11.0,11.0,145
ok,2024-01-05 14:00:00,11.3,11.3,11.3,11.3,199
ok,2024-01-05 15:00:00,11.29,11.29,11.29,11.29,339
ok,2024-01-05 15:30:00,11.32,12.0,11.32,11.4,802
ok,2024-01-08 09:30:00,11.9,13.0,11.9,12.11,1213
ok,2024-01-08 10:00:00,12.4,12.4,11.25,11.25,918
ok,2024-01-08 10:30:00,12.39,12.8,12.0,12.54,1336
ok,2024-01-08 11:30:00,12.54,13.3,12.54,13.0,2244
ok,2024-01-08 12:00:00,13.8,16.5,13.47,16.5,4447
ok,2024-01-08 12:30:00,23.0,23.0,20.7,21.5,7271
ok,2024-01-08 13:00:00,26.0,26.0,14.3,16.8,23390
ok,2024-01-08 13:30:00,18.94,18.94,16.11,16.9,11489
ok,2024-01-08 14:00:00,16.9,17.23,16.0,16.06,6626
ok,2024-01-08 14:30:00,15.9,15.9,13.0,14.0,9063
ok,2024-01-08 15:00:00,14.06,16.48,13.11,15.8,4238
ok,2024-01-08 15:30:00,15.5,15.62,13.1,14.5,2222
ok,2024-01-08 16:00:00,13.55,13.55,13.55,13.55,142
ok,2024-01-08 17:00:00,13.15,13.15,13.15,13.15,517
ok,2024-01-08 18:30:00,14.0,14.0,14.0,14.0,278
ok,2024-01-08 19:30:00,12.91,13.25,12.91,13.25,380
ok,2024-01-09 06:00:00,12.29,12.3,12.29,12.3,316
ok,2024-01-09 08:30:00,12.01,12.01,12.01,12.01,200
ok,2024-01-09 09:30:00,12.92,14.35,12.75,12.75,5199
ok,2024-01-09 10:00:00,12.16,12.39,11.76,12.39,2258
ok,2024-01-09 10:30:00,12.15,12.64,11.95,12.64,2410
ok,2024-01-09 11:00:00,13.64,16.1,13.64,15.83,12907
ok,2024-01-09 11:30:00,15.7,18.7,14.79,14.8,20788
ok,2024-01-09 12:00:00,14.8,21.62,14.45,21.62,13925
ok,2024-01-09 12:30:00,21.0,23.98,17.81,23.22,19216
ok,2024-01-09 13:00:00,23.5,24.04,20.04,21.8,19808
ok,2024-01-09 13:30:00,22.0,24.34,21.4,23.01,8186
ok,2024-01-09 14:00:00,21.12,21.2,19.28,20.01,5984
ok,2024-01-09 14:30:00,22.5,27.0,22.5,24.0,18731
ok,2024-01-09 15:00:00,25.5,27.09,22.7,25.02,34812
ok,2024-01-09 15:30:00,24.5,25.3,21.48,21.48,10976
ok,2024-01-09 16:00:00,21.0,24.0,20.0,20.5,2822
ok,2024-01-09 17:00:00,21.57,22.0,21.57,22.0,274
ok,2024-01-09 18:30:00,21.8,21.8,21.8,21.8,1347
ok,2024-01-09 19:00:00,21.51,21.51,21.22,21.22,620
ok,2024-01-10 04:00:00,22.8,27.11,22.02,22.02,3021
ok,2024-01-10 05:30:00,19.5,19.5,19.5,19.5,124
ok,2024-01-10 06:30:00,20.34,20.34,20.34,20.34,423
ok,2024-01-10 07:00:00,24.14,24.14,24.14,24.14,573
ok,2024-01-10 07:30:00,22.99,24.0,22.99,23.5,1438
ok,2024-01-10 08:00:00,21.99,22.0,21.99,22.0,346
ok,2024-01-10 08:30:00,22.0,23.2,22.0,22.3,2470
ok,2024-01-10 09:00:00,21.55,22.2,21.55,22.2,1216
ok,2024-01-10 09:30:00,22.35,24.91,21.99,23.51,12101
ok,2024-01-10 10:00:00,23.0,26.0,22.7,23.8,7934
ok,2024-01-10 10:30:00,24.08,27.93,23.2,27.93,11672
ok,2024-01-10 11:00:00,28.15,28.55,24.5,24.6,13187
ok,2024-01-10 11:30:00,25.01,26.55,25.01,25.3,3520
ok,2024-01-10 12:00:00,25.0,25.39,24.8,25.0,4785
ok,2024-01-10 12:30:00,25.0,25.39,24.5,24.5,3847
ok,2024-01-10 13:00:00,24.4,26.2,24.4,26.2,1877
ok,2024-01-10 13:30:00,27.0,27.0,25.2,25.5,4764
ok,2024-01-10 14:00:00,25.6,25.61,25.0,25.0,740
ok,2024-01-10 14:30:00,24.6,24.6,24.6,24.6,1140
ok,2024-01-10 15:00:00,23.65,23.65,22.51,23.6,4269
ok,2024-01-10 15:30:00,24.0,26.0,24.0,25.2,1723
ok,2024-01-10 16:00:00,25.0,25.0,25.0,25.0,120
ok,2024-01-10 17:00:00,24.72,24.72,24.72,24.72,240
ok,2024-01-10 19:00:00,24.0,24.0,24.0,24.0,104
ok,2024-01-10 19:30:00,23.98,23.98,23.55,23.55,551
ok,2024-01-11 04:30:00,30.18,30.18,26.0,26.0,1034
ok,2024-01-11 05:30:00,26.1,26.1,25.95,25.95,663
ok,2024-01-11 06:00:00,25.0,25.0,25.0,25.0,219
ok,2024-01-11 07:30:00,25.41,25.41,25.3,25.3,220
ok,2024-01-11 08:00:00,25.4,29.36,25.2,27.1,7472
ok,2024-01-11 08:30:00,28.0,28.0,26.8,26.8,274
ok,2024-01-11 09:00:00,27.38,27.38,26.9,26.9,328
ok,2024-01-11 09:30:00,26.0,26.8,19.22,21.78,8912
ok,2024-01-11 10:00:00,20.66,20.74,20.0,20.0,1093
ok,2024-01-11 10:30:00,21.14,21.69,20.5,21.02,2935
ok,2024-01-11 11:00:00,19.23,19.57,19.23,19.57,503
ok,2024-01-11 11:30:00,20.46,21.45,20.46,20.46,1107
ok,2024-01-11 12:00:00,19.71,19.81,19.47,19.47,374
ok,2024-01-11 12:30:00,19.61,19.81,19.61,19.61,1248
ok,2024-01-11 13:00:00,19.62,19.62,19.61,19.61,399
ok,2024-01-11 13:30:00,19.8,19.8,19.8,19.8,108
ok,2024-01-11 14:00:00,18.96,18.96,18.96,18.96,340
ok,2024-01-11 14:30:00,18.58,18.81,18.5,18.5,1352
ok,2024-01-11 15:00:00,18.5,18.5,13.1,14.44,6975
ok,2024-01-11 15:30:00,14.25,15.65,12.56,15.65,15951
ok,2024-01-11 16:00:00,15.0,15.0,15.0,15.0,156
ok,2024-01-12 09:30:00,13.15,15.5,11.34,15.5,7336
ok,2024-01-12 10:00:00,13.5,13.5,12.1,12.1,743
ok,2024-01-12 10:30:00,12.1,12.84,12.1,12.5,792
ok,2024-01-12 11:30:00,15.0,15.0,13.51,13.61,1059
ok,2024-01-12 12:00:00,14.1,14.1,14.1,14.1,100
ok,2024-01-12 13:30:00,13.34,13.34,13.34,13.34,100
ok,2024-01-12 14:00:00,13.74,13.74,13.74,13.74,225
ok,2024-01-12 15:30:00,13.5,13.5,13.5,13.5,103
ok,2024-01-16 09:30:00,12.05,12.05,12.05,12.05,279
ok,2024-01-16 10:30:00,13.0,13.3,12.5,12.52,1128
ok,2024-01-16 11:30:00,12.6,12.6,12.5,12.5,674
ok,2024-01-16 12:00:00,12.5,12.5,11.75,11.75,413
ok,2024-01-16 12:30:00,11.38,11.38,11.37,11.37,648
ok,2024-01-16 13:00:00,12.63,12.63,12.63,12.63,201
ok,2024-01-16 14:30:00,12.37,12.37,11.4,11.4,1642
ok,2024-01-16 15:30:00,12.4,12.4,12.4,12.4,200
ok,2024-01-17 08:30:00,11.59,11.59,11.59,11.59,161
ok,2024-01-17 09:30:00,10.89,11.5,10.89,11.5,804
ok,2024-01-17 10:00:00,12.4,12.4,12.1,12.38,930
ok,2024-01-17 10:30:00,12.35,12.49,12.35,12.49,646
ok,2024-01-17 11:00:00,13.57,15.08,13.57,15.08,512
ok,2024-01-17 11:30:00,14.56,14.56,14.56,14.56,101
ok,2024-01-17 12:00:00,14.7,14.7,14.7,14.7,183
ok,2024-01-17 12:30:00,14.75,15.43,14.75,15.2,878
ok,2024-01-17 13:00:00,15.4,15.67,14.9,15.67,3574
ok,2024-01-17 13:30:00,15.8,17.4,15.77,17.4,8168
ok,2024-01-17 14:00:00,18.25,27.07,18.25,27.07,8191
ok,2024-01-17 14:30:00,28.42,31.26,17.8,18.08,38489
ok,2024-01-17 15:00:00,19.0,24.0,18.73,19.0,14345
ok,2024-01-17 15:30:00,18.0,22.2,18.0,22.2,17238
ok,2024-01-17 16:00:00,20.02,20.02,18.51,18.51,1476
ok,2024-01-17 16:30:00,18.81,18.81,18.81,18.81,235
ok,2024-01-17 17:30:00,18.6,18.6,18.6,18.6,451
ok,2024-01-17 18:00:00,18.81,18.81,18.81,18.81,900
ok,2024-01-17 19:00:00,19.01,19.01,19.01,19.01,300
ok,2024-01-18 07:00:00,19.66,19.66,19.66,19.66,367
ok,2024-01-18 08:00:00,18.99,20.1,18.0,18.0,1375
ok,2024-01-18 09:00:00,18.4,21.4,18.4,21.4,2056
ok,2024-01-18 09:30:00,21.88,29.92,21.88,23.48,23091
ok,2024-01-18 10:00:00,17.7,21.75,17.7,19.6,13749
ok,2024-01-18 10:30:00,18.78,21.1,18.66,21.1,2915
ok,2024-01-18 11:30:00,20.8,21.09,20.0,20.0,2134
ok,2024-01-18 12:00:00,19.12,19.7,18.45,19.7,3428
ok,2024-01-18 12:30:00,19.03,19.05,19.0,19.0,613
ok,2024-01-18 14:00:00,20.45,20.7,19.22,19.22,655
ok,2024-01-18 14:30:00,19.26,19.26,19.26,19.26,301
ok,2024-01-18 15:00:00,19.4,19.4,19.4,19.4,159
ok,2024-01-18 15:30:00,19.58,21.0,19.45,19.45,5401
ok,2024-01-18 19:00:00,19.5,19.5,19.5,19.5,190
ok,2024-01-19 09:00:00,19.71,19.71,19.71,19.71,150
ok,2024-01-19 09:30:00,20.11,23.5,19.75,22.0,4346
ok,2024-01-19 10:00:00,21.42,23.25,20.3,22.47,4147
ok,2024-01-19 10:30:00,21.82,21.82,21.82,21.82,226
ok,2024-01-19 11:00:00,21.8,21.8,20.98,20.98,864
ok,2024-01-19 15:30:00,20.12,20.3,20.12,20.12,1194
ok,2024-01-19 19:30:00,19.85,19.85,19.85,19.85,162
ok,2024-01-22 09:00:00,23.18,26.0,23.18,26.0,1270
ok,2024-01-22 09:30:00,23.74,23.74,17.5,17.58,3099
ok,2024-01-22 10:00:00,19.57,21.5,19.57,21.17,3130
ok,2024-01-22 10:30:00,21.98,22.24,21.25,21.25,1345
ok,2024-01-22 11:30:00,20.0,20.0,18.0,18.0,2006
ok,2024-01-22 12:00:00,18.06,18.06,18.06,18.06,126
ok,2024-01-22 12:30:00,19.0,21.29,19.0,21.29,728
ok,2024-01-22 13:30:00,20.0,20.0,18.06,18.12,1068
ok,2024-01-22 15:30:00,18.55,18.7,18.52,18.52,740
ok,2024-01-22 16:30:00,18.5,18.5,18.5,18.5,500
ok,2024-01-22 17:00:00,19.21,19.21,19.21,19.21,100
ok,2024-01-22 17:30:00,18.36,18.36,18.36,18.36,130
ok,2024-01-23 09:00:00,20.2,21.1,20.2,21.1,496
ok,2024-01-23 09:30:00,20.94,20.94,19.97,19.97,769
ok,2024-01-23 10:00:00,21.28,21.28,19.15,19.18,540
ok,2024-01-23 12:00:00,17.56,19.17,17.56,19.17,1791
ok,2024-01-23 12:30:00,20.5,20.5,19.8,20.47,564
ok,2024-01-23 13:00:00,21.0,21.0,21.0,21.0,141
ok,2024-01-23 14:00:00,20.75,20.75,20.75,20.75,148
ok,2024-01-23 15:00:00,20.5,21.2,20.21,21.2,676
ok,2024-01-23 15:30:00,22.06,22.06,20.81,20.81,551
ok,2024-01-23 16:00:00,20.81,20.81,19.35,19.35,506
ok,2024-01-23 17:30:00,20.0,20.0,19.71,19.94,457
ok,2024-01-24 09:30:00,19.75,21.0,19.75,21.0,1519
ok,2024-01-24 10:00:00,20.31,20.31,19.94,19.94,339
ok,2024-01-24 12:00:00,19.82,19.82,19.82,19.82,300
ok,2024-01-24 12:30:00,19.02,20.94,18.5,20.94,3945
ok,2024-01-24 13:00:00,18.14,18.14,17.76,17.76,1000
ok,2024-01-24 13:30:00,17.21,21.0,17.0,21.0,3253
ok,2024-01-24 14:00:00,19.62,20.0,18.0,20.0,2500
ok,2024-01-24 14:30:00,19.5,19.5,19.5,19.5,300
ok,2024-01-25 09:30:00,19.36,19.36,19.36,19.36,104
ok,2024-01-25 15:30:00,18.9,18.9,18.9,18.9,121
ok,2024-01-25 16:30:00,18.12,18.12,18.12,18.12,838
ok,2024-01-26 10:30:00,18.79,20.01,18.79,20.01,1996
ok,2024-01-26 11:00:00,20.9,20.9,20.0,20.0,1104
ok,2024-01-26 12:00:00,20.8,20.8,20.0,20.0,672
ok,2024-01-26 13:00:00,19.3,19.36,18.01,18.02,1793
ok,2024-01-29 10:30:00,18.05,18.05,18.05,18.05,130
ok,2024-01-29 11:30:00,18.04,18.04,18.04,18.04,304
ok,2024-01-29 14:30:00,17.17,17.17,15.67,15.67,2450
ok,2024-01-29 15:30:00,17.0,17.0,15.82,15.82,600
