s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.5,2.57,2.5,2.5,1898
ok,2024-01-02 10:00:00,2.49,2.52,2.46,2.52,1312
ok,2024-01-02 10:30:00,2.5,2.52,2.47,2.47,1740
ok,2024-01-02 11:00:00,2.46,2.48,2.42,2.42,15278
ok,2024-01-02 11:30:00,2.5,2.5,2.41,2.42,8289
ok,2024-01-02 12:00:00,2.42,2.47,2.42,2.45,2303
ok,2024-01-02 12:30:00,2.46,2.46,2.44,2.44,205
ok,2024-01-02 13:00:00,2.44,2.44,2.44,2.44,1228
ok,2024-01-02 13:30:00,2.45,2.49,2.44,2.44,1556
ok,2024-01-02 14:00:00,2.44,2.44,2.44,2.44,100
ok,2024-01-02 14:30:00,2.44,2.45,2.41,2.42,2664
ok,2024-01-02 15:00:00,2.42,2.58,2.42,2.58,21847
ok,2024-01-02 15:30:00,2.55,2.56,2.52,2.56,16940
ok,2024-01-02 16:00:00,2.58,2.58,2.58,2.58,100
ok,2024-01-02 16:30:00,2.58,2.87,2.58,2.66,7017
ok,2024-01-02 17:00:00,2.66,2.73,2.65,2.73,6624
ok,2024-01-02 17:30:00,2.75,2.82,2.75,2.76,1692
ok,2024-01-02 18:00:00,2.66,2.66,2.66,2.66,100
ok,2024-01-02 19:30:00,2.72,2.85,2.72,2.85,5038
ok,2024-01-03 04:00:00,2.9,3.14,2.7,2.8,52520
ok,2024-01-03 04:30:00,2.78,2.8,2.62,2.7,17412
ok,2024-01-03 05:00:00,2.68,2.7,2.63,2.65,8197
ok,2024-01-03 05:30:00,2.68,2.75,2.68,2.73,1043
ok,2024-01-03 06:00:00,2.69,2.69,2.66,2.67,1611
ok,2024-01-03 06:30:00,2.67,2.84,2.67,2.84,4428
ok,2024-01-03 07:00:00,2.81,2.88,2.77,2.77,13511
ok,2024-01-03 07:30:00,2.75,2.81,2.74,2.74,2868
ok,2024-01-03 08:00:00,2.88,2.94,2.7,2.76,18333
ok,2024-01-03 08:30:00,2.78,2.84,2.76,2.79,17526
ok,2024-01-03 09:00:00,2.78,2.9,2.78,2.9,21487
ok,2024-01-03 09:30:00,2.87,2.94,2.72,2.81,132507
ok,2024-01-03 10:00:00,2.83,2.86,2.76,2.85,45800
ok,2024-01-03 10:30:00,2.86,2.98,2.81,2.85,133564
ok,2024-01-03 11:00:00,2.87,2.9,2.85,2.89,20757
ok,2024-01-03 11:30:00,2.87,2.92,2.85,2.86,37219
ok,2024-01-03 12:00:00,2.88,2.95,2.87,2.9,29096
ok,2024-01-03 12:30:00,2.9,2.94,2.87,2.87,17927
ok,2024-01-03 13:00:00,2.92,2.92,2.86,2.86,11248
ok,2024-01-03 13:30:00,2.86,2.91,2.81,2.84,21051
