s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.43,0.43,0.43,0.43,159
ok,2024-01-02 10:00:00,0.45,0.46,0.45,0.46,1173
ok,2024-01-02 10:30:00,0.48,0.5,0.48,0.5,5480
ok,2024-01-02 11:00:00,0.5,0.9,0.5,0.59,865588
ok,2024-01-02 11:30:00,0.59,0.63,0.48,0.53,389061
ok,2024-01-02 12:00:00,0.52,0.55,0.5,0.53,51927
ok,2024-01-02 12:30:00,0.53,0.56,0.53,0.55,20866
ok,2024-01-02 13:00:00,0.56,0.56,0.53,0.53,32173
ok,2024-01-02 13:30:00,0.54,0.56,0.53,0.53,6551
ok,2024-01-02 14:00:00,0.54,0.54,0.51,0.53,11504
ok,2024-01-02 14:30:00,0.53,0.56,0.53,0.56,33472
ok,2024-01-02 15:00:00,0.56,0.56,0.55,0.55,21035
ok,2024-01-02 15:30:00,0.57,0.91,0.56,0.59,871402
ok,2024-01-02 16:00:00,0.6,0.61,0.52,0.52,101244
ok,2024-01-02 16:30:00,0.52,0.55,0.52,0.55,8712
ok,2024-01-02 17:00:00,0.55,0.57,0.53,0.54,3555
ok,2024-01-02 17:30:00,0.53,0.53,0.52,0.52,3492
ok,2024-01-02 19:00:00,0.55,0.55,0.53,0.54,8251
ok,2024-01-02 19:30:00,0.54,0.56,0.53,0.56,5155
ok,2024-01-03 04:00:00,0.51,0.53,0.48,0.52,14166
ok,2024-01-03 04:30:00,0.52,0.54,0.52,0.54,4628
ok,2024-01-03 05:00:00,0.54,0.54,0.52,0.52,3709
ok,2024-01-03 05:30:00,0.53,0.53,0.51,0.52,3873
ok,2024-01-03 07:00:00,0.54,0.54,0.54,0.54,111
ok,2024-01-03 07:30:00,0.54,0.55,0.54,0.55,1389
ok,2024-01-03 08:00:00,0.54,0.55,0.48,0.54,3936
ok,2024-01-03 08:30:00,0.52,0.54,0.52,0.52,10520
ok,2024-01-03 09:00:00,0.53,0.55,0.52,0.55,9333
ok,2024-01-03 09:30:00,0.56,0.72,0.55,0.63,97457
ok,2024-01-03 10:00:00,0.65,0.69,0.6,0.62,39559
ok,2024-01-03 10:30:00,0.62,0.65,0.6,0.62,9950
ok,2024-01-03 11:00:00,0.6,0.6,0.55,0.57,18772
ok,2024-01-03 11:30:00,0.59,0.6,0.56,0.59,5826
ok,2024-01-03 12:00:00,0.59,0.59,0.57,0.59,9582
ok,2024-01-03 12:30:00,0.59,0.6,0.59,0.59,4247
ok,2024-01-03 13:00:00,0.59,0.6,0.58,0.6,10296
ok,2024-01-03 13:30:00,0.6,0.6,0.59,0.6,3061
ok,2024-01-03 14:00:00,0.6,0.64,0.6,0.64,12672
ok,2024-01-03 14:30:00,0.62,0.68,0.62,0.65,46166
ok,2024-01-03 15:00:00,0.65,0.68,0.6,0.68,36070
ok,2024-01-03 15:30:00,0.68,0.68,0.63,0.63,7364
ok,2024-01-03 17:00:00,0.6,0.6,0.6,0.6,1675
ok,2024-01-03 17:30:00,0.6,0.6,0.6,0.6,3537
ok,2024-01-03 18:00:00,0.58,0.58,0.58,0.58,870
ok,2024-01-04 04:00:00,0.62,0.62,0.61,0.61,1369
ok,2024-01-04 07:00:00,0.63,0.63,0.63,0.63,443
ok,2024-01-04 08:00:00,0.6,0.61,0.6,0.61,808
ok,2024-01-04 08:30:00,0.6,0.6,0.6,0.6,110
ok,2024-01-04 09:00:00,0.6,0.61,0.6,0.6,975
ok,2024-01-04 09:30:00,0.6,0.62,0.58,0.6,9055
ok,2024-01-04 10:00:00,0.6,0.6,0.58,0.58,6630
ok,2024-01-04 10:30:00,0.58,0.62,0.58,0.61,5706
ok,2024-01-04 11:00:00,0.58,0.58,0.58,0.58,177
ok,2024-01-04 11:30:00,0.58,0.58,0.58,0.58,273
ok,2024-01-04 12:00:00,0.61,0.61,0.61,0.61,5566
ok,2024-01-04 12:30:00,0.61,0.61,0.58,0.61,14294
ok,2024-01-04 13:00:00,0.64,0.67,0.58,0.67,4213
ok,2024-01-04 13:30:00,0.62,0.67,0.58,0.62,4461
ok,2024-01-04 14:00:00,0.6,0.6,0.6,0.6,657
ok,2024-01-04 14:30:00,0.65,0.65,0.65,0.65,1569
