s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.29,0.32,0.29,0.32,1168
ok,2024-01-02 05:30:00,0.34,0.34,0.34,0.34,255
ok,2024-01-02 06:30:00,0.31,0.31,0.31,0.31,612
ok,2024-01-02 07:00:00,0.31,0.33,0.31,0.33,10554
ok,2024-01-02 07:30:00,0.33,0.33,0.33,0.33,500
ok,2024-01-02 08:00:00,0.31,0.34,0.31,0.33,7766
ok,2024-01-02 09:30:00,0.32,0.32,0.3,0.31,70045
ok,2024-01-02 10:00:00,0.33,0.33,0.31,0.31,46733
ok,2024-01-02 10:30:00,0.31,0.32,0.31,0.32,30176
ok,2024-01-02 11:00:00,0.32,0.34,0.32,0.34,63197
ok,2024-01-02 11:30:00,0.34,0.34,0.33,0.34,37138
ok,2024-01-02 12:00:00,0.34,0.35,0.34,0.34,38245
ok,2024-01-02 12:30:00,0.34,0.35,0.33,0.33,24111
ok,2024-01-02 13:00:00,0.34,0.35,0.33,0.35,16346
ok,2024-01-02 13:30:00,0.35,0.35,0.34,0.34,1250
ok,2024-01-02 14:30:00,0.33,0.36,0.33,0.36,54209
ok,2024-01-02 15:00:00,0.36,0.36,0.35,0.35,3124
ok,2024-01-02 15:30:00,0.35,0.36,0.34,0.35,68709
ok,2024-01-02 16:00:00,0.36,0.36,0.35,0.35,5000
ok,2024-01-02 16:30:00,0.35,0.35,0.35,0.35,1289
ok,2024-01-02 17:00:00,0.33,0.33,0.33,0.33,1674
ok,2024-01-02 18:30:00,0.35,0.35,0.35,0.35,948
ok,2024-01-02 19:00:00,0.35,0.35,0.35,0.35,146
ok,2024-01-02 19:30:00,0.33,0.35,0.33,0.35,14612
ok,2024-01-03 07:00:00,0.34,0.34,0.33,0.34,2100
ok,2024-01-03 08:00:00,0.34,0.35,0.33,0.35,1560
ok,2024-01-03 08:30:00,0.36,0.36,0.33,0.36,905
ok,2024-01-03 09:00:00,0.35,0.35,0.35,0.35,3490
ok,2024-01-03 09:30:00,0.35,0.35,0.34,0.35,27747
ok,2024-01-03 10:00:00,0.35,0.36,0.35,0.35,68389
ok,2024-01-03 10:30:00,0.35,0.35,0.34,0.35,22006
ok,2024-01-03 11:00:00,0.35,0.35,0.35,0.35,8100
ok,2024-01-03 11:30:00,0.35,0.35,0.35,0.35,5500
ok,2024-01-03 12:00:00,0.35,0.35,0.35,0.35,3501
ok,2024-01-03 12:30:00,0.35,0.35,0.35,0.35,1789
ok,2024-01-03 13:00:00,0.35,0.36,0.35,0.36,30995
ok,2024-01-03 13:30:00,0.36,0.36,0.36,0.36,2512
ok,2024-01-03 14:00:00,0.36,0.36,0.36,0.36,13186
ok,2024-01-03 14:30:00,0.36,0.36,0.36,0.36,14134
ok,2024-01-03 15:00:00,0.36,0.37,0.36,0.37,39126
ok,2024-01-03 15:30:00,0.36,0.38,0.36,0.37,27900
ok,2024-01-03 16:00:00,0.37,0.37,0.37,0.37,662
ok,2024-01-03 17:30:00,0.37,0.37,0.37,0.37,15020
ok,2024-01-03 18:00:00,0.34,0.36,0.34,0.36,19624
ok,2024-01-03 19:00:00,0.37,0.37,0.37,0.37,1300
ok,2024-01-04 04:00:00,0.37,0.37,0.37,0.37,6000
ok,2024-01-04 04:30:00,0.37,0.37,0.37,0.37,200
ok,2024-01-04 06:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-04 08:00:00,0.36,0.36,0.36,0.36,1791
ok,2024-01-04 08:30:00,0.36,0.36,0.36,0.36,2149
ok,2024-01-04 09:30:00,0.37,0.37,0.34,0.36,16118
ok,2024-01-04 10:00:00,0.35,0.37,0.35,0.36,7715
ok,2024-01-04 10:30:00,0.35,0.37,0.35,0.35,20378
ok,2024-01-04 11:00:00,0.35,0.36,0.34,0.36,29775
ok,2024-01-04 11:30:00,0.34,0.35,0.34,0.35,18104
ok,2024-01-04 12:00:00,0.35,0.35,0.35,0.35,1479
ok,2024-01-04 12:30:00,0.34,0.34,0.33,0.34,10318
ok,2024-01-04 13:00:00,0.34,0.34,0.34,0.34,7300
ok,2024-01-04 13:30:00,0.34,0.35,0.33,0.34,7280
ok,2024-01-04 14:00:00,0.33,0.33,0.29,0.32,98195
ok,2024-01-04 14:30:00,0.32,0.32,0.3,0.3,83811
ok,2024-01-04 15:00:00,0.31,0.31,0.29,0.3,39056
ok,2024-01-04 15:30:00,0.31,0.32,0.3,0.32,61623
ok,2024-01-04 16:00:00,0.3,0.32,0.3,0.32,27182
ok,2024-01-04 16:30:00,0.3,0.31,0.3,0.31,4500
ok,2024-01-04 17:00:00,0.3,0.32,0.3,0.32,867
ok,2024-01-04 17:30:00,0.31,0.31,0.31,0.31,200
ok,2024-01-04 18:00:00,0.31,0.31,0.31,0.31,121
ok,2024-01-05 04:00:00,0.32,0.32,0.32,0.32,356
ok,2024-01-05 08:00:00,0.31,0.31,0.31,0.31,1000
ok,2024-01-05 08:30:00,0.31,0.31,0.31,0.31,977
ok,2024-01-05 09:00:00,0.32,0.32,0.32,0.32,1000
ok,2024-01-05 09:30:00,0.31,0.33,0.3,0.32,45422
ok,2024-01-05 10:00:00,0.32,0.33,0.31,0.33,43828
ok,2024-01-05 10:30:00,0.33,0.34,0.33,0.33,8664
ok,2024-01-05 11:00:00,0.33,0.33,0.33,0.33,100
ok,2024-01-05 11:30:00,0.33,0.33,0.32,0.33,5833
ok,2024-01-05 12:00:00,0.32,0.33,0.32,0.33,324
ok,2024-01-05 12:30:00,0.33,0.33,0.32,0.32,1070
ok,2024-01-05 13:00:00,0.33,0.33,0.32,0.32,1830
ok,2024-01-05 13:30:00,0.33,0.33,0.33,0.33,2823
ok,2024-01-05 14:00:00,0.33,0.33,0.31,0.32,8400
ok,2024-01-05 15:30:00,0.32,0.33,0.32,0.33,7043
ok,2024-01-05 16:00:00,0.33,0.33,0.33,0.33,5000
ok,2024-01-05 17:00:00,0.33,0.33,0.32,0.32,3475
ok,2024-01-05 18:30:00,0.32,0.32,0.32,0.32,100
ok,2024-01-08 07:00:00,0.33,0.33,0.33,0.33,500
ok,2024-01-08 09:30:00,0.33,0.33,0.32,0.32,10489
ok,2024-01-08 10:00:00,0.33,0.33,0.32,0.32,9681
ok,2024-01-08 10:30:00,0.32,0.33,0.32,0.33,2207
ok,2024-01-08 11:00:00,0.32,0.33,0.32,0.33,2150
ok,2024-01-08 11:30:00,0.33,0.33,0.32,0.33,4753
ok,2024-01-08 12:00:00,0.32,0.33,0.32,0.33,867
ok,2024-01-08 12:30:00,0.32,0.33,0.32,0.33,2739
ok,2024-01-08 13:30:00,0.32,0.33,0.32,0.33,10640
ok,2024-01-08 14:00:00,0.33,0.33,0.32,0.32,7606
ok,2024-01-08 14:30:00,0.32,0.32,0.31,0.32,14683
ok,2024-01-08 15:00:00,0.33,0.33,0.32,0.33,2572
ok,2024-01-08 18:30:00,0.32,0.32,0.32,0.32,200
ok,2024-01-09 08:00:00,0.33,0.33,0.33,0.33,4002
ok,2024-01-09 09:00:00,0.32,0.32,0.32,0.32,418
ok,2024-01-09 09:30:00,0.33,0.33,0.32,0.32,10930
ok,2024-01-09 10:00:00,0.32,0.32,0.31,0.31,7686
ok,2024-01-09 10:30:00,0.32,0.32,0.31,0.31,9510
ok,2024-01-09 11:00:00,0.32,0.33,0.32,0.33,544
ok,2024-01-09 11:30:00,0.33,0.33,0.31,0.31,7780
ok,2024-01-09 12:00:00,0.32,0.32,0.31,0.31,3300
ok,2024-01-09 12:30:00,0.31,0.33,0.31,0.32,9354
ok,2024-01-09 13:00:00,0.33,0.33,0.32,0.32,300
ok,2024-01-09 13:30:00,0.32,0.32,0.32,0.32,1000
ok,2024-01-09 14:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-09 14:30:00,0.32,0.32,0.32,0.32,312
ok,2024-01-09 15:30:00,0.32,0.32,0.32,0.32,200
ok,2024-01-09 17:00:00,0.31,0.31,0.31,0.31,4200
ok,2024-01-09 18:00:00,0.31,0.31,0.31,0.31,4708
ok,2024-01-10 08:00:00,0.32,0.32,0.32,0.32,292
ok,2024-01-10 09:00:00,0.32,0.32,0.31,0.31,460
ok,2024-01-10 09:30:00,0.31,0.32,0.31,0.31,11876
ok,2024-01-10 10:00:00,0.31,0.31,0.31,0.31,10003
ok,2024-01-10 11:00:00,0.31,0.31,0.31,0.31,4342
ok,2024-01-10 11:30:00,0.31,0.31,0.31,0.31,200
ok,2024-01-10 12:00:00,0.31,0.31,0.31,0.31,3371
ok,2024-01-10 12:30:00,0.31,0.31,0.31,0.31,905
ok,2024-01-10 13:00:00,0.32,0.32,0.31,0.31,4230
ok,2024-01-10 13:30:00,0.31,0.31,0.31,0.31,3730
ok,2024-01-10 14:00:00,0.31,0.31,0.3,0.3,8176
ok,2024-01-10 14:30:00,0.3,0.31,0.3,0.3,5989
ok,2024-01-10 15:00:00,0.31,0.31,0.31,0.31,100
ok,2024-01-10 15:30:00,0.3,0.31,0.3,0.31,6885
ok,2024-01-10 17:00:00,0.31,0.31,0.31,0.31,300
ok,2024-01-10 17:30:00,0.32,0.32,0.32,0.32,1000
ok,2024-01-11 05:00:00,0.3,0.3,0.3,0.3,131
ok,2024-01-11 08:00:00,0.32,0.32,0.32,0.32,400
ok,2024-01-11 08:30:00,0.32,0.32,0.32,0.32,126
ok,2024-01-11 09:30:00,0.3,0.3,0.3,0.3,47728
ok,2024-01-11 10:00:00,0.3,0.3,0.3,0.3,51848
ok,2024-01-11 10:30:00,0.3,0.3,0.28,0.3,19289
ok,2024-01-11 11:00:00,0.29,0.3,0.29,0.29,16435
ok,2024-01-11 11:30:00,0.3,0.3,0.3,0.3,300
ok,2024-01-11 12:00:00,0.3,0.3,0.3,0.3,400
ok,2024-01-11 12:30:00,0.3,0.3,0.3,0.3,101
ok,2024-01-11 14:00:00,0.3,0.3,0.3,0.3,1100
ok,2024-01-11 14:30:00,0.3,0.3,0.3,0.3,5000
ok,2024-01-11 15:00:00,0.3,0.3,0.3,0.3,2473
ok,2024-01-11 15:30:00,0.3,0.3,0.29,0.3,18390
ok,2024-01-11 16:00:00,0.29,0.31,0.29,0.31,1163
ok,2024-01-12 05:00:00,0.31,0.31,0.31,0.31,100
ok,2024-01-12 07:00:00,0.31,0.31,0.31,0.31,2065
ok,2024-01-12 07:30:00,0.3,0.3,0.3,0.3,100
ok,2024-01-12 09:30:00,0.28,0.3,0.28,0.29,5383
ok,2024-01-12 10:00:00,0.29,0.3,0.29,0.3,3835
ok,2024-01-12 11:00:00,0.3,0.31,0.3,0.31,76134
ok,2024-01-12 11:30:00,0.31,0.31,0.29,0.3,15190
ok,2024-01-12 12:00:00,0.3,0.3,0.3,0.3,1125
ok,2024-01-12 12:30:00,0.29,0.3,0.29,0.29,23800
ok,2024-01-12 13:00:00,0.3,0.3,0.3,0.3,300
ok,2024-01-12 14:00:00,0.29,0.29,0.29,0.29,9774
ok,2024-01-12 14:30:00,0.29,0.3,0.29,0.3,19160
ok,2024-01-12 15:00:00,0.3,0.3,0.3,0.3,861
ok,2024-01-12 15:30:00,0.29,0.29,0.28,0.29,7508
