s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,1.19,1.2,1.19,1.2,500
ok,2024-01-02 10:00:00,1.2,1.24,1.2,1.24,1000
ok,2024-01-02 10:30:00,1.25,1.25,1.24,1.24,888
ok,2024-01-02 11:00:00,1.24,1.25,1.24,1.25,400
ok,2024-01-02 11:30:00,1.25,1.25,1.25,1.25,500
ok,2024-01-02 12:30:00,1.25,1.25,1.25,1.25,200
ok,2024-01-02 14:00:00,1.24,1.24,1.24,1.24,237
ok,2024-01-02 14:30:00,1.24,1.24,1.24,1.24,300
ok,2024-01-02 15:30:00,1.24,1.26,1.24,1.25,744
ok,2024-01-03 10:30:00,1.24,1.24,1.19,1.2,4965
ok,2024-01-03 11:00:00,1.18,1.24,1.18,1.24,10702
ok,2024-01-03 11:30:00,1.25,1.25,1.22,1.24,2100
ok,2024-01-03 12:00:00,1.24,1.24,1.23,1.23,500
ok,2024-01-03 13:00:00,1.25,1.25,1.25,1.25,101
ok,2024-01-03 14:30:00,1.22,1.22,1.19,1.19,2100
ok,2024-01-04 09:30:00,1.23,1.23,1.23,1.23,1106
ok,2024-01-04 11:30:00,1.29,1.29,1.29,1.29,300
ok,2024-01-04 12:00:00,1.32,1.32,1.23,1.23,8401
ok,2024-01-04 12:30:00,1.24,1.24,1.23,1.23,1014
ok,2024-01-04 15:00:00,1.26,1.26,1.22,1.22,1040
ok,2024-01-04 15:30:00,1.22,1.22,1.21,1.22,1760
ok,2024-01-05 08:30:00,1.26,1.26,1.26,1.26,200
ok,2024-01-05 09:30:00,1.26,1.26,1.23,1.23,2070
ok,2024-01-05 10:00:00,1.23,1.25,1.23,1.25,330
ok,2024-01-05 10:30:00,1.25,1.26,1.25,1.26,600
ok,2024-01-05 12:00:00,1.23,1.23,1.22,1.22,790
ok,2024-01-05 15:00:00,1.21,1.21,1.2,1.2,571
ok,2024-01-05 15:30:00,1.21,1.22,1.2,1.22,1501
ok,2024-01-08 05:00:00,1.22,1.22,1.22,1.22,100
ok,2024-01-08 08:00:00,1.21,1.21,1.21,1.21,911
ok,2024-01-08 09:30:00,1.28,1.28,1.21,1.21,918
ok,2024-01-08 12:00:00,1.21,1.21,1.21,1.21,325
ok,2024-01-08 16:00:00,1.2,1.21,1.18,1.18,2252
ok,2024-01-09 09:30:00,1.2,1.2,1.17,1.18,3998
ok,2024-01-09 10:00:00,1.21,1.21,1.19,1.2,1374
ok,2024-01-09 10:30:00,1.22,1.22,1.22,1.22,100
ok,2024-01-09 11:00:00,1.23,1.23,1.19,1.19,552
ok,2024-01-09 11:30:00,1.23,1.23,1.23,1.23,261
ok,2024-01-09 13:00:00,1.18,1.18,1.18,1.18,718
ok,2024-01-09 14:00:00,1.17,1.17,1.17,1.17,300
ok,2024-01-09 15:00:00,1.17,1.17,1.15,1.15,3245
ok,2024-01-09 15:30:00,1.17,1.17,1.17,1.17,500
ok,2024-01-09 17:00:00,1.19,1.2,1.19,1.2,499
ok,2024-01-10 08:00:00,1.2,1.2,1.2,1.2,200
ok,2024-01-10 09:30:00,1.21,1.24,1.2,1.24,1136
ok,2024-01-10 10:00:00,1.2,1.21,1.19,1.21,2505
ok,2024-01-10 10:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-10 12:30:00,1.2,1.2,1.19,1.19,1025
ok,2024-01-10 13:30:00,1.18,1.18,1.18,1.18,410
ok,2024-01-10 14:00:00,1.18,1.18,1.18,1.18,100
ok,2024-01-10 15:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-11 09:00:00,1.2,1.2,1.2,1.2,420
ok,2024-01-11 09:30:00,1.2,1.2,1.2,1.2,500
ok,2024-01-11 10:00:00,1.2,1.2,1.18,1.2,1637
ok,2024-01-11 10:30:00,1.19,1.19,1.19,1.19,600
ok,2024-01-11 13:00:00,1.18,1.18,1.18,1.18,100
ok,2024-01-11 14:30:00,1.18,1.18,1.18,1.18,650
ok,2024-01-12 10:30:00,1.2,1.2,1.2,1.2,548
ok,2024-01-12 11:00:00,1.2,1.2,1.2,1.2,1502
ok,2024-01-12 13:30:00,1.19,1.19,1.19,1.19,500
ok,2024-01-12 17:00:00,1.2,1.2,1.2,1.2,475
ok,2024-01-16 09:30:00,1.21,1.21,1.2,1.21,2711
ok,2024-01-16 11:00:00,1.21,1.21,1.21,1.21,200
ok,2024-01-16 11:30:00,1.2,1.2,1.19,1.19,2037
ok,2024-01-16 12:30:00,1.2,1.2,1.2,1.2,4306
ok,2024-01-16 13:00:00,1.2,1.2,1.2,1.2,300
ok,2024-01-16 13:30:00,1.2,1.21,1.2,1.2,2400
ok,2024-01-16 14:00:00,1.19,1.2,1.19,1.2,1856
ok,2024-01-17 06:30:00,1.2,1.2,1.2,1.2,930
ok,2024-01-17 07:00:00,1.2,1.2,1.2,1.2,2300
ok,2024-01-17 07:30:00,1.2,1.2,1.2,1.2,430
ok,2024-01-17 08:00:00,1.2,1.2,1.2,1.2,2670
ok,2024-01-17 10:00:00,1.21,1.21,1.21,1.21,2000
ok,2024-01-17 11:30:00,1.2,1.21,1.18,1.21,12770
ok,2024-01-17 12:00:00,1.21,1.21,1.2,1.2,6426
ok,2024-01-17 12:30:00,1.2,1.2,1.19,1.2,2404
ok,2024-01-17 13:00:00,1.2,1.2,1.19,1.2,2669
ok,2024-01-17 14:30:00,1.18,1.18,1.17,1.18,1484
ok,2024-01-17 15:30:00,1.17,1.17,1.17,1.17,300
ok,2024-01-17 16:30:00,1.17,1.17,1.17,1.17,100
ok,2024-01-17 18:30:00,1.18,1.2,1.18,1.2,5608
ok,2024-01-18 07:30:00,1.21,1.21,1.21,1.21,100
ok,2024-01-18 08:00:00,1.21,1.21,1.2,1.2,2759
ok,2024-01-18 08:30:00,1.2,1.2,1.19,1.2,1300
ok,2024-01-18 09:00:00,1.2,1.2,1.19,1.2,1100
ok,2024-01-18 09:30:00,1.21,1.21,1.2,1.21,5173
ok,2024-01-18 10:00:00,1.22,1.22,1.22,1.22,349
ok,2024-01-18 10:30:00,1.21,1.21,1.21,1.21,900
ok,2024-01-18 11:00:00,1.21,1.21,1.21,1.21,100
ok,2024-01-18 11:30:00,1.2,1.2,1.2,1.2,1900
ok,2024-01-18 14:00:00,1.19,1.19,1.19,1.19,100
ok,2024-01-18 15:00:00,1.21,1.21,1.2,1.21,399
ok,2024-01-18 15:30:00,1.19,1.19,1.18,1.18,2300
ok,2024-01-18 17:30:00,1.21,1.21,1.21,1.21,200
ok,2024-01-19 10:00:00,1.19,1.19,1.19,1.19,100
ok,2024-01-19 10:30:00,1.19,1.19,1.19,1.19,100
ok,2024-01-19 11:30:00,1.2,1.2,1.18,1.18,1100
ok,2024-01-19 14:00:00,1.16,1.16,1.16,1.16,100
ok,2024-01-19 15:00:00,1.16,1.16,1.15,1.15,900
ok,2024-01-19 15:30:00,1.15,1.15,1.15,1.15,700
ok,2024-01-19 16:30:00,1.12,1.12,1.12,1.12,1400
ok,2024-01-22 06:30:00,1.12,1.12,1.12,1.12,300
ok,2024-01-22 08:30:00,1.12,1.15,1.12,1.15,2108
ok,2024-01-22 09:00:00,1.16,1.16,1.13,1.15,2092
ok,2024-01-22 09:30:00,1.13,1.2,1.13,1.2,1809
ok,2024-01-22 10:00:00,1.19,1.2,1.18,1.2,900
ok,2024-01-22 10:30:00,1.2,1.2,1.16,1.2,1250
ok,2024-01-22 11:30:00,1.13,1.13,1.13,1.13,2000
ok,2024-01-22 12:00:00,1.14,1.14,1.12,1.12,2200
ok,2024-01-22 12:30:00,1.17,1.17,1.17,1.17,100
ok,2024-01-22 13:00:00,1.13,1.13,1.12,1.12,1600
ok,2024-01-22 13:30:00,1.17,1.17,1.17,1.17,100
ok,2024-01-22 14:30:00,1.13,1.13,1.12,1.12,1025
ok,2024-01-22 15:00:00,1.17,1.17,1.17,1.17,136
ok,2024-01-23 07:00:00,1.19,1.19,1.18,1.19,400
ok,2024-01-23 08:00:00,1.19,1.2,1.12,1.19,11000
ok,2024-01-23 08:30:00,1.19,1.2,1.19,1.2,2700
ok,2024-01-23 09:00:00,1.2,1.2,1.2,1.2,400
ok,2024-01-23 09:30:00,1.2,1.26,1.2,1.26,1012
ok,2024-01-23 10:00:00,1.26,1.26,1.21,1.21,959
ok,2024-01-23 10:30:00,1.21,1.23,1.21,1.23,201
ok,2024-01-23 11:00:00,1.2,1.2,1.2,1.2,1087
