s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.44,0.44,0.43,0.43,418
ok,2024-01-02 08:30:00,0.43,0.43,0.42,0.42,2070
ok,2024-01-02 09:30:00,0.41,0.43,0.4,0.42,32766
ok,2024-01-02 10:00:00,0.44,0.44,0.42,0.42,5296
ok,2024-01-02 10:30:00,0.42,0.44,0.42,0.44,1010
ok,2024-01-02 11:00:00,0.44,0.46,0.43,0.44,47374
ok,2024-01-02 11:30:00,0.44,0.49,0.44,0.44,28049
ok,2024-01-02 12:00:00,0.48,0.49,0.45,0.47,64201
ok,2024-01-02 12:30:00,0.47,0.48,0.47,0.48,8692
ok,2024-01-02 13:00:00,0.48,0.48,0.47,0.47,6000
ok,2024-01-02 13:30:00,0.48,0.48,0.47,0.47,12491
ok,2024-01-02 14:30:00,0.47,0.47,0.47,0.47,8327
ok,2024-01-02 15:00:00,0.48,0.49,0.48,0.48,7069
ok,2024-01-02 15:30:00,0.47,0.47,0.47,0.47,1806
ok,2024-01-02 16:30:00,0.46,0.46,0.46,0.46,840
ok,2024-01-02 17:30:00,0.49,0.49,0.49,0.49,200
ok,2024-01-02 19:00:00,0.48,0.5,0.47,0.47,13116
ok,2024-01-03 04:00:00,0.46,0.47,0.46,0.47,800
ok,2024-01-03 06:00:00,0.47,0.47,0.46,0.47,500
ok,2024-01-03 08:30:00,0.46,0.46,0.46,0.46,1554
ok,2024-01-03 09:30:00,0.47,0.49,0.46,0.46,4229
ok,2024-01-03 10:00:00,0.49,0.49,0.46,0.47,3200
ok,2024-01-03 10:30:00,0.47,0.47,0.47,0.47,10307
ok,2024-01-03 11:30:00,0.47,0.47,0.47,0.47,2067
ok,2024-01-03 12:00:00,0.48,0.49,0.47,0.47,10548
ok,2024-01-03 12:30:00,0.49,0.49,0.47,0.47,3753
ok,2024-01-03 13:00:00,0.5,0.5,0.49,0.5,4792
ok,2024-01-03 13:30:00,0.5,0.52,0.48,0.51,30787
ok,2024-01-03 14:30:00,0.51,0.51,0.48,0.48,2000
ok,2024-01-03 15:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-03 15:30:00,0.49,0.5,0.49,0.49,3761
ok,2024-01-04 09:30:00,0.5,0.5,0.48,0.48,1006
ok,2024-01-04 10:00:00,0.48,0.48,0.47,0.47,12194
ok,2024-01-04 11:30:00,0.49,0.49,0.49,0.49,350
ok,2024-01-04 13:00:00,0.48,0.48,0.48,0.48,1000
ok,2024-01-04 13:30:00,0.47,0.48,0.47,0.48,200
ok,2024-01-04 14:00:00,0.48,0.48,0.47,0.47,1502
ok,2024-01-04 14:30:00,0.46,0.47,0.46,0.47,1622
ok,2024-01-04 15:00:00,0.47,0.47,0.46,0.46,1564
ok,2024-01-04 15:30:00,0.47,0.47,0.47,0.47,1629
ok,2024-01-05 09:00:00,0.5,0.52,0.5,0.52,1800
ok,2024-01-05 09:30:00,0.5,0.5,0.49,0.49,929
ok,2024-01-05 10:00:00,0.49,0.49,0.49,0.49,686
ok,2024-01-05 10:30:00,0.48,0.48,0.48,0.48,750
ok,2024-01-05 11:00:00,0.48,0.48,0.48,0.48,1251
ok,2024-01-05 11:30:00,0.49,0.49,0.48,0.48,7065
ok,2024-01-05 12:00:00,0.48,0.48,0.45,0.46,26963
ok,2024-01-05 12:30:00,0.45,0.48,0.44,0.46,10181
ok,2024-01-05 14:00:00,0.47,0.47,0.47,0.47,108
ok,2024-01-05 15:00:00,0.46,0.46,0.46,0.46,743
ok,2024-01-05 15:30:00,0.45,0.48,0.44,0.45,3339
ok,2024-01-05 17:30:00,0.46,0.46,0.46,0.46,487
ok,2024-01-05 18:00:00,0.47,0.55,0.47,0.47,15257
ok,2024-01-05 19:00:00,0.5,0.53,0.5,0.5,565
ok,2024-01-08 07:00:00,0.47,0.47,0.47,0.47,2525
ok,2024-01-08 08:00:00,0.49,0.49,0.48,0.49,828
ok,2024-01-08 09:30:00,0.44,0.48,0.44,0.48,17754
ok,2024-01-08 11:00:00,0.48,0.48,0.48,0.48,101
ok,2024-01-08 11:30:00,0.48,0.48,0.45,0.45,1378
ok,2024-01-08 12:00:00,0.48,0.55,0.48,0.51,58274
ok,2024-01-08 12:30:00,0.51,0.52,0.51,0.51,11254
ok,2024-01-08 13:00:00,0.51,0.51,0.51,0.51,3388
ok,2024-01-08 13:30:00,0.51,0.52,0.51,0.52,598
ok,2024-01-08 14:00:00,0.52,0.58,0.52,0.56,45118
ok,2024-01-08 14:30:00,0.55,0.62,0.55,0.61,118304
ok,2024-01-08 15:00:00,0.61,0.66,0.59,0.62,247004
ok,2024-01-08 15:30:00,0.62,0.66,0.57,0.58,167767
ok,2024-01-08 16:00:00,0.6,0.63,0.54,0.58,25319
ok,2024-01-08 16:30:00,0.57,0.78,0.57,0.58,290464
ok,2024-01-08 17:00:00,0.6,0.68,0.58,0.68,70545
ok,2024-01-08 17:30:00,0.68,0.68,0.58,0.61,43269
ok,2024-01-08 18:00:00,0.61,0.67,0.61,0.64,15375
ok,2024-01-08 18:30:00,0.64,0.64,0.64,0.64,7192
ok,2024-01-08 19:00:00,0.64,0.64,0.63,0.63,2192
ok,2024-01-08 19:30:00,0.63,0.8,0.63,0.78,181007
ok,2024-01-09 04:00:00,0.71,0.74,0.63,0.66,397310
ok,2024-01-09 04:30:00,0.66,0.66,0.6,0.62,146931
ok,2024-01-09 05:00:00,0.62,0.64,0.59,0.62,121740
ok,2024-01-09 05:30:00,0.62,0.62,0.61,0.61,8381
ok,2024-01-09 06:00:00,0.61,0.64,0.61,0.64,19891
ok,2024-01-09 06:30:00,0.63,0.66,0.63,0.64,69140
ok,2024-01-09 07:00:00,0.65,0.69,0.64,0.65,169807
ok,2024-01-09 07:30:00,0.65,0.68,0.65,0.68,36043
ok,2024-01-09 08:00:00,0.65,0.71,0.64,0.64,143080
ok,2024-01-09 08:30:00,0.64,0.66,0.62,0.63,25689
ok,2024-01-09 09:00:00,0.63,0.65,0.61,0.62,38787
ok,2024-01-09 09:30:00,0.64,0.67,0.58,0.65,596999
ok,2024-01-09 10:00:00,0.66,0.73,0.52,0.58,940932
