s,t,o,h,l,c,v
ok,2024-02-09 14:00:00,10.25,11.24,9.74,10.94,1462572
ok,2024-02-09 14:30:00,10.82,10.9,10.18,10.25,251111
ok,2024-02-09 15:00:00,10.25,10.84,10.25,10.84,226218
ok,2024-02-09 15:30:00,10.84,11.0,10.45,10.99,670209
ok,2024-02-09 16:00:00,10.56,10.74,10.26,10.3,10818
ok,2024-02-09 16:30:00,10.3,10.3,10.15,10.15,2329
ok,2024-02-09 17:00:00,10.4,10.4,10.39,10.4,1055
ok,2024-02-09 18:00:00,10.4,10.4,10.4,10.4,925
ok,2024-02-09 19:00:00,10.46,10.8,10.45,10.77,4496
ok,2024-02-09 19:30:00,10.77,10.8,10.6,10.8,2000
ok,2024-02-12 08:00:00,10.6,10.6,10.6,10.6,100
ok,2024-02-12 08:30:00,10.6,10.6,10.6,10.6,291
ok,2024-02-12 09:00:00,10.59,11.0,10.59,11.0,3520
ok,2024-02-12 09:30:00,10.94,11.55,10.56,11.13,77776
ok,2024-02-12 10:00:00,11.06,12.02,11.01,11.87,153404
ok,2024-02-12 10:30:00,11.92,11.95,11.22,11.85,44086
ok,2024-02-12 11:00:00,11.86,11.99,11.48,11.82,54407
ok,2024-02-12 11:30:00,11.55,11.89,11.5,11.88,44458
ok,2024-02-12 12:00:00,11.87,11.99,11.6,11.65,33432
ok,2024-02-12 12:30:00,11.78,11.87,11.65,11.85,24757
ok,2024-02-12 13:00:00,11.87,12.22,11.76,11.95,166962
ok,2024-02-12 13:30:00,11.95,12.05,11.63,11.74,108874
ok,2024-02-12 14:00:00,11.79,11.79,11.1,11.11,78363
ok,2024-02-12 14:30:00,11.11,11.72,11.0,11.4,57334
ok,2024-02-12 15:00:00,11.5,11.59,11.17,11.45,61251
ok,2024-02-12 15:30:00,11.4,11.7,11.01,11.22,158495
ok,2024-02-12 16:00:00,11.48,11.49,11.48,11.49,700
ok,2024-02-12 16:30:00,11.01,11.01,10.99,10.99,920
ok,2024-02-12 17:00:00,10.99,11.0,10.99,11.0,3480
ok,2024-02-12 19:30:00,11.3,11.3,11.3,11.3,6025
ok,2024-02-13 07:00:00,11.5,11.5,11.5,11.5,800
ok,2024-02-13 07:30:00,11.5,11.5,11.5,11.5,365
ok,2024-02-13 09:30:00,11.13,11.49,11.13,11.41,21801
ok,2024-02-13 10:00:00,11.49,11.89,11.41,11.81,31617
ok,2024-02-13 10:30:00,11.81,11.98,11.67,11.91,33567
ok,2024-02-13 11:00:00,11.98,11.99,11.85,11.93,25184
ok,2024-02-13 11:30:00,11.9,12.2,11.9,12.06,91473
ok,2024-02-13 12:00:00,12.06,12.06,11.87,11.9,34505
ok,2024-02-13 12:30:00,11.91,12.17,11.9,12.17,22139
ok,2024-02-13 13:00:00,12.1,12.1,11.9,12.0,29684
ok,2024-02-13 13:30:00,12.0,12.0,11.91,11.92,16145
ok,2024-02-13 14:00:00,11.94,11.99,11.6,11.87,20851
ok,2024-02-13 14:30:00,11.87,11.99,11.74,11.96,17844
ok,2024-02-13 15:00:00,11.99,12.12,11.89,12.0,41925
ok,2024-02-13 15:30:00,11.98,12.44,11.79,12.19,153198
ok,2024-02-13 16:00:00,11.11,11.11,11.11,11.11,200
ok,2024-02-14 07:00:00,12.49,12.5,12.47,12.5,2286
ok,2024-02-14 07:30:00,12.02,12.02,12.02,12.02,100
ok,2024-02-14 08:00:00,12.5,12.5,12.5,12.5,110
ok,2024-02-14 08:30:00,12.49,12.49,12.49,12.49,100
ok,2024-02-14 09:00:00,12.3,12.3,11.05,11.05,4352
ok,2024-02-14 09:30:00,11.05,12.15,11.03,11.82,30313
ok,2024-02-14 10:00:00,11.87,11.98,11.7,11.82,13542
ok,2024-02-14 10:30:00,11.95,12.0,11.82,11.99,8652
ok,2024-02-14 11:00:00,11.97,12.05,11.82,12.0,8933
ok,2024-02-14 11:30:00,11.98,12.05,11.97,12.05,25646
ok,2024-02-14 12:00:00,12.05,12.05,12.0,12.02,16258
ok,2024-02-14 12:30:00,12.02,12.05,12.01,12.05,17478
ok,2024-02-14 13:00:00,12.05,12.24,12.01,12.18,17496
ok,2024-02-14 13:30:00,12.18,12.24,12.12,12.16,7084
ok,2024-02-14 14:00:00,12.17,12.25,12.01,12.08,25747
ok,2024-02-14 14:30:00,12.15,12.23,12.04,12.12,14670
ok,2024-02-14 15:00:00,12.15,12.21,11.79,12.15,20155
ok,2024-02-14 15:30:00,12.19,12.38,12.03,12.38,57207
ok,2024-02-15 07:30:00,12.4,12.4,12.4,12.4,795
ok,2024-02-15 09:00:00,12.06,12.06,12.06,12.06,403
ok,2024-02-15 09:30:00,12.0,12.49,12.0,12.21,44884
ok,2024-02-15 10:00:00,12.2,12.44,12.2,12.3,32125
ok,2024-02-15 10:30:00,12.25,12.74,12.24,12.45,50490
ok,2024-02-15 11:00:00,12.52,12.57,12.44,12.44,11739
ok,2024-02-15 11:30:00,12.34,12.51,12.34,12.38,17581
ok,2024-02-15 12:00:00,12.44,12.56,12.35,12.46,15154
ok,2024-02-15 12:30:00,12.46,12.47,12.17,12.18,5153
ok,2024-02-15 13:00:00,12.19,12.4,12.19,12.23,3280
ok,2024-02-15 13:30:00,12.25,12.37,12.2,12.27,8737
ok,2024-02-15 14:00:00,12.22,12.29,12.1,12.15,20755
ok,2024-02-15 14:30:00,12.12,12.25,12.12,12.24,8319
ok,2024-02-15 15:00:00,12.24,12.39,11.58,11.75,94214
ok,2024-02-15 15:30:00,11.62,12.25,11.62,12.25,64209
ok,2024-02-16 08:00:00,12.4,12.4,12.4,12.4,1644
ok,2024-02-16 08:30:00,12.45,12.45,12.45,12.45,2000
