s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.09,0.09,0.09,0.09,138
ok,2024-01-02 07:30:00,0.09,0.09,0.09,0.09,752
ok,2024-01-02 08:00:00,0.09,0.09,0.09,0.09,2009
ok,2024-01-02 08:30:00,0.09,0.09,0.09,0.09,109920
ok,2024-01-02 09:00:00,0.09,0.09,0.09,0.09,150
ok,2024-01-02 09:30:00,0.09,0.09,0.09,0.09,51897
ok,2024-01-02 10:00:00,0.09,0.1,0.09,0.1,153064
ok,2024-01-02 10:30:00,0.1,0.1,0.09,0.09,24298
ok,2024-01-02 11:00:00,0.09,0.09,0.09,0.09,15044
ok,2024-01-02 11:30:00,0.09,0.09,0.09,0.09,11390
ok,2024-01-02 12:00:00,0.09,0.1,0.09,0.09,43334
ok,2024-01-02 12:30:00,0.09,0.09,0.09,0.09,6375
ok,2024-01-02 13:00:00,0.09,0.09,0.09,0.09,45530
ok,2024-01-02 13:30:00,0.09,0.09,0.09,0.09,12387
ok,2024-01-02 14:00:00,0.09,0.11,0.09,0.1,496587
ok,2024-01-02 14:30:00,0.1,0.1,0.09,0.09,372272
ok,2024-01-02 15:00:00,0.09,0.1,0.09,0.09,41572
ok,2024-01-02 15:30:00,0.09,0.1,0.09,0.09,73285
ok,2024-01-02 16:00:00,0.09,0.1,0.09,0.09,3658
ok,2024-01-02 16:30:00,0.09,0.09,0.09,0.09,225
ok,2024-01-02 17:00:00,0.09,0.09,0.09,0.09,400
ok,2024-01-02 17:30:00,0.1,0.1,0.09,0.09,7366
ok,2024-01-02 18:00:00,0.09,0.09,0.09,0.09,2302
ok,2024-01-02 18:30:00,0.09,0.09,0.09,0.09,1101
ok,2024-01-02 19:00:00,0.09,0.09,0.09,0.09,230
ok,2024-01-03 07:00:00,0.09,0.1,0.09,0.1,8476
ok,2024-01-03 08:00:00,0.09,0.09,0.09,0.09,999
ok,2024-01-03 09:00:00,0.09,0.09,0.09,0.09,3108
ok,2024-01-03 09:30:00,0.1,0.1,0.09,0.09,51359
ok,2024-01-03 10:00:00,0.09,0.1,0.09,0.09,10740
ok,2024-01-03 10:30:00,0.09,0.09,0.09,0.09,21389
ok,2024-01-03 11:00:00,0.09,0.09,0.09,0.09,7363
ok,2024-01-03 11:30:00,0.09,0.09,0.09,0.09,14817
ok,2024-01-03 12:00:00,0.09,0.1,0.09,0.1,74348
ok,2024-01-03 12:30:00,0.09,0.09,0.09,0.09,2157
ok,2024-01-03 13:00:00,0.09,0.09,0.09,0.09,254
ok,2024-01-03 13:30:00,0.09,0.09,0.09,0.09,27341
ok,2024-01-03 14:00:00,0.09,0.09,0.09,0.09,8021
ok,2024-01-03 14:30:00,0.09,0.09,0.09,0.09,1727
ok,2024-01-03 15:00:00,0.09,0.09,0.09,0.09,2476
ok,2024-01-03 15:30:00,0.09,0.09,0.09,0.09,16426
ok,2024-01-03 16:00:00,0.09,0.09,0.09,0.09,215
ok,2024-01-03 16:30:00,0.09,0.09,0.09,0.09,61150
ok,2024-01-03 17:00:00,0.09,0.09,0.09,0.09,13000
ok,2024-01-03 19:30:00,0.09,0.09,0.09,0.09,1375
ok,2024-01-04 05:00:00,0.09,0.09,0.09,0.09,101
ok,2024-01-04 08:00:00,0.09,0.09,0.09,0.09,6000
ok,2024-01-04 09:00:00,0.09,0.09,0.09,0.09,1458
ok,2024-01-04 09:30:00,0.09,0.09,0.09,0.09,10755
ok,2024-01-04 10:00:00,0.09,0.09,0.08,0.09,52003
ok,2024-01-04 10:30:00,0.09,0.09,0.09,0.09,5113
ok,2024-01-04 11:00:00,0.09,0.09,0.09,0.09,4527
ok,2024-01-04 11:30:00,0.09,0.09,0.08,0.09,47395
ok,2024-01-04 12:00:00,0.09,0.09,0.09,0.09,6477
ok,2024-01-04 12:30:00,0.09,0.09,0.08,0.09,113677
ok,2024-01-04 13:00:00,0.09,0.09,0.08,0.08,23716
ok,2024-01-04 13:30:00,0.08,0.08,0.08,0.08,112445
ok,2024-01-04 14:00:00,0.08,0.08,0.08,0.08,487
ok,2024-01-04 14:30:00,0.08,0.08,0.08,0.08,8865
ok,2024-01-04 15:00:00,0.08,0.08,0.08,0.08,5323
ok,2024-01-04 15:30:00,0.08,0.08,0.08,0.08,102881
ok,2024-01-04 16:00:00,0.09,0.09,0.08,0.08,35143
ok,2024-01-04 16:30:00,0.08,0.08,0.08,0.08,16931
ok,2024-01-04 17:00:00,0.08,0.08,0.08,0.08,2300
ok,2024-01-04 17:30:00,0.08,0.08,0.08,0.08,1549
ok,2024-01-04 18:00:00,0.08,0.08,0.08,0.08,1617
ok,2024-01-04 18:30:00,0.08,0.08,0.08,0.08,400
ok,2024-01-04 19:00:00,0.08,0.08,0.08,0.08,1000
ok,2024-01-04 19:30:00,0.08,0.08,0.08,0.08,11528
ok,2024-01-05 08:00:00,0.08,0.08,0.08,0.08,2743
ok,2024-01-05 08:30:00,0.09,0.09,0.08,0.08,9399
ok,2024-01-05 09:00:00,0.08,0.09,0.08,0.09,3176
ok,2024-01-05 09:30:00,0.08,0.08,0.08,0.08,32900
ok,2024-01-05 10:00:00,0.08,0.08,0.08,0.08,66790
ok,2024-01-05 10:30:00,0.08,0.09,0.08,0.08,21727
ok,2024-01-05 11:00:00,0.08,0.08,0.08,0.08,20179
ok,2024-01-05 11:30:00,0.08,0.08,0.08,0.08,22904
