s,t,o,h,l,c,v
ok,2024-03-28 09:00:00,4.75,4.9,4.28,4.69,109258
ok,2024-03-28 09:30:00,4.65,5.25,4.6,5.1,206751
ok,2024-03-28 10:00:00,5.0,5.03,4.5,4.6,60522
ok,2024-03-28 10:30:00,4.57,4.8,4.55,4.7,22284
ok,2024-03-28 11:00:00,4.8,4.9,4.54,4.73,35004
ok,2024-03-28 11:30:00,4.73,4.85,4.64,4.65,23205
ok,2024-03-28 12:00:00,4.6,4.88,4.54,4.59,15725
ok,2024-03-28 12:30:00,4.54,4.65,4.0,4.24,27080
ok,2024-03-28 13:00:00,4.15,4.72,3.84,4.42,82320
ok,2024-03-28 13:30:00,4.4,4.72,4.4,4.4,16064
ok,2024-03-28 14:00:00,4.4,4.72,4.25,4.52,26614
ok,2024-03-28 14:30:00,4.52,4.59,3.88,4.16,34607
ok,2024-03-28 15:00:00,4.31,4.31,4.31,4.31,180
ok,2024-03-28 15:30:00,4.21,4.21,4.2,4.2,280
ok,2024-04-01 06:00:00,3.85,3.85,3.85,3.85,133
ok,2024-04-01 07:00:00,3.91,4.3,3.91,4.3,577
ok,2024-04-01 07:30:00,4.2,4.2,4.0,4.0,387
ok,2024-04-01 08:00:00,4.08,4.09,4.0,4.09,442
ok,2024-04-01 08:30:00,4.2,4.29,4.18,4.28,13672
ok,2024-04-01 09:00:00,4.21,4.25,4.0,4.1,6014
ok,2024-04-01 09:30:00,4.1,4.1,3.68,3.83,14352
ok,2024-04-01 10:00:00,3.75,3.75,3.63,3.63,6307
ok,2024-04-01 10:30:00,3.6,3.65,3.59,3.65,3831
ok,2024-04-01 11:00:00,3.65,3.84,3.6,3.84,3074
ok,2024-04-01 11:30:00,3.84,3.84,3.77,3.84,3460
ok,2024-04-01 12:00:00,3.88,3.88,3.88,3.88,250
ok,2024-04-01 12:30:00,3.88,3.88,3.88,3.88,320
ok,2024-04-01 13:00:00,3.77,3.77,3.77,3.77,400
ok,2024-04-01 13:30:00,3.77,3.93,3.77,3.91,6866
ok,2024-04-01 14:00:00,3.9,3.92,3.84,3.84,1353
ok,2024-04-01 14:30:00,3.88,3.88,3.64,3.75,3851
ok,2024-04-01 15:30:00,3.7,3.8,3.7,3.8,765
ok,2024-04-02 08:00:00,3.75,3.75,3.75,3.75,161
ok,2024-04-02 08:30:00,3.74,3.86,3.74,3.85,6068
ok,2024-04-02 09:00:00,3.89,4.0,3.89,4.0,5704
ok,2024-04-02 09:30:00,4.05,4.05,4.05,4.05,301
ok,2024-04-02 11:00:00,3.98,3.98,3.98,3.98,934
ok,2024-04-02 12:30:00,4.0,4.0,3.93,3.93,200
ok,2024-04-02 14:00:00,3.76,3.81,3.75,3.77,3328
ok,2024-04-02 14:30:00,3.85,3.93,3.81,3.81,2422
ok,2024-04-03 08:30:00,3.8,3.8,3.8,3.8,806
ok,2024-04-03 09:30:00,3.82,3.9,3.8,3.89,2900
ok,2024-04-03 10:00:00,3.88,3.99,3.85,3.92,1400
ok,2024-04-03 10:30:00,3.92,3.92,3.92,3.92,156
ok,2024-04-03 11:00:00,3.95,3.95,3.9,3.9,1465
ok,2024-04-03 11:30:00,3.9,3.9,3.9,3.9,923
ok,2024-04-03 12:00:00,3.96,4.01,3.91,4.01,3300
ok,2024-04-03 12:30:00,4.01,4.01,4.01,4.01,500
ok,2024-04-03 13:00:00,4.0,4.28,4.0,4.28,5269
ok,2024-04-03 13:30:00,4.25,4.26,4.2,4.26,3000
