s,t,o,h,l,c,v
ok,2024-04-10 09:30:00,4.79,6.4,4.79,6.4,639778
ok,2024-04-10 10:00:00,7.1,8.2,6.23,7.73,1133741
ok,2024-04-10 10:30:00,7.3,8.79,6.5,7.5,1943407
ok,2024-04-10 11:00:00,7.48,7.9,6.81,7.78,371147
ok,2024-04-10 11:30:00,7.85,8.38,6.85,6.9,522072
ok,2024-04-10 12:00:00,7.06,7.38,6.5,7.2,154831
ok,2024-04-10 12:30:00,7.2,7.31,6.75,7.03,95472
ok,2024-04-10 13:00:00,7.02,7.2,6.5,6.9,91581
ok,2024-04-10 13:30:00,6.94,7.35,6.94,7.16,67847
ok,2024-04-10 14:00:00,7.18,8.4,7.0,7.92,371660
ok,2024-04-10 14:30:00,8.07,8.12,6.55,6.7,252878
ok,2024-04-10 15:00:00,6.85,7.09,6.5,6.69,48187
ok,2024-04-10 15:30:00,6.72,7.34,6.6,7.12,27126
ok,2024-04-10 16:00:00,7.1,7.19,6.7,6.72,16538
ok,2024-04-10 16:30:00,6.95,7.1,6.79,6.79,6074
ok,2024-04-10 17:00:00,6.9,6.9,6.75,6.75,926
ok,2024-04-10 17:30:00,6.87,7.08,6.87,6.91,5695
ok,2024-04-10 18:00:00,6.94,7.04,6.9,7.03,1770
ok,2024-04-10 18:30:00,7.02,7.1,6.89,7.0,8512
ok,2024-04-11 03:00:00,7.29,7.29,6.22,6.22,10880
ok,2024-04-11 03:30:00,6.43,6.51,6.23,6.4,21395
ok,2024-04-11 04:00:00,6.4,6.79,6.4,6.79,8307
ok,2024-04-11 04:30:00,6.79,6.79,6.52,6.52,1820
ok,2024-04-11 05:00:00,6.64,6.97,6.52,6.87,10890
ok,2024-04-11 05:30:00,6.93,7.49,6.91,6.91,20313
ok,2024-04-11 06:00:00,6.94,7.23,6.81,6.96,12660
ok,2024-04-11 06:30:00,7.0,7.0,6.82,6.88,1128
ok,2024-04-11 07:00:00,6.88,7.29,6.81,6.84,24413
ok,2024-04-11 07:30:00,6.84,6.97,6.6,6.7,17844
ok,2024-04-11 08:00:00,6.71,6.85,6.55,6.85,11884
ok,2024-04-11 08:30:00,6.95,7.61,6.71,7.29,403289
ok,2024-04-11 09:00:00,7.11,9.5,6.75,8.9,679816
ok,2024-04-11 09:30:00,8.85,9.07,7.57,8.08,758158
ok,2024-04-11 10:00:00,8.08,10.5,8.0,9.16,1741536
ok,2024-04-11 10:30:00,9.1,10.75,8.8,10.22,1680227
ok,2024-04-11 11:00:00,10.36,12.29,9.86,10.35,2694565
ok,2024-04-11 11:30:00,10.0,11.0,9.85,10.42,684064
ok,2024-04-11 12:00:00,10.44,11.2,10.08,11.16,359517
ok,2024-04-11 12:30:00,11.09,11.48,10.39,10.68,523970
ok,2024-04-11 13:00:00,10.58,10.74,10.13,10.45,214317
ok,2024-04-11 13:30:00,10.5,10.69,9.88,10.35,104954
ok,2024-04-11 14:00:00,10.38,10.57,10.15,10.18,111267
ok,2024-04-11 14:30:00,10.15,10.34,9.1,10.16,227465
ok,2024-04-11 15:00:00,9.82,11.11,9.8,10.9,59145
ok,2024-04-11 15:30:00,10.9,10.9,9.87,9.87,32911
ok,2024-04-11 16:00:00,10.2,10.2,9.95,10.15,5387
ok,2024-04-11 16:30:00,10.1,10.15,10.1,10.13,4957
ok,2024-04-11 17:00:00,10.1,10.1,9.8,9.8,4277
ok,2024-04-11 17:30:00,9.8,10.3,9.57,10.2,6768
ok,2024-04-11 18:00:00,10.21,10.21,9.89,10.17,2806
ok,2024-04-11 18:30:00,10.14,10.49,10.01,10.47,16939
ok,2024-04-12 03:00:00,11.0,11.09,10.5,10.5,10790
ok,2024-04-12 03:30:00,10.52,10.52,10.36,10.39,1920
ok,2024-04-12 04:00:00,10.66,11.1,10.66,11.1,8108
ok,2024-04-12 04:30:00,11.1,11.3,10.95,11.05,5380
ok,2024-04-12 05:00:00,10.89,10.99,10.7,10.8,6146
ok,2024-04-12 05:30:00,11.01,11.2,11.0,11.0,2902
ok,2024-04-12 06:00:00,11.01,11.13,10.91,11.03,15589
ok,2024-04-12 06:30:00,11.05,11.08,10.85,10.88,10818
ok,2024-04-12 07:00:00,10.9,13.0,10.6,11.31,53619
ok,2024-04-12 07:30:00,11.4,11.4,11.0,11.4,59432
ok,2024-04-12 08:00:00,11.39,11.97,11.1,11.62,100357
ok,2024-04-12 08:30:00,11.57,12.0,10.8,11.5,1791961
ok,2024-04-12 09:00:00,11.5,14.0,10.17,12.51,2982114
ok,2024-04-12 09:30:00,12.49,13.11,11.81,12.42,779769
ok,2024-04-12 10:00:00,12.47,13.0,12.3,12.78,408893
ok,2024-04-12 10:30:00,12.72,13.31,12.5,12.66,497143
ok,2024-04-12 11:00:00,12.7,13.0,12.5,12.88,140324
ok,2024-04-12 11:30:00,12.87,12.9,12.54,12.66,88778
ok,2024-04-12 12:00:00,12.67,14.3,12.64,13.95,713805
ok,2024-04-12 12:30:00,13.96,14.2,13.4,13.78,341688
ok,2024-04-12 13:00:00,13.86,15.43,13.8,14.9,836828
ok,2024-04-12 13:30:00,14.87,16.0,14.75,14.93,774900
ok,2024-04-12 14:00:00,14.93,15.23,14.08,14.46,433554
ok,2024-04-12 14:30:00,14.41,14.99,13.81,14.87,423657
ok,2024-04-12 15:00:00,14.75,15.2,14.27,14.67,28928
