s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,0.35,0.36,0.34,0.36,2210
ok,2024-01-02 09:30:00,0.33,0.33,0.33,0.33,618
ok,2024-01-02 10:00:00,0.35,0.35,0.35,0.35,100
ok,2024-01-02 10:30:00,0.35,0.38,0.35,0.38,13481
ok,2024-01-02 11:00:00,0.38,0.38,0.38,0.38,11257
ok,2024-01-02 11:30:00,0.38,0.38,0.38,0.38,896
ok,2024-01-02 12:00:00,0.38,0.38,0.38,0.38,2931
ok,2024-01-02 12:30:00,0.38,0.38,0.38,0.38,1262
ok,2024-01-02 13:00:00,0.38,0.38,0.38,0.38,19904
ok,2024-01-02 13:30:00,0.38,0.38,0.38,0.38,4189
ok,2024-01-02 14:00:00,0.38,0.38,0.38,0.38,3356
ok,2024-01-02 15:00:00,0.38,0.38,0.37,0.37,10895
ok,2024-01-02 15:30:00,0.37,0.37,0.37,0.37,2362
ok,2024-01-02 19:30:00,0.38,0.38,0.38,0.38,146
ok,2024-01-03 04:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-03 09:30:00,0.38,0.39,0.38,0.39,3207
ok,2024-01-03 10:00:00,0.38,0.38,0.38,0.38,2370
ok,2024-01-03 11:30:00,0.38,0.38,0.35,0.37,1802
ok,2024-01-03 12:00:00,0.37,0.37,0.36,0.36,521
ok,2024-01-03 12:30:00,0.37,0.38,0.37,0.38,5178
ok,2024-01-03 13:00:00,0.38,0.38,0.38,0.38,6052
ok,2024-01-03 13:30:00,0.38,0.38,0.38,0.38,4994
ok,2024-01-03 14:00:00,0.39,0.39,0.38,0.39,4057
ok,2024-01-03 14:30:00,0.39,0.41,0.39,0.4,23196
ok,2024-01-03 15:30:00,0.39,0.4,0.39,0.4,1600
ok,2024-01-03 17:30:00,0.4,0.4,0.4,0.4,476
ok,2024-01-03 18:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-03 19:00:00,0.39,0.39,0.39,0.39,1000
ok,2024-01-04 07:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-04 09:30:00,0.39,0.39,0.39,0.39,1000
ok,2024-01-04 10:00:00,0.39,0.4,0.39,0.4,1460
ok,2024-01-04 10:30:00,0.4,0.41,0.4,0.4,24078
ok,2024-01-04 11:00:00,0.4,0.41,0.4,0.4,4804
ok,2024-01-04 12:00:00,0.41,0.41,0.41,0.41,1385
ok,2024-01-04 12:30:00,0.41,0.41,0.41,0.41,800
ok,2024-01-04 13:00:00,0.41,0.41,0.41,0.41,909
ok,2024-01-04 13:30:00,0.41,0.41,0.41,0.41,300
ok,2024-01-04 14:00:00,0.41,0.41,0.41,0.41,1140
ok,2024-01-04 14:30:00,0.41,0.41,0.41,0.41,10303
ok,2024-01-04 15:00:00,0.41,0.41,0.41,0.41,1621
ok,2024-01-04 15:30:00,0.41,0.41,0.4,0.4,15268
ok,2024-01-04 16:30:00,0.39,0.39,0.39,0.39,100
ok,2024-01-04 19:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-05 08:30:00,0.42,0.43,0.42,0.43,507
ok,2024-01-05 09:30:00,0.43,0.44,0.43,0.43,12075
ok,2024-01-05 10:00:00,0.42,0.44,0.42,0.43,8714
ok,2024-01-05 10:30:00,0.43,0.44,0.42,0.42,6365
ok,2024-01-05 11:30:00,0.42,0.42,0.42,0.42,18650
ok,2024-01-05 12:00:00,0.42,0.42,0.42,0.42,150
ok,2024-01-05 12:30:00,0.43,0.43,0.42,0.42,503
ok,2024-01-05 13:00:00,0.42,0.43,0.42,0.42,8192
ok,2024-01-05 13:30:00,0.43,0.43,0.42,0.42,200
ok,2024-01-05 14:00:00,0.43,0.43,0.43,0.43,900
ok,2024-01-05 14:30:00,0.42,0.43,0.42,0.42,10972
ok,2024-01-05 15:00:00,0.43,0.43,0.42,0.42,525
ok,2024-01-05 15:30:00,0.42,0.42,0.42,0.42,1127
ok,2024-01-05 16:00:00,0.43,0.45,0.43,0.45,1639
ok,2024-01-05 17:00:00,0.43,0.43,0.43,0.43,2140
ok,2024-01-08 04:30:00,0.43,0.43,0.43,0.43,100
ok,2024-01-08 05:00:00,0.44,0.44,0.44,0.44,200
