s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,1.78,1.78,1.78,1.78,180
ok,2024-01-02 06:00:00,1.78,1.78,1.78,1.78,400
ok,2024-01-02 07:00:00,1.79,1.79,1.75,1.75,981
ok,2024-01-02 08:00:00,1.78,1.78,1.75,1.75,600
ok,2024-01-02 08:30:00,1.77,1.77,1.77,1.77,300
ok,2024-01-02 09:00:00,1.74,1.75,1.74,1.75,1239
ok,2024-01-02 09:30:00,1.75,1.76,1.67,1.73,49769
ok,2024-01-02 10:00:00,1.74,1.74,1.68,1.73,23933
ok,2024-01-02 10:30:00,1.7,1.74,1.7,1.73,24315
ok,2024-01-02 11:00:00,1.73,1.73,1.68,1.69,11478
ok,2024-01-02 11:30:00,1.73,1.78,1.7,1.75,39777
ok,2024-01-02 12:00:00,1.74,1.77,1.74,1.77,10151
ok,2024-01-02 12:30:00,1.75,1.78,1.75,1.76,7086
ok,2024-01-02 13:00:00,1.76,1.76,1.71,1.73,12849
ok,2024-01-02 13:30:00,1.73,1.75,1.7,1.7,14275
ok,2024-01-02 14:00:00,1.71,1.74,1.69,1.73,21538
ok,2024-01-02 14:30:00,1.71,1.72,1.69,1.72,8260
ok,2024-01-02 15:00:00,1.69,1.72,1.67,1.68,25910
ok,2024-01-02 15:30:00,1.69,1.71,1.66,1.7,35127
ok,2024-01-02 16:30:00,1.73,1.73,1.73,1.73,480
ok,2024-01-03 08:00:00,1.69,1.69,1.69,1.69,1502
ok,2024-01-03 08:30:00,1.68,1.68,1.68,1.68,238
ok,2024-01-03 09:00:00,1.69,1.69,1.69,1.69,100
ok,2024-01-03 09:30:00,1.68,1.7,1.51,1.61,142694
ok,2024-01-03 10:00:00,1.64,1.64,1.55,1.61,46627
ok,2024-01-03 10:30:00,1.61,1.63,1.61,1.61,12391
ok,2024-01-03 11:00:00,1.61,1.62,1.51,1.6,43269
ok,2024-01-03 11:30:00,1.62,1.64,1.4,1.54,130304
ok,2024-01-03 12:00:00,1.54,1.57,1.52,1.56,30934
ok,2024-01-03 12:30:00,1.56,1.57,1.51,1.54,38554
ok,2024-01-03 13:00:00,1.52,1.53,1.45,1.52,45273
ok,2024-01-03 13:30:00,1.52,1.58,1.49,1.51,157651
ok,2024-01-03 14:00:00,1.51,1.54,1.46,1.53,73335
ok,2024-01-03 14:30:00,1.54,1.54,1.49,1.5,25890
