s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,4.24,4.25,4.24,4.25,200
ok,2024-01-02 09:30:00,4.1,4.22,3.75,3.84,33324
ok,2024-01-02 10:00:00,3.84,3.85,3.3,3.38,22499
ok,2024-01-02 10:30:00,3.32,3.45,3.09,3.14,22324
ok,2024-01-02 11:00:00,3.09,3.19,2.91,2.93,31665
ok,2024-01-02 11:30:00,2.97,3.02,2.78,2.82,22125
ok,2024-01-02 12:00:00,2.86,3.08,2.86,2.93,20987
ok,2024-01-02 12:30:00,2.9,3.04,2.9,2.95,7844
ok,2024-01-02 13:00:00,3.0,3.0,2.87,2.87,27005
ok,2024-01-02 13:30:00,2.9,2.95,2.82,2.83,15262
ok,2024-01-02 14:00:00,2.83,2.92,2.76,2.77,41287
ok,2024-01-02 14:30:00,2.76,2.79,2.68,2.68,14751
ok,2024-01-02 15:00:00,2.8,2.87,2.76,2.81,9933
ok,2024-01-02 15:30:00,2.9,2.9,2.7,2.75,26294
ok,2024-01-02 16:00:00,2.75,2.75,2.7,2.7,26306
ok,2024-01-02 16:30:00,2.71,2.71,2.56,2.67,2520
ok,2024-01-02 17:00:00,2.68,2.87,2.68,2.87,1518
ok,2024-01-02 17:30:00,2.84,2.84,2.8,2.8,1561
ok,2024-01-02 19:30:00,2.75,2.82,2.75,2.82,523
ok,2024-01-03 06:00:00,3.05,3.05,3.05,3.05,203
ok,2024-01-03 06:30:00,2.88,2.88,2.88,2.88,1113
ok,2024-01-03 07:00:00,2.85,2.85,2.85,2.85,211
ok,2024-01-03 07:30:00,2.85,2.86,2.85,2.86,4379
ok,2024-01-03 08:00:00,2.9,2.93,2.73,2.73,5463
ok,2024-01-03 08:30:00,2.73,2.73,2.62,2.62,678
ok,2024-01-03 09:00:00,2.74,2.95,2.74,2.95,2370
ok,2024-01-03 09:30:00,2.99,2.99,2.79,2.88,30396
ok,2024-01-03 10:00:00,2.9,3.12,2.79,2.93,33665
ok,2024-01-03 10:30:00,2.94,2.98,2.88,2.88,10155
ok,2024-01-03 11:00:00,2.92,2.97,2.87,2.9,4772
ok,2024-01-03 11:30:00,2.9,2.98,2.87,2.9,2788
ok,2024-01-03 12:00:00,2.97,3.2,2.96,3.19,21942
ok,2024-01-03 12:30:00,3.19,3.19,2.92,3.06,20715
ok,2024-01-03 13:00:00,3.02,3.06,3.02,3.02,4969
ok,2024-01-03 13:30:00,3.05,3.15,3.0,3.0,8186
ok,2024-01-03 14:00:00,3.13,3.14,2.96,3.07,9214
ok,2024-01-03 14:30:00,3.08,3.08,2.95,2.95,9943
ok,2024-01-03 15:00:00,2.9,3.02,2.9,2.96,2701
ok,2024-01-03 15:30:00,2.97,3.0,2.96,2.96,4074
ok,2024-01-03 16:30:00,2.97,3.01,2.97,3.01,1350
ok,2024-01-03 17:00:00,3.01,3.01,2.96,2.96,200
ok,2024-01-03 18:30:00,2.9,2.9,2.9,2.9,300
ok,2024-01-04 08:00:00,2.79,4.01,2.79,2.92,71030
ok,2024-01-04 08:30:00,2.92,3.15,2.88,3.1,4095
ok,2024-01-04 09:00:00,3.1,3.47,3.1,3.27,14799
ok,2024-01-04 09:30:00,3.22,4.18,3.17,3.59,1054000
ok,2024-01-04 10:00:00,3.67,4.24,3.63,3.95,931577
ok,2024-01-04 10:30:00,3.94,4.03,3.57,3.82,257140
ok,2024-01-04 11:00:00,3.79,4.2,3.7,4.08,348900
ok,2024-01-04 11:30:00,4.01,4.29,3.8,4.06,287447
ok,2024-01-04 12:00:00,4.06,4.85,4.0,4.3,1143388
ok,2024-01-04 12:30:00,4.23,4.39,4.0,4.24,199707
ok,2024-01-04 13:00:00,4.22,4.3,4.1,4.24,108592
ok,2024-01-04 13:30:00,4.25,4.75,4.17,4.54,601237
ok,2024-01-04 14:00:00,4.46,4.7,4.15,4.37,235324
ok,2024-01-04 14:30:00,4.38,4.63,4.36,4.39,227097
ok,2024-01-04 15:00:00,4.38,4.43,4.22,4.35,56716
ok,2024-01-04 15:30:00,4.31,4.65,4.31,4.38,190912
ok,2024-01-04 16:00:00,4.39,4.49,4.21,4.35,20484
ok,2024-01-04 16:30:00,4.27,4.3,4.16,4.29,16462
ok,2024-01-04 17:00:00,4.17,4.17,4.16,4.16,3922
ok,2024-01-04 17:30:00,4.16,4.16,4.16,4.16,960
ok,2024-01-04 18:00:00,4.16,4.16,4.16,4.16,398
ok,2024-01-04 18:30:00,4.15,4.2,4.15,4.2,956
ok,2024-01-04 19:00:00,4.15,4.15,4.11,4.11,4355
ok,2024-01-04 19:30:00,4.09,4.09,4.07,4.07,700
ok,2024-01-05 04:00:00,4.0,4.03,3.96,4.03,1653
ok,2024-01-05 04:30:00,3.95,3.95,3.77,3.8,7341
ok,2024-01-05 05:30:00,3.88,3.89,3.88,3.89,839
ok,2024-01-05 06:00:00,3.84,3.84,3.84,3.84,202
ok,2024-01-05 06:30:00,3.83,3.83,3.8,3.83,909
ok,2024-01-05 07:00:00,3.85,3.85,3.75,3.75,3035
ok,2024-01-05 07:30:00,3.81,3.81,3.76,3.79,1787
ok,2024-01-05 08:00:00,3.8,3.81,3.7,3.73,14640
ok,2024-01-05 08:30:00,3.8,3.8,3.75,3.75,779
ok,2024-01-05 09:00:00,3.75,4.1,3.75,3.98,8873
ok,2024-01-05 09:30:00,4.0,4.3,3.85,3.95,44261
ok,2024-01-05 10:00:00,4.0,4.14,3.92,3.99,16478
ok,2024-01-05 10:30:00,4.0,4.1,3.97,4.0,9957
ok,2024-01-05 11:00:00,4.01,4.07,3.87,3.88,9722
ok,2024-01-05 11:30:00,3.89,3.97,3.65,3.74,21364
ok,2024-01-05 12:00:00,3.7,3.87,3.64,3.79,10473
