s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,1.27,1.27,1.27,1.27,559
ok,2024-01-02 08:00:00,1.27,1.27,1.27,1.27,1004
ok,2024-01-02 09:00:00,1.27,1.3,1.27,1.3,500
ok,2024-01-02 09:30:00,1.3,1.32,1.3,1.32,2089
ok,2024-01-02 10:00:00,1.31,1.36,1.27,1.34,20825
ok,2024-01-02 10:30:00,1.33,1.33,1.33,1.33,1249
ok,2024-01-02 11:00:00,1.31,1.31,1.31,1.31,9501
ok,2024-01-02 11:30:00,1.32,1.33,1.32,1.33,2156
ok,2024-01-02 12:00:00,1.31,1.31,1.31,1.31,2717
ok,2024-01-02 12:30:00,1.3,1.32,1.3,1.3,13472
ok,2024-01-02 13:00:00,1.3,1.3,1.3,1.3,183
ok,2024-01-02 13:30:00,1.29,1.33,1.29,1.33,1170
ok,2024-01-02 14:00:00,1.29,1.31,1.29,1.31,2300
ok,2024-01-02 14:30:00,1.3,1.32,1.29,1.32,4178
ok,2024-01-02 15:00:00,1.32,1.32,1.32,1.32,100
ok,2024-01-02 15:30:00,1.31,1.32,1.27,1.3,13699
ok,2024-01-02 16:00:00,1.32,1.32,1.32,1.32,1000
ok,2024-01-02 17:30:00,1.28,1.28,1.28,1.28,4300
ok,2024-01-03 06:00:00,1.3,1.3,1.3,1.3,100
ok,2024-01-03 07:30:00,1.3,1.3,1.3,1.3,3899
ok,2024-01-03 09:30:00,1.3,1.3,1.29,1.29,1844
ok,2024-01-03 10:00:00,1.27,1.29,1.26,1.26,12391
ok,2024-01-03 10:30:00,1.26,1.26,1.25,1.25,5072
ok,2024-01-03 11:00:00,1.24,1.25,1.24,1.25,11166
ok,2024-01-03 11:30:00,1.25,1.28,1.25,1.28,2671
ok,2024-01-03 12:00:00,1.27,1.28,1.27,1.27,1110
ok,2024-01-03 12:30:00,1.28,1.29,1.26,1.29,2747
ok,2024-01-03 13:00:00,1.25,1.26,1.21,1.23,15371
ok,2024-01-03 14:00:00,1.24,1.24,1.24,1.24,1382
ok,2024-01-03 14:30:00,1.24,1.26,1.22,1.22,4815
ok,2024-01-03 15:00:00,1.24,1.27,1.24,1.26,14511
ok,2024-01-03 15:30:00,1.26,1.27,1.26,1.27,5807
ok,2024-01-04 05:30:00,1.29,1.34,1.29,1.32,2356
ok,2024-01-04 06:00:00,1.32,1.53,1.31,1.4,31839
ok,2024-01-04 06:30:00,1.34,1.39,1.32,1.36,13969
ok,2024-01-04 07:00:00,1.32,1.36,1.3,1.36,2781
ok,2024-01-04 07:30:00,1.35,1.35,1.29,1.32,6031
ok,2024-01-04 08:00:00,1.36,1.37,1.3,1.31,8414
ok,2024-01-04 08:30:00,1.3,1.55,1.28,1.36,58404
ok,2024-01-04 09:00:00,1.44,1.44,1.34,1.42,41291
ok,2024-01-04 09:30:00,1.45,1.45,1.3,1.37,190006
ok,2024-01-04 10:00:00,1.37,1.38,1.27,1.29,111310
ok,2024-01-04 10:30:00,1.3,1.37,1.28,1.37,75672
ok,2024-01-04 11:00:00,1.37,1.37,1.33,1.34,9308
ok,2024-01-04 11:30:00,1.35,1.4,1.33,1.4,39562
ok,2024-01-04 12:00:00,1.4,1.49,1.32,1.39,105693
ok,2024-01-04 12:30:00,1.4,1.45,1.38,1.41,12496
ok,2024-01-04 13:00:00,1.45,1.45,1.41,1.41,16699
ok,2024-01-04 13:30:00,1.41,1.45,1.41,1.43,11650
ok,2024-01-04 14:00:00,1.43,1.43,1.32,1.39,58009
ok,2024-01-04 14:30:00,1.4,1.4,1.36,1.38,17304
ok,2024-01-04 15:00:00,1.38,1.38,1.34,1.35,15559
ok,2024-01-04 15:30:00,1.35,1.43,1.35,1.4,60258
ok,2024-01-04 16:00:00,1.39,1.45,1.39,1.39,1680
ok,2024-01-04 16:30:00,1.39,1.39,1.39,1.39,500
ok,2024-01-04 19:30:00,1.39,1.39,1.39,1.39,2960
ok,2024-01-05 06:00:00,1.37,1.37,1.37,1.37,1000
ok,2024-01-05 07:00:00,1.41,1.41,1.41,1.41,200
ok,2024-01-05 07:30:00,1.37,1.37,1.34,1.34,4100
ok,2024-01-05 08:00:00,1.4,1.4,1.32,1.34,4722
ok,2024-01-05 08:30:00,1.39,1.39,1.35,1.35,400
ok,2024-01-05 09:00:00,1.38,1.4,1.35,1.39,3420
ok,2024-01-05 09:30:00,1.42,1.42,1.33,1.36,23357
ok,2024-01-05 10:00:00,1.36,1.37,1.34,1.34,29230
ok,2024-01-05 10:30:00,1.34,1.34,1.33,1.34,5621
ok,2024-01-05 11:00:00,1.33,1.35,1.33,1.35,2723
ok,2024-01-05 11:30:00,1.34,1.35,1.28,1.28,16985
ok,2024-01-05 12:00:00,1.28,1.3,1.27,1.3,12561
ok,2024-01-05 12:30:00,1.29,1.3,1.21,1.25,40812
ok,2024-01-05 13:00:00,1.28,1.28,1.25,1.28,9507
ok,2024-01-05 13:30:00,1.25,1.28,1.25,1.26,12290
ok,2024-01-05 14:00:00,1.27,1.27,1.26,1.27,2054
ok,2024-01-05 14:30:00,1.27,1.28,1.26,1.27,3338
ok,2024-01-05 15:00:00,1.26,1.26,1.25,1.26,9844
ok,2024-01-05 15:30:00,1.25,1.28,1.24,1.25,18123
ok,2024-01-08 04:00:00,1.25,1.25,1.25,1.25,301
ok,2024-01-08 07:00:00,1.28,1.28,1.28,1.28,1025
ok,2024-01-08 07:30:00,1.25,1.29,1.25,1.29,1618
ok,2024-01-08 08:00:00,1.3,1.3,1.27,1.29,7370
ok,2024-01-08 08:30:00,1.28,1.29,1.28,1.28,2110
ok,2024-01-08 09:00:00,1.27,1.29,1.27,1.29,1156
ok,2024-01-08 09:30:00,1.28,1.29,1.25,1.28,20211
ok,2024-01-08 10:00:00,1.27,1.28,1.26,1.28,5184
ok,2024-01-08 10:30:00,1.28,1.28,1.26,1.26,2660
ok,2024-01-08 11:00:00,1.26,1.28,1.26,1.26,3320
ok,2024-01-08 11:30:00,1.28,1.28,1.26,1.26,2300
ok,2024-01-08 12:00:00,1.27,1.29,1.26,1.29,8171
ok,2024-01-08 12:30:00,1.29,1.29,1.28,1.28,2970
ok,2024-01-08 13:00:00,1.27,1.29,1.27,1.27,1700
ok,2024-01-08 13:30:00,1.27,1.27,1.27,1.27,200
ok,2024-01-08 14:00:00,1.27,1.29,1.27,1.29,1700
ok,2024-01-08 14:30:00,1.27,1.28,1.27,1.27,1000
ok,2024-01-08 15:00:00,1.27,1.29,1.25,1.27,18982
ok,2024-01-08 15:30:00,1.27,1.27,1.25,1.26,4141
ok,2024-01-08 17:00:00,1.26,1.26,1.26,1.26,222
ok,2024-01-08 17:30:00,1.29,1.29,1.29,1.29,200
ok,2024-01-08 18:30:00,1.29,1.29,1.29,1.29,288
ok,2024-01-08 19:30:00,1.28,1.28,1.28,1.28,1900
ok,2024-01-09 04:30:00,1.26,1.26,1.25,1.25,1987
ok,2024-01-09 08:00:00,1.25,1.27,1.25,1.27,2100
ok,2024-01-09 08:30:00,1.25,1.27,1.25,1.25,3960
ok,2024-01-09 09:00:00,1.25,1.27,1.25,1.27,6742
ok,2024-01-09 09:30:00,1.25,1.29,1.25,1.29,17322
ok,2024-01-09 10:00:00,1.29,1.29,1.29,1.29,1000
ok,2024-01-09 10:30:00,1.3,1.3,1.25,1.25,1584
ok,2024-01-09 11:00:00,1.29,1.29,1.28,1.28,804
ok,2024-01-09 11:30:00,1.27,1.29,1.27,1.29,2171
ok,2024-01-09 12:00:00,1.29,1.29,1.27,1.27,892
ok,2024-01-09 12:30:00,1.27,1.27,1.27,1.27,4779
ok,2024-01-09 13:00:00,1.29,1.29,1.29,1.29,1199
ok,2024-01-09 13:30:00,1.28,1.28,1.27,1.27,9806
ok,2024-01-09 14:00:00,1.26,1.26,1.25,1.25,1339
ok,2024-01-09 14:30:00,1.25,1.28,1.21,1.27,17092
ok,2024-01-09 15:00:00,1.25,1.26,1.24,1.25,12077
ok,2024-01-09 15:30:00,1.24,1.25,1.2,1.2,26165
ok,2024-01-09 16:00:00,1.24,1.24,1.24,1.24,1000
ok,2024-01-09 16:30:00,1.24,1.24,1.24,1.24,160
ok,2024-01-09 19:00:00,1.25,1.3,1.25,1.26,12320
ok,2024-01-10 08:30:00,1.27,1.27,1.27,1.27,150
ok,2024-01-10 09:00:00,1.24,1.24,1.24,1.24,320
ok,2024-01-10 09:30:00,1.22,1.26,1.22,1.26,10592
ok,2024-01-10 10:00:00,1.25,1.27,1.25,1.27,1200
ok,2024-01-10 10:30:00,1.25,1.25,1.22,1.25,8577
ok,2024-01-10 11:00:00,1.27,1.27,1.27,1.27,6000
ok,2024-01-10 11:30:00,1.26,1.27,1.25,1.25,6958
ok,2024-01-10 12:00:00,1.25,1.25,1.23,1.23,1000
ok,2024-01-10 12:30:00,1.26,1.27,1.26,1.26,3528
ok,2024-01-10 13:00:00,1.26,1.28,1.26,1.28,3939
ok,2024-01-10 13:30:00,1.28,1.28,1.26,1.26,4154
ok,2024-01-10 14:00:00,1.28,1.28,1.28,1.28,679
ok,2024-01-10 14:30:00,1.29,1.29,1.26,1.26,1190
ok,2024-01-10 15:00:00,1.29,1.29,1.27,1.29,1900
ok,2024-01-10 15:30:00,1.29,1.31,1.23,1.29,45033
ok,2024-01-10 16:00:00,1.24,1.24,1.24,1.24,345
ok,2024-01-10 17:30:00,1.29,1.29,1.29,1.29,200
ok,2024-01-10 19:00:00,1.25,1.25,1.25,1.25,150
ok,2024-01-10 19:30:00,1.25,1.25,1.25,1.25,150
ok,2024-01-11 04:00:00,1.28,1.37,1.28,1.37,12007
ok,2024-01-11 04:30:00,1.34,1.38,1.34,1.36,1320
ok,2024-01-11 08:00:00,1.33,1.33,1.32,1.32,663
ok,2024-01-11 08:30:00,1.31,1.31,1.26,1.31,6413
ok,2024-01-11 09:30:00,1.25,1.37,1.25,1.3,37258
ok,2024-01-11 10:00:00,1.33,1.34,1.3,1.31,7486
ok,2024-01-11 10:30:00,1.31,1.45,1.31,1.39,128537
ok,2024-01-11 11:00:00,1.42,1.51,1.41,1.5,179791
ok,2024-01-11 11:30:00,1.5,1.65,1.4,1.42,305657
ok,2024-01-11 12:00:00,1.42,1.43,1.3,1.35,110625
ok,2024-01-11 12:30:00,1.35,1.35,1.21,1.24,119485
ok,2024-01-11 13:00:00,1.24,1.26,1.22,1.26,13767
ok,2024-01-11 13:30:00,1.23,1.28,1.23,1.27,22682
ok,2024-01-11 14:00:00,1.27,1.29,1.21,1.28,39503
ok,2024-01-11 14:30:00,1.27,1.34,1.27,1.33,54886
ok,2024-01-11 15:00:00,1.32,1.34,1.28,1.32,26831
ok,2024-01-11 15:30:00,1.33,1.34,1.28,1.31,40993
ok,2024-01-11 16:00:00,1.34,1.34,1.3,1.31,3858
ok,2024-01-11 16:30:00,1.31,1.34,1.3,1.33,4500
ok,2024-01-11 17:00:00,1.33,1.33,1.33,1.33,500
ok,2024-01-11 17:30:00,1.33,1.34,1.32,1.34,2185
ok,2024-01-11 18:00:00,1.34,1.34,1.34,1.34,100
ok,2024-01-11 19:30:00,1.32,1.32,1.32,1.32,1500
ok,2024-01-12 04:00:00,1.27,1.27,1.26,1.26,1216
ok,2024-01-12 04:30:00,1.3,1.35,1.3,1.35,1344
ok,2024-01-12 07:00:00,1.32,1.32,1.32,1.32,286
ok,2024-01-12 08:00:00,1.34,1.37,1.31,1.31,2891
ok,2024-01-12 08:30:00,1.26,1.29,1.26,1.29,8346
ok,2024-01-12 09:00:00,1.28,1.31,1.25,1.31,4801
ok,2024-01-12 09:30:00,1.26,1.31,1.26,1.28,18727
ok,2024-01-12 10:00:00,1.29,1.29,1.27,1.29,2712
ok,2024-01-12 10:30:00,1.28,1.28,1.22,1.23,31639
ok,2024-01-12 11:00:00,1.24,1.26,1.24,1.26,5400
ok,2024-01-12 11:30:00,1.25,1.25,1.23,1.24,7864
ok,2024-01-12 12:00:00,1.25,1.25,1.23,1.23,1209
ok,2024-01-12 12:30:00,1.24,1.25,1.22,1.25,14944
ok,2024-01-12 13:00:00,1.24,1.25,1.24,1.25,3052
ok,2024-01-12 13:30:00,1.24,1.28,1.24,1.28,913
ok,2024-01-12 14:00:00,1.25,1.26,1.24,1.26,1094
ok,2024-01-12 14:30:00,1.25,1.25,1.23,1.23,2829
ok,2024-01-12 15:00:00,1.25,1.26,1.21,1.26,29347
ok,2024-01-12 15:30:00,1.23,1.23,1.18,1.18,28542
ok,2024-01-12 16:00:00,1.18,1.23,1.18,1.23,300
ok,2024-01-12 17:30:00,1.19,1.19,1.19,1.19,500
ok,2024-01-12 18:00:00,1.18,1.18,1.11,1.11,7805
ok,2024-01-12 18:30:00,1.11,1.11,1.11,1.11,399
ok,2024-01-12 19:30:00,1.16,1.16,1.16,1.16,372
ok,2024-01-16 04:00:00,1.14,1.15,1.14,1.15,1001
ok,2024-01-16 06:30:00,1.16,1.16,1.16,1.16,138
ok,2024-01-16 07:00:00,1.16,1.16,1.16,1.16,662
ok,2024-01-16 08:00:00,1.16,1.2,1.16,1.2,255
ok,2024-01-16 08:30:00,1.2,1.2,1.18,1.2,1546
ok,2024-01-16 09:00:00,1.2,1.23,1.2,1.2,1250
ok,2024-01-16 09:30:00,1.18,1.2,1.18,1.2,10839
ok,2024-01-16 10:00:00,1.19,1.21,1.18,1.21,13366
ok,2024-01-16 10:30:00,1.21,1.21,1.2,1.21,28119
ok,2024-01-16 11:00:00,1.19,1.2,1.19,1.2,2565
ok,2024-01-16 11:30:00,1.2,1.23,1.19,1.23,23202
ok,2024-01-16 12:00:00,1.23,1.33,1.19,1.29,137864
ok,2024-01-16 12:30:00,1.27,1.32,1.22,1.32,34018
ok,2024-01-16 13:00:00,1.3,1.33,1.24,1.3,42976
ok,2024-01-16 13:30:00,1.29,1.31,1.22,1.25,44630
ok,2024-01-16 14:00:00,1.28,1.3,1.25,1.3,6523
ok,2024-01-16 14:30:00,1.27,1.29,1.12,1.18,138021
ok,2024-01-16 15:00:00,1.17,1.19,1.16,1.17,18802
ok,2024-01-16 15:30:00,1.17,1.18,1.13,1.14,24864
ok,2024-01-16 16:00:00,1.14,1.14,1.14,1.14,1245
ok,2024-01-16 16:30:00,1.19,1.19,1.16,1.16,1350
ok,2024-01-16 17:30:00,1.15,1.15,1.14,1.15,995
ok,2024-01-16 18:00:00,1.15,1.15,1.15,1.15,1000
ok,2024-01-16 18:30:00,1.15,1.15,1.15,1.15,729
ok,2024-01-16 19:00:00,1.15,1.2,1.15,1.2,3272
ok,2024-01-16 19:30:00,1.2,1.21,1.18,1.18,3202
ok,2024-01-17 05:00:00,1.2,1.2,1.2,1.2,100
