s,t,o,h,l,c,v
ok,2024-03-21 08:00:00,15.1,15.1,15.1,15.1,219
ok,2024-03-21 08:30:00,15.22,19.75,15.22,19.75,1094
ok,2024-03-21 09:00:00,24.7,24.7,24.7,24.7,479
ok,2024-03-21 09:30:00,35.0,38.0,26.96,26.96,9191
ok,2024-03-21 10:00:00,21.8,24.84,19.62,20.04,16274
ok,2024-03-21 10:30:00,16.17,16.17,12.0,13.01,17133
ok,2024-03-21 11:00:00,12.9,12.9,11.98,11.99,1667
ok,2024-03-21 11:30:00,12.33,12.33,12.33,12.33,189
ok,2024-03-21 12:00:00,12.45,12.45,11.47,11.53,3021
ok,2024-03-21 12:30:00,11.58,12.45,11.58,12.45,509
ok,2024-03-21 13:00:00,11.15,11.15,9.41,9.94,1020
ok,2024-03-21 13:30:00,8.94,9.02,8.91,9.02,680
ok,2024-03-21 14:00:00,9.5,9.5,9.3,9.3,367
ok,2024-03-21 14:30:00,9.49,10.2,9.41,9.62,2565
ok,2024-03-21 15:00:00,10.67,16.89,10.67,16.89,3415
ok,2024-03-21 15:30:00,13.89,14.0,12.5,12.87,4383
ok,2024-03-21 16:00:00,13.35,13.8,13.35,13.5,1220
ok,2024-03-21 16:30:00,12.5,12.5,10.58,10.58,1028
ok,2024-03-21 17:30:00,11.0,13.0,11.0,13.0,859
ok,2024-03-21 18:30:00,13.49,13.65,13.49,13.65,312
ok,2024-03-22 03:00:00,14.86,41.84,14.86,41.25,74965
ok,2024-03-22 03:30:00,42.0,43.07,33.68,35.0,48913
ok,2024-03-22 04:00:00,35.84,36.1,33.83,34.18,5713
ok,2024-03-22 04:30:00,35.05,35.05,23.02,25.2,29724
ok,2024-03-22 05:00:00,24.8,28.0,23.51,23.67,43790
ok,2024-03-22 05:30:00,23.43,28.27,21.5,24.01,59086
ok,2024-03-22 06:00:00,25.4,29.99,25.0,27.45,138642
ok,2024-03-22 06:30:00,27.72,28.5,24.61,24.61,101435
ok,2024-03-22 07:00:00,26.0,29.97,21.7,21.7,109798
ok,2024-03-22 07:30:00,22.2,24.75,21.01,24.48,60704
ok,2024-03-22 08:00:00,24.7,24.79,21.52,21.52,45063
ok,2024-03-22 08:30:00,22.0,28.16,20.0,23.52,280375
ok,2024-03-22 09:00:00,23.84,23.84,16.0,16.56,236603
ok,2024-03-22 09:30:00,16.56,16.56,14.08,15.35,118071
ok,2024-03-22 10:00:00,15.35,15.8,14.69,15.54,54787
ok,2024-03-22 10:30:00,15.4,16.39,14.92,16.36,49089
ok,2024-03-22 11:00:00,15.83,16.22,15.2,15.33,34551
ok,2024-03-22 11:30:00,15.2,19.37,14.16,19.37,126411
ok,2024-03-22 12:00:00,19.25,24.2,18.06,21.85,476423
ok,2024-03-22 12:30:00,21.85,24.5,18.91,20.79,398662
ok,2024-03-22 13:00:00,21.04,22.49,19.63,20.87,132926
ok,2024-03-22 13:30:00,20.61,22.61,18.62,19.26,186143
ok,2024-03-22 14:00:00,19.2,19.78,17.66,19.18,79687
ok,2024-03-22 14:30:00,19.17,22.0,17.75,20.61,125135
ok,2024-03-22 15:00:00,19.55,20.92,19.05,19.78,10427
ok,2024-03-22 15:30:00,19.28,19.89,19.28,19.29,2789
ok,2024-03-22 16:00:00,18.47,18.95,18.45,18.46,1243
ok,2024-03-22 16:30:00,18.47,18.47,16.22,16.22,4108
ok,2024-03-22 17:00:00,16.1,16.3,15.5,16.03,5223
ok,2024-03-22 17:30:00,16.7,17.45,16.7,17.45,1358
ok,2024-03-22 18:00:00,17.94,19.15,17.94,19.15,880
ok,2024-03-22 18:30:00,18.95,19.81,18.95,19.81,2037
ok,2024-03-25 03:00:00,19.9,19.9,18.82,18.82,922
