s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.61,0.61,0.61,0.61,190
ok,2024-01-02 09:00:00,0.61,0.61,0.61,0.61,5000
ok,2024-01-02 09:30:00,0.61,0.63,0.61,0.61,48876
ok,2024-01-02 10:00:00,0.61,0.62,0.61,0.62,682
ok,2024-01-02 10:30:00,0.62,0.63,0.61,0.61,7270
ok,2024-01-02 11:00:00,0.61,0.61,0.61,0.61,3818
ok,2024-01-02 11:30:00,0.61,0.61,0.6,0.6,2382
ok,2024-01-02 12:00:00,0.6,0.6,0.6,0.6,6357
ok,2024-01-02 12:30:00,0.6,0.6,0.6,0.6,200
ok,2024-01-02 13:00:00,0.6,0.61,0.6,0.6,3036
ok,2024-01-02 13:30:00,0.6,0.61,0.6,0.6,2700
ok,2024-01-02 14:00:00,0.6,0.6,0.6,0.6,679
ok,2024-01-02 14:30:00,0.6,0.6,0.6,0.6,651
ok,2024-01-02 15:00:00,0.6,0.61,0.6,0.61,12003
ok,2024-01-02 15:30:00,0.6,0.61,0.6,0.6,2573
ok,2024-01-02 19:30:00,0.62,0.62,0.62,0.62,1000
ok,2024-01-03 08:00:00,0.62,0.62,0.62,0.62,200
ok,2024-01-03 09:00:00,0.61,0.62,0.61,0.62,2155
ok,2024-01-03 09:30:00,0.61,0.62,0.61,0.61,18750
ok,2024-01-03 10:00:00,0.63,0.63,0.62,0.62,1372
ok,2024-01-03 10:30:00,0.61,0.64,0.61,0.63,27017
ok,2024-01-03 11:00:00,0.64,0.64,0.63,0.63,3553
ok,2024-01-03 11:30:00,0.64,0.69,0.62,0.69,67335
ok,2024-01-03 12:00:00,0.69,0.7,0.67,0.68,13581
ok,2024-01-03 12:30:00,0.69,0.69,0.66,0.66,2734
ok,2024-01-03 13:00:00,0.67,0.67,0.66,0.66,2284
ok,2024-01-03 13:30:00,0.66,0.66,0.66,0.66,4277
ok,2024-01-03 14:00:00,0.66,0.66,0.65,0.66,3324
ok,2024-01-03 14:30:00,0.66,0.66,0.66,0.66,1000
ok,2024-01-03 15:00:00,0.66,0.67,0.65,0.65,877
ok,2024-01-03 15:30:00,0.65,0.66,0.65,0.66,1861
ok,2024-01-03 19:00:00,0.63,0.63,0.63,0.63,400
ok,2024-01-03 19:30:00,0.63,0.63,0.63,0.63,1000
ok,2024-01-04 09:30:00,0.64,0.65,0.64,0.65,3130
ok,2024-01-04 10:00:00,0.65,0.65,0.64,0.64,10114
ok,2024-01-04 10:30:00,0.64,0.65,0.64,0.64,1774
ok,2024-01-04 11:00:00,0.65,0.7,0.64,0.65,57048
ok,2024-01-04 11:30:00,0.65,0.65,0.65,0.65,205
ok,2024-01-04 12:00:00,0.65,0.68,0.65,0.68,268
ok,2024-01-04 12:30:00,0.68,0.68,0.65,0.65,5200
ok,2024-01-04 13:00:00,0.67,0.67,0.66,0.66,4905
ok,2024-01-04 13:30:00,0.66,0.66,0.65,0.65,852
ok,2024-01-04 14:00:00,0.65,0.65,0.65,0.65,1750
ok,2024-01-04 15:30:00,0.65,0.66,0.65,0.66,1624
ok,2024-01-05 09:30:00,0.68,0.68,0.62,0.63,5237
ok,2024-01-05 10:00:00,0.66,0.66,0.65,0.65,592
ok,2024-01-05 10:30:00,0.65,0.65,0.65,0.65,241
ok,2024-01-05 11:00:00,0.65,0.66,0.64,0.66,2141
ok,2024-01-05 11:30:00,0.65,0.66,0.64,0.64,2175
ok,2024-01-05 12:00:00,0.64,0.64,0.62,0.63,21024
ok,2024-01-05 12:30:00,0.63,0.65,0.63,0.65,1430
ok,2024-01-05 13:00:00,0.66,0.66,0.66,0.66,388
ok,2024-01-05 14:00:00,0.65,0.65,0.64,0.64,867
ok,2024-01-05 14:30:00,0.63,0.63,0.63,0.63,450
ok,2024-01-05 15:00:00,0.63,0.63,0.62,0.62,21348
ok,2024-01-05 15:30:00,0.62,0.63,0.62,0.62,26980
ok,2024-01-08 09:30:00,0.62,0.62,0.6,0.62,4891
ok,2024-01-08 10:00:00,0.62,0.64,0.57,0.57,86587
ok,2024-01-08 10:30:00,0.57,0.6,0.55,0.59,14853
ok,2024-01-08 11:00:00,0.59,0.6,0.57,0.6,3907
ok,2024-01-08 11:30:00,0.58,0.58,0.56,0.56,30744
ok,2024-01-08 12:00:00,0.57,0.57,0.57,0.57,283
ok,2024-01-08 12:30:00,0.57,0.57,0.56,0.56,4541
ok,2024-01-08 13:00:00,0.56,0.6,0.56,0.6,9560
