s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.65,0.66,0.65,0.66,4300
ok,2024-01-02 05:00:00,0.7,0.7,0.7,0.7,400
ok,2024-01-02 08:00:00,0.66,0.66,0.66,0.66,200
ok,2024-01-02 09:30:00,0.66,0.67,0.66,0.67,305
ok,2024-01-02 10:00:00,0.67,0.67,0.66,0.67,425
ok,2024-01-02 10:30:00,0.66,0.66,0.65,0.66,4010
ok,2024-01-02 11:00:00,0.65,0.65,0.65,0.65,1550
ok,2024-01-02 11:30:00,0.66,0.66,0.66,0.66,126
ok,2024-01-02 12:00:00,0.65,0.65,0.65,0.65,1000
ok,2024-01-02 12:30:00,0.67,0.67,0.65,0.65,254
ok,2024-01-02 13:00:00,0.66,0.66,0.66,0.66,247
ok,2024-01-02 13:30:00,0.66,0.7,0.66,0.66,2313
ok,2024-01-02 14:30:00,0.69,0.69,0.65,0.66,10111
ok,2024-01-02 15:30:00,0.68,0.68,0.68,0.68,120
ok,2024-01-02 18:30:00,0.69,0.69,0.69,0.69,227
ok,2024-01-03 08:30:00,0.69,0.69,0.69,0.69,1000
ok,2024-01-03 09:00:00,0.66,0.66,0.66,0.66,250
ok,2024-01-03 09:30:00,0.69,0.69,0.65,0.65,1759
ok,2024-01-03 10:00:00,0.69,0.69,0.65,0.69,3548
ok,2024-01-03 10:30:00,0.65,0.65,0.65,0.65,3785
ok,2024-01-03 11:00:00,0.65,0.65,0.65,0.65,253
ok,2024-01-03 11:30:00,0.65,0.67,0.65,0.67,1700
ok,2024-01-03 13:00:00,0.64,0.66,0.63,0.66,4524
ok,2024-01-03 13:30:00,0.64,0.64,0.63,0.63,4000
ok,2024-01-03 14:00:00,0.66,0.67,0.64,0.64,300
ok,2024-01-03 14:30:00,0.64,0.64,0.61,0.64,2100
ok,2024-01-03 15:00:00,0.64,0.66,0.64,0.64,1168
ok,2024-01-03 15:30:00,0.64,0.64,0.64,0.64,1202
ok,2024-01-03 16:30:00,0.61,0.63,0.6,0.63,1189
ok,2024-01-04 09:30:00,0.66,0.66,0.66,0.66,225
ok,2024-01-04 10:30:00,0.65,0.65,0.62,0.62,4520
ok,2024-01-04 11:00:00,0.65,0.65,0.65,0.65,1250
ok,2024-01-04 11:30:00,0.67,0.67,0.65,0.66,678
