s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.3,0.3,0.3,0.3,200
ok,2024-01-02 09:30:00,0.29,0.29,0.29,0.29,3812
ok,2024-01-02 10:00:00,0.29,0.3,0.29,0.3,24838
ok,2024-01-02 10:30:00,0.31,0.35,0.29,0.29,4609
ok,2024-01-02 11:00:00,0.3,0.3,0.3,0.3,513
ok,2024-01-02 11:30:00,0.33,0.33,0.31,0.31,6852
ok,2024-01-02 12:00:00,0.32,0.32,0.31,0.32,10823
ok,2024-01-02 12:30:00,0.31,0.32,0.31,0.32,541
ok,2024-01-02 13:00:00,0.31,0.34,0.31,0.32,7307
ok,2024-01-02 13:30:00,0.33,0.33,0.31,0.32,64157
ok,2024-01-02 14:00:00,0.31,0.32,0.31,0.31,3568
ok,2024-01-02 14:30:00,0.31,0.32,0.31,0.31,1100
ok,2024-01-02 15:00:00,0.31,0.31,0.31,0.31,200
ok,2024-01-02 15:30:00,0.29,0.32,0.29,0.32,1341
ok,2024-01-02 16:30:00,0.31,0.31,0.31,0.31,3560
ok,2024-01-03 08:00:00,0.3,0.3,0.3,0.3,1014
ok,2024-01-03 09:30:00,0.31,0.32,0.31,0.32,2887
ok,2024-01-03 10:00:00,0.32,0.32,0.31,0.32,7998
ok,2024-01-03 10:30:00,0.32,0.35,0.31,0.32,68344
ok,2024-01-03 11:00:00,0.32,0.34,0.32,0.32,12927
ok,2024-01-03 11:30:00,0.32,0.32,0.32,0.32,1517
ok,2024-01-03 12:00:00,0.33,0.33,0.32,0.33,1352
ok,2024-01-03 12:30:00,0.33,0.35,0.32,0.34,8082
ok,2024-01-03 13:00:00,0.34,0.34,0.33,0.33,6326
ok,2024-01-03 13:30:00,0.32,0.32,0.3,0.3,27230
ok,2024-01-03 14:00:00,0.31,0.31,0.31,0.31,14506
ok,2024-01-03 14:30:00,0.31,0.31,0.31,0.31,420
ok,2024-01-03 15:00:00,0.31,0.31,0.3,0.3,6800
ok,2024-01-03 15:30:00,0.31,0.31,0.3,0.31,2515
