s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.58,0.58,0.54,0.54,8441
ok,2024-01-02 10:00:00,0.53,0.53,0.53,0.53,3371
ok,2024-01-02 10:30:00,0.54,0.55,0.53,0.54,3346
ok,2024-01-02 11:00:00,0.55,0.55,0.55,0.55,1400
ok,2024-01-02 11:30:00,0.55,0.55,0.55,0.55,529
ok,2024-01-02 12:00:00,0.55,0.55,0.55,0.55,1010
ok,2024-01-02 13:00:00,0.54,0.55,0.54,0.54,4967
ok,2024-01-02 13:30:00,0.55,0.56,0.55,0.56,218
ok,2024-01-02 14:00:00,0.56,0.56,0.55,0.55,5744
ok,2024-01-02 14:30:00,0.56,0.56,0.56,0.56,294
ok,2024-01-02 15:00:00,0.55,0.56,0.55,0.56,310
ok,2024-01-02 15:30:00,0.55,0.55,0.55,0.55,100
ok,2024-01-03 08:30:00,0.58,0.58,0.58,0.58,2000
ok,2024-01-03 09:30:00,0.57,0.57,0.54,0.54,593
ok,2024-01-03 10:00:00,0.54,0.55,0.54,0.55,1104
ok,2024-01-03 10:30:00,0.55,0.56,0.55,0.56,900
ok,2024-01-03 11:00:00,0.54,0.56,0.53,0.56,3666
ok,2024-01-03 11:30:00,0.54,0.54,0.52,0.53,2285
ok,2024-01-03 12:30:00,0.54,0.54,0.53,0.53,270
ok,2024-01-03 13:00:00,0.52,0.52,0.52,0.52,345
ok,2024-01-03 14:00:00,0.54,0.54,0.51,0.52,2985
ok,2024-01-03 15:00:00,0.53,0.54,0.53,0.54,207
ok,2024-01-03 17:30:00,0.54,0.54,0.54,0.54,200
ok,2024-01-04 09:30:00,0.55,0.55,0.52,0.52,479
ok,2024-01-04 10:30:00,0.55,0.55,0.55,0.55,1808
ok,2024-01-04 11:00:00,0.53,0.55,0.53,0.55,2078
ok,2024-01-04 11:30:00,0.54,0.54,0.54,0.54,500
ok,2024-01-04 13:00:00,0.55,0.55,0.55,0.55,150
ok,2024-01-04 14:00:00,0.54,0.54,0.54,0.54,112
ok,2024-01-04 14:30:00,0.53,0.54,0.53,0.53,3133
ok,2024-01-04 15:00:00,0.53,0.53,0.53,0.53,460
ok,2024-01-04 15:30:00,0.54,0.54,0.53,0.53,2299
ok,2024-01-04 16:30:00,0.52,0.52,0.52,0.52,235
ok,2024-01-05 09:30:00,0.54,0.54,0.54,0.54,194
ok,2024-01-05 10:30:00,0.52,0.54,0.52,0.54,1350
ok,2024-01-05 11:00:00,0.52,0.52,0.52,0.52,474
