s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,2.22,2.22,2.22,2.22,100
ok,2024-01-02 09:00:00,2.67,2.67,2.67,2.67,240
ok,2024-01-02 09:30:00,2.32,2.43,2.32,2.35,1531
ok,2024-01-02 10:00:00,2.39,2.6,2.39,2.51,4203
ok,2024-01-02 10:30:00,2.45,2.55,2.45,2.54,1818
ok,2024-01-02 11:00:00,2.6,2.6,2.43,2.47,2067
ok,2024-01-02 14:00:00,2.43,2.43,2.43,2.43,215
ok,2024-01-02 14:30:00,2.52,2.52,2.52,2.52,650
ok,2024-01-02 15:30:00,2.49,2.5,2.32,2.38,7923
ok,2024-01-02 19:00:00,2.4,2.4,2.4,2.4,500
ok,2024-01-03 04:30:00,2.74,3.31,2.52,2.87,15301
ok,2024-01-03 05:00:00,2.85,3.15,2.72,3.0,25081
ok,2024-01-03 05:30:00,2.99,3.08,2.78,3.0,6816
ok,2024-01-03 06:00:00,3.0,3.83,2.93,3.14,169118
ok,2024-01-03 06:30:00,3.18,3.3,2.78,2.86,67372
ok,2024-01-03 07:00:00,2.87,4.69,2.76,3.66,674763
ok,2024-01-03 07:30:00,3.61,4.28,3.42,3.83,282575
ok,2024-01-03 08:00:00,3.96,6.08,3.46,5.66,3357391
ok,2024-01-03 08:30:00,5.69,7.36,5.55,6.62,3181341
ok,2024-01-03 09:00:00,6.64,7.45,6.6,7.32,2179159
ok,2024-01-03 09:30:00,7.35,7.8,5.87,6.14,8863967
ok,2024-01-03 10:00:00,6.13,9.43,6.12,7.88,13854606
ok,2024-01-03 10:30:00,7.93,8.51,7.4,7.65,4720979
ok,2024-01-03 11:00:00,7.66,8.34,7.11,7.33,3313774
ok,2024-01-03 11:30:00,7.32,8.75,7.02,7.88,5172585
ok,2024-01-03 12:00:00,7.88,8.11,7.53,7.88,1862955
ok,2024-01-03 12:30:00,7.85,10.5,7.65,9.7,4240101
ok,2024-01-03 13:00:00,9.66,10.97,7.7,8.3,3806040
ok,2024-01-03 13:30:00,8.32,8.67,7.91,8.0,1204582
ok,2024-01-03 14:00:00,8.0,8.19,7.51,7.63,738209
ok,2024-01-03 14:30:00,7.62,7.73,6.3,6.77,1494973
ok,2024-01-03 15:00:00,6.75,6.82,6.21,6.35,589675
