s,t,o,h,l,c,v
ok,2024-04-04 03:00:00,4.5,5.27,3.2,3.6,31406
ok,2024-04-04 03:30:00,3.6,4.11,3.19,3.4,23750
ok,2024-04-04 04:00:00,3.39,3.53,3.31,3.4,3845
ok,2024-04-04 04:30:00,3.4,3.5,3.35,3.5,978
ok,2024-04-04 05:00:00,3.58,3.58,3.26,3.33,2551
ok,2024-04-04 05:30:00,3.34,3.47,2.92,2.92,24920
ok,2024-04-04 06:00:00,2.93,2.93,2.23,2.45,23588
ok,2024-04-04 06:30:00,2.45,2.84,2.15,2.52,28026
ok,2024-04-04 07:00:00,2.88,3.05,2.21,2.65,24322
ok,2024-04-04 07:30:00,2.6,3.05,2.51,2.88,34637
ok,2024-04-04 08:00:00,2.82,2.96,2.78,2.78,9839
ok,2024-04-04 08:30:00,2.79,2.8,1.6,1.7,290730
ok,2024-04-04 09:00:00,1.68,1.7,1.29,1.47,265684
ok,2024-04-04 09:30:00,1.47,1.55,1.33,1.45,149831
ok,2024-04-04 10:00:00,1.45,1.59,1.41,1.5,68174
ok,2024-04-04 10:30:00,1.5,1.54,1.36,1.37,59786
ok,2024-04-04 11:00:00,1.39,1.51,1.32,1.46,77931
ok,2024-04-04 11:30:00,1.46,1.9,1.43,1.69,132544
ok,2024-04-04 12:00:00,1.69,1.7,1.53,1.56,58946
ok,2024-04-04 12:30:00,1.56,1.58,1.44,1.44,46638
ok,2024-04-04 13:00:00,1.44,1.5,1.41,1.49,67565
ok,2024-04-04 13:30:00,1.46,1.46,1.33,1.38,62763
ok,2024-04-04 14:00:00,1.37,1.48,1.37,1.42,61557
ok,2024-04-04 14:30:00,1.41,1.48,1.37,1.43,92816
ok,2024-04-04 15:00:00,1.47,1.5,1.41,1.45,22747
ok,2024-04-04 15:30:00,1.42,1.48,1.36,1.43,27869
ok,2024-04-04 16:00:00,1.43,1.45,1.38,1.4,7377
ok,2024-04-04 16:30:00,1.45,1.48,1.4,1.48,5960
ok,2024-04-04 17:00:00,1.4,1.45,1.4,1.42,6369
ok,2024-04-04 17:30:00,1.43,1.46,1.41,1.41,8238
ok,2024-04-04 18:00:00,1.45,1.46,1.35,1.38,20896
ok,2024-04-04 18:30:00,1.38,1.48,1.35,1.48,16812
ok,2024-04-05 03:00:00,1.46,1.46,1.26,1.3,14068
ok,2024-04-05 03:30:00,1.29,1.37,1.21,1.33,10070
ok,2024-04-05 04:00:00,1.3,1.38,1.26,1.31,4125
ok,2024-04-05 04:30:00,1.36,1.58,1.36,1.45,40654
ok,2024-04-05 05:00:00,1.49,1.54,1.42,1.42,12425
ok,2024-04-05 05:30:00,1.4,1.4,1.37,1.39,1038
ok,2024-04-05 06:00:00,1.41,1.45,1.37,1.37,12220
ok,2024-04-05 06:30:00,1.41,1.45,1.38,1.4,12981
ok,2024-04-05 07:00:00,1.43,1.55,1.37,1.42,16465
ok,2024-04-05 07:30:00,1.42,1.46,1.42,1.42,8092
ok,2024-04-05 08:00:00,1.42,1.46,1.42,1.42,7589
ok,2024-04-05 08:30:00,1.42,1.44,1.23,1.28,150128
ok,2024-04-05 09:00:00,1.28,1.3,1.21,1.3,68881
ok,2024-04-05 09:30:00,1.28,1.3,1.22,1.22,102606
ok,2024-04-05 10:00:00,1.23,1.23,1.14,1.17,186796
ok,2024-04-05 10:30:00,1.16,1.17,1.08,1.11,163060
ok,2024-04-05 11:00:00,1.11,1.13,1.08,1.12,91970
ok,2024-04-05 11:30:00,1.14,1.14,1.08,1.09,69196
ok,2024-04-05 12:00:00,1.08,1.1,1.05,1.06,72067
ok,2024-04-05 12:30:00,1.06,1.07,1.03,1.04,79971
ok,2024-04-05 13:00:00,1.04,1.04,1.0,1.01,101104
ok,2024-04-05 13:30:00,1.01,1.02,0.97,1.0,74194
ok,2024-04-05 14:00:00,1.0,1.01,0.99,1.0,63940
ok,2024-04-05 14:30:00,1.0,1.01,0.99,1.0,252470
ok,2024-04-05 15:00:00,1.02,1.29,1.01,1.14,585721
ok,2024-04-05 15:30:00,1.14,1.16,1.08,1.12,65042
