s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.09,3.09,3.09,3.09,255
ok,2024-01-02 04:30:00,2.88,2.88,2.88,2.88,241
ok,2024-01-02 05:00:00,2.79,2.79,2.79,2.79,200
ok,2024-01-02 05:30:00,2.88,2.88,2.88,2.88,100
ok,2024-01-02 07:00:00,2.84,2.84,2.75,2.75,4971
ok,2024-01-02 07:30:00,2.75,2.75,2.74,2.75,2395
ok,2024-01-02 08:00:00,2.73,2.89,2.73,2.74,1978
ok,2024-01-02 08:30:00,2.75,2.75,2.75,2.75,3673
ok,2024-01-02 09:00:00,2.75,2.75,2.75,2.75,1442
ok,2024-01-02 09:30:00,2.75,2.75,2.74,2.74,21083
ok,2024-01-02 10:00:00,2.75,2.91,2.75,2.84,20042
ok,2024-01-02 10:30:00,2.87,2.9,2.85,2.9,2236
ok,2024-01-02 11:00:00,2.9,2.9,2.85,2.89,6727
ok,2024-01-02 11:30:00,2.89,2.9,2.87,2.9,3735
ok,2024-01-02 12:00:00,2.9,2.95,2.87,2.93,9639
ok,2024-01-02 12:30:00,2.93,2.97,2.9,2.97,7467
ok,2024-01-02 13:00:00,2.97,3.03,2.94,2.94,9359
ok,2024-01-02 13:30:00,2.96,3.03,2.95,3.0,5814
ok,2024-01-02 14:00:00,3.0,3.08,3.0,3.04,10210
ok,2024-01-02 14:30:00,3.05,3.07,3.02,3.05,5494
ok,2024-01-02 15:00:00,3.05,3.07,3.04,3.06,5975
ok,2024-01-02 15:30:00,3.06,3.07,3.0,3.03,11525
ok,2024-01-02 16:00:00,2.98,2.98,2.98,2.98,109
ok,2024-01-02 17:00:00,3.01,3.01,3.01,3.01,221
ok,2024-01-03 04:30:00,3.0,3.0,3.0,3.0,841
ok,2024-01-03 05:30:00,3.0,3.0,3.0,3.0,100
ok,2024-01-03 07:00:00,3.0,3.0,3.0,3.0,420
ok,2024-01-03 07:30:00,3.0,3.0,3.0,3.0,1300
ok,2024-01-03 08:00:00,3.01,3.02,3.0,3.0,1166
ok,2024-01-03 08:30:00,3.0,3.0,3.0,3.0,3406
ok,2024-01-03 09:00:00,3.0,3.0,2.99,2.99,2607
ok,2024-01-03 09:30:00,2.95,3.03,2.87,2.87,18014
ok,2024-01-03 10:00:00,2.89,2.98,2.89,2.94,1689
ok,2024-01-03 10:30:00,2.95,2.97,2.93,2.93,6767
ok,2024-01-03 11:00:00,2.93,2.97,2.91,2.91,7947
ok,2024-01-03 11:30:00,2.93,2.93,2.93,2.93,200
ok,2024-01-03 12:00:00,2.97,2.97,2.91,2.91,5483
ok,2024-01-03 12:30:00,2.91,2.96,2.9,2.96,807
ok,2024-01-03 13:00:00,2.94,2.95,2.92,2.92,1834
ok,2024-01-03 14:00:00,2.93,2.94,2.93,2.94,563
ok,2024-01-03 14:30:00,2.93,2.99,2.93,2.99,4443
ok,2024-01-03 15:00:00,3.0,3.03,3.0,3.02,2447
ok,2024-01-03 15:30:00,3.02,3.03,2.96,2.98,8084
ok,2024-01-03 17:30:00,2.98,2.98,2.98,2.98,340
ok,2024-01-04 04:00:00,2.75,2.9,2.75,2.75,500
ok,2024-01-04 06:30:00,2.92,2.92,2.9,2.9,643
ok,2024-01-04 07:00:00,2.9,2.9,2.9,2.9,722
ok,2024-01-04 08:00:00,2.86,2.96,2.86,2.88,830
ok,2024-01-04 08:30:00,2.87,2.87,2.87,2.87,346
ok,2024-01-04 09:30:00,2.91,2.94,2.87,2.87,4923
ok,2024-01-04 10:00:00,2.87,2.91,2.87,2.87,6215
ok,2024-01-04 10:30:00,2.87,2.96,2.83,2.94,10065
ok,2024-01-04 11:30:00,2.86,2.9,2.82,2.82,8720
ok,2024-01-04 12:00:00,2.82,2.82,2.81,2.81,866
ok,2024-01-04 12:30:00,2.84,2.84,2.74,2.76,9356
ok,2024-01-04 13:00:00,2.79,2.79,2.74,2.77,2136
ok,2024-01-04 13:30:00,2.77,2.79,2.77,2.79,365
ok,2024-01-04 14:00:00,2.79,2.79,2.77,2.79,545
ok,2024-01-04 14:30:00,2.79,2.81,2.75,2.78,9391
ok,2024-01-04 15:00:00,2.75,2.81,2.75,2.81,824
ok,2024-01-04 15:30:00,2.78,2.82,2.77,2.77,1822
ok,2024-01-04 16:00:00,2.75,2.75,2.75,2.75,131
ok,2024-01-04 16:30:00,2.82,2.82,2.79,2.79,400
ok,2024-01-04 17:00:00,2.77,2.77,2.75,2.75,901
ok,2024-01-04 19:30:00,2.76,2.76,2.75,2.75,766
ok,2024-01-05 04:00:00,2.78,2.87,2.78,2.87,263
ok,2024-01-05 05:00:00,2.9,2.9,2.89,2.89,283
ok,2024-01-05 06:30:00,2.83,2.83,2.79,2.79,510
ok,2024-01-05 08:00:00,2.79,2.79,2.79,2.79,209
ok,2024-01-05 08:30:00,2.8,2.8,2.75,2.76,3126
