s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,6.6,6.6,6.52,6.52,634
ok,2024-01-02 06:00:00,6.67,6.67,6.67,6.67,814
ok,2024-01-02 06:30:00,6.66,6.66,6.66,6.66,192
ok,2024-01-02 07:00:00,6.63,6.64,6.5,6.6,1686
ok,2024-01-02 07:30:00,6.5,6.5,6.5,6.5,200
ok,2024-01-02 08:00:00,6.5,6.6,6.5,6.54,4485
ok,2024-01-02 08:30:00,6.49,6.5,6.45,6.45,2615
ok,2024-01-02 09:00:00,6.46,6.46,6.23,6.35,5500
ok,2024-01-02 09:30:00,6.41,6.64,6.05,6.64,300491
ok,2024-01-02 10:00:00,6.68,7.05,6.55,6.67,246498
ok,2024-01-02 10:30:00,6.65,6.99,6.6,6.73,109519
ok,2024-01-02 11:00:00,6.72,6.96,6.6,6.74,115374
ok,2024-01-02 11:30:00,6.74,6.86,6.54,6.58,97601
ok,2024-01-02 12:00:00,6.58,6.66,6.5,6.5,66754
ok,2024-01-02 12:30:00,6.51,6.54,6.38,6.48,91408
ok,2024-01-02 13:00:00,6.47,6.54,6.36,6.38,79706
ok,2024-01-02 13:30:00,6.38,6.4,6.14,6.17,148629
ok,2024-01-02 14:00:00,6.16,6.36,6.1,6.36,90926
ok,2024-01-02 14:30:00,6.36,6.37,6.24,6.28,75871
ok,2024-01-02 15:00:00,6.28,6.28,6.21,6.23,40956
ok,2024-01-02 15:30:00,6.24,6.38,6.22,6.36,114428
ok,2024-01-02 16:00:00,6.37,6.37,6.31,6.31,439
ok,2024-01-02 16:30:00,6.16,6.16,6.16,6.16,399
ok,2024-01-02 17:30:00,6.18,6.18,6.16,6.16,345
ok,2024-01-03 04:00:00,6.27,6.27,6.27,6.27,150
ok,2024-01-03 04:30:00,6.27,6.27,6.27,6.27,208
ok,2024-01-03 05:00:00,6.23,6.23,6.17,6.17,447
ok,2024-01-03 05:30:00,6.17,6.17,6.17,6.17,399
ok,2024-01-03 06:00:00,6.16,6.16,6.16,6.16,889
ok,2024-01-03 07:00:00,6.21,6.21,6.16,6.16,1800
ok,2024-01-03 08:00:00,6.19,6.2,6.15,6.15,5597
ok,2024-01-03 08:30:00,6.15,6.15,6.15,6.15,634
ok,2024-01-03 09:00:00,6.21,6.21,6.15,6.16,1182
ok,2024-01-03 09:30:00,6.22,6.24,5.68,5.75,383579
ok,2024-01-03 10:00:00,5.76,6.03,5.72,5.86,154820
ok,2024-01-03 10:30:00,5.86,5.9,5.63,5.68,296721
ok,2024-01-03 11:00:00,5.68,5.69,5.52,5.65,164213
ok,2024-01-03 11:30:00,5.64,5.73,5.61,5.68,64753
ok,2024-01-03 12:00:00,5.69,5.73,5.67,5.68,30602
ok,2024-01-03 12:30:00,5.67,5.69,5.59,5.69,145909
ok,2024-01-03 13:00:00,5.69,5.71,5.57,5.58,51013
ok,2024-01-03 13:30:00,5.57,5.58,5.4,5.4,91245
ok,2024-01-03 14:00:00,5.4,5.51,5.37,5.5,123171
ok,2024-01-03 14:30:00,5.5,5.59,5.44,5.48,93800
ok,2024-01-03 15:00:00,5.47,5.53,5.4,5.44,135536
ok,2024-01-03 15:30:00,5.45,5.6,5.44,5.6,230064
ok,2024-01-03 17:30:00,5.6,5.6,5.6,5.6,590
ok,2024-01-03 18:00:00,5.6,5.6,5.6,5.6,432
ok,2024-01-03 19:00:00,5.59,5.7,5.59,5.7,394
ok,2024-01-03 19:30:00,5.71,5.71,5.71,5.71,100
ok,2024-01-04 04:00:00,5.46,5.46,5.46,5.46,269
ok,2024-01-04 04:30:00,5.53,5.53,5.53,5.53,140
ok,2024-01-04 05:00:00,5.53,5.53,5.48,5.48,633
ok,2024-01-04 07:00:00,5.67,5.68,5.67,5.68,872
ok,2024-01-04 07:30:00,5.68,5.68,5.68,5.68,250
ok,2024-01-04 08:00:00,5.66,5.71,5.66,5.68,4815
ok,2024-01-04 08:30:00,5.69,5.69,5.69,5.69,120
ok,2024-01-04 09:00:00,5.94,5.98,5.69,5.69,2901
ok,2024-01-04 09:30:00,5.63,5.89,5.5,5.83,83950
ok,2024-01-04 10:00:00,5.84,5.98,5.76,5.79,122673
ok,2024-01-04 10:30:00,5.79,5.94,5.77,5.92,115828
ok,2024-01-04 11:00:00,5.92,6.0,5.91,5.91,83068
ok,2024-01-04 11:30:00,5.91,5.91,5.78,5.79,99586
ok,2024-01-04 12:00:00,5.8,6.0,5.78,5.98,150578
ok,2024-01-04 12:30:00,5.99,6.0,5.89,6.0,29833
ok,2024-01-04 13:00:00,6.0,6.16,5.98,6.14,73794
ok,2024-01-04 13:30:00,6.15,6.22,6.13,6.17,48264
ok,2024-01-04 14:00:00,6.16,6.21,6.11,6.19,43866
ok,2024-01-04 14:30:00,6.19,6.22,6.13,6.22,47392
ok,2024-01-04 15:00:00,6.23,6.28,6.13,6.13,87116
ok,2024-01-04 15:30:00,6.13,6.13,6.0,6.0,161148
ok,2024-01-04 16:30:00,6.04,6.04,6.03,6.03,2588
ok,2024-01-04 17:00:00,6.02,6.26,6.01,6.26,1204
ok,2024-01-04 17:30:00,5.98,5.98,5.97,5.97,1800
ok,2024-01-04 19:00:00,6.0,6.0,6.0,6.0,768
ok,2024-01-05 05:30:00,6.22,6.22,6.22,6.22,367
ok,2024-01-05 07:00:00,6.01,6.01,5.93,5.93,302
ok,2024-01-05 08:00:00,6.41,6.41,6.22,6.22,659
ok,2024-01-05 08:30:00,6.0,6.0,5.97,5.97,211
ok,2024-01-05 09:00:00,5.95,5.96,5.84,5.96,1938
ok,2024-01-05 09:30:00,5.95,5.95,5.53,5.85,160588
ok,2024-01-05 10:00:00,5.88,6.01,5.74,5.75,104192
ok,2024-01-05 10:30:00,5.75,5.89,5.71,5.88,39139
ok,2024-01-05 11:00:00,5.86,5.86,5.74,5.77,48378
ok,2024-01-05 11:30:00,5.77,5.86,5.75,5.85,33095
ok,2024-01-05 12:00:00,5.84,5.95,5.84,5.9,29266
ok,2024-01-05 12:30:00,5.9,6.0,5.88,5.95,63262
ok,2024-01-05 13:00:00,5.94,6.08,5.94,6.06,218552
ok,2024-01-05 13:30:00,6.05,6.11,5.97,6.03,127967
ok,2024-01-05 14:00:00,6.03,6.16,6.01,6.16,51331
ok,2024-01-05 14:30:00,6.15,6.16,6.02,6.05,52026
ok,2024-01-05 15:00:00,6.04,6.14,6.04,6.1,42725
ok,2024-01-05 15:30:00,6.11,6.12,6.02,6.06,205923
ok,2024-01-05 16:00:00,6.06,6.06,6.06,6.06,3401
ok,2024-01-05 16:30:00,6.01,6.01,5.76,5.76,631
ok,2024-01-05 18:30:00,5.85,5.85,5.85,5.85,499
ok,2024-01-05 19:00:00,5.91,5.91,5.91,5.91,750
ok,2024-01-08 06:00:00,5.91,5.91,5.85,5.85,651
ok,2024-01-08 08:00:00,5.94,6.05,5.94,6.05,1415
ok,2024-01-08 08:30:00,6.06,6.06,6.05,6.05,3657
ok,2024-01-08 09:00:00,6.06,6.06,6.0,6.0,706
ok,2024-01-08 09:30:00,5.99,7.0,5.9,6.99,626232
ok,2024-01-08 10:00:00,6.99,8.1,6.95,7.94,1502611
ok,2024-01-08 10:30:00,7.96,10.3,7.91,8.65,10098236
ok,2024-01-08 11:00:00,8.65,8.69,8.05,8.31,2866283
ok,2024-01-08 11:30:00,8.3,8.5,8.13,8.47,2145992
ok,2024-01-08 12:00:00,8.47,9.24,8.35,9.12,3473602
ok,2024-01-08 12:30:00,9.12,9.45,8.82,9.16,3817942
ok,2024-01-08 13:00:00,9.12,9.77,9.05,9.21,2742905
ok,2024-01-08 13:30:00,9.17,9.33,8.72,9.05,1650853
ok,2024-01-08 14:00:00,9.04,9.76,8.95,9.71,1925884
ok,2024-01-08 14:30:00,9.71,10.83,9.59,10.4,5275581
ok,2024-01-08 15:00:00,10.42,10.96,9.96,10.72,4299763
ok,2024-01-08 15:30:00,10.74,11.23,10.34,10.72,5115092
ok,2024-01-08 16:00:00,10.73,10.79,10.18,10.23,277232
ok,2024-01-08 16:30:00,10.22,10.67,10.11,10.25,114070
ok,2024-01-08 17:00:00,10.26,10.39,10.12,10.26,30860
ok,2024-01-08 17:30:00,10.27,10.5,10.2,10.39,23017
ok,2024-01-08 18:00:00,10.32,10.39,10.27,10.39,4403
ok,2024-01-08 18:30:00,10.31,10.5,10.29,10.36,8124
ok,2024-01-08 19:00:00,10.39,10.5,10.36,10.45,2360
ok,2024-01-08 19:30:00,10.39,10.42,10.31,10.35,12339
ok,2024-01-09 04:00:00,10.2,10.2,9.9,9.94,9117
ok,2024-01-09 04:30:00,9.96,10.2,9.93,10.2,4525
ok,2024-01-09 05:00:00,10.16,10.16,10.16,10.16,400
ok,2024-01-09 05:30:00,10.28,10.3,10.28,10.3,1130
ok,2024-01-09 06:00:00,10.29,10.29,10.22,10.22,507
ok,2024-01-09 06:30:00,10.01,10.21,10.0,10.21,1413
ok,2024-01-09 07:00:00,10.29,10.75,10.29,10.42,23283
ok,2024-01-09 07:30:00,10.41,10.46,10.29,10.46,5878
ok,2024-01-09 08:00:00,10.5,10.77,10.04,10.45,40570
ok,2024-01-09 08:30:00,10.49,10.63,10.33,10.42,12726
ok,2024-01-09 09:00:00,10.42,10.43,10.21,10.23,26151
ok,2024-01-09 09:30:00,10.34,11.5,10.16,11.04,4491554
ok,2024-01-09 10:00:00,11.06,11.62,10.86,11.45,2402749
ok,2024-01-09 10:30:00,11.46,11.47,10.27,10.43,1744638
ok,2024-01-09 11:00:00,10.43,10.48,9.85,10.09,842259
ok,2024-01-09 11:30:00,10.11,10.49,10.09,10.18,624035
ok,2024-01-09 12:00:00,10.18,10.32,10.02,10.19,384322
ok,2024-01-09 12:30:00,10.2,10.21,9.85,10.12,450249
ok,2024-01-09 13:00:00,10.12,10.71,10.12,10.7,592180
ok,2024-01-09 13:30:00,10.68,10.95,10.55,10.85,498786
ok,2024-01-09 14:00:00,10.86,10.9,10.49,10.53,412638
ok,2024-01-09 14:30:00,10.53,10.58,10.27,10.33,307020
ok,2024-01-09 15:00:00,10.34,10.38,10.14,10.24,269946
ok,2024-01-09 15:30:00,10.23,10.38,10.16,10.23,613279
ok,2024-01-09 16:00:00,10.2,10.32,10.18,10.31,6268
ok,2024-01-09 16:30:00,10.35,10.55,10.35,10.4,2853
ok,2024-01-09 17:00:00,10.4,10.55,10.4,10.55,2593
ok,2024-01-09 17:30:00,10.5,10.5,10.36,10.4,1785
ok,2024-01-09 18:00:00,10.38,10.47,10.37,10.47,1101
ok,2024-01-09 18:30:00,10.44,10.47,10.44,10.46,1040
ok,2024-01-09 19:00:00,10.46,10.46,10.46,10.46,100
ok,2024-01-09 19:30:00,10.46,10.47,10.46,10.47,521
ok,2024-01-10 04:00:00,10.21,10.21,10.21,10.21,206
ok,2024-01-10 04:30:00,10.29,10.3,10.29,10.3,1040
ok,2024-01-10 05:30:00,10.21,10.21,10.15,10.19,1156
ok,2024-01-10 06:30:00,10.15,10.15,10.15,10.15,248
ok,2024-01-10 07:30:00,10.2,10.2,10.09,10.1,3180
ok,2024-01-10 08:00:00,10.2,10.29,10.12,10.27,5421
ok,2024-01-10 08:30:00,10.24,10.26,10.24,10.26,1002
ok,2024-01-10 09:00:00,10.23,10.26,10.06,10.16,5066
