s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,6.38,6.38,6.33,6.33,861
ok,2024-01-02 06:00:00,6.49,6.49,6.49,6.49,273
ok,2024-01-02 06:30:00,6.48,6.49,6.39,6.39,1867
ok,2024-01-02 07:00:00,6.39,6.44,6.39,6.44,940
ok,2024-01-02 07:30:00,6.41,6.41,6.39,6.39,1571
ok,2024-01-02 08:00:00,6.41,6.41,6.35,6.35,1307
ok,2024-01-02 08:30:00,6.37,6.37,6.37,6.37,215
ok,2024-01-02 09:00:00,6.38,6.38,6.34,6.35,1895
ok,2024-01-02 09:30:00,6.33,6.51,6.22,6.47,130070
ok,2024-01-02 10:00:00,6.47,6.77,6.47,6.77,75743
ok,2024-01-02 10:30:00,6.75,6.81,6.68,6.76,60966
ok,2024-01-02 11:00:00,6.76,6.78,6.67,6.76,44204
ok,2024-01-02 11:30:00,6.77,6.92,6.75,6.91,47983
ok,2024-01-02 12:00:00,6.9,6.97,6.83,6.94,63160
ok,2024-01-02 12:30:00,6.94,6.99,6.92,6.95,51232
ok,2024-01-02 13:00:00,6.94,6.94,6.78,6.8,29023
ok,2024-01-02 13:30:00,6.78,6.79,6.61,6.61,46441
ok,2024-01-02 14:00:00,6.61,6.64,6.51,6.54,93452
ok,2024-01-02 14:30:00,6.54,6.56,6.51,6.54,27727
ok,2024-01-02 15:00:00,6.54,6.54,6.47,6.5,54419
ok,2024-01-02 15:30:00,6.51,6.52,6.44,6.49,103763
ok,2024-01-02 16:00:00,6.49,6.5,6.46,6.5,2319
ok,2024-01-02 16:30:00,6.5,6.51,6.5,6.51,1200
ok,2024-01-02 17:30:00,6.49,6.49,6.49,6.49,435
ok,2024-01-02 18:30:00,6.65,6.65,6.64,6.65,450
ok,2024-01-03 06:30:00,6.51,6.51,6.5,6.5,954
ok,2024-01-03 07:00:00,6.47,6.47,6.46,6.46,2189
ok,2024-01-03 07:30:00,6.41,6.41,6.37,6.37,2022
ok,2024-01-03 08:00:00,6.41,6.41,6.36,6.36,615
ok,2024-01-03 08:30:00,6.44,6.45,6.44,6.45,404
ok,2024-01-03 09:00:00,6.41,6.41,6.37,6.37,3699
ok,2024-01-03 09:30:00,6.35,6.35,6.17,6.18,155299
ok,2024-01-03 10:00:00,6.19,6.23,6.14,6.22,60495
ok,2024-01-03 10:30:00,6.2,6.2,6.14,6.19,28441
ok,2024-01-03 11:00:00,6.2,6.26,6.19,6.23,29329
ok,2024-01-03 11:30:00,6.23,6.24,6.18,6.19,53326
ok,2024-01-03 12:00:00,6.18,6.21,6.18,6.19,13177
ok,2024-01-03 12:30:00,6.19,6.21,6.17,6.21,10696
ok,2024-01-03 13:00:00,6.22,6.27,6.21,6.23,24708
ok,2024-01-03 13:30:00,6.24,6.24,6.19,6.19,15223
ok,2024-01-03 14:00:00,6.2,6.25,6.16,6.23,33372
ok,2024-01-03 14:30:00,6.26,6.27,6.2,6.22,23624
ok,2024-01-03 15:00:00,6.21,6.21,6.1,6.11,52563
ok,2024-01-03 15:30:00,6.11,6.18,6.1,6.13,71134
ok,2024-01-03 16:00:00,6.12,6.13,6.12,6.13,1626
ok,2024-01-03 17:30:00,6.16,6.16,6.14,6.14,1829
ok,2024-01-03 18:30:00,6.24,6.24,6.24,6.24,121
ok,2024-01-04 04:30:00,6.3,6.3,6.3,6.3,565
ok,2024-01-04 05:30:00,6.31,6.31,6.31,6.31,200
ok,2024-01-04 06:00:00,6.3,6.3,6.3,6.3,706
ok,2024-01-04 06:30:00,6.31,6.31,6.28,6.28,519
ok,2024-01-04 07:00:00,6.28,6.28,6.2,6.2,872
ok,2024-01-04 07:30:00,6.22,6.22,6.2,6.2,712
ok,2024-01-04 08:00:00,6.18,6.21,6.18,6.21,2798
ok,2024-01-04 08:30:00,6.21,6.21,6.19,6.19,1219
ok,2024-01-04 09:00:00,6.19,6.19,6.18,6.18,1694
ok,2024-01-04 09:30:00,6.16,6.16,6.05,6.1,80728
ok,2024-01-04 10:00:00,6.1,6.12,6.04,6.07,81432
ok,2024-01-04 10:30:00,6.07,6.14,6.07,6.12,80984
ok,2024-01-04 11:00:00,6.12,6.18,6.1,6.15,32246
ok,2024-01-04 11:30:00,6.16,6.18,6.14,6.16,20403
ok,2024-01-04 12:00:00,6.15,6.16,6.12,6.13,20243
ok,2024-01-04 12:30:00,6.13,6.16,6.11,6.14,25784
ok,2024-01-04 13:00:00,6.15,6.2,6.15,6.2,24355
ok,2024-01-04 13:30:00,6.2,6.24,6.19,6.21,28766
ok,2024-01-04 14:00:00,6.22,6.22,6.19,6.2,17056
ok,2024-01-04 14:30:00,6.19,6.24,6.18,6.22,20855
ok,2024-01-04 15:00:00,6.22,6.26,6.21,6.26,34389
ok,2024-01-04 15:30:00,6.26,6.28,6.2,6.21,77513
ok,2024-01-04 17:00:00,6.24,6.24,6.24,6.24,100
ok,2024-01-04 18:30:00,6.24,6.24,6.23,6.23,200
ok,2024-01-05 04:00:00,6.22,6.22,6.22,6.22,333
ok,2024-01-05 05:30:00,6.21,6.21,6.21,6.21,200
ok,2024-01-05 08:00:00,6.2,6.2,6.2,6.2,192
ok,2024-01-05 08:30:00,6.2,6.2,6.12,6.12,4517
ok,2024-01-05 09:00:00,6.15,6.21,6.13,6.19,2737
