s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,3.86,3.86,3.86,3.86,320
ok,2024-01-02 06:00:00,3.92,3.92,3.92,3.92,220
ok,2024-01-02 07:00:00,3.92,3.92,3.81,3.81,200
ok,2024-01-02 07:30:00,3.8,3.8,3.8,3.8,210
ok,2024-01-02 08:00:00,3.92,3.92,3.81,3.81,2000
ok,2024-01-02 08:30:00,3.81,3.81,3.8,3.81,2061
ok,2024-01-02 09:30:00,3.73,3.77,3.72,3.77,14153
ok,2024-01-02 10:00:00,3.74,3.96,3.74,3.84,10806
ok,2024-01-02 10:30:00,3.91,3.99,3.85,3.9,7823
ok,2024-01-02 11:00:00,3.83,3.83,3.82,3.82,1556
ok,2024-01-02 11:30:00,3.94,3.97,3.9,3.92,7071
ok,2024-01-02 12:00:00,3.92,3.95,3.86,3.9,1401
ok,2024-01-02 12:30:00,3.87,3.88,3.86,3.88,1299
ok,2024-01-02 13:00:00,3.89,3.92,3.85,3.85,1100
ok,2024-01-02 13:30:00,3.92,3.95,3.85,3.88,3982
ok,2024-01-02 14:00:00,3.93,3.94,3.92,3.94,2283
ok,2024-01-02 14:30:00,3.95,4.26,3.95,4.24,49658
ok,2024-01-02 15:00:00,4.22,4.22,3.98,4.11,7297
ok,2024-01-02 15:30:00,4.07,4.16,4.07,4.11,7451
ok,2024-01-02 16:00:00,4.2,4.2,4.2,4.2,300
ok,2024-01-02 16:30:00,4.25,4.25,4.25,4.25,1112
ok,2024-01-02 17:00:00,4.2,4.25,4.2,4.21,894
ok,2024-01-02 17:30:00,4.21,4.21,4.21,4.21,100
ok,2024-01-03 05:00:00,4.07,4.07,4.07,4.07,670
ok,2024-01-03 07:00:00,4.15,4.15,4.15,4.15,226
ok,2024-01-03 09:30:00,4.32,4.32,4.1,4.1,3197
ok,2024-01-03 10:00:00,4.11,4.13,4.08,4.08,2079
ok,2024-01-03 10:30:00,4.08,4.24,4.08,4.21,14619
ok,2024-01-03 11:00:00,4.2,4.27,4.2,4.22,9621
ok,2024-01-03 11:30:00,4.22,4.25,4.17,4.2,7192
ok,2024-01-03 12:00:00,4.2,4.24,4.2,4.24,3127
ok,2024-01-03 12:30:00,4.22,4.24,4.14,4.16,8128
ok,2024-01-03 13:00:00,4.15,4.18,4.15,4.18,600
ok,2024-01-03 13:30:00,4.16,4.18,4.1,4.13,2869
ok,2024-01-03 14:00:00,4.07,4.1,4.0,4.09,4404
ok,2024-01-03 14:30:00,4.08,4.12,4.07,4.1,1795
ok,2024-01-03 15:00:00,4.1,4.1,4.1,4.1,908
ok,2024-01-03 15:30:00,4.1,4.15,4.02,4.1,11795
ok,2024-01-03 16:30:00,4.07,4.07,4.07,4.07,100
ok,2024-01-03 19:30:00,4.0,4.0,4.0,4.0,384
ok,2024-01-04 09:30:00,4.15,4.15,4.15,4.15,175
ok,2024-01-04 10:30:00,4.1,4.17,4.1,4.15,2535
ok,2024-01-04 11:00:00,4.15,4.18,4.06,4.18,1432
ok,2024-01-04 12:00:00,4.13,4.13,4.09,4.09,320
ok,2024-01-04 12:30:00,4.11,4.13,4.08,4.13,3903
ok,2024-01-04 13:00:00,4.06,4.1,4.06,4.1,1366
ok,2024-01-04 13:30:00,4.08,4.09,3.96,4.02,6563
ok,2024-01-04 14:00:00,4.06,4.06,4.06,4.06,100
ok,2024-01-04 14:30:00,4.13,4.13,4.02,4.13,611
ok,2024-01-04 15:00:00,4.12,4.12,4.12,4.12,100
ok,2024-01-04 15:30:00,4.08,4.12,4.04,4.04,2355
ok,2024-01-04 16:00:00,4.02,4.03,4.02,4.02,5908
ok,2024-01-05 09:30:00,4.01,4.08,3.94,3.94,6501
ok,2024-01-05 10:00:00,3.98,4.0,3.95,3.95,1019
ok,2024-01-05 10:30:00,3.99,4.0,3.91,4.0,1681
ok,2024-01-05 11:00:00,3.96,4.0,3.96,3.96,2420
ok,2024-01-05 11:30:00,3.94,4.08,3.9,3.97,4289
ok,2024-01-05 12:30:00,3.93,3.98,3.93,3.98,350
ok,2024-01-05 13:00:00,3.99,4.0,3.9,3.98,6726
ok,2024-01-05 14:00:00,3.98,3.98,3.98,3.98,250
ok,2024-01-05 14:30:00,3.91,3.98,3.91,3.98,3292
ok,2024-01-05 15:00:00,3.9,3.98,3.9,3.98,800
ok,2024-01-05 15:30:00,3.92,3.98,3.87,3.88,6350
ok,2024-01-05 16:00:00,3.9,3.9,3.86,3.86,1370
ok,2024-01-05 17:30:00,3.86,3.87,3.86,3.87,1800
ok,2024-01-08 08:00:00,4.01,4.01,4.01,4.01,500
ok,2024-01-08 09:30:00,3.91,4.0,3.85,3.9,10521
ok,2024-01-08 11:00:00,3.88,3.89,3.8,3.86,3008
ok,2024-01-08 11:30:00,3.79,3.92,3.77,3.77,6637
ok,2024-01-08 12:00:00,3.8,3.8,3.7,3.76,1583
ok,2024-01-08 12:30:00,3.7,3.7,3.6,3.62,4309
ok,2024-01-08 13:00:00,3.6,3.66,3.58,3.66,2454
ok,2024-01-08 13:30:00,3.62,3.62,3.6,3.6,3360
ok,2024-01-08 14:00:00,3.63,3.63,3.63,3.63,200
ok,2024-01-08 15:00:00,3.65,3.77,3.58,3.61,6166
ok,2024-01-08 15:30:00,3.66,3.66,3.55,3.6,4424
ok,2024-01-08 16:00:00,3.57,3.57,3.57,3.57,300
ok,2024-01-09 05:00:00,3.55,3.55,3.54,3.55,6033
ok,2024-01-09 05:30:00,3.54,3.54,3.54,3.54,102
ok,2024-01-09 08:30:00,3.55,3.77,3.55,3.77,2779
ok,2024-01-09 09:00:00,3.77,3.77,3.56,3.56,630
ok,2024-01-09 09:30:00,3.58,3.72,3.57,3.66,4175
ok,2024-01-09 10:00:00,3.63,3.63,3.63,3.63,200
ok,2024-01-09 11:00:00,3.62,3.66,3.61,3.61,1481
ok,2024-01-09 11:30:00,3.56,3.56,3.56,3.56,100
ok,2024-01-09 12:00:00,3.57,3.57,3.55,3.56,1347
ok,2024-01-09 12:30:00,3.61,3.61,3.6,3.6,386
ok,2024-01-09 13:30:00,3.63,3.63,3.55,3.63,826
ok,2024-01-09 14:00:00,3.68,3.69,3.61,3.61,5502
ok,2024-01-09 14:30:00,3.64,3.64,3.64,3.64,219
ok,2024-01-09 15:00:00,3.64,3.64,3.64,3.64,250
ok,2024-01-09 15:30:00,3.55,3.62,3.54,3.55,3636
ok,2024-01-09 18:00:00,3.62,3.62,3.58,3.58,200
ok,2024-01-10 04:00:00,3.58,3.58,3.58,3.58,100
ok,2024-01-10 09:30:00,3.69,3.74,3.69,3.71,2093
ok,2024-01-10 10:30:00,3.69,3.69,3.69,3.69,125
