s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,2.94,3.21,2.94,3.19,8331
ok,2024-01-02 05:00:00,3.19,3.19,3.12,3.12,2187
ok,2024-01-02 05:30:00,3.09,3.19,2.9,3.19,4295
ok,2024-01-02 07:00:00,3.1,3.1,2.95,2.95,2033
ok,2024-01-02 07:30:00,3.03,3.04,3.03,3.04,425
ok,2024-01-02 08:00:00,3.06,3.15,2.96,3.04,5979
ok,2024-01-02 08:30:00,3.1,3.1,2.96,2.96,892
ok,2024-01-02 09:00:00,3.09,3.09,3.06,3.06,381
ok,2024-01-02 09:30:00,3.08,3.08,2.83,2.84,34526
ok,2024-01-02 10:00:00,2.85,2.97,2.85,2.9,4349
ok,2024-01-02 10:30:00,2.88,2.94,2.61,2.77,27849
ok,2024-01-02 11:00:00,2.66,2.76,2.64,2.74,11969
ok,2024-01-02 11:30:00,2.72,2.75,2.64,2.65,5499
ok,2024-01-02 12:00:00,2.66,2.7,2.64,2.68,4834
ok,2024-01-02 12:30:00,2.64,2.7,2.64,2.7,2352
ok,2024-01-02 13:00:00,2.66,2.68,2.66,2.66,9575
ok,2024-01-02 13:30:00,2.66,2.75,2.66,2.74,15286
ok,2024-01-02 14:00:00,2.73,2.88,2.72,2.86,22143
ok,2024-01-02 14:30:00,2.95,2.95,2.77,2.8,21312
ok,2024-01-02 15:00:00,2.95,2.95,2.75,2.9,8686
ok,2024-01-02 15:30:00,2.72,2.88,2.72,2.82,6489
ok,2024-01-02 17:00:00,2.8,2.8,2.8,2.8,246
ok,2024-01-02 18:30:00,2.89,2.89,2.89,2.89,1086
ok,2024-01-02 19:30:00,2.9,2.9,2.9,2.9,142
ok,2024-01-03 04:00:00,2.65,2.65,2.65,2.65,127
ok,2024-01-03 06:00:00,2.73,2.74,2.73,2.74,330
ok,2024-01-03 07:00:00,2.75,2.75,2.74,2.74,1331
ok,2024-01-03 07:30:00,2.71,2.71,2.71,2.71,213
ok,2024-01-03 08:00:00,2.74,2.8,2.71,2.72,4714
ok,2024-01-03 08:30:00,2.75,2.75,2.5,2.5,16419
ok,2024-01-03 09:00:00,2.55,2.75,2.5,2.75,1035
ok,2024-01-03 09:30:00,2.64,2.69,2.53,2.57,10393
ok,2024-01-03 10:00:00,2.6,2.62,2.52,2.52,9196
ok,2024-01-03 10:30:00,2.54,2.57,2.45,2.49,26981
ok,2024-01-03 11:00:00,2.48,2.55,2.4,2.45,23402
ok,2024-01-03 11:30:00,2.46,2.55,2.46,2.55,13283
ok,2024-01-03 12:00:00,2.58,2.6,2.52,2.55,11534
ok,2024-01-03 12:30:00,2.52,2.55,2.49,2.5,2805
ok,2024-01-03 13:00:00,2.49,2.55,2.46,2.5,5102
ok,2024-01-03 13:30:00,2.49,2.5,2.48,2.5,3072
ok,2024-01-03 14:00:00,2.5,2.5,2.41,2.43,9313
ok,2024-01-03 14:30:00,2.42,2.55,2.41,2.46,12509
ok,2024-01-03 15:00:00,2.43,2.44,2.41,2.43,7029
ok,2024-01-03 15:30:00,2.41,2.44,2.37,2.38,7546
ok,2024-01-03 16:00:00,2.4,2.4,2.4,2.4,500
ok,2024-01-03 17:00:00,2.4,2.4,2.4,2.4,110
ok,2024-01-03 17:30:00,2.31,2.57,2.31,2.57,431
ok,2024-01-03 19:30:00,2.33,2.55,2.33,2.55,402
ok,2024-01-04 07:00:00,2.46,2.56,2.46,2.56,980
ok,2024-01-04 07:30:00,2.46,2.46,2.46,2.46,401
ok,2024-01-04 08:00:00,2.57,2.57,2.57,2.57,546
ok,2024-01-04 09:00:00,2.37,2.37,2.37,2.37,500
ok,2024-01-04 09:30:00,2.4,2.4,2.33,2.34,2109
ok,2024-01-04 10:00:00,2.34,2.4,2.33,2.4,7802
ok,2024-01-04 10:30:00,2.37,2.4,2.37,2.38,5995
ok,2024-01-04 11:00:00,2.33,2.39,2.33,2.33,9626
ok,2024-01-04 11:30:00,2.33,2.33,2.33,2.33,2660
ok,2024-01-04 12:00:00,2.33,2.33,2.3,2.33,5061
ok,2024-01-04 12:30:00,2.33,2.35,2.33,2.35,1740
ok,2024-01-04 13:00:00,2.35,2.4,2.35,2.4,3250
ok,2024-01-04 13:30:00,2.4,2.5,2.4,2.48,4121
ok,2024-01-04 14:00:00,2.45,2.45,2.36,2.36,420
ok,2024-01-04 15:00:00,2.38,2.38,2.38,2.38,1002
ok,2024-01-04 15:30:00,2.39,2.4,2.31,2.31,6483
ok,2024-01-04 16:00:00,2.24,2.24,2.24,2.24,868
ok,2024-01-04 17:00:00,2.37,2.39,2.37,2.39,1400
ok,2024-01-04 18:30:00,2.39,2.39,2.39,2.39,540
ok,2024-01-04 19:00:00,2.39,2.39,2.39,2.39,255
ok,2024-01-04 19:30:00,2.39,2.39,2.39,2.39,709
ok,2024-01-05 04:00:00,2.2,2.2,2.2,2.2,154
ok,2024-01-05 08:00:00,2.29,2.29,2.29,2.29,100
ok,2024-01-05 08:30:00,2.25,2.25,2.25,2.25,225
ok,2024-01-05 09:30:00,2.3,2.39,2.15,2.21,14571
ok,2024-01-05 10:00:00,2.26,2.3,2.22,2.22,1489
ok,2024-01-05 10:30:00,2.29,2.3,2.19,2.3,13172
ok,2024-01-05 11:00:00,2.22,2.34,2.21,2.21,4284
ok,2024-01-05 11:30:00,2.18,2.18,2.15,2.15,3241
ok,2024-01-05 12:00:00,2.15,2.17,2.15,2.17,4316
ok,2024-01-05 12:30:00,2.16,2.16,2.1,2.13,12503
ok,2024-01-05 13:00:00,2.15,2.15,2.1,2.15,4205
ok,2024-01-05 13:30:00,2.15,2.15,2.02,2.08,10036
ok,2024-01-05 14:00:00,2.1,2.13,2.02,2.08,6726
ok,2024-01-05 14:30:00,2.08,2.09,2.0,2.0,5928
ok,2024-01-05 15:00:00,2.01,2.05,2.01,2.02,4849
ok,2024-01-05 15:30:00,2.02,2.05,2.0,2.03,14492
ok,2024-01-05 16:00:00,2.1,2.1,2.1,2.1,200
ok,2024-01-05 19:30:00,2.19,2.19,2.19,2.19,300
ok,2024-01-08 04:30:00,1.99,1.99,1.99,1.99,200
ok,2024-01-08 05:30:00,1.99,1.99,1.99,1.99,800
ok,2024-01-08 07:00:00,2.05,2.05,1.99,2.01,1592
ok,2024-01-08 07:30:00,2.06,2.11,2.06,2.11,746
ok,2024-01-08 08:00:00,2.24,2.24,2.2,2.2,520
ok,2024-01-08 08:30:00,2.0,2.2,2.0,2.0,1824
ok,2024-01-08 09:00:00,2.1,2.1,2.1,2.1,150
ok,2024-01-08 09:30:00,2.06,2.15,2.03,2.03,3768
ok,2024-01-08 10:00:00,2.12,2.12,1.98,1.99,5105
ok,2024-01-08 10:30:00,1.99,2.0,1.99,1.99,725
ok,2024-01-08 11:30:00,1.99,2.03,1.99,2.03,1186
ok,2024-01-08 12:00:00,2.03,2.03,1.99,1.99,3276
ok,2024-01-08 12:30:00,1.99,2.14,1.99,2.13,14393
ok,2024-01-08 13:00:00,2.1,2.43,2.1,2.25,87187
ok,2024-01-08 13:30:00,2.2,2.49,2.17,2.31,63040
ok,2024-01-08 14:00:00,2.3,2.35,2.27,2.28,14742
ok,2024-01-08 14:30:00,2.28,2.34,2.17,2.2,14521
ok,2024-01-08 15:00:00,2.22,2.22,2.17,2.18,10474
ok,2024-01-08 15:30:00,2.19,2.2,2.07,2.07,50327
ok,2024-01-08 16:00:00,2.1,2.1,2.1,2.1,827
ok,2024-01-08 17:00:00,2.14,2.14,2.14,2.14,1350
