s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.63,0.66,0.63,0.66,7945
ok,2024-01-02 05:00:00,0.64,0.64,0.6,0.63,7661
ok,2024-01-02 05:30:00,0.63,0.63,0.61,0.61,1750
ok,2024-01-02 07:00:00,0.61,0.61,0.6,0.6,12244
ok,2024-01-02 07:30:00,0.61,0.64,0.6,0.63,5467
ok,2024-01-02 08:00:00,0.62,0.72,0.6,0.64,210408
ok,2024-01-02 08:30:00,0.64,0.65,0.63,0.64,12879
ok,2024-01-02 09:00:00,0.65,0.65,0.6,0.63,39509
ok,2024-01-02 09:30:00,0.6,0.63,0.6,0.62,73887
ok,2024-01-02 10:00:00,0.61,0.65,0.61,0.62,142845
ok,2024-01-02 10:30:00,0.62,0.64,0.6,0.6,26136
ok,2024-01-02 11:00:00,0.6,0.67,0.6,0.66,901780
ok,2024-01-02 11:30:00,0.66,0.71,0.65,0.65,409328
ok,2024-01-02 12:00:00,0.65,0.67,0.64,0.65,133927
ok,2024-01-02 12:30:00,0.65,0.7,0.65,0.68,428215
ok,2024-01-02 13:00:00,0.68,0.68,0.64,0.65,197138
ok,2024-01-02 13:30:00,0.65,0.67,0.65,0.67,68126
ok,2024-01-02 14:00:00,0.67,0.67,0.65,0.66,60176
ok,2024-01-02 14:30:00,0.66,0.68,0.65,0.67,159038
ok,2024-01-02 15:00:00,0.67,0.7,0.67,0.69,151764
ok,2024-01-02 15:30:00,0.69,0.71,0.67,0.69,657427
ok,2024-01-02 16:00:00,0.69,0.71,0.67,0.71,53345
ok,2024-01-02 16:30:00,0.71,0.73,0.69,0.7,85584
ok,2024-01-02 17:00:00,0.71,0.71,0.67,0.68,26221
ok,2024-01-02 17:30:00,0.69,0.7,0.68,0.69,53243
ok,2024-01-02 18:00:00,0.69,0.7,0.69,0.69,14616
ok,2024-01-02 18:30:00,0.68,0.7,0.68,0.69,8254
ok,2024-01-02 19:00:00,0.69,0.72,0.69,0.71,25037
ok,2024-01-02 19:30:00,0.71,0.71,0.69,0.7,6725
ok,2024-01-03 04:00:00,0.74,0.74,0.68,0.68,4596
ok,2024-01-03 04:30:00,0.68,0.68,0.67,0.67,2834
ok,2024-01-03 05:00:00,0.67,0.68,0.67,0.68,308
ok,2024-01-03 05:30:00,0.68,0.69,0.68,0.69,895
ok,2024-01-03 06:30:00,0.68,0.69,0.68,0.69,396
ok,2024-01-03 07:00:00,0.69,0.7,0.68,0.68,5362
ok,2024-01-03 07:30:00,0.68,0.68,0.67,0.67,7002
ok,2024-01-03 08:00:00,0.67,0.71,0.65,0.69,42129
ok,2024-01-03 08:30:00,0.69,0.69,0.66,0.66,8173
ok,2024-01-03 09:00:00,0.66,0.69,0.65,0.67,49516
ok,2024-01-03 09:30:00,0.69,0.74,0.66,0.69,690717
ok,2024-01-03 10:00:00,0.69,0.75,0.69,0.72,234936
ok,2024-01-03 10:30:00,0.71,0.73,0.7,0.72,151659
ok,2024-01-03 11:00:00,0.7,0.72,0.66,0.67,266566
ok,2024-01-03 11:30:00,0.69,0.69,0.66,0.69,119852
ok,2024-01-03 12:00:00,0.68,0.68,0.66,0.68,55583
