s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.27,3.57,3.27,3.57,1639
ok,2024-01-02 04:30:00,3.31,3.32,3.25,3.25,2583
ok,2024-01-02 05:00:00,3.42,3.42,3.42,3.42,100
ok,2024-01-02 05:30:00,3.28,3.28,3.25,3.25,500
ok,2024-01-02 06:00:00,3.25,3.35,3.25,3.35,890
ok,2024-01-02 06:30:00,3.27,3.27,3.26,3.27,1000
ok,2024-01-02 07:00:00,3.35,3.56,3.35,3.53,5101
ok,2024-01-02 07:30:00,3.57,3.6,3.49,3.52,2239
ok,2024-01-02 08:00:00,3.45,3.51,3.37,3.46,2417
ok,2024-01-02 08:30:00,3.33,3.44,3.33,3.44,1371
ok,2024-01-02 09:00:00,3.37,3.49,3.11,3.49,29222
ok,2024-01-02 09:30:00,3.55,3.7,3.13,3.13,104464
ok,2024-01-02 10:00:00,3.03,3.49,3.02,3.46,75777
ok,2024-01-02 10:30:00,3.34,3.48,3.25,3.44,22948
ok,2024-01-02 11:00:00,3.47,3.56,3.38,3.5,28131
ok,2024-01-02 11:30:00,3.5,3.54,3.38,3.43,9281
ok,2024-01-02 12:00:00,3.43,3.5,3.38,3.48,3807
ok,2024-01-02 12:30:00,3.48,3.55,3.44,3.55,6726
ok,2024-01-02 13:00:00,3.55,3.6,3.51,3.59,5813
ok,2024-01-02 13:30:00,3.59,3.59,3.55,3.56,6034
ok,2024-01-02 14:00:00,3.56,3.6,3.56,3.6,6574
ok,2024-01-02 14:30:00,3.6,3.72,3.6,3.72,26592
ok,2024-01-02 15:00:00,3.72,3.85,3.7,3.73,20910
ok,2024-01-02 15:30:00,3.84,3.88,3.7,3.77,57959
ok,2024-01-02 16:00:00,3.7,3.7,3.7,3.7,402
ok,2024-01-02 16:30:00,3.58,3.58,3.58,3.58,1000
ok,2024-01-02 17:00:00,3.5,3.5,3.5,3.5,392
ok,2024-01-02 19:30:00,3.53,3.53,3.53,3.53,250
